_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	0.004017031037331297	-0.09744046303144184	999	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	staal	0.23401062176177145
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	0.012903069411304405	-0.10507773529129005	999	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	staal	0.23311800202807406
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	-0.07039183672465373	-0.03368269382858586	999	1	nav	bound	no_ppmi	10_10	foc	999	all	4_4	320	staal	0.21125931630706776
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	-0.01988516795306913	-0.06329847948601336	999	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	staal	0.2201435185634668
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	-0.01205545060547006	-0.05587618882343539	999	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	staal	0.22039754411213663
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	-0.07434110594588603	-0.03205616688222888	999	1	nav	bound	no_ppmi	10_10	foc	999	all	10_10	320	staal	0.20107128737861402
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.10516168417632468	-0.11354520735266771	848	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	320	staal	0.20894105182603304
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.12017456026426411	-0.12820453460490858	848	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	320	staal	0.20785079770137746
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.1955157853532586	-0.12511342141497922	848	1	all	bound	ppmi_weight	10_10	foc	848	nav	4_4	320	staal	0.20362723777528038
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.10326934976641855	-0.07380599933984061	848	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	320	staal	0.20437998840301752
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.11421918859391962	-0.08729788752506124	848	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	320	staal	0.203560637537578
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.16817004014426046	-0.0871878963657784	848	1	all	bound	ppmi_weight	10_10	foc	848	nav	10_10	320	staal	0.19883337322072966
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.09809502965415162	-0.11620524883213647	848	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	320	staal	0.21054594762240736
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.11185382601996421	-0.11775919367293596	848	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	320	staal	0.2088678174398292
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.1955157853533099	-0.12511342141499102	848	1	all	bound	ppmi_weight	10_10	foc	848	all	4_4	320	staal	0.20362723777528038
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.1026563923999929	-0.08782711073164616	848	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	320	staal	0.20538321358079062
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.10798238374515653	-0.08631716241276699	848	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	320	staal	0.2058784547407971
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.16817004014426032	-0.0871878963657788	848	1	all	bound	ppmi_weight	10_10	foc	848	all	10_10	320	staal	0.19883337322072966
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.22091352851657634	-0.19237846669026537	848	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	320	staal	0.23660231432078643
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.26225420444879893	-0.19986884269185823	848	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	320	staal	0.23130817151385868
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.057922949086762675	-0.13338226069183018	848	1	all	bound	ppmi_sel	10_10	foc	848	nav	4_4	320	staal	0.2131293358931848
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.1029436327912271	-0.10061016688361775	848	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	320	staal	0.21570976916418552
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.11409479576787655	-0.10220767140611575	848	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	320	staal	0.2149008735217287
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.011335448495382741	-0.0730021437999994	848	1	all	bound	ppmi_sel	10_10	foc	848	nav	10_10	320	staal	0.19856860016575845
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.2571564443248948	-0.22493932664481114	848	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	320	staal	0.24302351268226663
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.27905105413142256	-0.22178128440618303	848	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	320	staal	0.23870538995560414
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.057922949086762675	-0.13338226069183018	848	1	all	bound	ppmi_sel	10_10	foc	848	all	4_4	320	staal	0.2131293358931848
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.10295789794646072	-0.11162785653121281	848	1	all	bound	ppmi_sel	10_10	5000	5e3	all	10_10	320	staal	0.21967965566713715
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.11739779698865402	-0.10737997161426567	848	1	all	bound	ppmi_sel	10_10	10000	1e4	all	10_10	320	staal	0.21892140328486287
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.011335448495382738	-0.0730021437999994	848	1	all	bound	ppmi_sel	10_10	foc	848	all	10_10	320	staal	0.19856860016575845
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.6099718461254946	-0.136113467378557	1172	1	all	bound	no_ppmi	10_10	5000	5e3	nav	4_4	320	staal	0.232660097601353
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.3242671737194442	-0.21294823611900993	1172	1	all	bound	no_ppmi	10_10	10000	1e4	nav	4_4	320	staal	0.2269079749470501
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.08120199195741422	-0.07688741532734165	1172	1	all	bound	no_ppmi	10_10	foc	1172	nav	4_4	320	staal	0.2168102749619065
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.11240181109727426	-0.07788041470578558	1172	1	all	bound	no_ppmi	10_10	5000	5e3	nav	10_10	320	staal	0.21583307072975907
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.13076106356234019	-0.08666172248674273	1172	1	all	bound	no_ppmi	10_10	10000	1e4	nav	10_10	320	staal	0.21319280643676639
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.028810229502297682	-0.049745616833052425	1172	1	all	bound	no_ppmi	10_10	foc	1172	nav	10_10	320	staal	0.1993042912556071
staal.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.5670155307522043	-0.1822176582175775	1172	1	all	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	staal	0.23735161829142978
staal.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.6154776073721665	-0.19531066726222815	1172	1	all	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	staal	0.22957952506058568
staal.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.08120199195741422	-0.07688741532734165	1172	1	all	bound	no_ppmi	10_10	foc	1172	all	4_4	320	staal	0.2168102749619065
staal.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.11918928371434062	-0.08685450015187075	1172	1	all	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	staal	0.22147106399018132
staal.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.12908851688714354	-0.08353169127949416	1172	1	all	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	staal	0.21938581743101024
staal.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.028810229502297793	-0.04974561683305169	1172	1	all	bound	no_ppmi	10_10	foc	1172	all	10_10	320	staal	0.1993042912556071
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.16567449467417392	0.0589615622103291	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	313	staal	0.227024189068014
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.23382878624051756	0.048718041126376586	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	313	staal	0.22957754067639352
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.2406381307132693	0.10459662270835463	478	1	nav	bound	ppmi_weight	5_5	foc	478	nav	4_4	313	staal	0.23099710628186065
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.14983321122490878	0.06214119412749312	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	313	staal	0.2174213265589846
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.14414299331784156	0.05474004640820779	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	313	staal	0.21778930653135362
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.22716474533421488	0.06653213097876187	478	1	nav	bound	ppmi_weight	5_5	foc	478	nav	10_10	313	staal	0.21716132191496412
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.144996275389545	0.0836243408089766	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	4_4	313	staal	0.2275702953289055
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.18841385052239207	0.062291784343177274	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	4_4	313	staal	0.23259707812382985
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.24063813071328352	0.10459662270836455	478	1	nav	bound	ppmi_weight	5_5	foc	478	all	4_4	313	staal	0.23099710628186065
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.15414880870941133	0.0731231513462084	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	10_10	313	staal	0.21754603803092692
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.13895756713336407	0.05622037773163646	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	10_10	313	staal	0.220055450256416
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.22716474533421668	0.06653213097876307	478	1	nav	bound	ppmi_weight	5_5	foc	478	all	10_10	313	staal	0.21716132191496412
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.06702715116828924	0.09769283412592472	478	1	nav	bound	ppmi_sel	5_5	5000	5e3	nav	4_4	313	staal	0.2366871401683623
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.05500109974968568	0.11037884116962482	478	1	nav	bound	ppmi_sel	5_5	10000	1e4	nav	4_4	313	staal	0.23501287233792947
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.15560837960502394	0.10085238437766698	478	1	nav	bound	ppmi_sel	5_5	foc	478	nav	4_4	313	staal	0.22208042754607765
staal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.0675496808748082	0.07713104004175796	478	1	nav	bound	ppmi_sel	5_5	5000	5e3	nav	10_10	313	staal	0.22292244920767743
staal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.06258070343675658	0.06875734339478472	478	1	nav	bound	ppmi_sel	5_5	10000	1e4	nav	10_10	313	staal	0.2241337924619529
staal.foc5.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.1747167644897575	0.08135255458175572	478	1	nav	bound	ppmi_sel	5_5	foc	478	nav	10_10	313	staal	0.20867042165741922
staal.foc5.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.06628575832925354	0.10737317987739635	478	1	nav	bound	ppmi_sel	5_5	5000	5e3	all	4_4	313	staal	0.23693862344026118
staal.foc5.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.05635673806675018	0.09881484499409139	478	1	nav	bound	ppmi_sel	5_5	10000	1e4	all	4_4	313	staal	0.2379119936249752
staal.foc5.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.15560837960503027	0.10085238437765984	478	1	nav	bound	ppmi_sel	5_5	foc	478	all	4_4	313	staal	0.22208042754607765
staal.foc5.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.06481147968871404	0.09194914153640062	478	1	nav	bound	ppmi_sel	5_5	5000	5e3	all	10_10	313	staal	0.22390346672823283
staal.foc5.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.06096562170486356	0.0741851605371072	478	1	nav	bound	ppmi_sel	5_5	10000	1e4	all	10_10	313	staal	0.22777032621939622
staal.foc5.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.1747167644897554	0.08135255458175063	478	1	nav	bound	ppmi_sel	5_5	foc	478	all	10_10	313	staal	0.20867042165741922
staal.foc5.nav.no_ppmi.bound.min1.soc4.nav.5000	-0.011653670751425118	0.08365488912988828	629	1	nav	bound	no_ppmi	5_5	5000	5e3	nav	4_4	317	staal	0.22817217355728533
staal.foc5.nav.no_ppmi.bound.min1.soc4.nav.10000	8.816745270277406e-4	0.09816077643937848	629	1	nav	bound	no_ppmi	5_5	10000	1e4	nav	4_4	317	staal	0.22508217199258865
staal.foc5.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.07591390143053564	0.04519669462103236	629	1	nav	bound	no_ppmi	5_5	foc	629	nav	4_4	317	staal	0.21449292732723552
staal.foc5.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.01957018173719201	0.058362952618063825	629	1	nav	bound	no_ppmi	5_5	5000	5e3	nav	10_10	317	staal	0.21700311486856827
staal.foc5.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.014776708066223462	0.060143755975173914	629	1	nav	bound	no_ppmi	5_5	10000	1e4	nav	10_10	317	staal	0.21402200263088372
staal.foc5.nav.no_ppmi.bound.min1.soc10.nav.foc	-0.09682576918002378	0.045386553711868984	629	1	nav	bound	no_ppmi	5_5	foc	629	nav	10_10	317	staal	0.2038368428632908
staal.foc5.nav.no_ppmi.bound.min1.soc4.all.5000	0.0032124119225206854	0.09698731524648373	629	1	nav	bound	no_ppmi	5_5	5000	5e3	all	4_4	317	staal	0.2289597724889562
staal.foc5.nav.no_ppmi.bound.min1.soc4.all.10000	0.010282390762564247	0.09767154028679419	629	1	nav	bound	no_ppmi	5_5	10000	1e4	all	4_4	317	staal	0.2283396643634774
staal.foc5.nav.no_ppmi.bound.min1.soc4.all.foc	-0.07591390143053589	0.045196694621032145	629	1	nav	bound	no_ppmi	5_5	foc	629	all	4_4	317	staal	0.21449292732723552
staal.foc5.nav.no_ppmi.bound.min1.soc10.all.5000	-0.012576488176622425	0.06788919779799019	629	1	nav	bound	no_ppmi	5_5	5000	5e3	all	10_10	317	staal	0.21921819320852756
staal.foc5.nav.no_ppmi.bound.min1.soc10.all.10000	-0.012605959385575908	0.06312721255272695	629	1	nav	bound	no_ppmi	5_5	10000	1e4	all	10_10	317	staal	0.21967284342360846
staal.foc5.nav.no_ppmi.bound.min1.soc10.all.foc	-0.09682576918002378	0.045386553711868984	629	1	nav	bound	no_ppmi	5_5	foc	629	all	10_10	317	staal	0.2038368428632908
staal.foc5.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.08595704295422125	0.14077201362208844	545	1	all	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	320	staal	0.218350492033682
staal.foc5.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.1031363223303302	0.2260071053891528	545	1	all	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	320	staal	0.22872627957302588
staal.foc5.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.1783121090247929	0.14728245999149978	545	1	all	bound	ppmi_weight	5_5	foc	545	nav	4_4	320	staal	0.22624364695817933
staal.foc5.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.08871018269587501	0.06890562894931904	545	1	all	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	320	staal	0.21383678386494273
staal.foc5.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.10177062774068621	0.07884313957942907	545	1	all	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	320	staal	0.21141896389605702
staal.foc5.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.19872921988946488	0.10807078917312571	545	1	all	bound	ppmi_weight	5_5	foc	545	nav	10_10	320	staal	0.21537660259256722
staal.foc5.all.ppmi_weight.bound.min1.soc4.all.5000	-0.06549639358634568	0.12539376374218006	545	1	all	bound	ppmi_weight	5_5	5000	5e3	all	4_4	320	staal	0.220104167119774
