_id	_cws.spot.foc10.nav.ppmi_weight.bound	_count.spot.foc10.nav.ppmi_weight.bound	_cws.spot.foc10.nav.ppmi_sel.bound	_count.spot.foc10.nav.ppmi_sel.bound	_cws.spot.foc10.nav.no_ppmi.bound	_count.spot.foc10.nav.no_ppmi.bound	_cws.spot.foc10.all.ppmi_weight.bound	_count.spot.foc10.all.ppmi_weight.bound	_cws.spot.foc10.all.ppmi_sel.bound	_count.spot.foc10.all.ppmi_sel.bound	_cws.spot.foc10.all.no_ppmi.bound	_count.spot.foc10.all.no_ppmi.bound	_cws.spot.foc5.nav.ppmi_weight.bound	_count.spot.foc5.nav.ppmi_weight.bound	_cws.spot.foc5.nav.ppmi_sel.bound	_count.spot.foc5.nav.ppmi_sel.bound	_cws.spot.foc5.nav.no_ppmi.bound	_count.spot.foc5.nav.no_ppmi.bound	_cws.spot.foc5.all.ppmi_weight.bound	_count.spot.foc5.all.ppmi_weight.bound	_cws.spot.foc5.all.ppmi_sel.bound	_count.spot.foc5.all.ppmi_sel.bound	_cws.spot.foc5.all.no_ppmi.bound	_count.spot.foc5.all.no_ppmi.bound
spot/noun/algemeen_dagblad_20010531_34/401	faal/adj;onderwijs_beleid/noun;word/verb	3	faal/adj;onderwijs_beleid/noun;word/verb	3	faal/adj;onderwijs_beleid/noun;word/verb	3	de/det;faal/adj;onderwijs_beleid/noun;word/verb	4	de/det;faal/adj;onderwijs_beleid/noun;word/verb	4	de/det;faal/adj;het/det;in/prep;onderwijs_beleid/noun;volgens/prep;word/verb	7	word/verb	1	word/verb	1	word/verb	1	de/det;word/verb	2	de/det;word/verb	2	de/det;het/det;in/prep;volgens/prep;word/verb	5
spot/noun/algemeen_dagblad_20041217_111/164	dergelijk/adj;kinderachtig/adj;maak/verb;turner/noun	4	dergelijk/adj;kinderachtig/adj;maak/verb;turner/noun	4	dergelijk/adj;heb/verb;kinderachtig/adj;maak/verb;turner/noun	5	als/prep;dergelijk/adj;kinderachtig/adj;maak/verb;met/prep;ook/adv;turner/noun	7	als/prep;dergelijk/adj;kinderachtig/adj;maak/verb;met/prep;ook/adv;turner/noun	7	als/prep;dergelijk/adj;heb/verb;kinderachtig/adj;maak/verb;met/prep;ook/adv;turner/noun	8	dergelijk/adj;kinderachtig/adj	2	dergelijk/adj;kinderachtig/adj	2	dergelijk/adj;heb/verb;kinderachtig/adj	3	dergelijk/adj;kinderachtig/adj;met/prep	3	dergelijk/adj;kinderachtig/adj;met/prep	3	dergelijk/adj;heb/verb;kinderachtig/adj;met/prep	4
spot/noun/algemeen_dagblad_20030701_10/353	ben/verb;commercieel/adj;discrimineer/verb;racistisch/adj;suggestief/adj	5	ben/verb;commercieel/adj;discrimineer/verb;racistisch/adj;suggestief/adj	5	ben/verb;commercieel/adj;discrimineer/verb;racistisch/adj;suggestief/adj;zeg/verb	6	ben/verb;commercieel/adj;de/det;discrimineer/verb;racistisch/adj;suggestief/adj	6	ben/verb;commercieel/adj;de/det;discrimineer/verb;racistisch/adj;suggestief/adj	6	ben/verb;commercieel/adj;de/det;discrimineer/verb;racistisch/adj;suggestief/adj;zeg/verb	7	ben/verb;racistisch/adj;suggestief/adj	3	ben/verb;racistisch/adj;suggestief/adj	3	ben/verb;racistisch/adj;suggestief/adj	3	ben/verb;de/det;racistisch/adj;suggestief/adj	4	ben/verb;de/det;racistisch/adj;suggestief/adj	4	ben/verb;de/det;racistisch/adj;suggestief/adj	4
spot/noun/algemeen_dagblad_20041110_19/102	promoot/verb;schrijver/noun	2	promoot/verb;schrijver/noun	2	boek/noun;promoot/verb;schrijver/noun;wil/verb	4	de/det;met/prep;promoot/verb;schrijver/noun;zijn/det	5	de/det;met/prep;promoot/verb;schrijver/noun;zijn/det	5	boek/noun;de/det;met/prep;promoot/verb;schrijver/noun;wil/verb;zijn/det	7	schrijver/noun	1	schrijver/noun	1	schrijver/noun;wil/verb	2	de/det;met/prep;schrijver/noun;zijn/det	4	de/det;met/prep;schrijver/noun;zijn/det	4	de/det;met/prep;schrijver/noun;wil/verb;zijn/det	5
spot/noun/algemeen_dagblad_20020619_105/238	camouflage_pak/noun;drijf/verb;word/verb	3	camouflage_pak/noun;drijf/verb;word/verb	3	camouflage_pak/noun;drijf/verb;prijs/noun;stel/verb;word/verb	5	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;op/prep;word/verb	6	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;op/prep;word/verb	6	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;niet/adv;op/prep;prijs/noun;stel/verb;word/verb	9	camouflage_pak/noun;drijf/verb;word/verb	3	camouflage_pak/noun;drijf/verb;word/verb	3	camouflage_pak/noun;drijf/verb;word/verb	3	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;word/verb	5	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;word/verb	5	camouflage_pak/noun;drijf/verb;hij/pron;met/prep;word/verb	5
spot/noun/algemeen_dagblad_19990503_60/76	diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;vet/adj	6	diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;vet/adj	6	diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;vet/adj	6	de/det;diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;vet/adj;vol/prep	8	de/det;diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;vet/adj;vol/prep	8	de/det;diep/adj;hoon/noun;keel/noun;lach/noun;opzettelijk/adj;uit/prep;vet/adj;vol/prep	9	hoon/noun;keel/noun	2	hoon/noun;keel/noun	2	hoon/noun;keel/noun	2	de/det;hoon/noun;keel/noun;vol/prep	4	de/det;hoon/noun;keel/noun;vol/prep	4	de/det;hoon/noun;keel/noun;uit/prep;vol/prep	5
spot/noun/algemeen_dagblad_20020918_157/460	Romein/noun;drijf/verb	2	Romein/noun;drijf/verb	2	Romein/noun;drijf/verb;eigen/adj;huis/noun;speel/verb	5	Romein/noun;bene/adv;de/det;die/pron;drijf/verb;met/prep;nota/adv	7	Romein/noun;bene/adv;de/det;die/pron;drijf/verb;met/prep;nota/adv	7	Romein/noun;bene/adv;de/det;die/pron;drijf/verb;eigen/adj;huis/noun;in/prep;met/prep;nota/adv;speel/verb	11	Romein/noun;drijf/verb	2	Romein/noun;drijf/verb	2	Romein/noun;drijf/verb	2	Romein/noun;de/det;die/pron;drijf/verb;met/prep;nota/adv	6	Romein/noun;de/det;die/pron;drijf/verb;met/prep;nota/adv	6	Romein/noun;de/det;die/pron;drijf/verb;met/prep;nota/adv	6
spot/noun/algemeen_dagblad_20000826_50/196	drijf/verb;frustratie/noun;menselijk/adj	3	drijf/verb;frustratie/noun;menselijk/adj	3	drijf/verb;frustratie/noun;kan/verb;menselijk/adj;verlangen/noun	5	de/det;drijf/verb;frustratie/noun;menselijk/adj;met/prep	5	de/det;drijf/verb;frustratie/noun;menselijk/adj;met/prep	5	de/det;drijf/verb;frustratie/noun;ik/pron;kan/verb;menselijk/adj;met/prep;verlangen/noun;via/prep	9	drijf/verb;menselijk/adj	2	drijf/verb;menselijk/adj	2	drijf/verb;kan/verb;menselijk/adj;verlangen/noun	4	de/det;drijf/verb;menselijk/adj	3	de/det;drijf/verb;menselijk/adj	3	de/det;drijf/verb;ik/pron;kan/verb;menselijk/adj;verlangen/noun	6
spot/noun/algemeen_dagblad_20020205_148/632	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;inlichting/noun;kennis/noun;moet/verb;potentieel/adj;probleem/noun;vergroot/verb	7	de/det;die/pron;hot/noun;potentieel/adj;vergroot/verb	5	de/det;die/pron;hot/noun;potentieel/adj;vergroot/verb	5	de/det;die/pron;hot/noun;in/prep;inlichting/noun;kennis/noun;moet/verb;over/prep;potentieel/adj;probleem/noun;vergroot/verb	11	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;moet/verb;potentieel/adj;probleem/noun;vergroot/verb	5	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;potentieel/adj;vergroot/verb	3	hot/noun;in/prep;moet/verb;over/prep;potentieel/adj;probleem/noun;vergroot/verb	7
spot/noun/algemeen_dagblad_20011015_114/686	maak_gebruik/verb;zwaan/noun	2	maak_gebruik/verb;zwaan/noun	2	Amerikaans/adj;alleen/adj;gelukkig/adj;maak_gebruik/verb;wild/adj;zwaan/noun	6	de/det;gebruik/part;maak_gebruik/verb;van/prep;zijn/det;zwaan/noun	6	de/det;gebruik/part;maak_gebruik/verb;van/prep;zijn/det;zwaan/noun	6	Amerikaans/adj;alleen/adj;de/det;gebruik/part;gelukkig/adj;maak_gebruik/verb;van/prep;voor/prep;wild/adj;zijn/det;zwaan/noun	11	maak_gebruik/verb	1	maak_gebruik/verb	1	alleen/adj;maak_gebruik/verb;wild/adj	3	de/det;gebruik/part;maak_gebruik/verb;van/prep;zijn/det	5	de/det;gebruik/part;maak_gebruik/verb;van/prep;zijn/det	5	alleen/adj;de/det;gebruik/part;maak_gebruik/verb;van/prep;voor/prep;wild/adj;zijn/det	8
