_id	_cws.hoop.foc10.nav.ppmi_weight.bound	_count.hoop.foc10.nav.ppmi_weight.bound	_cws.hoop.foc10.nav.ppmi_sel.bound	_count.hoop.foc10.nav.ppmi_sel.bound	_cws.hoop.foc10.nav.no_ppmi.bound	_count.hoop.foc10.nav.no_ppmi.bound	_cws.hoop.foc10.all.ppmi_weight.bound	_count.hoop.foc10.all.ppmi_weight.bound	_cws.hoop.foc10.all.ppmi_sel.bound	_count.hoop.foc10.all.ppmi_sel.bound	_cws.hoop.foc10.all.no_ppmi.bound	_count.hoop.foc10.all.no_ppmi.bound	_cws.hoop.foc5.nav.ppmi_weight.bound	_count.hoop.foc5.nav.ppmi_weight.bound	_cws.hoop.foc5.nav.ppmi_sel.bound	_count.hoop.foc5.nav.ppmi_sel.bound	_cws.hoop.foc5.nav.no_ppmi.bound	_count.hoop.foc5.nav.no_ppmi.bound	_cws.hoop.foc5.all.ppmi_weight.bound	_count.hoop.foc5.all.ppmi_weight.bound	_cws.hoop.foc5.all.ppmi_sel.bound	_count.hoop.foc5.all.ppmi_sel.bound	_cws.hoop.foc5.all.no_ppmi.bound	_count.hoop.foc5.all.no_ppmi.bound
hoop/noun/nrc_handelsblad_20000915_51/1383	kracht/noun;versla/verb;zal/verb	3	kracht/noun;versla/verb;zal/verb	3	communist/noun;eigen/adj;kracht/noun;versla/verb;zal/verb	5	de/det;kracht/noun;op/prep;versla/verb;zal/verb	5	de/det;kracht/noun;op/prep;versla/verb;zal/verb	5	communist/noun;de/det;eigen/adj;kracht/noun;op/prep;versla/verb;zal/verb	7		0		0	eigen/adj	1	op/prep	1	op/prep	1	eigen/adj;op/prep	2
hoop/noun/nrc_handelsblad_20000219_10/376	Engels/adj;geef/verb;muis/noun;onderzoeker/noun;resultaat/noun;toepassing/noun	6	Engels/adj;geef/verb;muis/noun;onderzoeker/noun;resultaat/noun;toepassing/noun	6	Engels/adj;geef/verb;jaar/noun;muis/noun;onderzoeker/noun;resultaat/noun;toepassing/noun	7	Engels/adj;de/det;een/det;geef/verb;muis/noun;onderzoeker/noun;op/prep;resultaat/noun;toepassing/noun	9	Engels/adj;de/det;een/det;geef/verb;muis/noun;onderzoeker/noun;op/prep;resultaat/noun;toepassing/noun	9	Engels/adj;bij/prep;de/det;een/det;geef/verb;het/det;jaar/noun;muis/noun;onderzoeker/noun;ook/adv;op/prep;resultaat/noun;toepassing/noun;van/prep	14	Engels/adj;onderzoeker/noun;resultaat/noun;toepassing/noun	4	Engels/adj;onderzoeker/noun;resultaat/noun;toepassing/noun	4	Engels/adj;onderzoeker/noun;resultaat/noun;toepassing/noun	4	Engels/adj;de/det;een/det;onderzoeker/noun;op/prep;resultaat/noun;toepassing/noun	7	Engels/adj;de/det;een/det;onderzoeker/noun;op/prep;resultaat/noun;toepassing/noun	7	Engels/adj;bij/prep;de/det;een/det;onderzoeker/noun;ook/adv;op/prep;resultaat/noun;toepassing/noun;van/prep	10
hoop/noun/nrc_handelsblad_20031205f_116/126	kan/verb;poen/noun;verdien/verb	3	kan/verb;poen/noun;verdien/verb	3	Colombiaan/noun;kan/verb;poen/noun;reputatie/noun;slecht/adj;verdien/verb;weet/verb	7	een/det;kan/verb;poen/noun;uit/part;verdien/verb;zijn/det	6	een/det;kan/verb;poen/noun;uit/part;verdien/verb;zijn/det	6	Colombiaan/noun;een/det;hij/pron;kan/verb;poen/noun;reputatie/noun;slecht/adj;uit/part;verdien/verb;weet/verb;zijn/det	11	kan/verb;poen/noun;verdien/verb	3	kan/verb;poen/noun;verdien/verb	3	Colombiaan/noun;kan/verb;poen/noun;verdien/verb	4	een/det;kan/verb;poen/noun;verdien/verb;zijn/det	5	een/det;kan/verb;poen/noun;verdien/verb;zijn/det	5	Colombiaan/noun;een/det;hij/pron;kan/verb;poen/noun;verdien/verb;zijn/det	7
hoop/noun/nrc_handelsblad_20001118_97/694	scheel/verb;tijd/noun	2	scheel/verb;tijd/noun	2	scheel/verb;tijd/noun;vrij/adj	3	dat/det;een/det;scheel/verb;tijd/noun	4	dat/det;een/det;scheel/verb;tijd/noun	4	dat/det;een/det;scheel/verb;tijd/noun;vrij/adj	5	scheel/verb;tijd/noun	2	scheel/verb;tijd/noun	2	scheel/verb;tijd/noun;vrij/adj	3	dat/det;een/det;scheel/verb;tijd/noun	4	dat/det;een/det;scheel/verb;tijd/noun	4	dat/det;een/det;scheel/verb;tijd/noun;vrij/adj	5
hoop/noun/nrc_handelsblad_20010327_107/505	ben/verb;gezond/adj;goed/adj;hele/adj;vervolg/noun;zie/verb	6	ben/verb;gezond/adj;goed/adj;hele/adj;vervolg/noun;zie/verb	6	ben/verb;gezond/adj;goed/adj;hele/adj;vervolg/noun;zie/verb	6	ben/verb;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron;mijn/det;vervolg/noun;zie/verb	10	ben/verb;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron;mijn/det;vervolg/noun;zie/verb	10	ben/verb;die/pron;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron;mijn/det;vervolg/noun;waar/adv;zie/verb	12	ben/verb;gezond/adj;goed/adj;hele/adj	4	ben/verb;gezond/adj;goed/adj;hele/adj	4	ben/verb;gezond/adj;goed/adj;hele/adj	4	ben/verb;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron	7	ben/verb;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron	7	ben/verb;een/det;er/adv;gezond/adj;goed/adj;hele/adj;ik/pron;waar/adv	8
hoop/noun/nrc_handelsblad_20011107_44/265	ben/verb;masterplan/noun;onderweg/adj;strategie/noun	4	ben/verb;masterplan/noun;onderweg/adj;strategie/noun	4	bedenk/verb;ben/verb;improviseer/verb;masterplan/noun;onderweg/adj;sluit/adj;strategie/noun	7	ben/verb;de/det;een/det;in/prep;masterplan/noun;onderweg/adj;strategie/noun	7	ben/verb;de/det;een/det;in/prep;masterplan/noun;onderweg/adj;strategie/noun	7	bedenk/verb;ben/verb;de/det;een/det;improviseer/verb;in/prep;masterplan/noun;onderweg/adj;sluit/adj;strategie/noun	10	onderweg/adj;strategie/noun	2	onderweg/adj;strategie/noun	2	onderweg/adj;sluit/adj;strategie/noun	3	de/det;een/det;in/prep;onderweg/adj;strategie/noun	5	de/det;een/det;in/prep;onderweg/adj;strategie/noun	5	de/det;een/det;in/prep;onderweg/adj;sluit/adj;strategie/noun	6
hoop/noun/nrc_handelsblad_20031128_965/61	apartheid/noun;einde/noun;geef/verb;recht_zaak/noun;townships/noun;verandering/noun	6	apartheid/noun;einde/noun;geef/verb;recht_zaak/noun;townships/noun;verandering/noun	6	apartheid/noun;einde/noun;geef/verb;recht_zaak/noun;townships/noun;verandering/noun	6	apartheid/noun;de/det;einde/noun;geef/verb;in/prep;op/prep;recht_zaak/noun;townships/noun;verandering/noun	9	apartheid/noun;de/det;einde/noun;geef/verb;in/prep;op/prep;recht_zaak/noun;townships/noun;verandering/noun	9	apartheid/noun;de/det;die/pron;einde/noun;geef/verb;het/det;in/prep;met/prep;op/prep;recht_zaak/noun;townships/noun;van/prep;verandering/noun	13	geef/verb;townships/noun;verandering/noun	3	geef/verb;townships/noun;verandering/noun	3	geef/verb;townships/noun;verandering/noun	3	geef/verb;in/prep;op/prep;townships/noun;verandering/noun	5	geef/verb;in/prep;op/prep;townships/noun;verandering/noun	5	die/pron;geef/verb;in/prep;met/prep;op/prep;townships/noun;verandering/noun	7
hoop/noun/nrc_handelsblad_20010529_48/675		0		0	district/noun;kies_stelsel/noun;winnaar/noun	3	zijn/det	1	zijn/det	1	district/noun;het/det;kies_stelsel/noun;met/prep;per/prep;winnaar/noun;zijn/det	7		0		0	kies_stelsel/noun	1	zijn/det	1	zijn/det	1	het/det;kies_stelsel/noun;zijn/det	3
hoop/noun/nrc_handelsblad_20000825_43/254	Oosteuropees/adj;geef/verb;laat/adj;nieuw/adj	4	Oosteuropees/adj;geef/verb;laat/adj;nieuw/adj	4	Oosteuropees/adj;geef/verb;laat/adj;land/noun;nieuw/adj;woord/noun	6	Oosteuropees/adj;de/det;een/det;geef/verb;laat/adj;nieuw/adj;op/prep;weinig/det	8	Oosteuropees/adj;de/det;een/det;geef/verb;laat/adj;nieuw/adj;op/prep;weinig/det	8	Oosteuropees/adj;de/det;een/det;geef/verb;laat/adj;land/noun;nieuw/adj;op/prep;weinig/det;woord/noun	10	Oosteuropees/adj;geef/verb;nieuw/adj	3	Oosteuropees/adj;geef/verb;nieuw/adj	3	Oosteuropees/adj;geef/verb;land/noun;nieuw/adj;woord/noun	5	Oosteuropees/adj;de/det;een/det;geef/verb;nieuw/adj;op/prep;weinig/det	7	Oosteuropees/adj;de/det;een/det;geef/verb;nieuw/adj;op/prep;weinig/det	7	Oosteuropees/adj;de/det;een/det;geef/verb;land/noun;nieuw/adj;op/prep;weinig/det;woord/noun	9
hoop/noun/nrc_handelsblad_20020220_59/223	Palestijn/noun;crisis/noun;teken/noun;uitzichtloos/adj	4	Palestijn/noun;crisis/noun;teken/noun;uitzichtloos/adj	4	Palestijn/noun;crisis/noun;teken/noun;uitzichtloos/adj	4	Palestijn/noun;crisis/noun;de/det;een/det;ongetwijfeld/adv;teken/noun;uitzichtloos/adj	7	Palestijn/noun;crisis/noun;de/det;een/det;ongetwijfeld/adv;teken/noun;uitzichtloos/adj	7	Palestijn/noun;als/prep;crisis/noun;de/det;een/det;met/prep;ongetwijfeld/adv;teken/noun;uitzichtloos/adj;van/prep	10	teken/noun	1	teken/noun	1	teken/noun	1	een/det;ongetwijfeld/adv;teken/noun	3	een/det;ongetwijfeld/adv;teken/noun	3	als/prep;een/det;ongetwijfeld/adv;teken/noun;van/prep	5
