_id	_cws.hemels.foc10.nav.weight.bound	_count.hemels.foc10.nav.weight.bound	_cws.hemels.foc10.nav.selection.bound	_count.hemels.foc10.nav.selection.bound	_cws.hemels.foc10.nav.no.bound	_count.hemels.foc10.nav.no.bound	_cws.hemels.foc10.all.weight.bound	_count.hemels.foc10.all.weight.bound	_cws.hemels.foc10.all.selection.bound	_count.hemels.foc10.all.selection.bound	_cws.hemels.foc10.all.no.bound	_count.hemels.foc10.all.no.bound	_cws.hemels.foc5.nav.weight.bound	_count.hemels.foc5.nav.weight.bound	_cws.hemels.foc5.nav.selection.bound	_count.hemels.foc5.nav.selection.bound	_cws.hemels.foc5.nav.no.bound	_count.hemels.foc5.nav.no.bound	_cws.hemels.foc5.all.weight.bound	_count.hemels.foc5.all.weight.bound	_cws.hemels.foc5.all.selection.bound	_count.hemels.foc5.all.selection.bound	_cws.hemels.foc5.all.no.bound	_count.hemels.foc5.all.no.bound
hemels/adj/parool_20000518_6/728	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	annalen/noun;duik_op/verb;titel/noun;voor/adj;vorst/noun	5	duik_op/verb;titel/noun;voor/adj;vorst/noun	4	duik_op/verb;titel/noun;voor/adj;vorst/noun	4	duik_op/verb;titel/noun;voor/adj;vorst/noun	4	duik_op/verb;titel/noun;voor/adj;vorst/noun	4	duik_op/verb;titel/noun;voor/adj;vorst/noun	4	duik_op/verb;titel/noun;voor/adj;vorst/noun	4
hemels/adj/parool_20010522_89/191	breng/verb;klank/noun;luisteraar/noun;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	7	breng/verb;klank/noun;luisteraar/noun;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	7	breng/verb;klank/noun;luisteraar/noun;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	7	breng/verb;een/det;klank/noun;luisteraar/noun;naar/prep;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	9	breng/verb;een/det;klank/noun;luisteraar/noun;naar/prep;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	9	breng/verb;een/det;klank/noun;luisteraar/noun;naar/prep;rustgevend/adj;staat/noun;studio/noun;transcendent/adj	9	klank/noun;luisteraar/noun;rustgevend/adj	3	klank/noun;luisteraar/noun;rustgevend/adj	3	klank/noun;luisteraar/noun;rustgevend/adj	3	klank/noun;luisteraar/noun;naar/prep;rustgevend/adj	4	klank/noun;luisteraar/noun;naar/prep;rustgevend/adj	4	klank/noun;luisteraar/noun;naar/prep;rustgevend/adj	4
hemels/adj/parool_19990129_102/406	kijk/verb;plafond/noun	2	kijk/verb;plafond/noun	2	kijk/verb;plafond/noun	2	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6	kijk/verb;plafond/noun	2	kijk/verb;plafond/noun	2	kijk/verb;plafond/noun	2	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6	hem/pron;het/det;kijk/verb;naar/prep;plafond/noun;zij/pron	6
hemels/adj/parool_20020625_33/379	buurt/noun;harmonie/noun;steven_af/verb;stuk/noun	4	buurt/noun;harmonie/noun;steven_af/verb;stuk/noun	4	buurt/noun;harmonie/noun;steven_af/verb;stuk/noun	4	af/part;buurt/noun;een/det;harmonie/noun;het/det;steven_af/verb;stuk/noun	7	af/part;buurt/noun;een/det;harmonie/noun;het/det;steven_af/verb;stuk/noun	7	af/part;buurt/noun;een/det;harmonie/noun;het/det;steven_af/verb;stuk/noun	7	harmonie/noun;stuk/noun	2	harmonie/noun;stuk/noun	2	harmonie/noun;stuk/noun	2	af/part;een/det;harmonie/noun;het/det;stuk/noun	5	af/part;een/det;harmonie/noun;het/det;stuk/noun	5	af/part;een/det;harmonie/noun;het/det;stuk/noun	5
hemels/adj/parool_20040409_69/331	anders/adj;klank/noun;weg/noun	3	anders/adj;klank/noun;weg/noun	3	anders/adj;klank/noun;weg/noun	3	anders/adj;die/det;een/det;klank/noun;naar/prep;weg/noun	6	anders/adj;die/det;een/det;klank/noun;naar/prep;weg/noun	6	anders/adj;die/det;een/det;klank/noun;naar/prep;weg/noun	6	klank/noun	1	klank/noun	1	klank/noun	1	die/det;klank/noun;naar/prep	3	die/det;klank/noun;naar/prep	3	die/det;klank/noun;naar/prep	3
hemels/adj/parool_20020121_68/32	kijk/verb;presentator/noun;sfeer/noun;zie/verb;zorg/verb	5	kijk/verb;presentator/noun;sfeer/noun;zie/verb;zorg/verb	5	kijk/verb;presentator/noun;sfeer/noun;zie/verb;zorg/verb	5	een/det;het/det;kijk/verb;naar/prep;presentator/noun;sfeer/noun;wat/adv;zie/verb;zorg/verb	9	een/det;het/det;kijk/verb;naar/prep;presentator/noun;sfeer/noun;wat/adv;zie/verb;zorg/verb	9	een/det;het/det;kijk/verb;naar/prep;presentator/noun;sfeer/noun;wat/adv;zie/verb;zorg/verb	9	presentator/noun;sfeer/noun;zorg/verb	3	presentator/noun;sfeer/noun;zorg/verb	3	presentator/noun;sfeer/noun;zorg/verb	3	presentator/noun;sfeer/noun;wat/adv;zorg/verb	4	presentator/noun;sfeer/noun;wat/adv;zorg/verb	4	presentator/noun;sfeer/noun;wat/adv;zorg/verb	4
hemels/adj/parool_20010921_91/604	licht/noun;plafond/noun;vierkant/adj;voorzie/verb	4	licht/noun;plafond/noun;vierkant/adj;voorzie/verb	4	licht/noun;plafond/noun;vierkant/adj;voorzie/verb	4	een/det;het/det;licht/noun;plafond/noun;tot/prep;vierkant/adj;voorzie/verb	7	een/det;het/det;licht/noun;plafond/noun;tot/prep;vierkant/adj;voorzie/verb	7	een/det;het/det;licht/noun;plafond/noun;tot/prep;vierkant/adj;voorzie/verb	7	licht/noun;vierkant/adj;voorzie/verb	3	licht/noun;vierkant/adj;voorzie/verb	3	licht/noun;vierkant/adj;voorzie/verb	3	het/det;licht/noun;vierkant/adj;voorzie/verb	4	het/det;licht/noun;vierkant/adj;voorzie/verb	4	het/det;licht/noun;vierkant/adj;voorzie/verb	4
hemels/adj/parool_19991030_93/3129	geef/verb;raam/noun;uitzicht/noun	3	geef/verb;raam/noun;uitzicht/noun	3	geef/verb;raam/noun;uitzicht/noun	3	een/det;geef/verb;het/det;raam/noun;uitzicht/noun	5	een/det;geef/verb;het/det;raam/noun;uitzicht/noun	5	een/det;geef/verb;het/det;raam/noun;uitzicht/noun	5	geef/verb;uitzicht/noun	2	geef/verb;uitzicht/noun	2	geef/verb;uitzicht/noun	2	een/det;geef/verb;uitzicht/noun	3	een/det;geef/verb;uitzicht/noun	3	een/det;geef/verb;uitzicht/noun	3
hemels/adj/parool_20011012_34/771	meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	6	meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	6	meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	6	die/pron;meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	7	die/pron;meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	7	die/pron;meng/verb;missie/noun;mooi/adj;uiteindelijk/adj;volbreng/verb;zoon/noun	7	missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	4	missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	4	missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	4	die/pron;missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	5	die/pron;missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	5	die/pron;missie/noun;uiteindelijk/adj;volbreng/verb;zoon/noun	5
hemels/adj/parool_19990923_103/2156	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;mensheid/noun;rijk/noun	6	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;mensheid/noun;rijk/noun	6	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;mensheid/noun;rijk/noun	6	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;deze/det;die/pron;een/det;het/det;hun/pron;mensheid/noun;rijk/noun	11	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;deze/det;die/pron;een/det;het/det;hun/pron;mensheid/noun;rijk/noun	11	beloof/verb;brand/verb;charismatisch/adj;charlatan/noun;deze/det;die/pron;een/det;het/det;hun/pron;mensheid/noun;rijk/noun	11	beloof/verb;rijk/noun	2	beloof/verb;rijk/noun	2	beloof/verb;rijk/noun	2	beloof/verb;een/det;het/det;hun/pron;rijk/noun	5	beloof/verb;een/det;het/det;hun/pron;rijk/noun	5	beloof/verb;een/det;het/det;hun/pron;rijk/noun	5
