_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
geldig.foc10.nav.no.bound.min1.soc10.nav.10000	0.04932420292711166	-0.2497814729147129	bound	687	nav	10_10	1	no	10000	10000	nav	10_10	238	geldig	0.266582916812829
geldig.foc10.nav.no.bound.min1.soc10.nav.FOC	0.010548206307605718	-0.215595111363774	bound	687	nav	10_10	1	no	FOC	687	nav	10_10	238	geldig	0.2377916088757218
geldig.foc10.nav.no.bound.min1.soc4.all.5000	0.09760424212609366	-0.18832073262287546	bound	687	nav	10_10	1	no	5000	5000	all	4_4	238	geldig	0.27322632300805305
geldig.foc10.nav.no.bound.min1.soc4.all.10000	0.09149576724979734	-0.1998934132238427	bound	687	nav	10_10	1	no	10000	10000	all	4_4	238	geldig	0.2718053311430703
geldig.foc10.nav.no.bound.min1.soc4.all.FOC	0.05177026184538711	-0.18128065303695529	bound	687	nav	10_10	1	no	FOC	687	all	4_4	238	geldig	0.2513545463007401
geldig.foc10.nav.no.bound.min1.soc10.all.5000	0.06932044825300494	-0.21601233957678637	bound	687	nav	10_10	1	no	5000	5000	all	10_10	238	geldig	0.2641776027465248
geldig.foc10.nav.no.bound.min1.soc10.all.10000	0.0599175075743066	-0.22396704035419393	bound	687	nav	10_10	1	no	10000	10000	all	10_10	238	geldig	0.26604654054931703
geldig.foc10.nav.no.bound.min1.soc10.all.FOC	0.010548206307605718	-0.215595111363774	bound	687	nav	10_10	1	no	FOC	687	all	10_10	238	geldig	0.2377916088757218
geldig.foc10.all.weight.bound.min1.soc4.nav.5000	-0.1282831390462026	-0.11480700659180754	bound	583	all	10_10	1	weight	5000	5000	nav	4_4	239	geldig	0.24979267657729617
geldig.foc10.all.weight.bound.min1.soc4.nav.10000	-0.19458185175095769	-0.13464944337678428	bound	583	all	10_10	1	weight	10000	10000	nav	4_4	239	geldig	0.24817928357586705
geldig.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.10315685964792405	-0.16019969164113076	bound	583	all	10_10	1	weight	FOC	583	nav	4_4	239	geldig	0.24432615573475464
geldig.foc10.all.weight.bound.min1.soc10.nav.5000	-0.1382571483430589	-0.14342182428207598	bound	583	all	10_10	1	weight	5000	5000	nav	10_10	239	geldig	0.2425605472136436
geldig.foc10.all.weight.bound.min1.soc10.nav.10000	-0.18916138427151094	-0.16498717074343208	bound	583	all	10_10	1	weight	10000	10000	nav	10_10	239	geldig	0.24264378464046804
geldig.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.12765835121865413	-0.19835728492927676	bound	583	all	10_10	1	weight	FOC	583	nav	10_10	239	geldig	0.22607486234189975
geldig.foc10.all.weight.bound.min1.soc4.all.5000	-0.09154543639447912	-0.10896854823233718	bound	583	all	10_10	1	weight	5000	5000	all	4_4	239	geldig	0.2480805704531864
geldig.foc10.all.weight.bound.min1.soc4.all.10000	-0.1169025904669412	-0.11898736396515215	bound	583	all	10_10	1	weight	10000	10000	all	4_4	239	geldig	0.24991263118764315
geldig.foc10.all.weight.bound.min1.soc4.all.FOC	-0.10315685964792405	-0.16019969164113076	bound	583	all	10_10	1	weight	FOC	583	all	4_4	239	geldig	0.24432615573475464
geldig.foc10.all.weight.bound.min1.soc10.all.5000	-0.10414857123961438	-0.13922382902505176	bound	583	all	10_10	1	weight	5000	5000	all	10_10	239	geldig	0.24335342746604288
geldig.foc10.all.weight.bound.min1.soc10.all.10000	-0.13343624366431123	-0.14824154657028807	bound	583	all	10_10	1	weight	10000	10000	all	10_10	239	geldig	0.24397709690380334
geldig.foc10.all.weight.bound.min1.soc10.all.FOC	-0.12765835121865413	-0.19835728492927676	bound	583	all	10_10	1	weight	FOC	583	all	10_10	239	geldig	0.22607486234189975
geldig.foc10.all.selection.bound.min1.soc4.nav.5000	0.320697873648265	-0.004179269479699196	bound	583	all	10_10	1	selection	5000	5000	nav	4_4	239	geldig	0.26082724744286273
geldig.foc10.all.selection.bound.min1.soc4.nav.10000	0.37332576001648426	0.02326404167957395	bound	583	all	10_10	1	selection	10000	10000	nav	4_4	239	geldig	0.2583199572451242
geldig.foc10.all.selection.bound.min1.soc4.nav.FOC	0.24205791301054552	-0.0808300758449059	bound	583	all	10_10	1	selection	FOC	583	nav	4_4	239	geldig	0.23423846218209515
geldig.foc10.all.selection.bound.min1.soc10.nav.5000	0.18125253467505623	-0.06916568240677672	bound	583	all	10_10	1	selection	5000	5000	nav	10_10	239	geldig	0.259445824759009
geldig.foc10.all.selection.bound.min1.soc10.nav.10000	0.20410298105862765	-0.05807583611083274	bound	583	all	10_10	1	selection	10000	10000	nav	10_10	239	geldig	0.2631685312888756
geldig.foc10.all.selection.bound.min1.soc10.nav.FOC	0.1394169629497936	-0.10962459241290361	bound	583	all	10_10	1	selection	FOC	583	nav	10_10	239	geldig	0.22790943353059395
geldig.foc10.all.selection.bound.min1.soc4.all.5000	0.3001239876521688	-0.03817973783376213	bound	583	all	10_10	1	selection	5000	5000	all	4_4	239	geldig	0.2505825147038767
geldig.foc10.all.selection.bound.min1.soc4.all.10000	0.3161036729983914	-0.01770153867092501	bound	583	all	10_10	1	selection	10000	10000	all	4_4	239	geldig	0.2566605529745561
geldig.foc10.all.selection.bound.min1.soc4.all.FOC	0.24205791301054552	-0.0808300758449059	bound	583	all	10_10	1	selection	FOC	583	all	4_4	239	geldig	0.23423846218209515
geldig.foc10.all.selection.bound.min1.soc10.all.5000	0.18896194865000623	-0.08667425781651647	bound	583	all	10_10	1	selection	5000	5000	all	10_10	239	geldig	0.25206874818921793
geldig.foc10.all.selection.bound.min1.soc10.all.10000	0.1874480716134362	-0.07427032242474853	bound	583	all	10_10	1	selection	10000	10000	all	10_10	239	geldig	0.2569118881872218
geldig.foc10.all.selection.bound.min1.soc10.all.FOC	0.1394169629497936	-0.10962459241290361	bound	583	all	10_10	1	selection	FOC	583	all	10_10	239	geldig	0.22790943353059395
geldig.foc10.all.no.bound.min1.soc4.nav.5000	0.4140057381133351	-0.08077591339450856	bound	843	all	10_10	1	no	5000	5000	nav	4_4	239	geldig	0.26594847133178545
geldig.foc10.all.no.bound.min1.soc4.nav.10000	0.4636242689269519	-0.07247759459131908	bound	843	all	10_10	1	no	10000	10000	nav	4_4	239	geldig	0.26360060546244796
geldig.foc10.all.no.bound.min1.soc4.nav.FOC	0.3095529350523646	-0.1246058108116231	bound	843	all	10_10	1	no	FOC	843	nav	4_4	239	geldig	0.24383349772272675
geldig.foc10.all.no.bound.min1.soc10.nav.5000	0.2783794112702636	-0.14130691473233234	bound	843	all	10_10	1	no	5000	5000	nav	10_10	239	geldig	0.25872677490739476
geldig.foc10.all.no.bound.min1.soc10.nav.10000	0.30220318983215644	-0.153927652066847	bound	843	all	10_10	1	no	10000	10000	nav	10_10	239	geldig	0.2584109578581608
geldig.foc10.all.no.bound.min1.soc10.nav.FOC	0.20220233747082017	-0.145326072172186	bound	843	all	10_10	1	no	FOC	843	nav	10_10	239	geldig	0.23332965535941816
geldig.foc10.all.no.bound.min1.soc4.all.5000	0.39098418896280396	-0.10789017902997991	bound	843	all	10_10	1	no	5000	5000	all	4_4	239	geldig	0.25474613032945986
geldig.foc10.all.no.bound.min1.soc4.all.10000	0.4086280612155861	-0.09629849002353345	bound	843	all	10_10	1	no	10000	10000	all	4_4	239	geldig	0.25708275696762545
geldig.foc10.all.no.bound.min1.soc4.all.FOC	0.3095529350523646	-0.1246058108116231	bound	843	all	10_10	1	no	FOC	843	all	4_4	239	geldig	0.24383349772272675
geldig.foc10.all.no.bound.min1.soc10.all.5000	0.28036718850136416	-0.15175722040110556	bound	843	all	10_10	1	no	5000	5000	all	10_10	239	geldig	0.2510117630461726
geldig.foc10.all.no.bound.min1.soc10.all.10000	0.2840671494120786	-0.14627819008091478	bound	843	all	10_10	1	no	10000	10000	all	10_10	239	geldig	0.25213059456961173
geldig.foc10.all.no.bound.min1.soc10.all.FOC	0.20220233747082017	-0.145326072172186	bound	843	all	10_10	1	no	FOC	843	all	10_10	239	geldig	0.23332965535941816
geldig.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.27706777892138	0.1261913338795666	bound	329	nav	5_5	1	weight	5000	5000	nav	4_4	235	geldig	0.2482601102732899
geldig.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.3033116830914046	0.14018344026120885	bound	329	nav	5_5	1	weight	10000	10000	nav	4_4	235	geldig	0.24319074704584473
geldig.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.24632744987884359	0.030854384150787957	bound	329	nav	5_5	1	weight	FOC	329	nav	4_4	235	geldig	0.2654493103141201
geldig.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.2688114596609699	0.06941925041434575	bound	329	nav	5_5	1	weight	5000	5000	nav	10_10	235	geldig	0.25088382631426437
geldig.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.29195449066315127	0.08520967035806983	bound	329	nav	5_5	1	weight	10000	10000	nav	10_10	235	geldig	0.24627208213344173
geldig.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.2604928813573359	-0.006009260184603749	bound	329	nav	5_5	1	weight	FOC	329	nav	10_10	235	geldig	0.2510014083033682
geldig.foc5.nav.weight.bound.min1.soc4.all.5000	-0.2517786399944319	0.11413772668427656	bound	329	nav	5_5	1	weight	5000	5000	all	4_4	235	geldig	0.2563833940086636
geldig.foc5.nav.weight.bound.min1.soc4.all.10000	-0.2706705359574246	0.12743809505352197	bound	329	nav	5_5	1	weight	10000	10000	all	4_4	235	geldig	0.251733583342999
geldig.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.24632744987884359	0.030854384150787957	bound	329	nav	5_5	1	weight	FOC	329	all	4_4	235	geldig	0.2654493103141201
geldig.foc5.nav.weight.bound.min1.soc10.all.5000	-0.24422800130042505	0.06319871510813282	bound	329	nav	5_5	1	weight	5000	5000	all	10_10	235	geldig	0.2577421801355748
geldig.foc5.nav.weight.bound.min1.soc10.all.10000	-0.2644112566278769	0.07323307946979149	bound	329	nav	5_5	1	weight	10000	10000	all	10_10	235	geldig	0.2520282009792444
geldig.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.2604928813573359	-0.006009260184603749	bound	329	nav	5_5	1	weight	FOC	329	all	10_10	235	geldig	0.2510014083033682
geldig.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.1579710555909764	0.2677621005050008	bound	329	nav	5_5	1	selection	5000	5000	nav	4_4	235	geldig	0.25002471920292085
geldig.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.17961447575777018	0.3012208432544144	bound	329	nav	5_5	1	selection	10000	10000	nav	4_4	235	geldig	0.24503709389799622
geldig.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.1001607943365936	0.08692350643952647	bound	329	nav	5_5	1	selection	FOC	329	nav	4_4	235	geldig	0.26418653416276067
geldig.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.1307867579888691	0.15400154148520642	bound	329	nav	5_5	1	selection	5000	5000	nav	10_10	235	geldig	0.26212881402868204
geldig.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.14907262039185135	0.1795275193400284	bound	329	nav	5_5	1	selection	10000	10000	nav	10_10	235	geldig	0.258747209796575
geldig.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.11534997620941942	0.042107552390918866	bound	329	nav	5_5	1	selection	FOC	329	nav	10_10	235	geldig	0.24715730120981239
geldig.foc5.nav.selection.bound.min1.soc4.all.5000	-0.11963705061220441	0.24226295730138148	bound	329	nav	5_5	1	selection	5000	5000	all	4_4	235	geldig	0.25685270358323153
geldig.foc5.nav.selection.bound.min1.soc4.all.10000	-0.13938911489785438	0.2607235041971391	bound	329	nav	5_5	1	selection	10000	10000	all	4_4	235	geldig	0.25114715232167273
geldig.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.1001607943365936	0.08692350643952647	bound	329	nav	5_5	1	selection	FOC	329	all	4_4	235	geldig	0.26418653416276067
geldig.foc5.nav.selection.bound.min1.soc10.all.5000	-0.10289022880354676	0.13193366739922205	bound	329	nav	5_5	1	selection	5000	5000	all	10_10	235	geldig	0.2671953997858172
geldig.foc5.nav.selection.bound.min1.soc10.all.10000	-0.12187177357535894	0.14473112363152985	bound	329	nav	5_5	1	selection	10000	10000	all	10_10	235	geldig	0.2641230468564968
geldig.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.11534997620941942	0.042107552390918866	bound	329	nav	5_5	1	selection	FOC	329	all	10_10	235	geldig	0.24715730120981239
geldig.foc5.nav.no.bound.min1.soc4.nav.5000	-0.09579471805483283	0.2488598593772674	bound	426	nav	5_5	1	no	5000	5000	nav	4_4	236	geldig	0.2666692103592788
geldig.foc5.nav.no.bound.min1.soc4.nav.10000	-0.11827846707699735	0.28855522701197645	bound	426	nav	5_5	1	no	10000	10000	nav	4_4	236	geldig	0.2604317050637864
geldig.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.05910168593484164	0.07914222284544045	bound	426	nav	5_5	1	no	FOC	426	nav	4_4	236	geldig	0.2714076002237837
geldig.foc5.nav.no.bound.min1.soc10.nav.5000	-0.07835055150552674	0.14933549163521634	bound	426	nav	5_5	1	no	5000	5000	nav	10_10	236	geldig	0.2751859114073593
geldig.foc5.nav.no.bound.min1.soc10.nav.10000	-0.09896612372553387	0.17845490918123866	bound	426	nav	5_5	1	no	10000	10000	nav	10_10	236	geldig	0.27398677733880533
geldig.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.07341016547472293	0.03840566104448809	bound	426	nav	5_5	1	no	FOC	426	nav	10_10	236	geldig	0.2562796163201392
geldig.foc5.nav.no.bound.min1.soc4.all.5000	-0.06507216921145936	0.22029493414406368	bound	426	nav	5_5	1	no	5000	5000	all	4_4	236	geldig	0.2694531290960415
