_id	_cws.blik.foc10.nav.ppmi_weight.bound	_count.blik.foc10.nav.ppmi_weight.bound	_cws.blik.foc10.nav.ppmi_sel.bound	_count.blik.foc10.nav.ppmi_sel.bound	_cws.blik.foc10.nav.no_ppmi.bound	_count.blik.foc10.nav.no_ppmi.bound	_cws.blik.foc10.all.ppmi_weight.bound	_count.blik.foc10.all.ppmi_weight.bound	_cws.blik.foc10.all.ppmi_sel.bound	_count.blik.foc10.all.ppmi_sel.bound	_cws.blik.foc10.all.no_ppmi.bound	_count.blik.foc10.all.no_ppmi.bound	_cws.blik.foc5.nav.ppmi_weight.bound	_count.blik.foc5.nav.ppmi_weight.bound	_cws.blik.foc5.nav.ppmi_sel.bound	_count.blik.foc5.nav.ppmi_sel.bound	_cws.blik.foc5.nav.no_ppmi.bound	_count.blik.foc5.nav.no_ppmi.bound	_cws.blik.foc5.all.ppmi_weight.bound	_count.blik.foc5.all.ppmi_weight.bound	_cws.blik.foc5.all.ppmi_sel.bound	_count.blik.foc5.all.ppmi_sel.bound	_cws.blik.foc5.all.no_ppmi.bound	_count.blik.foc5.all.no_ppmi.bound
blik/noun/volkskrant_20010117_47/248	spiegel_DIM/noun	1	spiegel_DIM/noun	1	resultaat/noun;spiegel_DIM/noun;val_tegen/verb	3	altijd/adv;de/det;spiegel_DIM/noun	3	altijd/adv;de/det;spiegel_DIM/noun	3	altijd/adv;de/det;het/det;in/prep;na/prep;resultaat/noun;spiegel_DIM/noun;tegen/part;val_tegen/verb	9	spiegel_DIM/noun	1	spiegel_DIM/noun	1	spiegel_DIM/noun;val_tegen/verb	2	altijd/adv;de/det;spiegel_DIM/noun	3	altijd/adv;de/det;spiegel_DIM/noun	3	altijd/adv;de/det;het/det;in/prep;na/prep;spiegel_DIM/noun;val_tegen/verb	7
blik/noun/volkskrant_20000714_41/316	buitenstaander/noun;gedachte_wereld/noun;gun/verb;onderweg/adj;pijnig/verb	5	buitenstaander/noun;gedachte_wereld/noun;gun/verb;onderweg/adj;pijnig/verb	5	buitenstaander/noun;gedachte_wereld/noun;gun/verb;onderweg/adj;pijnig/verb	5	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;hij/pron;onderweg/adj;pijnig/verb;zich/pron;zijn/det	10	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;hij/pron;onderweg/adj;pijnig/verb;zich/pron;zijn/det	10	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;hij/pron;in/prep;onderweg/adj;pijnig/verb;zich/pron;zijn/det	11	buitenstaander/noun;gedachte_wereld/noun;gun/verb	3	buitenstaander/noun;gedachte_wereld/noun;gun/verb	3	buitenstaander/noun;gedachte_wereld/noun;gun/verb	3	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;zijn/det	6	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;zijn/det	6	buitenstaander/noun;de/det;een/det;gedachte_wereld/noun;gun/verb;in/prep;zijn/det	7
blik/noun/volkskrant_20000429_210/1184		0		0		0	de/det	1	de/det	1	de/det	1		0		0		0	de/det	1	de/det	1	de/det	1
blik/noun/volkskrant_20000811_119/186	dreigend/adj;roem/noun;verschraal/verb;zie/verb	4	dreigend/adj;roem/noun;verschraal/verb;zie/verb	4	ben/verb;dreigend/adj;jaar/noun;roem/noun;verschraal/verb;zie/verb	6	de/det;door/prep;dreigend/adj;heen/part;met/prep;roem/noun;verschraal/verb;zie/verb;zijn/det	9	de/det;door/prep;dreigend/adj;heen/part;met/prep;roem/noun;verschraal/verb;zie/verb;zijn/det	9	ben/verb;de/det;door/prep;dreigend/adj;heen/part;jaar/noun;met/prep;ook/adv;roem/noun;verschraal/verb;zie/verb;zijn/det	12	dreigend/adj;zie/verb	2	dreigend/adj;zie/verb	2	dreigend/adj;jaar/noun;zie/verb	3	de/det;door/prep;dreigend/adj;met/prep;zie/verb	5	de/det;door/prep;dreigend/adj;met/prep;zie/verb	5	de/det;door/prep;dreigend/adj;jaar/noun;met/prep;zie/verb	6
blik/noun/volkskrant_20040521_37/89	werp/verb	1	werp/verb	1	ben/verb;het/noun;idee/noun;werp/verb;zal/verb	5	de/det;een/det;eens/adv;op/prep;werp/verb;ze/pron	6	de/det;een/det;eens/adv;op/prep;werp/verb;ze/pron	6	ben/verb;de/det;een/det;eens/adv;het/noun;idee/noun;ook/adv;op/prep;werp/verb;zal/verb;ze/pron	11	werp/verb	1	werp/verb	1	werp/verb	1	de/det;een/det;eens/adv;op/prep;werp/verb;ze/pron	6	de/det;een/det;eens/adv;op/prep;werp/verb;ze/pron	6	de/det;een/det;eens/adv;ook/adv;op/prep;werp/verb;ze/pron	7
blik/noun/volkskrant_20030613_95/183	richt/verb;spiegel/noun;sta/verb	3	richt/verb;spiegel/noun;sta/verb	3	richt/verb;spiegel/noun;sta/verb	3	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun;sta/verb;ze/pron	8	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun;sta/verb;ze/pron	8	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun;sta/verb;voor/prep;ze/pron	9	richt/verb;spiegel/noun	2	richt/verb;spiegel/noun	2	richt/verb;spiegel/noun	2	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun	6	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun	6	de/det;haar/det;mijn/det;op/prep;richt/verb;spiegel/noun	6
blik/noun/volkskrant_20030717_50/20	pak/noun;theedoek/noun	2	pak/noun;theedoek/noun	2	heb/verb;pak/noun;theedoek/noun	3	een/det;je/pron;met/prep;pak/noun;theedoek/noun	5	een/det;je/pron;met/prep;pak/noun;theedoek/noun	5	al/adv;een/det;heb/verb;je/pron;met/prep;pak/noun;theedoek/noun	7	pak/noun	1	pak/noun	1	heb/verb;pak/noun	2	je/pron;met/prep;pak/noun	3	je/pron;met/prep;pak/noun	3	heb/verb;je/pron;met/prep;pak/noun	4
blik/noun/volkskrant_19991119_115/534	aangesloten/adj;land_kaart/noun;toon/verb	3	aangesloten/adj;land_kaart/noun;toon/verb	3	aangesloten/adj;aantal/noun;computer/noun;land_kaart/noun;regio/noun;toon/verb	6	aangesloten/adj;land_kaart/noun;op/prep;toon/verb	4	aangesloten/adj;land_kaart/noun;op/prep;toon/verb	4	aangesloten/adj;aantal/noun;computer/noun;het/det;in/prep;land_kaart/noun;op/prep;per/prep;regio/noun;toon/verb	10	aangesloten/adj;land_kaart/noun;toon/verb	3	aangesloten/adj;land_kaart/noun;toon/verb	3	aangesloten/adj;aantal/noun;computer/noun;land_kaart/noun;toon/verb	5	aangesloten/adj;land_kaart/noun;op/prep;toon/verb	4	aangesloten/adj;land_kaart/noun;op/prep;toon/verb	4	aangesloten/adj;aantal/noun;computer/noun;het/det;in/prep;land_kaart/noun;op/prep;per/prep;toon/verb	9
blik/noun/volkskrant_19991008_86/235	breek_aan/verb;fris/adj;kijk/verb	3	breek_aan/verb;fris/adj;kijk/verb	3	ben/verb;breek_aan/verb;fris/adj;kijk/verb;probleem/noun;tijd/noun	6	breek_aan/verb;de/det;een/det;fris/adj;kijk/verb;met/prep;naar/prep;weer/adv	8	breek_aan/verb;de/det;een/det;fris/adj;kijk/verb;met/prep;naar/prep;weer/adv	8	ben/verb;breek_aan/verb;de/det;een/det;fris/adj;kijk/verb;met/prep;naar/prep;probleem/noun;tijd/noun;van/prep;weer/adv	12	fris/adj	1	fris/adj	1	fris/adj;probleem/noun	2	de/det;een/det;fris/adj;met/prep;naar/prep;weer/adv	6	de/det;een/det;fris/adj;met/prep;naar/prep;weer/adv	6	de/det;een/det;fris/adj;met/prep;naar/prep;probleem/noun;van/prep;weer/adv	8
blik/noun/volkskrant_20010420_46/158	boos/adj;mond/noun;nabijheid/noun;oog/noun;voeg_toe/verb	5	boos/adj;mond/noun;nabijheid/noun;oog/noun;voeg_toe/verb	5	boos/adj;mond/noun;nabijheid/noun;neem/verb;oog/noun;voeg_toe/verb	6	boos/adj;de/det;een/det;haar/det;ik/pron;me/pron;met/prep;mond/noun;nabijheid/noun;oog/noun;voeg_toe/verb;zij/pron;zulk/det	13	boos/adj;de/det;een/det;haar/det;ik/pron;me/pron;met/prep;mond/noun;nabijheid/noun;oog/noun;voeg_toe/verb;zij/pron;zulk/det	13	boos/adj;de/det;een/det;haar/det;ik/pron;in/prep;me/pron;met/prep;mond/noun;nabijheid/noun;neem/verb;oog/noun;voeg_toe/verb;zij/pron;zulk/det	15	boos/adj;oog/noun;voeg_toe/verb	3	boos/adj;oog/noun;voeg_toe/verb	3	boos/adj;oog/noun;voeg_toe/verb	3	boos/adj;de/det;een/det;me/pron;met/prep;oog/noun;voeg_toe/verb;zij/pron	8	boos/adj;de/det;een/det;me/pron;met/prep;oog/noun;voeg_toe/verb;zij/pron	8	boos/adj;de/det;een/det;me/pron;met/prep;oog/noun;voeg_toe/verb;zij/pron	8
blik/noun/volkskrant_19990723_0/1942	bekijk/verb	1	bekijk/verb	1	bekijk/verb;ben/verb;word/verb	3	alweer/adv;bekijk/verb;een/det;ik/pron;jij/pron;met/prep;wie/pron	7	alweer/adv;bekijk/verb;een/det;ik/pron;jij/pron;met/prep;wie/pron	7	alweer/adv;bekijk/verb;ben/verb;een/det;ik/pron;jij/pron;met/prep;ook/adv;wie/pron;word/verb	10	bekijk/verb	1	bekijk/verb	1	bekijk/verb;ben/verb;word/verb	3	bekijk/verb;een/det;ik/pron;met/prep;wie/pron	5	bekijk/verb;een/det;ik/pron;met/prep;wie/pron	5	bekijk/verb;ben/verb;een/det;ik/pron;met/prep;wie/pron;word/verb	7
blik/noun/volkskrant_20011127_79/466	jong/adj;merk_op/verb;ontwijk/verb;ver/adj	4	jong/adj;merk_op/verb;ontwijk/verb;ver/adj	4	jong/adj;merk_op/verb;normaal/adj;ontwijk/verb;redelijk/adj;ver/adj	6	de/det;die/pron;hem/pron;jong/adj;merk_op/verb;ontwijk/verb;ver/adj;zijn/det	8	de/det;die/pron;hem/pron;jong/adj;merk_op/verb;ontwijk/verb;ver/adj;zijn/det	8	de/det;die/pron;hem/pron;jong/adj;merk_op/verb;normaal/adj;ontwijk/verb;redelijk/adj;ver/adj;zijn/det	10	merk_op/verb;ontwijk/verb;ver/adj	3	merk_op/verb;ontwijk/verb;ver/adj	3	merk_op/verb;ontwijk/verb;ver/adj	3	die/pron;hem/pron;merk_op/verb;ontwijk/verb;ver/adj;zijn/det	6	die/pron;hem/pron;merk_op/verb;ontwijk/verb;ver/adj;zijn/det	6	die/pron;hem/pron;merk_op/verb;ontwijk/verb;ver/adj;zijn/det	6
blik/noun/volkskrant_19990402_107/1319	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1	blanco/adj	1
blik/noun/volkskrant_20010806_87/403	ons/noun	1	ons/noun	1	dek/verb;moet/verb;ons/noun;trainer/noun	4	een/det;jij/pron;met/prep;ons/noun;op/prep	5	een/det;jij/pron;met/prep;ons/noun;op/prep	5	dek/verb;een/det;jij/pron;met/prep;moet/verb;ons/noun;op/prep;trainer/noun	8		0		0	trainer/noun	1	een/det;met/prep;op/prep	3	een/det;met/prep;op/prep	3	een/det;met/prep;op/prep;trainer/noun	4
blik/noun/volkskrant_20001117_121/1344	komiek/noun;trek_open/verb	2	komiek/noun;trek_open/verb	2	kan/verb;komiek/noun;trek_open/verb	3	een/det;je/pron;komiek/noun;trek_open/verb;zomaar/adv	5	een/det;je/pron;komiek/noun;trek_open/verb;zomaar/adv	5	een/det;je/pron;kan/verb;komiek/noun;niet/adv;trek_open/verb;zomaar/adv	7	komiek/noun;trek_open/verb	2	komiek/noun;trek_open/verb	2	kan/verb;komiek/noun;trek_open/verb	3	een/det;je/pron;komiek/noun;trek_open/verb;zomaar/adv	5	een/det;je/pron;komiek/noun;trek_open/verb;zomaar/adv	5	een/det;je/pron;kan/verb;komiek/noun;niet/adv;trek_open/verb;zomaar/adv	7
