_id	_cws.horde.foc10.nav.ppmi_weight.bound	_count.horde.foc10.nav.ppmi_weight.bound	_cws.horde.foc10.nav.ppmi_sel.bound	_count.horde.foc10.nav.ppmi_sel.bound	_cws.horde.foc10.nav.no_ppmi.bound	_count.horde.foc10.nav.no_ppmi.bound	_cws.horde.foc10.all.ppmi_weight.bound	_count.horde.foc10.all.ppmi_weight.bound	_cws.horde.foc10.all.ppmi_sel.bound	_count.horde.foc10.all.ppmi_sel.bound	_cws.horde.foc10.all.no_ppmi.bound	_count.horde.foc10.all.no_ppmi.bound	_cws.horde.foc5.nav.ppmi_weight.bound	_count.horde.foc5.nav.ppmi_weight.bound	_cws.horde.foc5.nav.ppmi_sel.bound	_count.horde.foc5.nav.ppmi_sel.bound	_cws.horde.foc5.nav.no_ppmi.bound	_count.horde.foc5.nav.no_ppmi.bound	_cws.horde.foc5.all.ppmi_weight.bound	_count.horde.foc5.all.ppmi_weight.bound	_cws.horde.foc5.all.ppmi_sel.bound	_count.horde.foc5.all.ppmi_sel.bound	_cws.horde.foc5.all.no_ppmi.bound	_count.horde.foc5.all.no_ppmi.bound
horde/noun/nrc_handelsblad_20011024_114/229	Europees/adj;aanhouding_bevel/noun;neem/verb;op/adj;volg/adj;weg/adj	6.0	Europees/adj;aanhouding_bevel/noun;neem/verb;op/adj;volg/adj;weg/adj	6.0	Europees/adj;aanhouding_bevel/noun;duur/verb;jaar/noun;minister/noun;neem/verb;op/adj;volg/adj;weg/adj	9.0	Europees/adj;aanhouding_bevel/noun;de/det;naar/prep;neem/verb;op/adj;volg/adj;weg/adj	8	Europees/adj;aanhouding_bevel/noun;de/det;naar/prep;neem/verb;op/adj;volg/adj;weg/adj	8	Europees/adj;aanhouding_bevel/noun;de/det;duur/verb;jaar/noun;minister/noun;naar/prep;neem/verb;op/adj;van/prep;volg/adj;weg/adj;zo'n/det	13	aanhouding_bevel/noun;op/adj;volg/adj;weg/adj	4.0	aanhouding_bevel/noun;op/adj;volg/adj;weg/adj	4.0	aanhouding_bevel/noun;minister/noun;op/adj;volg/adj;weg/adj	5.0	aanhouding_bevel/noun;de/det;naar/prep;op/adj;volg/adj;weg/adj	6.0	aanhouding_bevel/noun;de/det;naar/prep;op/adj;volg/adj;weg/adj	6.0	aanhouding_bevel/noun;de/det;minister/noun;naar/prep;op/adj;van/prep;volg/adj;weg/adj;zo'n/det	9.0
horde/noun/nrc_handelsblad_20020212_10/373	politicus/noun;vaderlands/adj;verleden/noun	3.0	politicus/noun;vaderlands/adj;verleden/noun	3.0	bodem/noun;ken/verb;politicus/noun;vaderlands/adj;verleden/noun	5.0	die/pron;ik/pron;politicus/noun;vaderlands/adj;verleden/noun	5	die/pron;ik/pron;politicus/noun;vaderlands/adj;verleden/noun	5	bodem/noun;die/pron;eens/adv;het/det;ik/pron;in/prep;ken/verb;politicus/noun;vaderlands/adj;van/prep;verleden/noun;wel/adv	12	politicus/noun;vaderlands/adj	2.0	politicus/noun;vaderlands/adj	2.0	bodem/noun;ken/verb;politicus/noun;vaderlands/adj	4.0	die/pron;ik/pron;politicus/noun;vaderlands/adj	4.0	die/pron;ik/pron;politicus/noun;vaderlands/adj	4.0	bodem/noun;die/pron;ik/pron;ken/verb;politicus/noun;vaderlands/adj;van/prep	7.0
horde/noun/nrc_handelsblad_20020223_39/64	journalist/noun;strijk_neer/verb	2.0	journalist/noun;strijk_neer/verb	2.0	ben/verb;journalist/noun;klein/adj;strijk_neer/verb	4.0	de/det;een/det;journalist/noun;strijk_neer/verb	4	de/det;een/det;journalist/noun;strijk_neer/verb	4	ben/verb;de/det;een/det;in/prep;journalist/noun;klein/adj;strijk_neer/verb	7	journalist/noun	1.0	journalist/noun	1.0	ben/verb;journalist/noun	2.0	een/det;journalist/noun	2.0	een/det;journalist/noun	2.0	ben/verb;een/det;in/prep;journalist/noun	4.0
horde/noun/nrc_handelsblad_20020504_165/119	belegger/noun	1.0	belegger/noun	1.0	belegger/noun;gebruik/verb;particulier/adj;professioneel/adj	4.0	als/prep;belegger/noun;een/det	3	als/prep;belegger/noun;een/det	3	als/prep;belegger/noun;deze/det;een/det;gebruik/verb;particulier/adj;professioneel/adj	7	belegger/noun	1.0	belegger/noun	1.0	belegger/noun;gebruik/verb;particulier/adj;professioneel/adj	4.0	belegger/noun;een/det	2.0	belegger/noun;een/det	2.0	belegger/noun;een/det;gebruik/verb;particulier/adj;professioneel/adj	5.0
horde/noun/nrc_handelsblad_20020706_106/554					Nederlands/adj;ben/verb;burger/noun;duidelijk/adj;heb/verb;het/noun;maak/verb;maand/noun;staat/noun;wil/verb	10.0	de/det;iets/adv	2	de/det;iets/adv	2	Nederlands/adj;ben/verb;burger/noun;dan/adv;de/det;duidelijk/adj;heb/verb;het/noun;iets/adv;maak/verb;maand/noun;staat/noun;van/prep;wil/verb	14					ben/verb;burger/noun;het/noun	3.0	de/det;iets/adv	2.0	de/det;iets/adv	2.0	ben/verb;burger/noun;dan/adv;de/det;het/noun;iets/adv;van/prep	7.0
horde/noun/nrc_handelsblad_20020810_127/2001	34-jarige/adj;toerist/noun	2.0	34-jarige/adj;toerist/noun	2.0	34-jarige/adj;test/noun;toerist/noun;zwaar/adj	4.0	34-jarige/adj;de/det;nu/adv;toerist/noun	4	34-jarige/adj;de/det;nu/adv;toerist/noun	4	34-jarige/adj;de/det;nu/adv;test/noun;toerist/noun;voor/prep;zwaar/adj	7	toerist/noun	1.0	toerist/noun	1.0	test/noun;toerist/noun;zwaar/adj	3.0	de/det;toerist/noun	2.0	de/det;toerist/noun	2.0	de/det;test/noun;toerist/noun;voor/prep;zwaar/adj	5.0
horde/noun/nrc_handelsblad_20021005_107/658	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;kom_tegemoet/verb;loop_uit/verb;mensheid/noun	7.0	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;kom_tegemoet/verb;loop_uit/verb;mensheid/noun	7.0	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;kom_tegemoet/verb;loop_uit/verb;mensheid/noun	7.0	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;kom_tegemoet/verb;loop_uit/verb;mensheid/noun;tegemoet/part	9	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;kom_tegemoet/verb;loop_uit/verb;mensheid/noun;tegemoet/part	9	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;in/prep;kom_tegemoet/verb;loop_uit/verb;mensheid/noun;niet/adv;tegemoet/part;uit/part	12	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;loop_uit/verb	5.0	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;loop_uit/verb	5.0	Catalaans/adj;boomgaard/noun;gelovig/adj;heel/adj;loop_uit/verb	5.0	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;loop_uit/verb	6.0	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;loop_uit/verb	6.0	Catalaans/adj;boomgaard/noun;een/det;gelovig/adj;heel/adj;loop_uit/verb;niet/adv	7.0
horde/noun/nrc_handelsblad_20030617_149/376	Engelsman/noun;jongere/noun;lal/adj;zwerf/verb	4.0	Engelsman/noun;jongere/noun;lal/adj;zwerf/verb	4.0	Engelsman/noun;jongere/noun;lal/adj;zwerf/verb	4.0	Engelsman/noun;de/det;die/pron;jongere/noun;lal/adj;over/prep;zwerf/verb	7	Engelsman/noun;de/det;die/pron;jongere/noun;lal/adj;over/prep;zwerf/verb	7	Engelsman/noun;de/det;die/pron;het/det;jongere/noun;lal/adj;over/prep;van/prep;zwerf/verb	9	Engelsman/noun;lal/adj	2.0	Engelsman/noun;lal/adj	2.0	Engelsman/noun;lal/adj	2.0	Engelsman/noun;de/det;die/pron;lal/adj;over/prep	5.0	Engelsman/noun;de/det;die/pron;lal/adj;over/prep	5.0	Engelsman/noun;de/det;die/pron;het/det;lal/adj;over/prep	6.0
horde/noun/nrc_handelsblad_20030722_60/73	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb	5.0	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb	5.0	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb;zet/verb	6.0	door/prep;een/det;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb	7	door/prep;een/det;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb	7	door/prep;een/det;in/prep;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb;word/verb;zet/verb	9	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	4.0	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	4.0	journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	4.0	door/prep;een/det;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	6.0	door/prep;een/det;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	6.0	door/prep;een/det;journalist/noun;nauwlettend/adj;tv_camera/noun;volg/verb	6.0
horde/noun/nrc_handelsblad_20031013_99/187	lijk/verb;mentaal/adj;neem/verb	3.0	lijk/verb;mentaal/adj;neem/verb	3.0	heb/verb;lijk/verb;mentaal/adj;neem/verb;overwinning/noun	5.0	de/det;een/det;lijk/verb;mentaal/adj;neem/verb	5	de/det;een/det;lijk/verb;mentaal/adj;neem/verb	5	de/det;een/det;gisteren/adv;heb/verb;lijk/verb;mentaal/adj;neem/verb;overwinning/noun;van/prep	9	mentaal/adj	1.0	mentaal/adj	1.0	heb/verb;mentaal/adj;overwinning/noun	3.0	de/det;mentaal/adj	2.0	de/det;mentaal/adj	2.0	de/det;gisteren/adv;heb/verb;mentaal/adj;overwinning/noun;van/prep	6.0
