_id	_cws.goedkoop.foc10.nav.weight.bound	_count.goedkoop.foc10.nav.weight.bound	_cws.goedkoop.foc10.nav.selection.bound	_count.goedkoop.foc10.nav.selection.bound	_cws.goedkoop.foc10.nav.no.bound	_count.goedkoop.foc10.nav.no.bound	_cws.goedkoop.foc10.all.weight.bound	_count.goedkoop.foc10.all.weight.bound	_cws.goedkoop.foc10.all.selection.bound	_count.goedkoop.foc10.all.selection.bound	_cws.goedkoop.foc10.all.no.bound	_count.goedkoop.foc10.all.no.bound	_cws.goedkoop.foc5.nav.weight.bound	_count.goedkoop.foc5.nav.weight.bound	_cws.goedkoop.foc5.nav.selection.bound	_count.goedkoop.foc5.nav.selection.bound	_cws.goedkoop.foc5.nav.no.bound	_count.goedkoop.foc5.nav.no.bound	_cws.goedkoop.foc5.all.weight.bound	_count.goedkoop.foc5.all.weight.bound	_cws.goedkoop.foc5.all.selection.bound	_count.goedkoop.foc5.all.selection.bound	_cws.goedkoop.foc5.all.no.bound	_count.goedkoop.foc5.all.no.bound
goedkoop/adj/algemeen_dagblad_20030906_103/188	ben/verb;concurrent/noun;euro/noun;vergelijkbaar/adj	4	ben/verb;concurrent/noun;euro/noun;vergelijkbaar/adj	4	ben/verb;concurrent/noun;euro/noun;vergelijkbaar/adj	4	ben/verb;bovendien/adv;concurrent/noun;euro/noun;vergelijkbaar/adj	5	ben/verb;bovendien/adv;concurrent/noun;euro/noun;vergelijkbaar/adj	5	ben/verb;bovendien/adv;concurrent/noun;euro/noun;hij/pron;tot/prep;van/prep;vergelijkbaar/adj	8	euro/noun	1	euro/noun	1	euro/noun	1	bovendien/adv;euro/noun	2	bovendien/adv;euro/noun	2	bovendien/adv;euro/noun;tot/prep	3
goedkoop/adj/algemeen_dagblad_19990519_91/71	kan/verb;land/noun;woon/verb	3	kan/verb;land/noun;woon/verb	3	kan/verb;korps/noun;land/noun;leef/verb;woon/verb	5	elders/adv;kan/verb;land/noun;naar/prep;waar/adv;woon/verb;ze/pron	7	elders/adv;kan/verb;land/noun;naar/prep;waar/adv;woon/verb;ze/pron	7	elders/adv;het/det;in/prep;kan/verb;korps/noun;land/noun;leef/verb;naar/prep;waar/adv;woon/verb;ze/pron	11	kan/verb;land/noun;woon/verb	3	kan/verb;land/noun;woon/verb	3	kan/verb;land/noun;leef/verb;woon/verb	4	kan/verb;land/noun;waar/adv;woon/verb;ze/pron	5	kan/verb;land/noun;waar/adv;woon/verb;ze/pron	5	het/det;kan/verb;land/noun;leef/verb;waar/adv;woon/verb;ze/pron	7
goedkoop/adj/algemeen_dagblad_20020617_99/486	makkelijk/adj;morbide/adj;vind/verb	3	makkelijk/adj;morbide/adj;vind/verb	3	anders/adj;leg_uit/verb;makkelijk/adj;morbide/adj;titel/noun;vind/verb	6	die/det;makkelijk/adj;morbide/adj;opeens/adv;uit/part;vind/verb;zo/adv	7	die/det;makkelijk/adj;morbide/adj;opeens/adv;uit/part;vind/verb;zo/adv	7	anders/adj;die/det;ik/pron;leg_uit/verb;makkelijk/adj;morbide/adj;opeens/adv;titel/noun;uit/part;vind/verb;zo/adv	11	makkelijk/adj;morbide/adj	2	makkelijk/adj;morbide/adj	2	anders/adj;makkelijk/adj;morbide/adj;titel/noun	4	die/det;makkelijk/adj;morbide/adj;zo/adv	4	die/det;makkelijk/adj;morbide/adj;zo/adv	4	anders/adj;die/det;makkelijk/adj;morbide/adj;titel/noun;zo/adv	6
goedkoop/adj/algemeen_dagblad_20020330_81/77	kip/noun;krant_pagina/noun;succesvol/adj	3	kip/noun;krant_pagina/noun;succesvol/adj	3	dagelijks/adj;kip/noun;krant_pagina/noun;succesvol/adj;zorg/verb	5	dat/det;deze/det;die/det;dus/adv;grootte/prep;kip/noun;krant_pagina/noun;succesvol/adj;voor/prep	9	dat/det;deze/det;die/det;dus/adv;grootte/prep;kip/noun;krant_pagina/noun;succesvol/adj;voor/prep	9	dagelijks/adj;dat/det;deze/det;die/det;dus/adv;grootte/prep;kip/noun;krant_pagina/noun;succesvol/adj;van/prep;voor/prep;zorg/verb	12	kip/noun;succesvol/adj	2	kip/noun;succesvol/adj	2	dagelijks/adj;kip/noun;succesvol/adj	3	dat/det;die/det;dus/adv;kip/noun;succesvol/adj;voor/prep	6	dat/det;die/det;dus/adv;kip/noun;succesvol/adj;voor/prep	6	dagelijks/adj;dat/det;die/det;dus/adv;kip/noun;succesvol/adj;voor/prep	7
goedkoop/adj/algemeen_dagblad_20000525_1/205	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;sluit/verb;werk/verb;zal/verb	6	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;sluit/verb;werk/verb;zal/verb	6	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;poort/noun;sluit/verb;werk/verb;zal/verb	7	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;hun/det;sluit/verb;werk/verb;zal/verb	7	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;hun/det;sluit/verb;werk/verb;zal/verb	7	Amerikaans/adj;arbeid_kracht/noun;bedrijf/noun;hun/det;in/prep;met/prep;poort/noun;sluit/verb;werk/verb;zal/verb	10	arbeid_kracht/noun;sluit/verb;werk/verb	3	arbeid_kracht/noun;sluit/verb;werk/verb	3	arbeid_kracht/noun;sluit/verb;werk/verb	3	arbeid_kracht/noun;sluit/verb;werk/verb	3	arbeid_kracht/noun;sluit/verb;werk/verb	3	arbeid_kracht/noun;in/prep;met/prep;sluit/verb;werk/verb	5
goedkoop/adj/algemeen_dagblad_20010802_109/526	ander/adj;ben/verb;locatie/noun;verhuizing/noun;wil/verb	5	ander/adj;ben/verb;locatie/noun;verhuizing/noun;wil/verb	5	ander/adj;ben/verb;locatie/noun;verhuizing/noun;wil/verb	5	ander/adj;ben/verb;een/det;locatie/noun;naar/prep;per/adv;se/adv;verhuizing/noun;wil/verb	9	ander/adj;ben/verb;een/det;locatie/noun;naar/prep;per/adv;se/adv;verhuizing/noun;wil/verb	9	ander/adj;ben/verb;een/det;locatie/noun;naar/prep;per/adv;se/adv;verhuizing/noun;wil/verb	9	ander/adj;ben/verb;locatie/noun	3	ander/adj;ben/verb;locatie/noun	3	ander/adj;ben/verb;locatie/noun	3	ander/adj;ben/verb;een/det;locatie/noun;naar/prep	5	ander/adj;ben/verb;een/det;locatie/noun;naar/prep	5	ander/adj;ben/verb;een/det;locatie/noun;naar/prep	5
goedkoop/adj/algemeen_dagblad_20010217_204/8	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;hout/noun;kan/verb;schoon/adj	7	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;hout/noun;kan/verb;schoon/adj	7	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;hout/noun;kan/verb;schoon/adj;vorm/verb	8	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;een/det;hout/noun;kan/verb;schoon/adj;uit/prep;voor/prep	10	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;een/det;hout/noun;kan/verb;schoon/adj;uit/prep;voor/prep	10	alternatief/noun;benzine/noun;brandstof/noun;diesel/noun;een/det;het/det;hout/noun;in/prep;kan/verb;schoon/adj;uit/prep;voor/prep;vorm/verb	13	alternatief/noun;brandstof/noun;hout/noun;kan/verb;schoon/adj	5	alternatief/noun;brandstof/noun;hout/noun;kan/verb;schoon/adj	5	alternatief/noun;brandstof/noun;hout/noun;kan/verb;schoon/adj;vorm/verb	6	alternatief/noun;brandstof/noun;een/det;hout/noun;kan/verb;schoon/adj;uit/prep;voor/prep	8	alternatief/noun;brandstof/noun;een/det;hout/noun;kan/verb;schoon/adj;uit/prep;voor/prep	8	alternatief/noun;brandstof/noun;een/det;hout/noun;kan/verb;schoon/adj;uit/prep;voor/prep;vorm/verb	9
goedkoop/adj/algemeen_dagblad_20010607_7/110	ander/adj;concurrentie/noun;land/noun;moet/verb	4	ander/adj;concurrentie/noun;land/noun;moet/verb	4	ander/adj;concurrentie/noun;land/noun;moet/verb;ondervind/verb;zeur/verb	6	ander/adj;concurrentie/noun;land/noun;moet/verb;niet/adv;uit/prep	6	ander/adj;concurrentie/noun;land/noun;moet/verb;niet/adv;uit/prep	6	ander/adj;concurrentie/noun;land/noun;meer/adv;moet/verb;niet/adv;ondervind/verb;uit/prep;van/prep;we/pron;zeur/verb	11	ander/adj;concurrentie/noun;land/noun	3	ander/adj;concurrentie/noun;land/noun	3	ander/adj;concurrentie/noun;land/noun;ondervind/verb	4	ander/adj;concurrentie/noun;land/noun;uit/prep	4	ander/adj;concurrentie/noun;land/noun;uit/prep	4	ander/adj;concurrentie/noun;land/noun;ondervind/verb;uit/prep;van/prep;we/pron	7
goedkoop/adj/algemeen_dagblad_20010212_9/752	alternatief/noun;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun	5	alternatief/noun;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun	5	alternatief/noun;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun;zaak/noun	6	alternatief/noun;boven/prep;die/pron;een/det;hun/det;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun	9	alternatief/noun;boven/prep;die/pron;een/det;hun/det;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun	9	alternatief/noun;boven/prep;die/pron;een/det;hun/det;laat_toe/verb;sociaal/adj;winkelier/noun;woningbouw/noun;zaak/noun	10	alternatief/noun;sociaal/adj;winkelier/noun	3	alternatief/noun;sociaal/adj;winkelier/noun	3	alternatief/noun;sociaal/adj;winkelier/noun	3	alternatief/noun;die/pron;een/det;sociaal/adj;winkelier/noun	5	alternatief/noun;die/pron;een/det;sociaal/adj;winkelier/noun	5	alternatief/noun;die/pron;een/det;sociaal/adj;winkelier/noun	5
goedkoop/adj/algemeen_dagblad_20000325_21/275	winkel/noun	1	winkel/noun	1	ban/noun;basis_school/noun;doe/verb;einde/noun;kind/noun;winkel/noun	6	winkel/noun;zo'n/det	2	winkel/noun;zo'n/det	2	aan/prep;ban/noun;basis_school/noun;de/det;doe/verb;einde/noun;het/det;in/prep;kind/noun;van/prep;winkel/noun;zo'n/det	12	winkel/noun	1	winkel/noun	1	ban/noun;basis_school/noun;doe/verb;kind/noun;winkel/noun	5	winkel/noun;zo'n/det	2	winkel/noun;zo'n/det	2	ban/noun;basis_school/noun;de/det;doe/verb;in/prep;kind/noun;winkel/noun;zo'n/det	8
