_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.12542723282421717	-0.21416710495205454	bound	nav	10_10	weight	622	1	5000	5000	nav	4_4	319	goedkoop	0.2645468291683116
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.15849285573283337	-0.23596833212580756	bound	nav	10_10	weight	622	1	10000	10000	nav	4_4	319	goedkoop	0.26520531146463844
goedkoop.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.15506962885421083	-0.27260263933212026	bound	nav	10_10	weight	622	1	FOC	622	nav	4_4	319	goedkoop	0.2793392572482562
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.1268296040162696	-0.254148774574175	bound	nav	10_10	weight	622	1	5000	5000	nav	10_10	319	goedkoop	0.2566549606126725
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.15430767575761054	-0.26240327412005904	bound	nav	10_10	weight	622	1	10000	10000	nav	10_10	319	goedkoop	0.2582604015028457
goedkoop.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.16944638563978068	-0.3188468587030348	bound	nav	10_10	weight	622	1	FOC	622	nav	10_10	319	goedkoop	0.2681901631858477
goedkoop.foc10.nav.weight.bound.min1.soc4.all.5000	-0.11962684680086606	-0.21380902369146956	bound	nav	10_10	weight	622	1	5000	5000	all	4_4	319	goedkoop	0.26407976365261604
goedkoop.foc10.nav.weight.bound.min1.soc4.all.10000	-0.1354280889148263	-0.22584119625492105	bound	nav	10_10	weight	622	1	10000	10000	all	4_4	319	goedkoop	0.26346403149648723
goedkoop.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.15506961482232665	-0.27260262695502613	bound	nav	10_10	weight	622	1	FOC	622	all	4_4	319	goedkoop	0.2793392572482562
goedkoop.foc10.nav.weight.bound.min1.soc10.all.5000	-0.11917757901614397	-0.2555790774375855	bound	nav	10_10	weight	622	1	5000	5000	all	10_10	319	goedkoop	0.25301313389673596
goedkoop.foc10.nav.weight.bound.min1.soc10.all.10000	-0.14392204183793345	-0.25729350879457624	bound	nav	10_10	weight	622	1	10000	10000	all	10_10	319	goedkoop	0.25540612970592086
goedkoop.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.1694464355796112	-0.3188469380326298	bound	nav	10_10	weight	622	1	FOC	622	all	10_10	319	goedkoop	0.2681901631858477
goedkoop.foc10.nav.selection.bound.min1.soc4.nav.5000	0.11603485980767254	-0.1292864078052142	bound	nav	10_10	selection	622	1	5000	5000	nav	4_4	319	goedkoop	0.25347737728726577
