	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
goedkoop/adj/nrc_handelsblad_19991014_35/14/L0	goedkoop/adj/nrc_handelsblad_19991014_35/14	L0	mest	noun	mest/noun	mest	True	L	1	0.64284873	2740.0	8.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/L1	goedkoop/adj/nrc_handelsblad_19991014_35/14	L1	om	comp	om/comp	om	True	L	2			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L2	goedkoop/adj/nrc_handelsblad_19991014_35/14	L2	help	verb	help/verb	helpen	True	L	3	0.20573303	87136.0	164.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/L3	goedkoop/adj/nrc_handelsblad_19991014_35/14	L3	boer	noun	boer/noun	boeren	True	L	4	0.9762040000000001	30916.0	126.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/L4	goedkoop/adj/nrc_handelsblad_19991014_35/14	L4	ga	verb	ga/verb	gaat	True	L	5	-0.041874755	1085158.0	1602.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/L5	goedkoop/adj/nrc_handelsblad_19991014_35/14	L5	Vlees	name	Vlees/name	Vlees	True	L	6			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L6	goedkoop/adj/nrc_handelsblad_19991014_35/14	L6	en	name	en/name	en	True	L	7			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L7	goedkoop/adj/nrc_handelsblad_19991014_35/14	L7	Vee	name	Vee/name	Vee	True	L	8			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L8	goedkoop/adj/nrc_handelsblad_19991014_35/14	L8	voor	name	voor/name	voor	True	L	9			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L9	goedkoop/adj/nrc_handelsblad_19991014_35/14	L9	Productschap	name	Productschap/name	Productschap	True	L	10			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L10	goedkoop/adj/nrc_handelsblad_19991014_35/14	L10	het	det	het/det	Het	True	L	11	-0.066581026	11650779.0	16800.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/L11	goedkoop/adj/nrc_handelsblad_19991014_35/14	L11	sentence_delimiter	none	none	<sentence>	none	L	12			
goedkoop/adj/nrc_handelsblad_19991014_35/14/L12	goedkoop/adj/nrc_handelsblad_19991014_35/14	L12	sentence_delimiter	none	none	"<artikel naam=""35"">"	none	L	13			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R0	goedkoop/adj/nrc_handelsblad_19991014_35/14	R0	op	prep	op/prep	op	True	R	1	-0.17927769	4502370.0	5790.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R1	goedkoop/adj/nrc_handelsblad_19991014_35/14	R1	het	det	het/det	het	True	R	2	-0.066581026	11650779.0	16800.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R2	goedkoop/adj/nrc_handelsblad_19991014_35/14	R2	eigen	adj	eigen/adj	eigen	True	R	3	0.13446605	316997.0	559.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R3	goedkoop/adj/nrc_handelsblad_19991014_35/14	R3	bedrijf	noun	bedrijf/noun	bedrijf	True	R	4	0.85231197	248130.0	894.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R4	goedkoop/adj/nrc_handelsblad_19991014_35/14	R4	te	comp	te/comp	te	True	R	5			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R5	goedkoop/adj/nrc_handelsblad_19991014_35/14	R5	verwerk	verb	verwerk/verb	verwerken	True	R	6	0.67260444	22180.0	67.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R6	goedkoop/adj/nrc_handelsblad_19991014_35/14	R6	.	punct	./punct	.	True	R	7			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R7	goedkoop/adj/nrc_handelsblad_19991014_35/14	R7	sentence_delimiter	none	none	</sentence>	none	R	8			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R8	goedkoop/adj/nrc_handelsblad_19991014_35/14	R8	sentence_delimiter	none	none	<sentence>	none	R	9			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R9	goedkoop/adj/nrc_handelsblad_19991014_35/14	R9	het	det	het/det	Het	False	R	10	-0.066581026	11650779.0	16800.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R10	goedkoop/adj/nrc_handelsblad_19991014_35/14	R10	schap	noun	schap/noun	schap	False	R	11			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R11	goedkoop/adj/nrc_handelsblad_19991014_35/14	R11	stel	verb	stel/verb	stelt	False	R	12	-0.21867941	212176.0	263.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R12	goedkoop/adj/nrc_handelsblad_19991014_35/14	R12	3	num	3/num	3	False	R	13			
goedkoop/adj/nrc_handelsblad_19991014_35/14/R13	goedkoop/adj/nrc_handelsblad_19991014_35/14	R13	miljoen	noun	miljoen/noun	miljoen	False	R	14	-0.09018762400000001	359331.0	502.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R14	goedkoop/adj/nrc_handelsblad_19991014_35/14	R14	gulden	noun	gulden/noun	gulden	False	R	15	1.3529708	138860.0	818.0
goedkoop/adj/nrc_handelsblad_19991014_35/14/R15	goedkoop/adj/nrc_handelsblad_19991014_35/14	R15	beschikbaar	fixed	beschikbaar/fixed	beschikbaar	False	R	16			
goedkoop/adj/nrc_handelsblad_20000805_127/272/L0	goedkoop/adj/nrc_handelsblad_20000805_127/272	L0	zal	verb	zal/verb	zal	True	L	1	0.17743404	1661300.0	3064.0
goedkoop/adj/nrc_handelsblad_20000805_127/272/L1	goedkoop/adj/nrc_handelsblad_20000805_127/272	L1	modificatie	noun	modificatie/noun	modificatie	True	L	2	1.2899127000000001	355.0	2.0
goedkoop/adj/nrc_handelsblad_20000805_127/272/L2	goedkoop/adj/nrc_handelsblad_20000805_127/272	L2	genetisch	adj	genetisch/adj	genetische	True	L	3	0.38520285	10611.0	24.0
