pmi	raw_freq	raw_co	cw
-0.61929286	13212	10	breng_onder/verb
-1.1194108	4353	2	breng_samen/verb
-0.41334578	4292	4	breng_teweeg/verb
0.23490684	1190	2	briefschrijver/noun
0.011978894	42077	60	broer/noun
1.4051971	2274	13	brokstuk/noun
1.1753181	20263	92	brug/noun
2.446497	4614	75	bruikbaar/adj
0.1282189	8126	13	bruin/adj
0.11266489	1919	3	bruis/adj
1.8242868	11825	102	buit/noun
0.26027226	67390	123	buiten/prep
-1.012273	23431	12	bureau/noun
0.13866764	617	1	bureaucraat/noun
-0.6693717	49948	36	burger/noun
0.5797061	63283	159	buurt/noun
-1.1412249	2231	1	cabaret/noun
-0.23878446	39812	44	café/noun
1.2457423	204	1	camouflage_pak/noun
0.26457283	548	1	carnavalisten/noun
-0.0496555	35062	47	carrière/noun
1.8983169	10198	95	chaos/noun
0.75937176	994	3	chemo_therapie/noun
0.23086153	2277	4	cineast/noun
2.7161562	6528	138	cocaïne/noun
-0.159857	835	1	collaborateur/noun
0.24536534	556	1	collegiaal/adj
-0.7965462	6321	4	compensatie/noun
0.7937491	22082	69	concreet/adj
-0.11383347	29463	37	concurrent/noun
-1.1693754	2279	1	conform/prep
-0.27475414	51208	55	contact/noun
0.44415528	6823	15	continent/noun
-1.0117028	54888	28	contract/noun
0.4412062	50462	110	controle/noun
0.72727275	342	1	couleur/noun
0.7850643	3293	10	crash/noun
1.6575394	406	3	criminologie/noun
-0.10119698	25370	32	crisis/noun
-0.12903376	12083	15	criticus/noun
0.18417688	14171	24	cruciaal/adj
1.4097184	520	3	cultus/noun
0.09158432	274838	426	daar/adv
3.7184231	42394	2442	dader/noun
-0.2493189	388220	425	dag/noun
-0.85968894	23468	14	dame/noun
-0.27171725	853168	920	dan/adv
-0.23867339	1849436	2059	dat/det
0.23211558	552171	986	dat/pron
-0.9318638	14457	8	datum/noun
-0.560491	55855	45	de/adj
0.14143516	28074105	45487	de/det
0.2976278	41076	78	de/prep
0.012330936	706	1	deejay/noun
-0.85591894	36958	22	deelnemer/noun
-0.3971758	4264	4	degradeer/verb
1.3421068	1292	7	demarreer/verb
-0.6869669	21257	15	democratie/noun
-0.1841128	5095	6	den/adv
-0.2726908	294025	316	denk/verb
-0.11486552	719674	904	deze/det
-0.061229415	97788	130	dezelfde/det
0.16967125	16846	28	dichter/noun
-0.1479594	1365392	1667	die/det
0.16644493	2519801	4213	die/pron
2.4117684	28647	433	dief/noun
0.3708101	4893	10	dien_aan/verb
1.7787269	49858	416	diep/adj
0.31549016	5158	10	diepte/noun
0.8002506	8692	27	dinsdag_avond/noun
-0.08761959	48699	63	direct/adj
-0.40844563	31137	29	directie/noun
-0.8452657	1647	1	directie_comité/noun
-0.56203663	42451	34	discussie/noun
-0.24064864	795783	881	dit/det
-0.5015184	1181	1	diva/noun
0.22326855	39724	70	divers/adj
-0.19977784	871	1	dobber/verb
-0.63487476	731956	546	doe/verb
0.23910426	15093	27	doek/noun
0.5946814	808	2	dokwerker/noun
0.47834283	17155	39	donker/adj
1.8762089	58709	532	dood/adj
0.23904623	59610	106	dood/noun
-0.25113213	21271	23	dood/verb
0.11636082	1310789	2076	door/prep
1.4097914	692	4	doorleefd/adj
1.9173852	4594	44	doorzoek/verb
1.5908918	6730	46	doping/noun
0.26820537	7051	13	dorp_DIM/noun
0.2018325	40639	70	dossier/noun
1.5352819	59174	387	draag/verb
-0.028984124	8802	12	draag_over/verb
-0.022835469	3624	5	draai/noun
1.9675132	717	7	drenkeling/noun
-0.13459368	810	1	driedimensionale/adj
-0.3738419	1054	1	drievoudig/adj
0.44033682	28471	62	dubbel/adj
1.1272995	5732	25	duid/verb
0.8508342	152880	506	duidelijk/adj
0.12187581	31114	49	duizenden/noun
0.81981033	4084	13	duld/verb
-0.025388695	5799	8	duur/adv
0.70674473	12652	36	duw/verb
0.3095269	172600	333	echter/adv
0.39932185	12028	25	echtpaar/noun
-0.5654582	72542	58	economisch/adj
0.029702978	11075723	16079	een/det
1.182956	4135	19	eenzaamheid/noun
0.6283293	1135	3	eerbied/noun
-0.72574735	26411	18	eerlijk/adj
-0.72991294	69450	47	eerst/adj
-0.25863844	108250	118	eerst/adv
0.67038906	73066	201	eeuw/noun
0.17256533	47963	80	eigenaar/noun
-1.3053188	28821	11	eis/noun
-0.46199813	50343	44	eis/verb
0.07853456	17612	27	element/noun
0.24930817	7218	13	elf/noun
0.52935255	423	1	elite_troep/noun
1.7627172	249085	2045	elk/det
0.89921916	10721	37	ellende/noun
0.75038224	17426	52	emotie/noun
-0.17383873	50456	60	en/adv
0.18993846	5274	9	engagement/noun
0.8741586	62482	211	enig/det
0.2839111	17043	32	enigszins/adv
0.6822051	319878	893	enkel/det
0.41622543	1744977	3738	er/adv
-0.31861597	665899	684	er/noun
-0.4866809	149936	130	erg/adj
-0.17913991	172619	203	even/adj
-0.18582445	10304	12	exclusief/adj
0.04148496	1356	2	expressief/adj
0.35429624	102779	205	extra/adj
-0.13071728	16207	20	extreem/adj
0.07444108	3338	5	fanfare/noun
-0.2781929	7487	8	fantasie/noun
0.0902211	17675	27	fiets/verb
-0.5304259	20442	17	figuur/noun
-0.35651794	128189	126	film/noun
-0.020168317	15945	22	fles/noun
0.98153925	803	3	folter/verb
-0.8119925	3204	2	fortuin/noun
-0.22216515	19493	22	fraai/adj
0.47491366	12953	29	fraude/noun
-0.23144738	1085158	1210	ga/verb
0.7413572	9448	28	ga_terug/verb
-0.44576818	5543	5	gang/adj
-0.07022778	3801	5	gangbaar/adj
1.7008086	4770	36	gangster/noun
0.4385198	11491	25	gas/noun
0.20085816	612	1	gas_lek/noun
0.26049364	21301	39	gebeurtenis/noun
-0.44038916	13217	12	gebied/prep
-0.7881318	24945	16	geboren/verb
-0.19679895	860	1	geborgenheid/noun
-0.45221156	36805	33	gebrek/noun
1.0772591	49055	203	gebruik/noun
0.009952491	135616	193	gebruik/verb
0.07182823	6590	10	gebruikt/adj
-1.301709	2601	1	gecompliceerd/adj
-0.4202816	370341	342	geef/verb
2.1178505	257	3	geel_zwart/noun
1.3127571	1048752	5467	geen/det
