_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.24916962571241771	-0.004217021829342494	bound	555	nav	10_10	1	weight	5000	5000	nav	4_4	238	hachelijk	0.24916530316099206
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.2573997864849212	-0.012049902004239488	bound	555	nav	10_10	1	weight	10000	10000	nav	4_4	238	hachelijk	0.23932331474187576
hachelijk.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.22313970035033748	-0.02566024006108613	bound	555	nav	10_10	1	weight	FOC	555	nav	4_4	238	hachelijk	0.24473821321048975
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.23632004220851585	0.013089340868768876	bound	555	nav	10_10	1	weight	5000	5000	nav	10_10	238	hachelijk	0.22494862665440848
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.24692904204617544	0.006827259865153965	bound	555	nav	10_10	1	weight	10000	10000	nav	10_10	238	hachelijk	0.22312256511893214
hachelijk.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.20648029330450993	-0.007519021244632665	bound	555	nav	10_10	1	weight	FOC	555	nav	10_10	238	hachelijk	0.23179595149029522
hachelijk.foc10.nav.weight.bound.min1.soc4.all.5000	-0.2443547767590953	-0.0033520483972434667	bound	555	nav	10_10	1	weight	5000	5000	all	4_4	238	hachelijk	0.25000947864884143
hachelijk.foc10.nav.weight.bound.min1.soc4.all.10000	-0.2510735902971501	-0.007273891566553756	bound	555	nav	10_10	1	weight	10000	10000	all	4_4	238	hachelijk	0.24228281170505134
hachelijk.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.22313970032232594	-0.025660240054456763	bound	555	nav	10_10	1	weight	FOC	555	all	4_4	238	hachelijk	0.24473821321048975
hachelijk.foc10.nav.weight.bound.min1.soc10.all.5000	-0.23158835771039715	0.01458422751655313	bound	555	nav	10_10	1	weight	5000	5000	all	10_10	238	hachelijk	0.22676839849558728
