_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_foc_pos	foc_boundaries	foc_ppmi	foc_foc_win	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
horde.foc10.nav.no_ppmi.bound.min1.soc10.nav.10000	0.09495561417133469	0.21397979989844743	863	1	nav	bound	no	10_10	10000	10000	nav	10_10	277	horde	0.20333512020973146
horde.foc10.nav.no_ppmi.bound.min1.soc10.nav.foc	0.037937626895201346	0.1659483328217222	863	1	nav	bound	no	10_10	FOC	863	nav	10_10	277	horde	0.21609384049973532
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	0.10668625537176482	0.24320796214474005	863	1	nav	bound	no	10_10	5000	5000	all	4_4	277	horde	0.20438294276942032
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	0.09847772794045631	0.24447067514573542	863	1	nav	bound	no	10_10	10000	10000	all	4_4	277	horde	0.20858965907674515
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	0.03790640871170007	0.18992843329392953	863	1	nav	bound	no	10_10	FOC	863	all	4_4	277	horde	0.22824769709046336
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	0.10017283248178463	0.227116540653489	863	1	nav	bound	no	10_10	5000	5000	all	10_10	277	horde	0.20674458414030683
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	0.0954478053079587	0.20943928431332323	863	1	nav	bound	no	10_10	10000	10000	all	10_10	277	horde	0.20156946491954794
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	0.037937626895201346	0.1659483328217222	863	1	nav	bound	no	10_10	FOC	863	all	10_10	277	horde	0.21609384049973532
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.13643583725922587	-0.1066604332838558	720	1	all	bound	weight	10_10	5000	5000	nav	4_4	279	horde	0.21213668826962928
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.15428491663264474	-0.1376378581802149	720	1	all	bound	weight	10_10	10000	10000	nav	4_4	279	horde	0.22258418274259195
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.1245084966768722	-0.11744387458358554	720	1	all	bound	weight	10_10	FOC	720	nav	4_4	279	horde	0.2350387799979451
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.12576485250041097	-0.08200332862358023	720	1	all	bound	weight	10_10	5000	5000	nav	10_10	279	horde	0.206497026418255
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.1407890366313459	-0.10298798048082004	720	1	all	bound	weight	10_10	10000	10000	nav	10_10	279	horde	0.21245938283872465
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.11294238605579583	-0.11205156685207174	720	1	all	bound	weight	10_10	FOC	720	nav	10_10	279	horde	0.2261696870160543
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.1278055450151506	-0.09609687483310854	720	1	all	bound	weight	10_10	5000	5000	all	4_4	279	horde	0.2087734112611303
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.14344531337782743	-0.12319348334875711	720	1	all	bound	weight	10_10	10000	10000	all	4_4	279	horde	0.21748279925672692
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.1245084966768722	-0.11744387458358554	720	1	all	bound	weight	10_10	FOC	720	all	4_4	279	horde	0.2350387799979451
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.1162928064602734	-0.07495197446331865	720	1	all	bound	weight	10_10	5000	5000	all	10_10	279	horde	0.2069028268783329
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.12435984410706336	-0.08867979974040784	720	1	all	bound	weight	10_10	10000	10000	all	10_10	279	horde	0.20739682093387674
horde.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.11294238605579587	-0.1120515668520697	720	1	all	bound	weight	10_10	FOC	720	all	10_10	279	horde	0.2261696870160543
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.339036775787428	-0.13365188510311848	720	1	all	bound	selection	10_10	5000	5000	nav	4_4	279	horde	0.16065429378899543
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.3579074781761647	-0.1483360520549357	720	1	all	bound	selection	10_10	10000	10000	nav	4_4	279	horde	0.17179259010739867
horde.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.21691851360799513	-0.11088463500847813	720	1	all	bound	selection	10_10	FOC	720	nav	4_4	279	horde	0.21412830428725899
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.22782202641511684	-0.06043650429358189	720	1	all	bound	selection	10_10	5000	5000	nav	10_10	279	horde	0.173548619792081
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.2449511771128593	-0.08058154317687827	720	1	all	bound	selection	10_10	10000	10000	nav	10_10	279	horde	0.17272509387312918
horde.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.15404605164758237	-0.06640831842506352	720	1	all	bound	selection	10_10	FOC	720	nav	10_10	279	horde	0.20853203714714325
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.3233875317230861	-0.12127750372265875	720	1	all	bound	selection	10_10	5000	5000	all	4_4	279	horde	0.14640262925897002
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.3454999063026759	-0.13541538526996053	720	1	all	bound	selection	10_10	10000	10000	all	4_4	279	horde	0.1642138992889964
horde.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.21691851360799494	-0.11088463500847881	720	1	all	bound	selection	10_10	FOC	720	all	4_4	279	horde	0.21412830428725899
horde.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.22688628912292122	-0.049225684903097304	720	1	all	bound	selection	10_10	5000	5000	all	10_10	279	horde	0.1666350267228217
horde.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.23531469066952604	-0.06454198904575521	720	1	all	bound	selection	10_10	10000	10000	all	10_10	279	horde	0.1579923778692273
horde.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.15404605164758262	-0.06640831842506152	720	1	all	bound	selection	10_10	FOC	720	all	10_10	279	horde	0.20853203714714325
horde.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.4682682762044141	0.06843921693522943	1046	1	all	bound	no	10_10	5000	5000	nav	4_4	279	horde	0.11567575319291878
horde.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.4862900461837561	0.059009646767727075	1046	1	all	bound	no	10_10	10000	10000	nav	4_4	279	horde	0.12430240904582315
horde.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.3798026604785609	0.07687685443900955	1046	1	all	bound	no	10_10	FOC	1046	nav	4_4	279	horde	0.18970457168537105
horde.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.37397901299331776	0.10398085102352381	1046	1	all	bound	no	10_10	5000	5000	nav	10_10	279	horde	0.12939054012170864
horde.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.3872562933280044	0.10232818629503013	1046	1	all	bound	no	10_10	10000	10000	nav	10_10	279	horde	0.12550386156774368
horde.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.30083790769278723	0.09550804515328376	1046	1	all	bound	no	10_10	FOC	1046	nav	10_10	279	horde	0.20024405729537056
horde.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.4669596732665061	0.08064378259355652	1046	1	all	bound	no	10_10	5000	5000	all	4_4	279	horde	0.10510359064267617
horde.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.4740208829288632	0.07150478028739954	1046	1	all	bound	no	10_10	10000	10000	all	4_4	279	horde	0.11652833836476746
horde.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.3798026561868098	0.07687685337650822	1046	1	all	bound	no	10_10	FOC	1046	all	4_4	279	horde	0.18970457168537105
horde.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.3814732024773821	0.11791797618543755	1046	1	all	bound	no	10_10	5000	5000	all	10_10	279	horde	0.11026257258748855
horde.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.3774971833374027	0.10682955396532968	1046	1	all	bound	no	10_10	10000	10000	all	10_10	279	horde	0.10683330705263513
horde.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.30083790767347807	0.0955080451488149	1046	1	all	bound	no	10_10	FOC	1046	all	10_10	279	horde	0.20024405729537056
horde.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.30191507318704147	-0.008520305924457803	399	1	nav	bound	weight	5_5	5000	5000	nav	4_4	262	horde	0.233145565219473
horde.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.32449396048913653	-0.03628759419990969	399	1	nav	bound	weight	5_5	10000	10000	nav	4_4	262	horde	0.23435997373747075
horde.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.2994826423320344	-0.05959594826331121	399	1	nav	bound	weight	5_5	FOC	399	nav	4_4	262	horde	0.2525502040825574
horde.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.2780413733674407	0.01363087803507574	399	1	nav	bound	weight	5_5	5000	5000	nav	10_10	262	horde	0.2256979370989433
horde.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.29402744444331214	-0.006825137110275795	399	1	nav	bound	weight	5_5	10000	10000	nav	10_10	262	horde	0.22523865738016235
horde.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.27969851327437223	-0.029425803854856925	399	1	nav	bound	weight	5_5	FOC	399	nav	10_10	262	horde	0.23624346101808127
horde.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.29755498361266364	-5.68868745511045e-4	399	1	nav	bound	weight	5_5	5000	5000	all	4_4	262	horde	0.23246031167738476
horde.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.31305680321349394	-0.022698760813524566	399	1	nav	bound	weight	5_5	10000	10000	all	4_4	262	horde	0.23221380204337083
horde.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.2994826423320258	-0.05959594826334572	399	1	nav	bound	weight	5_5	FOC	399	all	4_4	262	horde	0.2525502040825574
horde.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.27713496367914237	0.019959762625495987	399	1	nav	bound	weight	5_5	5000	5000	all	10_10	262	horde	0.22828655204061038
horde.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.28233112863962717	0.005193411460565727	399	1	nav	bound	weight	5_5	10000	10000	all	10_10	262	horde	0.22413038325884116
horde.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.2796985132743761	-0.029425803854938735	399	1	nav	bound	weight	5_5	FOC	399	all	10_10	262	horde	0.23624346101808127
horde.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.18273178011094465	0.07923821717567366	399	1	nav	bound	selection	5_5	5000	5000	nav	4_4	262	horde	0.22884198484945142
horde.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.2073712928244798	0.08797188031468298	399	1	nav	bound	selection	5_5	10000	10000	nav	4_4	262	horde	0.23232271753851966
horde.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.206172520391467	0.06369599244483633	399	1	nav	bound	selection	5_5	FOC	399	nav	4_4	262	horde	0.23961957366166786
horde.foc5.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.1698719308540622	0.08421548040102178	399	1	nav	bound	selection	5_5	5000	5000	nav	10_10	262	horde	0.2235708072373925
horde.foc5.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.17244597813448082	0.07106920075137053	399	1	nav	bound	selection	5_5	10000	10000	nav	10_10	262	horde	0.22517967529157118
