_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05954699771635138	-0.00821086124081737	NA	NA	BOW	bound	259	lex	5_5	1	weight	5000	5000	nav	4_4	276	harden	0.22691118998457738
harden.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17969406507092076	0.040346414496172524	NA	NA	BOW	bound	259	lex	5_5	1	weight	5000	5000	all	4_4	276	harden	0.2688805914111442
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10558397937113712	-0.09542184886376563	NA	NA	BOW	bound	259	lex	5_5	1	weight	FOC	174	nav	4_4	276	harden	0.23943778985364944
harden.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04482192294207441	-0.043756146805368615	NA	NA	BOW	bound	259	lex	5_5	1	weight	FOC	259	all	4_4	276	harden	0.2298633575096966
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.00214443039448181	0.04904720793683437	NA	NA	BOW	bound	259	lex	5_5	1	selection	5000	5000	nav	4_4	276	harden	0.22266771524893267
harden.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.15343467974326797	0.1128459030949415	NA	NA	BOW	bound	259	lex	5_5	1	selection	5000	5000	all	4_4	276	harden	0.2713563434787919
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.05091799222620825	-0.029799708428657815	NA	NA	BOW	bound	259	lex	5_5	1	selection	FOC	174	nav	4_4	276	harden	0.24238814219330299
harden.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.012420572693382401	0.0038413043863918996	NA	NA	BOW	bound	259	lex	5_5	1	selection	FOC	259	all	4_4	276	harden	0.2178993493686367
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.014234581187659728	0.04553354178211863	NA	NA	BOW	bound	365	lex	5_5	1	no	5000	5000	nav	4_4	279	harden	0.23036077156869142
harden.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.1928617881510755	0.12348362157262054	NA	NA	BOW	bound	365	lex	5_5	1	no	5000	5000	all	4_4	279	harden	0.2725961134358285
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.05709845099274693	-0.027410237740658202	NA	NA	BOW	bound	365	lex	5_5	1	no	FOC	254	nav	4_4	279	harden	0.24579596427895023
harden.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.001038870522325495	0.0020053248621163472	NA	NA	BOW	bound	365	lex	5_5	1	no	FOC	365	all	4_4	279	harden	0.22994970642420892
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.012480186460881015	-0.05039921764863958	NA	NA	BOW	bound	340	all	5_5	1	weight	5000	5000	nav	4_4	279	harden	0.20674926135288033
harden.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.1736524047855092	0.02917568212392009	NA	NA	BOW	bound	340	all	5_5	1	weight	5000	5000	all	4_4	279	harden	0.2701461929556615
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.046091872062925	-0.12963077832677827	NA	NA	BOW	bound	340	all	5_5	1	weight	FOC	174	nav	4_4	279	harden	0.22296423276085883
harden.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	3.144572603982018e-4	-0.07425109595045301	NA	NA	BOW	bound	340	all	5_5	1	weight	FOC	340	all	4_4	279	harden	0.21141049461196398
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.06549824279982304	-0.01123890679128992	NA	NA	BOW	bound	340	all	5_5	1	selection	5000	5000	nav	4_4	279	harden	0.19933972374288791
harden.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.16375017175386972	0.11045312977646429	NA	NA	BOW	bound	340	all	5_5	1	selection	5000	5000	all	4_4	279	harden	0.25909226422966397
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.00939431064662219	-0.06162214039553358	NA	NA	BOW	bound	340	all	5_5	1	selection	FOC	174	nav	4_4	279	harden	0.21864938678993695
harden.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.04605696252938674	-0.03236420360409324	NA	NA	BOW	bound	340	all	5_5	1	selection	FOC	340	all	4_4	279	harden	0.19856362197712119
harden.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.033854518856453256	0.023733578460200022	NA	NA	BOW	bound	504	all	5_5	1	no	5000	5000	nav	4_4	279	harden	0.22012525568245242
