_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	0.052098317708377646	-0.21576324714539574	999	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	staal	0.23401062176177145
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	0.05722219232367331	-0.20468126301818498	999	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	staal	0.23311800202807406
staal.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	-0.05471002750901017	-0.12468269223577938	999	1	nav	bound	no_ppmi	10_10	foc	999	all	4_4	320	staal	0.21125931630706776
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	0.0313203480779971	-0.22319748941003095	999	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	staal	0.2201435185634668
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	0.03708183209902456	-0.19455402127403795	999	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	staal	0.22039754411213663
staal.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	-0.06143514489959528	-0.14803309213922744	999	1	nav	bound	no_ppmi	10_10	foc	999	all	10_10	320	staal	0.20107128737861402
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.1880103456773927	-0.08142985429420531	848	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	320	staal	0.20894105182603304
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.2453165215567652	-0.0723559331222372	848	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	320	staal	0.20785079770137746
staal.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.24463023901705194	-0.10269089657342838	848	1	all	bound	ppmi_weight	10_10	foc	848	nav	4_4	320	staal	0.20362723777528038
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.17346898634575897	-0.10043568034387401	848	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	320	staal	0.20437998840301752
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.2006474457686522	-0.09771987126210521	848	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	320	staal	0.203560637537578
staal.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.2333400463652392	-0.12076831796801323	848	1	all	bound	ppmi_weight	10_10	foc	848	nav	10_10	320	staal	0.19883337322072966
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.1830285644735241	-0.09042257153326368	848	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	320	staal	0.21054594762240736
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.22122181817981112	-0.08064279825610692	848	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	320	staal	0.2088678174398292
staal.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.24462919320245052	-0.10269052915737598	848	1	all	bound	ppmi_weight	10_10	foc	848	all	4_4	320	staal	0.20362723777528038
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.17032674764358843	-0.10254249251141696	848	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	320	staal	0.20538321358079062
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.18562416402984136	-0.09924987570794647	848	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	320	staal	0.2058784547407971
staal.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.23333837363848692	-0.12076779637339112	848	1	all	bound	ppmi_weight	10_10	foc	848	all	10_10	320	staal	0.19883337322072966
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.4273818569673859	-0.0842415534485621	848	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	320	staal	0.23660231432078643
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.46873218524889554	-0.07417578806094817	848	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	320	staal	0.23130817151385868
staal.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.20143980205494166	-0.09837749448763611	848	1	all	bound	ppmi_sel	10_10	foc	848	nav	4_4	320	staal	0.2131293358931848
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.23506639542604085	-0.1258061800256924	848	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	320	staal	0.21570976916418552
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.2608121309043811	-0.11618825709425128	848	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	320	staal	0.2149008735217287
staal.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.10705989922894729	-0.10801767431403421	848	1	all	bound	ppmi_sel	10_10	foc	848	nav	10_10	320	staal	0.19856860016575845
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.43926744594496486	-0.08322971571650686	848	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	320	staal	0.24302351268226663
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.46727043700200416	-0.08031764923368301	848	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	320	staal	0.23870538995560414
staal.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.20143985223646874	-0.09837851542585764	848	1	all	bound	ppmi_sel	10_10	foc	848	all	4_4	320	staal	0.2131293358931848
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.24990871248818997	-0.12959599036099323	848	1	all	bound	ppmi_sel	10_10	5000	5e3	all	10_10	320	staal	0.21967965566713715
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	0.26752897519611285	-0.11600226736195682	848	1	all	bound	ppmi_sel	10_10	10000	1e4	all	10_10	320	staal	0.21892140328486287
staal.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	0.10705804714567538	-0.10801748634781182	848	1	all	bound	ppmi_sel	10_10	foc	848	all	10_10	320	staal	0.19856860016575845
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	0.4517137173339693	-0.12394566624735776	1172	1	all	bound	no_ppmi	10_10	5000	5e3	nav	4_4	320	staal	0.232660097601353
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	0.48828994394922887	-0.11674061366339183	1172	1	all	bound	no_ppmi	10_10	10000	1e4	nav	4_4	320	staal	0.2269079749470501
staal.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	0.2427567375171321	-0.10350804971790299	1172	1	all	bound	no_ppmi	10_10	foc	1172	nav	4_4	320	staal	0.2168102749619065
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	0.2886227441391598	-0.15662094102176954	1172	1	all	bound	no_ppmi	10_10	5000	5e3	nav	10_10	320	staal	0.21583307072975907
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	0.31096155755279326	-0.14953927191906347	1172	1	all	bound	no_ppmi	10_10	10000	1e4	nav	10_10	320	staal	0.21319280643676639
staal.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	0.13935645439713343	-0.11830891227445986	1172	1	all	bound	no_ppmi	10_10	foc	1172	nav	10_10	320	staal	0.1993042912556071
staal.foc10.all.no_ppmi.bound.min1.soc4.all.5000	0.4697023106994299	-0.12941574943870665	1172	1	all	bound	no_ppmi	10_10	5000	5e3	all	4_4	320	staal	0.23735161829142978
staal.foc10.all.no_ppmi.bound.min1.soc4.all.10000	0.49110975727240813	-0.12105918269577971	1172	1	all	bound	no_ppmi	10_10	10000	1e4	all	4_4	320	staal	0.22957952506058568
staal.foc10.all.no_ppmi.bound.min1.soc4.all.foc	0.24275765642413027	-0.10350877858965056	1172	1	all	bound	no_ppmi	10_10	foc	1172	all	4_4	320	staal	0.2168102749619065
staal.foc10.all.no_ppmi.bound.min1.soc10.all.5000	0.3113597181814429	-0.16593427367900146	1172	1	all	bound	no_ppmi	10_10	5000	5e3	all	10_10	320	staal	0.22147106399018132
staal.foc10.all.no_ppmi.bound.min1.soc10.all.10000	0.31893528122111664	-0.14953016987486234	1172	1	all	bound	no_ppmi	10_10	10000	1e4	all	10_10	320	staal	0.21938581743101024
staal.foc10.all.no_ppmi.bound.min1.soc10.all.foc	0.13935635355645948	-0.11830889340413288	1172	1	all	bound	no_ppmi	10_10	foc	1172	all	10_10	320	staal	0.1993042912556071
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.2299378724167179	0.11070896435747714	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	4_4	313	staal	0.227024189068014
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.24922898171948948	0.12408203987845953	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	4_4	313	staal	0.22957754067639352
staal.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.27126848003841475	0.06948358252575015	478	1	nav	bound	ppmi_weight	5_5	foc	478	nav	4_4	313	staal	0.23099710628186065
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.21559905404339466	0.0882934000513375	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	nav	10_10	313	staal	0.2174213265589846
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.22695914634289377	0.09921132303594316	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	nav	10_10	313	staal	0.21778930653135362
staal.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.2656434257568546	0.051840260840924246	478	1	nav	bound	ppmi_weight	5_5	foc	478	nav	10_10	313	staal	0.21716132191496412
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.2324307929220278	0.11738005022158451	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	4_4	313	staal	0.2275702953289055
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.24171718902091252	0.1268129782590886	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	4_4	313	staal	0.23259707812382985
staal.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.27126877879701294	0.06948363949789896	478	1	nav	bound	ppmi_weight	5_5	foc	478	all	4_4	313	staal	0.23099710628186065
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.21662448950004726	0.09021213009746361	478	1	nav	bound	ppmi_weight	5_5	5000	5e3	all	10_10	313	staal	0.21754603803092692
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.21993417201995227	0.10400153565005013	478	1	nav	bound	ppmi_weight	5_5	10000	1e4	all	10_10	313	staal	0.220055450256416
staal.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.265643447177983	0.051840300395858324	478	1	nav	bound	ppmi_weight	5_5	foc	478	all	10_10	313	staal	0.21716132191496412
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.08229492688972463	0.1478851158205434	478	1	nav	bound	ppmi_sel	5_5	5000	5e3	nav	4_4	313	staal	0.2366871401683623
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.08013271115794594	0.16110523219127673	478	1	nav	bound	ppmi_sel	5_5	10000	1e4	nav	4_4	313	staal	0.23501287233792947
staal.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.15439427428905636	0.0659410196119206	478	1	nav	bound	ppmi_sel	5_5	foc	478	nav	4_4	313	staal	0.22208042754607765
