_model	foc_length	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
church.foc10.nav.weight.nobound.soc4.5000	726	nav	nobound	weight	10_10	5000.0	5e3	4_4	297	church	0.212126337100465
church.foc10.nav.weight.nobound.soc4.10000	726	nav	nobound	weight	10_10	10000.0	1e4	4_4	297	church	0.20736880905931548
church.foc10.nav.weight.nobound.soc4.focc	726	nav	nobound	weight	10_10	focc	726	4_4	297	church	0.20936519295434258
church.foc10.nav.selection.nobound.soc4.5000	726	nav	nobound	selection	10_10	5000	5e3	4_4	297	church	0.20732527771985867
church.foc10.nav.selection.nobound.soc4.10000	726	nav	nobound	selection	10_10	10000	1e4	4_4	297	church	0.19610429233639373
church.foc10.nav.selection.nobound.soc4.focc	726	nav	nobound	selection	10_10	focc	726	4_4	297	church	0.19675952327981452
church.foc10.nav.noweight.nobound.soc4.5000	1450	nav	nobound	noweight	10_10	5000	5e3	4_4	300	church	0.24598845433446162
church.foc10.nav.noweight.nobound.soc4.10000	1450	nav	nobound	noweight	10_10	10000	1e4	4_4	300	church	0.24055991973309507
church.foc10.nav.noweight.nobound.soc4.focc	1450	nav	nobound	noweight	10_10	focc	1450	4_4	300	church	0.22021050139886766
church.foc10.all.weight.nobound.soc4.5000	808	all	nobound	weight	10_10	5000	5e3	4_4	300	church	0.2181671413286283
church.foc10.all.weight.nobound.soc4.10000	808	all	nobound	weight	10_10	10000	1e4	4_4	300	church	0.21822029197404216
church.foc10.all.weight.nobound.soc4.focc	808	all	nobound	weight	10_10	focc	808	4_4	300	church	0.22015525522170318
church.foc10.all.selection.nobound.soc4.5000	808	all	nobound	selection	10_10	5000	5e3	4_4	300	church	0.2250202775720203
church.foc10.all.selection.nobound.soc4.10000	808	all	nobound	selection	10_10	10000	1e4	4_4	300	church	0.22495155191636376
church.foc10.all.selection.nobound.soc4.focc	808	all	nobound	selection	10_10	focc	808	4_4	300	church	0.21597912717446077
church.foc10.all.noweight.nobound.soc4.5000	1700	all	nobound	noweight	10_10	5000	5e3	4_4	300	church	0.23701240953295372
church.foc10.all.noweight.nobound.soc4.10000	1700	all	nobound	noweight	10_10	10000	1e4	4_4	300	church	0.23878325034138204
church.foc10.all.noweight.nobound.soc4.focc	1700	all	nobound	noweight	10_10	focc	1700	4_4	300	church	0.23578039019595654
church.foc5.nav.weight.nobound.soc4.5000	466	nav	nobound	weight	5_5	5000	5e3	4_4	284	church	0.2365519297270052
church.foc5.nav.weight.nobound.soc4.10000	466	nav	nobound	weight	5_5	10000	1e4	4_4	284	church	0.22779947110566662
church.foc5.nav.weight.nobound.soc4.focc	466	nav	nobound	weight	5_5	focc	466	4_4	284	church	0.23745412863783227
church.foc5.nav.selection.nobound.soc4.5000	466	nav	nobound	selection	5_5	5000	5e3	4_4	284	church	0.23713058589788424
church.foc5.nav.selection.nobound.soc4.10000	466	nav	nobound	selection	5_5	10000	1e4	4_4	284	church	0.22943492181858308
church.foc5.nav.selection.nobound.soc4.focc	466	nav	nobound	selection	5_5	focc	466	4_4	284	church	0.2352394895792383
church.foc5.nav.noweight.nobound.soc4.5000	799	nav	nobound	noweight	5_5	5000	5e3	4_4	300	church	0.25358178262725156
church.foc5.nav.noweight.nobound.soc4.10000	799	nav	nobound	noweight	5_5	10000	1e4	4_4	300	church	0.24955509266732775
church.foc5.nav.noweight.nobound.soc4.focc	799	nav	nobound	noweight	5_5	focc	799	4_4	300	church	0.24022938376970093
church.foc5.all.weight.nobound.soc4.5000	524	all	nobound	weight	5_5	5000	5e3	4_4	296	church	0.2324077330233979
church.foc5.all.weight.nobound.soc4.10000	524	all	nobound	weight	5_5	10000	1e4	4_4	296	church	0.23145565400012708
church.foc5.all.weight.nobound.soc4.focc	524	all	nobound	weight	5_5	focc	524	4_4	296	church	0.2387187049476251
church.foc5.all.selection.nobound.soc4.5000	524	all	nobound	selection	5_5	5000	5e3	4_4	296	church	0.2345036430785983
church.foc5.all.selection.nobound.soc4.10000	524	all	nobound	selection	5_5	10000	1e4	4_4	296	church	0.23351576872549695
church.foc5.all.selection.nobound.soc4.focc	524	all	nobound	selection	5_5	focc	524	4_4	296	church	0.22938179656191457
church.foc5.all.noweight.nobound.soc4.5000	970	all	nobound	noweight	5_5	5000	5e3	4_4	300	church	0.24240337462434566
church.foc5.all.noweight.nobound.soc4.10000	970	all	nobound	noweight	5_5	10000	1e4	4_4	300	church	0.24328259012188413
church.foc5.all.noweight.nobound.soc4.focc	970	all	nobound	noweight	5_5	focc	970	4_4	300	church	0.23526032435478716
church.foc10.nav.weight.bound.soc4.5000	685	nav	bound	weight	10_10	5000	5e3	4_4	294	church	0.216321445533435
church.foc10.nav.weight.bound.soc4.10000	685	nav	bound	weight	10_10	10000	1e4	4_4	294	church	0.2095480683270961
church.foc10.nav.weight.bound.soc4.focc	685	nav	bound	weight	10_10	focc	685	4_4	294	church	0.21615476376908996
church.foc10.nav.selection.bound.soc4.5000	685	nav	bound	selection	10_10	5000	5e3	4_4	294	church	0.21028645010475527
church.foc10.nav.selection.bound.soc4.10000	685	nav	bound	selection	10_10	10000	1e4	4_4	294	church	0.2012727922770543
church.foc10.nav.selection.bound.soc4.focc	685	nav	bound	selection	10_10	focc	685	4_4	294	church	0.20390607702977306
church.foc10.nav.noweight.bound.soc4.5000	1349	nav	bound	noweight	10_10	5000	5e3	4_4	300	church	0.24177639465481332
church.foc10.nav.noweight.bound.soc4.10000	1349	nav	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23823280947436393
church.foc10.nav.noweight.bound.soc4.focc	1349	nav	bound	noweight	10_10	focc	1349	4_4	300	church	0.22075319376271613
church.foc10.all.weight.bound.soc4.5000	764	all	bound	weight	10_10	5000	5e3	4_4	300	church	0.21655046520694254
church.foc10.all.weight.bound.soc4.10000	764	all	bound	weight	10_10	10000	1e4	4_4	300	church	0.21660668767019242
church.foc10.all.weight.bound.soc4.focc	764	all	bound	weight	10_10	focc	764	4_4	300	church	0.22049538091093307
church.foc10.all.selection.bound.soc4.5000	764	all	bound	selection	10_10	5000	5e3	4_4	300	church	0.21702680364107918
church.foc10.all.selection.bound.soc4.10000	764	all	bound	selection	10_10	10000	1e4	4_4	300	church	0.21763453016525455
church.foc10.all.selection.bound.soc4.focc	764	all	bound	selection	10_10	focc	764	4_4	300	church	0.21326287701020383
church.foc10.all.noweight.bound.soc4.5000	1587	all	bound	noweight	10_10	5000	5e3	4_4	300	church	0.23029893855259911
church.foc10.all.noweight.bound.soc4.10000	1587	all	bound	noweight	10_10	10000	1e4	4_4	300	church	0.23055183944101873
church.foc10.all.noweight.bound.soc4.focc	1587	all	bound	noweight	10_10	focc	1587	4_4	300	church	0.23057589643751497
church.foc5.nav.weight.bound.soc4.5000	454	nav	bound	weight	5_5	5000	5e3	4_4	281	church	0.23731642719657434
church.foc5.nav.weight.bound.soc4.10000	454	nav	bound	weight	5_5	10000	1e4	4_4	281	church	0.2283340539828897
church.foc5.nav.weight.bound.soc4.focc	454	nav	bound	weight	5_5	focc	454	4_4	281	church	0.24072808819508568
church.foc5.nav.selection.bound.soc4.5000	454	nav	bound	selection	5_5	5000	5e3	4_4	281	church	0.24001754598731184
church.foc5.nav.selection.bound.soc4.10000	454	nav	bound	selection	5_5	10000	1e4	4_4	281	church	0.23196132084388535
church.foc5.nav.selection.bound.soc4.focc	454	nav	bound	selection	5_5	focc	454	4_4	281	church	0.23801647235156667
church.foc5.nav.noweight.bound.soc4.5000	772	nav	bound	noweight	5_5	5000	5e3	4_4	299	church	0.25312204672337235
church.foc5.nav.noweight.bound.soc4.10000	772	nav	bound	noweight	5_5	10000	1e4	4_4	299	church	0.25042148476078846
church.foc5.nav.noweight.bound.soc4.focc	772	nav	bound	noweight	5_5	focc	772	4_4	299	church	0.24092494038631082
church.foc5.all.weight.bound.soc4.5000	511	all	bound	weight	5_5	5000	5e3	4_4	296	church	0.23324131432315415
church.foc5.all.weight.bound.soc4.10000	511	all	bound	weight	5_5	10000	1e4	4_4	296	church	0.23199570014583362
church.foc5.all.weight.bound.soc4.focc	511	all	bound	weight	5_5	focc	511	4_4	296	church	0.23927231504669358
church.foc5.all.selection.bound.soc4.5000	511	all	bound	selection	5_5	5000	5e3	4_4	296	church	0.23247933765334106
church.foc5.all.selection.bound.soc4.10000	511	all	bound	selection	5_5	10000	1e4	4_4	296	church	0.23191448305257126
church.foc5.all.selection.bound.soc4.focc	511	all	bound	selection	5_5	focc	511	4_4	296	church	0.23071811050043065
church.foc5.all.noweight.bound.soc4.5000	940	all	bound	noweight	5_5	5000	5e3	4_4	300	church	0.2436150560695972
church.foc5.all.noweight.bound.soc4.10000	940	all	bound	noweight	5_5	10000	1e4	4_4	300	church	0.24548034919498474
church.foc5.all.noweight.bound.soc4.focc	940	all	bound	noweight	5_5	focc	940	4_4	300	church	0.23683120580555836
church.foc10.nav.weight.nobound.soc10.5000	726	nav	nobound	weight	10_10	5000	5e3	10_10	297	church	0.20482441800615975
church.foc10.nav.weight.nobound.soc10.10000	726	nav	nobound	weight	10_10	10000	1e4	10_10	297	church	0.20515158265035413
church.foc10.nav.weight.nobound.soc10.focc	726	nav	nobound	weight	10_10	focc	726	10_10	297	church	0.19421163755936818
church.foc10.nav.selection.nobound.soc10.5000	726	nav	nobound	selection	10_10	5000	5e3	10_10	297	church	0.2028733822738942
church.foc10.nav.selection.nobound.soc10.10000	726	nav	nobound	selection	10_10	10000	1e4	10_10	297	church	0.2011235358002897
church.foc10.nav.selection.nobound.soc10.focc	726	nav	nobound	selection	10_10	focc	726	10_10	297	church	0.18518799982549589
church.foc10.nav.noweight.nobound.soc10.5000	1450	nav	nobound	noweight	10_10	5000	5e3	10_10	300	church	0.23564073077227823
church.foc10.nav.noweight.nobound.soc10.10000	1450	nav	nobound	noweight	10_10	10000	1e4	10_10	300	church	0.22946988618091776
