_model	minimum_contextwords	part_of_speech	sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	token_window	tokens	type	weighting	stress
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.5000.3	3	nvjid	False	s	5000	843	5_5	5_5	236	church_nocomp	ppmi	0.29587004644871473
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.10000.2	2	nvjid	False	s	10000	843	5_5	5_5	247	church_nocomp	ppmi	0.29500809056496113
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.10000.3	3	nvjid	False	s	10000	843	5_5	5_5	236	church_nocomp	ppmi	0.2954451167719252
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.focc.2	2	nvjid	False	s	focc	843	5_5	5_5	247	church_nocomp	ppmi	0.29600564989938316
church_nocomp.5_5.nvjid.ppmi.nobound.s.5_5.focc.3	3	nvjid	False	s	focc	843	5_5	5_5	236	church_nocomp	ppmi	0.29536751881584394
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.5000.2	2	nvjid	False	s	5000	843	5_5	10_10	248	church_nocomp	ppmi	0.2862518646131563
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.5000.3	3	nvjid	False	s	5000	843	5_5	10_10	248	church_nocomp	ppmi	0.28417693606651667
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.10000.2	2	nvjid	False	s	10000	843	5_5	10_10	248	church_nocomp	ppmi	0.284555915423636
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.10000.3	3	nvjid	False	s	10000	843	5_5	10_10	248	church_nocomp	ppmi	0.2844648539352535
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.focc.2	2	nvjid	False	s	focc	843	5_5	10_10	248	church_nocomp	ppmi	0.28383208829073137
church_nocomp.10_10.nvjid.ppmi.nobound.s.5_5.focc.3	3	nvjid	False	s	focc	843	5_5	10_10	248	church_nocomp	ppmi	0.28484285403864623
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.5000.2	2	nvjid	False	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24943769020375686
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.5000.3	3	nvjid	False	s	5000	5000	5_5	5_5	245	church_nocomp	noweight	0.25228635654760356
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.10000.2	2	nvjid	False	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.23811752544606657
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.10000.3	3	nvjid	False	s	10000	10000	5_5	5_5	245	church_nocomp	noweight	0.23778606185265674
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.focc.2	2	nvjid	False	s	focc	31607	5_5	5_5	249	church_nocomp	noweight	0.21114251434292253
church_nocomp.5_5.nvjid.noweight.nobound.s.5_5.focc.3	3	nvjid	False	s	focc	31607	5_5	5_5	245	church_nocomp	noweight	0.20790421537007295
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.5000.2	2	nvjid	False	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2558709489526868
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.5000.3	3	nvjid	False	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.2544687806084466
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.10000.2	2	nvjid	False	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.26248944697475096
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.10000.3	3	nvjid	False	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.25938396153574594
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.focc.2	2	nvjid	False	s	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.10_10.nvjid.noweight.nobound.s.5_5.focc.3	3	nvjid	False	s	focc	31607	5_5	10_10	249	church_nocomp	noweight	0.2484377163234263
church_nocomp.5_5.none.ppmi.nobound.s.5_5.5000.2	2	none	False	s	5000	946	5_5	5_5	248	church_nocomp	ppmi	0.2962989982362078
church_nocomp.5_5.none.ppmi.nobound.s.5_5.5000.3	3	none	False	s	5000	946	5_5	5_5	246	church_nocomp	ppmi	0.2976958718816313
church_nocomp.5_5.none.ppmi.nobound.s.5_5.10000.2	2	none	False	s	10000	946	5_5	5_5	248	church_nocomp	ppmi	0.2965512132067697
church_nocomp.5_5.none.ppmi.nobound.s.5_5.10000.3	3	none	False	s	10000	946	5_5	5_5	246	church_nocomp	ppmi	0.296735985147224
church_nocomp.5_5.none.ppmi.nobound.s.5_5.focc.2	2	none	False	s	focc	946	5_5	5_5	248	church_nocomp	ppmi	0.2971527305806486
church_nocomp.5_5.none.ppmi.nobound.s.5_5.focc.3	3	none	False	s	focc	946	5_5	5_5	246	church_nocomp	ppmi	0.2979835461010642
church_nocomp.10_10.none.ppmi.nobound.s.5_5.5000.2	2	none	False	s	5000	946	5_5	10_10	249	church_nocomp	ppmi	0.2851145935265769
church_nocomp.10_10.none.ppmi.nobound.s.5_5.5000.3	3	none	False	s	5000	946	5_5	10_10	249	church_nocomp	ppmi	0.28438424544406177
church_nocomp.10_10.none.ppmi.nobound.s.5_5.10000.2	2	none	False	s	10000	946	5_5	10_10	249	church_nocomp	ppmi	0.28425651479768127
church_nocomp.10_10.none.ppmi.nobound.s.5_5.10000.3	3	none	False	s	10000	946	5_5	10_10	249	church_nocomp	ppmi	0.2845231264171537
church_nocomp.10_10.none.ppmi.nobound.s.5_5.focc.2	2	none	False	s	focc	946	5_5	10_10	249	church_nocomp	ppmi	0.28464735040072847
church_nocomp.10_10.none.ppmi.nobound.s.5_5.focc.3	3	none	False	s	focc	946	5_5	10_10	249	church_nocomp	ppmi	0.28470177199606594
church_nocomp.5_5.none.noweight.nobound.s.5_5.5000.2	2	none	False	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24307340909675676
church_nocomp.5_5.none.noweight.nobound.s.5_5.5000.3	3	none	False	s	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24442343749249165
church_nocomp.5_5.none.noweight.nobound.s.5_5.10000.2	2	none	False	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24889886788711424
church_nocomp.5_5.none.noweight.nobound.s.5_5.10000.3	3	none	False	s	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24889886788711424
church_nocomp.5_5.none.noweight.nobound.s.5_5.focc.2	2	none	False	s	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
church_nocomp.5_5.none.noweight.nobound.s.5_5.focc.3	3	none	False	s	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
church_nocomp.10_10.none.noweight.nobound.s.5_5.5000.2	2	none	False	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.s.5_5.5000.3	3	none	False	s	5000	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.s.5_5.10000.2	2	none	False	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2519492414569149
church_nocomp.10_10.none.noweight.nobound.s.5_5.10000.3	3	none	False	s	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.2519492414569149
church_nocomp.10_10.none.noweight.nobound.s.5_5.focc.2	2	none	False	s	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.10_10.none.noweight.nobound.s.5_5.focc.3	3	none	False	s	focc	34786	5_5	10_10	249	church_nocomp	noweight	0.2753912698057583
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.5000.2	2	nvj	False	c	5000	4210	10_10	5_5	176	church_nocomp	ppmi	0.22014077240337418
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.5000.3	3	nvj	False	c	5000	4210	10_10	5_5	106	church_nocomp	ppmi	0.19842991437448568
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.10000.2	2	nvj	False	c	10000	4210	10_10	5_5	176	church_nocomp	ppmi	0.22245316530055328
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.10000.3	3	nvj	False	c	10000	4210	10_10	5_5	106	church_nocomp	ppmi	0.19910542467736542
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.focc.2	2	nvj	False	c	focc	4210	10_10	5_5	176	church_nocomp	ppmi	0.22072102983231756
church_nocomp.5_5.nvj.ppmi.nobound.c.10_10.focc.3	3	nvj	False	c	focc	4210	10_10	5_5	106	church_nocomp	ppmi	0.2002715776671471
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.5000.2	2	nvj	False	c	5000	4210	10_10	10_10	227	church_nocomp	ppmi	0.24369867572487808
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.5000.3	3	nvj	False	c	5000	4210	10_10	10_10	189	church_nocomp	ppmi	0.23954068483846044
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.10000.2	2	nvj	False	c	10000	4210	10_10	10_10	227	church_nocomp	ppmi	0.24344288115609342
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.10000.3	3	nvj	False	c	10000	4210	10_10	10_10	189	church_nocomp	ppmi	0.23892189793088722
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.focc.2	2	nvj	False	c	focc	4210	10_10	10_10	227	church_nocomp	ppmi	0.24414702548928663
church_nocomp.10_10.nvj.ppmi.nobound.c.10_10.focc.3	3	nvj	False	c	focc	4210	10_10	10_10	189	church_nocomp	ppmi	0.23948470502200844
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.5000.2	2	nvj	False	c	5000	5000	10_10	5_5	246	church_nocomp	noweight	0.22271090313524647
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.5000.3	3	nvj	False	c	5000	5000	10_10	5_5	227	church_nocomp	noweight	0.21794925023095094
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.10000.2	2	nvj	False	c	10000	10000	10_10	5_5	246	church_nocomp	noweight	0.22386104187426756
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.10000.3	3	nvj	False	c	10000	10000	10_10	5_5	227	church_nocomp	noweight	0.22054427110009797
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.focc.2	2	nvj	False	c	focc	24438	10_10	5_5	246	church_nocomp	noweight	0.23591488099008628
church_nocomp.5_5.nvj.noweight.nobound.c.10_10.focc.3	3	nvj	False	c	focc	24438	10_10	5_5	227	church_nocomp	noweight	0.23867001879105687
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.5000.2	2	nvj	False	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.22111099143763094
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.5000.3	3	nvj	False	c	5000	5000	10_10	10_10	249	church_nocomp	noweight	0.221846632639017
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.10000.2	2	nvj	False	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.22561072606549298
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.10000.3	3	nvj	False	c	10000	10000	10_10	10_10	249	church_nocomp	noweight	0.224909536904344
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.focc.2	2	nvj	False	c	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.2428300376194074
church_nocomp.10_10.nvj.noweight.nobound.c.10_10.focc.3	3	nvj	False	c	focc	24438	10_10	10_10	249	church_nocomp	noweight	0.24433039806859003
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.5000.2	2	nvjid	False	c	5000	4276	10_10	5_5	226	church_nocomp	ppmi	0.24127743639200996
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.5000.3	3	nvjid	False	c	5000	4276	10_10	5_5	201	church_nocomp	ppmi	0.2346658714652816
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.10000.2	2	nvjid	False	c	10000	4276	10_10	5_5	226	church_nocomp	ppmi	0.24410564273079186
church_nocomp.5_5.nvjid.ppmi.nobound.c.10_10.10000.3	3	nvjid	False	c	10000	4276	10_10	5_5	201	church_nocomp	ppmi	0.2363165700777616
