_id	_cws.heet.foc10.nav.weight.bound	_count.heet.foc10.nav.weight.bound	_cws.heet.foc10.nav.selection.bound	_count.heet.foc10.nav.selection.bound	_cws.heet.foc10.nav.no.bound	_count.heet.foc10.nav.no.bound	_cws.heet.foc10.all.weight.bound	_count.heet.foc10.all.weight.bound	_cws.heet.foc10.all.selection.bound	_count.heet.foc10.all.selection.bound	_cws.heet.foc10.all.no.bound	_count.heet.foc10.all.no.bound	_cws.heet.foc5.nav.weight.bound	_count.heet.foc5.nav.weight.bound	_cws.heet.foc5.nav.selection.bound	_count.heet.foc5.nav.selection.bound	_cws.heet.foc5.nav.no.bound	_count.heet.foc5.nav.no.bound	_cws.heet.foc5.all.weight.bound	_count.heet.foc5.all.weight.bound	_cws.heet.foc5.all.selection.bound	_count.heet.foc5.all.selection.bound	_cws.heet.foc5.all.no.bound	_count.heet.foc5.all.no.bound
heet/adj/nrc_handelsblad_20000127_102/240	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5
heet/adj/nrc_handelsblad_20020831_99/100	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	de/det;hang_ijzer/noun;koningshuis/noun;op/prep;seks/noun	5	de/det;hang_ijzer/noun;koningshuis/noun;op/prep;seks/noun	5	de/det;hang_ijzer/noun;koningshuis/noun;op/prep;seks/noun	5	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	de/det;hang_ijzer/noun;koningshuis/noun;seks/noun	4	de/det;hang_ijzer/noun;koningshuis/noun;seks/noun	4	de/det;hang_ijzer/noun;koningshuis/noun;seks/noun	4
heet/adj/nrc_handelsblad_20030804_45/275	Venetiaans/adj;duizenden/noun;middag/noun;vers/noun;zomer/noun	5	Venetiaans/adj;duizenden/noun;middag/noun;vers/noun;zomer/noun	5	Venetiaans/adj;duizenden/noun;middag/noun;vers/noun;zomer/noun	5	Venetiaans/adj;af/part;de/det;duizenden/noun;in/prep;middag/noun;op/part;vers/noun;zomer/noun	9	Venetiaans/adj;af/part;de/det;duizenden/noun;in/prep;middag/noun;op/part;vers/noun;zomer/noun	9	Venetiaans/adj;af/part;de/det;duizenden/noun;in/prep;middag/noun;op/part;vers/noun;zomer/noun	9	Venetiaans/adj;vers/noun;zomer/noun	3	Venetiaans/adj;vers/noun;zomer/noun	3	Venetiaans/adj;vers/noun;zomer/noun	3	Venetiaans/adj;de/det;in/prep;op/part;vers/noun;zomer/noun	6	Venetiaans/adj;de/det;in/prep;op/part;vers/noun;zomer/noun	6	Venetiaans/adj;de/det;in/prep;op/part;vers/noun;zomer/noun	6
heet/adj/nrc_handelsblad_20001028_152/636	ben/verb;groen/adj;industrieterrein/noun	3	ben/verb;groen/adj;industrieterrein/noun	3	ben/verb;groen/adj;industrieterrein/noun	3	ben/verb;een/det;groen/adj;industrieterrein/noun;niet/adv	5	ben/verb;een/det;groen/adj;industrieterrein/noun;niet/adv	5	ben/verb;een/det;groen/adj;industrieterrein/noun;niet/adv	5	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;niet/adv	2	ben/verb;niet/adv	2	ben/verb;niet/adv	2
heet/adj/nrc_handelsblad_20001020_146/182	gevolg/noun;snel/adj;voet/noun;word/verb	4	gevolg/noun;snel/adj;voet/noun;word/verb	4	gevolg/noun;snel/adj;voet/noun;word/verb	4	de/det;gevolg/noun;het/det;onder/prep;snel/adj;te/adv;voet/noun;word/verb;zo/adv	9	de/det;gevolg/noun;het/det;onder/prep;snel/adj;te/adv;voet/noun;word/verb;zo/adv	9	de/det;gevolg/noun;het/det;onder/prep;snel/adj;te/adv;voet/noun;word/verb;zo/adv	9	voet/noun;word/verb	2	voet/noun;word/verb	2	voet/noun;word/verb	2	het/det;onder/prep;te/adv;voet/noun;word/verb	5	het/det;onder/prep;te/adv;voet/noun;word/verb	5	het/det;onder/prep;te/adv;voet/noun;word/verb	5
heet/adj/nrc_handelsblad_20010921_21/507	ben/verb;brandweer/noun;zomer/noun	3	ben/verb;brandweer/noun;zomer/noun	3	ben/verb;brandweer/noun;zomer/noun	3	ben/verb;brandweer/noun;de/det;het/det;in/prep;zomer/noun	6	ben/verb;brandweer/noun;de/det;het/det;in/prep;zomer/noun	6	ben/verb;brandweer/noun;de/det;het/det;in/prep;zomer/noun	6	ben/verb;zomer/noun	2	ben/verb;zomer/noun	2	ben/verb;zomer/noun	2	ben/verb;het/det;in/prep;zomer/noun	4	ben/verb;het/det;in/prep;zomer/noun	4	ben/verb;het/det;in/prep;zomer/noun	4
heet/adj/nrc_handelsblad_20010718_12/314	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;lang/adj;slot/noun	10	dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;lang/adj;slot/noun	10	dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;lang/adj;slot/noun	10	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6
heet/adj/nrc_handelsblad_19991120_9/62	bak/noun;ben/verb;drukkend/adj;regen/noun;weersomstandigheden/noun;zit/verb	6	bak/noun;ben/verb;drukkend/adj;regen/noun;weersomstandigheden/noun;zit/verb	6	bak/noun;ben/verb;drukkend/adj;regen/noun;weersomstandigheden/noun;zit/verb	6	bak/noun;ben/verb;beneden/adv;de/det;drukkend/adj;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	9	bak/noun;ben/verb;beneden/adv;de/det;drukkend/adj;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	9	bak/noun;ben/verb;beneden/adv;de/det;drukkend/adj;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	9	ben/verb;drukkend/adj;regen/noun	3	ben/verb;drukkend/adj;regen/noun	3	ben/verb;drukkend/adj;regen/noun	3	ben/verb;de/det;drukkend/adj;regen/noun	4	ben/verb;de/det;drukkend/adj;regen/noun	4	ben/verb;de/det;drukkend/adj;regen/noun	4
heet/adj/nrc_handelsblad_20000919_115/2007	ben/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	4	ben/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	4	ben/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	4	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun;lig/verb	5	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun;lig/verb	5	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun;lig/verb	5	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun	4	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun	4	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun	4
heet/adj/nrc_handelsblad_20010615_7/939	dom/adj;hoe/adj;word/verb	3	dom/adj;hoe/adj;word/verb	3	dom/adj;hoe/adj;word/verb	3	dom/adj;door/part;door/prep;hoe/adj;nooit/adv;word/verb	6	dom/adj;door/part;door/prep;hoe/adj;nooit/adv;word/verb	6	dom/adj;door/part;door/prep;hoe/adj;nooit/adv;word/verb	6	dom/adj;hoe/adj	2	dom/adj;hoe/adj	2	dom/adj;hoe/adj	2	dom/adj;door/part;hoe/adj;nooit/adv	4	dom/adj;door/part;hoe/adj;nooit/adv	4	dom/adj;door/part;hoe/adj;nooit/adv	4
