cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_2	ann_1	ann_3	ann_4	votes
heet/adj/nrc_handelsblad_20000127_102/240/L0	heet/adj/nrc_handelsblad_20000127_102/240	L0	het	det	het/det	't	True	L	1	0.21922335	11650779	5881	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L1	heet/adj/nrc_handelsblad_20000127_102/240	L1	van	prep	van/prep	van	True	L	2	-0.10328236	12638933	4621	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L2	heet/adj/nrc_handelsblad_20000127_102/240	L2	sentence_delimiter	none	none	<sentence>	none	L	3	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L3	heet/adj/nrc_handelsblad_20000127_102/240	L3	sentence_delimiter	none	none	</sentence>	none	L	4	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L4	heet/adj/nrc_handelsblad_20000127_102/240	L4	sprake	noun	sprake/noun	sprake	False	L	5	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L5	heet/adj/nrc_handelsblad_20000127_102/240	L5	er	adv	er/adv	er	False	L	6	-0.014603617	1744977	700	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L6	heet/adj/nrc_handelsblad_20000127_102/240	L6	ben	verb	ben/verb	is	False	L	7	0.16841711	9938754	4769	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L7	heet/adj/nrc_handelsblad_20000127_102/240	L7	cactus	noun	cactus/noun	cactus	False	L	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L8	heet/adj/nrc_handelsblad_20000127_102/240	L8	Nijlens	name	Nijlens/name	Nijlens	False	L	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L9	heet/adj/nrc_handelsblad_20000127_102/240	L9	Van	name	Van/name	Van	False	L	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L10	heet/adj/nrc_handelsblad_20000127_102/240	L10	bij	prep	bij/prep	bij	False	L	11	-0.27201220000000004	1803877	556	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L11	heet/adj/nrc_handelsblad_20000127_102/240	L11	ook	adv	ook/adv	Ook	False	L	12	-0.18026194	2214625	753	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L12	heet/adj/nrc_handelsblad_20000127_102/240	L12	sentence_delimiter	none	none	<sentence>	none	L	13	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L13	heet/adj/nrc_handelsblad_20000127_102/240	L13	sentence_delimiter	none	none	</sentence>	none	L	14	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L14	heet/adj/nrc_handelsblad_20000127_102/240	L14	.	punct	./punct	.	False	L	15	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/L15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R0	heet/adj/nrc_handelsblad_20000127_102/240	R0	verlangen	noun	verlangen/noun	verlangen	True	R	1	0.98831934	8235	9	TRUE	TRUE	TRUE	FALSE	3
heet/adj/nrc_handelsblad_20000127_102/240/R1	heet/adj/nrc_handelsblad_20000127_102/240	R1	dat	pron	dat/pron	dat	True	R	2	-0.014466803	552171	222	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R2	heet/adj/nrc_handelsblad_20000127_102/240	R2	hem	pron	hem/pron	hem	True	R	3	0.1391733	455207	213	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R3	heet/adj/nrc_handelsblad_20000127_102/240	R3	gans	adj	gans/adj	gans	True	R	4	1.1324555	3949	5	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R4	heet/adj/nrc_handelsblad_20000127_102/240	R4	vervul	verb	vervul/verb	vervulde	True	R	5	0.25792235	11440	6	FALSE	TRUE	FALSE	FALSE	1
heet/adj/nrc_handelsblad_20000127_102/240/R5	heet/adj/nrc_handelsblad_20000127_102/240	R5	sentence_delimiter	none	none	</sentence>	none	R	6	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R6	heet/adj/nrc_handelsblad_20000127_102/240	R6	sentence_delimiter	none	none	<sentence>	none	R	7	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R7	heet/adj/nrc_handelsblad_20000127_102/240	R7	en	comp	en/comp	en	False	R	8	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R8	heet/adj/nrc_handelsblad_20000127_102/240	R8	dat	comp	dat/comp	dat	False	R	9	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R9	heet/adj/nrc_handelsblad_20000127_102/240	R9	nolens	noun	nolens/noun	nolens	False	R	10	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R10	heet/adj/nrc_handelsblad_20000127_102/240	R10	volens	noun	volens/noun	volens	False	R	11	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R11	heet/adj/nrc_handelsblad_20000127_102/240	R11	op	prep	op/prep	op	False	R	12	0.07248061	4502370	1959	FALSE	FALSE	FALSE	FALSE	0
heet/adj/nrc_handelsblad_20000127_102/240/R12	heet/adj/nrc_handelsblad_20000127_102/240	R12	zeker	adj	zeker/adj	zekere	False	R	13	-0.40811574	137098	37	FALSE	FALSE	FALSE	FALSE	0
