_id	_cws.dof.foc10.nav.weight.bound	_count.dof.foc10.nav.weight.bound	_cws.dof.foc10.nav.selection.bound	_count.dof.foc10.nav.selection.bound	_cws.dof.foc10.nav.no.bound	_count.dof.foc10.nav.no.bound	_cws.dof.foc10.all.weight.bound	_count.dof.foc10.all.weight.bound	_cws.dof.foc10.all.selection.bound	_count.dof.foc10.all.selection.bound	_cws.dof.foc10.all.no.bound	_count.dof.foc10.all.no.bound	_cws.dof.foc5.nav.weight.bound	_count.dof.foc5.nav.weight.bound	_cws.dof.foc5.nav.selection.bound	_count.dof.foc5.nav.selection.bound	_cws.dof.foc5.nav.no.bound	_count.dof.foc5.nav.no.bound	_cws.dof.foc5.all.weight.bound	_count.dof.foc5.all.weight.bound	_cws.dof.foc5.all.selection.bound	_count.dof.foc5.all.selection.bound	_cws.dof.foc5.all.no.bound	_count.dof.foc5.all.no.bound
dof/adj/nrc_handelsblad_20010616_65/71	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj;op/prep;wat/pron	4	bal/noun;metalen/adj;op/prep;wat/pron	4	bal/noun;metalen/adj;op/prep;wat/pron	4	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2	bal/noun;metalen/adj	2
dof/adj/nrc_handelsblad_20000124_59/398	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;volg/verb	6	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;volg/verb	6	dreun/noun;droog/adj;piano/noun;slag_werk/noun;tik/noun;volg/verb	6	boven/prep;dreun/noun;droog/adj;een/det;er/adv;het/det;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;volg/verb;weer/adv	13	boven/prep;dreun/noun;droog/adj;een/det;er/adv;het/det;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;volg/verb;weer/adv	13	boven/prep;dreun/noun;droog/adj;een/det;er/adv;het/det;je/pron;piano/noun;slag_werk/noun;slechts/adv;tik/noun;volg/verb;weer/adv	13	dreun/noun;piano/noun;volg/verb	3	dreun/noun;piano/noun;volg/verb	3	dreun/noun;piano/noun;volg/verb	3	boven/prep;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	6	boven/prep;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	6	boven/prep;dreun/noun;een/det;piano/noun;slechts/adv;volg/verb	6
dof/adj/nrc_handelsblad_20010126_3/140	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3	oor/noun;roffel/verb;trom/noun	3
dof/adj/nrc_handelsblad_20011019_50/108	bril_glas/noun;oog/noun;vermoeidheid/noun;verraad/verb	4	bril_glas/noun;oog/noun;vermoeidheid/noun;verraad/verb	4	bril_glas/noun;oog/noun;vermoeidheid/noun;verraad/verb	4	achter/prep;bril_glas/noun;een/det;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	8	achter/prep;bril_glas/noun;een/det;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	8	achter/prep;bril_glas/noun;een/det;oog/noun;vermoeidheid/noun;verraad/verb;wat/det;zijn/det	8	bril_glas/noun;oog/noun	2	bril_glas/noun;oog/noun	2	bril_glas/noun;oog/noun	2	achter/prep;bril_glas/noun;een/det;oog/noun;wat/det	5	achter/prep;bril_glas/noun;een/det;oog/noun;wat/det	5	achter/prep;bril_glas/noun;een/det;oog/noun;wat/det	5
dof/adj/nrc_handelsblad_20030620_150/75	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb	7	acteur/noun;het/det;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb;zich/pron	11	acteur/noun;het/det;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb;zich/pron	11	acteur/noun;het/det;klap/noun;met/prep;onder/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj;verstop/verb;zich/pron	11	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;piano/noun;stort/verb;tafel/noun;verkrampt/adj	5	klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj	6	klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj	6	klap/noun;met/prep;piano/noun;stort/verb;tafel/noun;verkrampt/adj	6
dof/adj/nrc_handelsblad_20020826_54/610	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;geluid/noun;hoor/verb;vuist/noun	4	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron;met/prep;vuist/noun	7	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron;met/prep;vuist/noun	7	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron;met/prep;vuist/noun	7	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;geluid/noun;hoor/verb	3	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5	beuk/verb;een/det;geluid/noun;hoor/verb;je/pron	5
dof/adj/nrc_handelsblad_20010616_24/638	blauw/adj;eind/noun;illustreer/verb;loop/verb;oog/noun	5	blauw/adj;eind/noun;illustreer/verb;loop/verb;oog/noun	5	blauw/adj;eind/noun;illustreer/verb;loop/verb;oog/noun	5	blauw/adj;eind/noun;illustreer/verb;loop/verb;na/prep;oog/noun;op/prep;zijn/det	8	blauw/adj;eind/noun;illustreer/verb;loop/verb;na/prep;oog/noun;op/prep;zijn/det	8	blauw/adj;eind/noun;illustreer/verb;loop/verb;na/prep;oog/noun;op/prep;zijn/det	8	illustreer/verb	1	illustreer/verb	1	illustreer/verb	1	illustreer/verb;na/prep;op/prep	3	illustreer/verb;na/prep;op/prep	3	illustreer/verb;na/prep;op/prep	3
dof/adj/nrc_handelsblad_20021004_159/2239	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	buitenkant/noun;droog/verb;glans/adj;hang/verb;huid/noun;monster/noun;ruw/adj	7	binnen/adv;buitenkant/noun;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj	9	binnen/adv;buitenkant/noun;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj	9	binnen/adv;buitenkant/noun;droog/verb;glans/adj;hang/verb;het/det;huid/noun;monster/noun;ruw/adj	9	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5	buitenkant/noun;droog/verb;hang/verb;huid/noun;ruw/adj	5
dof/adj/nrc_handelsblad_20040427_75/32	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;rafelig/adj;vers/adj;zie_eruit/verb	5	archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	9	archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	9	archeologisch/adj;blad/noun;dat/pron;een/det;eruit/part;het/det;rafelig/adj;vers/adj;zie_eruit/verb	9	blad/noun;rafelig/adj	2	blad/noun;rafelig/adj	2	blad/noun;rafelig/adj	2	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5	blad/noun;dat/pron;eruit/part;het/det;rafelig/adj	5
dof/adj/nrc_handelsblad_20020406_61/116	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2	ben/verb;plomp/adj	2
