_id	popular	pop_agree	batch	pop_conf
dof/adj/volkskrant_19991009_43/27	dof_3	1	dof_2	-1.028026113344405
dof/adj/volkskrant_20011026_32/171	dof_2	0.67	dof_2	0.8001716120665467
dof/adj/volkskrant_20031117_34/238	dof_3	1	dof_2	-0.4269443486704806
dof/adj/volkskrant_20000804_83/549	dof_3	1	dof_2	-0.7310943261966495
dof/adj/volkskrant_20030416_46/27	dof_2	1	dof_2	0.7521951122183677
dof/adj/volkskrant_20031107_110/166	dof_1	0.67	dof_2	0.654959265802451
dof/adj/volkskrant_20040612_146/353	dof_1	1	dof_2	-0.16025482036013908
dof/adj/volkskrant_20000506_135/200	dof_1	1	dof_2	0.2730472380196629
dof/adj/volkskrant_20010929_62/174	dof_3	1	dof_2	-1.9368669507337053
dof/adj/volkskrant_20000904_69/209	dof_3	0.67	dof_3	-1.0616678218383069
dof/adj/volkskrant_20010928_93/1163	dof_2	1	dof_3	-1.0815295025539011
dof/adj/volkskrant_19991002_176/230	dof_2	1	dof_3	-0.08807266410630078
dof/adj/volkskrant_19990924_85/657	dof_3	0.67	dof_3	0.23897778487839802
dof/adj/volkskrant_20020330_4/152	dof_2	1	dof_3	0.1461701255358014
dof/adj/volkskrant_20000219_215/1047	dof_3	1	dof_3	-0.5565582433905051
dof/adj/volkskrant_20000506_189/435	dof_1	1	dof_3	-0.08807266410630078
dof/adj/volkskrant_20020404_136/227	dof_3	1	dof_3	-1.1704080574353564
dof/adj/volkskrant_20030708_65/220	dof_3	1	dof_3	-0.08807266410630078
dof/adj/volkskrant_20011229_6/52	dof_1	1	dof_3	0.6669936778696253
dof/adj/volkskrant_20011110_207/305	dof_2	1	dof_3	0.6669936778696253
dof/adj/volkskrant_19990619_60/1678	dof_1	1	dof_3	0.9012364675117274
dof/adj/volkskrant_20010525_48/695	dof_3	0.67	dof_3	0.23897778487839802
dof/adj/volkskrant_20020905_197/310	dof_1	1	dof_3	-0.7908010330326073
dof/adj/volkskrant_20011012_80/197	dof_1	1	dof_3	-0.03573469105668128
dof/adj/volkskrant_20030926_111/157	dof_1	0.67	dof_3	-0.28379571685184113
dof/adj/volkskrant_19990129_137/983	dof_2	1	dof_3	0.1461701255358014
dof/adj/volkskrant_20010317_208/395	dof_1	1	dof_3	0.19850809858542087
dof/adj/volkskrant_20020702_90/202	dof_3	0.67	dof_3	0.6403422277297057
dof/adj/volkskrant_20030625_61/158	dof_2	1	dof_3	0.9012364675117274
dof/adj/volkskrant_20010618_88/87	dof_3	0.67	dof_3	0.6403422277297057
dof/adj/volkskrant_20011222_85/59	dof_1	1	dof_3	-0.03573469105668128
dof/adj/volkskrant_20010816_9/135	dof_1	1	dof_3	0.19850809858542087
