_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc10.nav.no.bound.min1.soc10.nav.10000	-0.13654592538056165	-0.21614251023478448	bound	nav	10_10	no	698	1	10000	10000	nav	10_10	272	geestig	0.23925888777865587
geestig.foc10.nav.no.bound.min1.soc10.nav.FOC	-0.13615092867030854	-0.19325424608564615	bound	nav	10_10	no	698	1	FOC	698	nav	10_10	272	geestig	0.22782907168073618
geestig.foc10.nav.no.bound.min1.soc4.all.5000	-0.21348722399381337	-0.22372035850411673	bound	nav	10_10	no	698	1	5000	5000	all	4_4	272	geestig	0.2417993079683365
geestig.foc10.nav.no.bound.min1.soc4.all.10000	-0.17365784140683915	-0.18737336014361766	bound	nav	10_10	no	698	1	10000	10000	all	4_4	272	geestig	0.2391656961636544
geestig.foc10.nav.no.bound.min1.soc4.all.FOC	-0.15598082837302715	-0.18162428895897859	bound	nav	10_10	no	698	1	FOC	698	all	4_4	272	geestig	0.22920039682060042
geestig.foc10.nav.no.bound.min1.soc10.all.5000	-0.1996346149088088	-0.25284313174113193	bound	nav	10_10	no	698	1	5000	5000	all	10_10	272	geestig	0.23585701296917605
geestig.foc10.nav.no.bound.min1.soc10.all.10000	-0.15293769700713064	-0.22153404795336892	bound	nav	10_10	no	698	1	10000	10000	all	10_10	272	geestig	0.23750741193585714
geestig.foc10.nav.no.bound.min1.soc10.all.FOC	-0.13615092701365097	-0.19325424612082207	bound	nav	10_10	no	698	1	FOC	698	all	10_10	272	geestig	0.22782907168073618
geestig.foc10.all.weight.bound.min1.soc4.nav.5000	0.10349280557632262	-0.20876574079025498	bound	all	10_10	weight	788	1	5000	5000	nav	4_4	275	geestig	0.2567268430530335
geestig.foc10.all.weight.bound.min1.soc4.nav.10000	0.13519740410935122	-0.24533679864982155	bound	all	10_10	weight	788	1	10000	10000	nav	4_4	275	geestig	0.2549785310932694
geestig.foc10.all.weight.bound.min1.soc4.nav.FOC	0.11910347291258092	-0.2243261427753755	bound	all	10_10	weight	788	1	FOC	788	nav	4_4	275	geestig	0.2489958891534863
geestig.foc10.all.weight.bound.min1.soc10.nav.5000	0.07078079100469936	-0.250707619711878	bound	all	10_10	weight	788	1	5000	5000	nav	10_10	275	geestig	0.24464680801907307
geestig.foc10.all.weight.bound.min1.soc10.nav.10000	0.08555598735421291	-0.26201906842128897	bound	all	10_10	weight	788	1	10000	10000	nav	10_10	275	geestig	0.24729667645446707
geestig.foc10.all.weight.bound.min1.soc10.nav.FOC	0.06774268787204302	-0.2173722251398768	bound	all	10_10	weight	788	1	FOC	788	nav	10_10	275	geestig	0.2448848856430231
geestig.foc10.all.weight.bound.min1.soc4.all.5000	0.10487738923254222	-0.21268999948439316	bound	all	10_10	weight	788	1	5000	5000	all	4_4	275	geestig	0.2590134812334136
geestig.foc10.all.weight.bound.min1.soc4.all.10000	0.11543554871613444	-0.21284313321630655	bound	all	10_10	weight	788	1	10000	10000	all	4_4	275	geestig	0.25609516117808234
geestig.foc10.all.weight.bound.min1.soc4.all.FOC	0.11910398348246555	-0.22432638293601415	bound	all	10_10	weight	788	1	FOC	788	all	4_4	275	geestig	0.2489958891534863
geestig.foc10.all.weight.bound.min1.soc10.all.5000	0.07503340885129692	-0.2484559503688656	bound	all	10_10	weight	788	1	5000	5000	all	10_10	275	geestig	0.24354810181848957
geestig.foc10.all.weight.bound.min1.soc10.all.10000	0.07451551890991992	-0.24476982999703814	bound	all	10_10	weight	788	1	10000	10000	all	10_10	275	geestig	0.24667032249642087
geestig.foc10.all.weight.bound.min1.soc10.all.FOC	0.06774268990645162	-0.21737222501008124	bound	all	10_10	weight	788	1	FOC	788	all	10_10	275	geestig	0.2448848856430231
geestig.foc10.all.selection.bound.min1.soc4.nav.5000	0.3728739355359217	-0.12595653643001672	bound	all	10_10	selection	788	1	5000	5000	nav	4_4	275	geestig	0.23921148136346843
geestig.foc10.all.selection.bound.min1.soc4.nav.10000	0.4095773007163922	-0.11852072822626945	bound	all	10_10	selection	788	1	10000	10000	nav	4_4	275	geestig	0.2353905419102731
geestig.foc10.all.selection.bound.min1.soc4.nav.FOC	0.3314783198214069	-0.109936849794331	bound	all	10_10	selection	788	1	FOC	788	nav	4_4	275	geestig	0.22337596629847284
geestig.foc10.all.selection.bound.min1.soc10.nav.5000	0.2803376858247414	-0.1623761514008483	bound	all	10_10	selection	788	1	5000	5000	nav	10_10	275	geestig	0.24161061592057265
geestig.foc10.all.selection.bound.min1.soc10.nav.10000	0.2937465119937801	-0.14325995976027753	bound	all	10_10	selection	788	1	10000	10000	nav	10_10	275	geestig	0.24242969936506584
geestig.foc10.all.selection.bound.min1.soc10.nav.FOC	0.23813312616198415	-0.1273972917948951	bound	all	10_10	selection	788	1	FOC	788	nav	10_10	275	geestig	0.22640997603938734
geestig.foc10.all.selection.bound.min1.soc4.all.5000	0.36871057239729105	-0.14094183670857652	bound	all	10_10	selection	788	1	5000	5000	all	4_4	275	geestig	0.23695673002768852
geestig.foc10.all.selection.bound.min1.soc4.all.10000	0.3749798240771786	-0.12160245211278277	bound	all	10_10	selection	788	1	10000	10000	all	4_4	275	geestig	0.23634049279732186
geestig.foc10.all.selection.bound.min1.soc4.all.FOC	0.3314787690796771	-0.10993438896250605	bound	all	10_10	selection	788	1	FOC	788	all	4_4	275	geestig	0.22337596629847284
geestig.foc10.all.selection.bound.min1.soc10.all.5000	0.2896787858738297	-0.1729011881782836	bound	all	10_10	selection	788	1	5000	5000	all	10_10	275	geestig	0.23769737998396706
geestig.foc10.all.selection.bound.min1.soc10.all.10000	0.2724104205275167	-0.14768708224727717	bound	all	10_10	selection	788	1	10000	10000	all	10_10	275	geestig	0.24136958670007888
geestig.foc10.all.selection.bound.min1.soc10.all.FOC	0.23813312616198415	-0.1273972917948951	bound	all	10_10	selection	788	1	FOC	788	all	10_10	275	geestig	0.22640997603938734
geestig.foc10.all.no.bound.min1.soc4.nav.5000	0.3728739355367976	-0.12595653642810212	bound	all	10_10	no	788	1	5000	5000	nav	4_4	275	geestig	0.23921148136346843
geestig.foc10.all.no.bound.min1.soc4.nav.10000	0.40958263490184654	-0.11851882749877286	bound	all	10_10	no	788	1	10000	10000	nav	4_4	275	geestig	0.2353905419102731
geestig.foc10.all.no.bound.min1.soc4.nav.FOC	0.3314787804134396	-0.10993426451051136	bound	all	10_10	no	788	1	FOC	788	nav	4_4	275	geestig	0.22337596629847284
geestig.foc10.all.no.bound.min1.soc10.nav.5000	0.2803351205702687	-0.1623761306751628	bound	all	10_10	no	788	1	5000	5000	nav	10_10	275	geestig	0.24161061592057265
geestig.foc10.all.no.bound.min1.soc10.nav.10000	0.2937465119937801	-0.14325995976027753	bound	all	10_10	no	788	1	10000	10000	nav	10_10	275	geestig	0.24242969936506584
geestig.foc10.all.no.bound.min1.soc10.nav.FOC	0.238133126161983	-0.1273972917948946	bound	all	10_10	no	788	1	FOC	788	nav	10_10	275	geestig	0.22640997603938734
geestig.foc10.all.no.bound.min1.soc4.all.5000	0.36871062728252035	-0.14094148915081908	bound	all	10_10	no	788	1	5000	5000	all	4_4	275	geestig	0.23695673002768852
geestig.foc10.all.no.bound.min1.soc4.all.10000	0.37497982762101695	-0.12160243330439247	bound	all	10_10	no	788	1	10000	10000	all	4_4	275	geestig	0.23634049279732186
geestig.foc10.all.no.bound.min1.soc4.all.FOC	0.33147878729490937	-0.10993420073007891	bound	all	10_10	no	788	1	FOC	788	all	4_4	275	geestig	0.22337596629847284
geestig.foc10.all.no.bound.min1.soc10.all.5000	0.2896783914011158	-0.17290107737302493	bound	all	10_10	no	788	1	5000	5000	all	10_10	275	geestig	0.23769737998396706
geestig.foc10.all.no.bound.min1.soc10.all.10000	0.2724104195909198	-0.1476870795879735	bound	all	10_10	no	788	1	10000	10000	all	10_10	275	geestig	0.24136958670007888
geestig.foc10.all.no.bound.min1.soc10.all.FOC	0.23813312616198415	-0.1273972917948951	bound	all	10_10	no	788	1	FOC	788	all	10_10	275	geestig	0.22640997603938734
geestig.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.20268318363552726	0.15702351846951168	bound	nav	5_5	weight	448	1	5000	5000	nav	4_4	266	geestig	0.25546481047717945
geestig.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.20775479037253466	0.21642995159809186	bound	nav	5_5	weight	448	1	10000	10000	nav	4_4	266	geestig	0.24969843566284042
geestig.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.23132739004866795	0.2499877862621563	bound	nav	5_5	weight	448	1	FOC	448	nav	4_4	266	geestig	0.2595871298424029
