_id	_cws.geestig.foc10.nav.weight.bound	_count.geestig.foc10.nav.weight.bound	_cws.geestig.foc10.nav.selection.bound	_count.geestig.foc10.nav.selection.bound	_cws.geestig.foc10.nav.no.bound	_count.geestig.foc10.nav.no.bound	_cws.geestig.foc10.all.weight.bound	_count.geestig.foc10.all.weight.bound	_cws.geestig.foc10.all.selection.bound	_count.geestig.foc10.all.selection.bound	_cws.geestig.foc10.all.no.bound	_count.geestig.foc10.all.no.bound	_cws.geestig.foc5.nav.weight.bound	_count.geestig.foc5.nav.weight.bound	_cws.geestig.foc5.nav.selection.bound	_count.geestig.foc5.nav.selection.bound	_cws.geestig.foc5.nav.no.bound	_count.geestig.foc5.nav.no.bound	_cws.geestig.foc5.all.weight.bound	_count.geestig.foc5.all.weight.bound	_cws.geestig.foc5.all.selection.bound	_count.geestig.foc5.all.selection.bound	_cws.geestig.foc5.all.no.bound	_count.geestig.foc5.all.no.bound
geestig/adj/volkskrant_20000624_10/3567	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2	ben/verb;script/noun	2
geestig/adj/volkskrant_20001222_36/731	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv;zijn/det	6	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv;zijn/det	6	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv;zijn/det	6	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;slim/adj	3	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv	5	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv	5	ben/verb;goed/adj;hij/pron;slim/adj;zeer/adv	5
geestig/adj/volkskrant_20000619_125/851		0		0		0	dit/det;weer/adv	2	dit/det;weer/adv	2	dit/det;weer/adv	2		0		0		0	dit/det	1	dit/det	1	dit/det	1
geestig/adj/volkskrant_20040826_kk_40/200	erg/adj;vind/verb	2	erg/adj;vind/verb	2	erg/adj;vind/verb	2	erg/adj;vind/verb;wel/adv	3	erg/adj;vind/verb;wel/adv	3	erg/adj;vind/verb;wel/adv	3	erg/adj;vind/verb	2	erg/adj;vind/verb	2	erg/adj;vind/verb	2	erg/adj;vind/verb;wel/adv	3	erg/adj;vind/verb;wel/adv	3	erg/adj;vind/verb;wel/adv	3
geestig/adj/volkskrant_20000930_0/3421	ben/verb;lach/verb;laken/noun;waanzinnig/adj	4	ben/verb;lach/verb;laken/noun;waanzinnig/adj	4	ben/verb;lach/verb;laken/noun;waanzinnig/adj	4	ben/verb;hij/pron;lach/verb;laken/noun;waanzinnig/adj	5	ben/verb;hij/pron;lach/verb;laken/noun;waanzinnig/adj	5	ben/verb;hij/pron;lach/verb;laken/noun;waanzinnig/adj	5	ben/verb;lach/verb;waanzinnig/adj	3	ben/verb;lach/verb;waanzinnig/adj	3	ben/verb;lach/verb;waanzinnig/adj	3	ben/verb;hij/pron;lach/verb;waanzinnig/adj	4	ben/verb;hij/pron;lach/verb;waanzinnig/adj	4	ben/verb;hij/pron;lach/verb;waanzinnig/adj	4
geestig/adj/volkskrant_20000321_49/103	alles/noun;breng_teweeg/verb;paleis/noun;spreek/verb	4	alles/noun;breng_teweeg/verb;paleis/noun;spreek/verb	4	alles/noun;breng_teweeg/verb;paleis/noun;spreek/verb	4	alles/noun;breng_teweeg/verb;die/pron;een/det;minstens/adv;paleis/noun;spreek/verb;teweeg/part	8	alles/noun;breng_teweeg/verb;die/pron;een/det;minstens/adv;paleis/noun;spreek/verb;teweeg/part	8	alles/noun;breng_teweeg/verb;die/pron;een/det;minstens/adv;paleis/noun;spreek/verb;teweeg/part	8	alles/noun;breng_teweeg/verb;spreek/verb	3	alles/noun;breng_teweeg/verb;spreek/verb	3	alles/noun;breng_teweeg/verb;spreek/verb	3	alles/noun;breng_teweeg/verb;die/pron;een/det;spreek/verb;teweeg/part	6	alles/noun;breng_teweeg/verb;die/pron;een/det;spreek/verb;teweeg/part	6	alles/noun;breng_teweeg/verb;die/pron;een/det;spreek/verb;teweeg/part	6
geestig/adj/volkskrant_20010126_139/1264	ben/verb;goed/adj	2	ben/verb;goed/adj	2	ben/verb;goed/adj	2	ben/verb;goed/adj;maar/adv	3	ben/verb;goed/adj;maar/adv	3	ben/verb;goed/adj;maar/adv	3	ben/verb;goed/adj	2	ben/verb;goed/adj	2	ben/verb;goed/adj	2	ben/verb;goed/adj;maar/adv	3	ben/verb;goed/adj;maar/adv	3	ben/verb;goed/adj;maar/adv	3
geestig/adj/volkskrant_20010423_82/87	aankondiging/noun;aanstekelijk/adj;beeldend/adj;kwartet/noun;straal_uit/verb;stuk/noun	6	aankondiging/noun;aanstekelijk/adj;beeldend/adj;kwartet/noun;straal_uit/verb;stuk/noun	6	aankondiging/noun;aanstekelijk/adj;beeldend/adj;kwartet/noun;straal_uit/verb;stuk/noun	6	aankondiging/noun;aanstekelijk/adj;beeldend/adj;een/det;kwartet/noun;ook/adv;straal_uit/verb;stuk/noun	8	aankondiging/noun;aanstekelijk/adj;beeldend/adj;een/det;kwartet/noun;ook/adv;straal_uit/verb;stuk/noun	8	aankondiging/noun;aanstekelijk/adj;beeldend/adj;een/det;kwartet/noun;ook/adv;straal_uit/verb;stuk/noun	8	aankondiging/noun;aanstekelijk/adj	2	aankondiging/noun;aanstekelijk/adj	2	aankondiging/noun;aanstekelijk/adj	2	aankondiging/noun;aanstekelijk/adj;ook/adv	3	aankondiging/noun;aanstekelijk/adj;ook/adv	3	aankondiging/noun;aanstekelijk/adj;ook/adv	3
geestig/adj/volkskrant_20020309_210/2117	ben/verb;ga_vooraf/verb;mijne/noun;voordracht/noun	4	ben/verb;ga_vooraf/verb;mijne/noun;voordracht/noun	4	ben/verb;ga_vooraf/verb;mijne/noun;voordracht/noun	4	ben/verb;ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	5	ben/verb;ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	5	ben/verb;ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	5	ga_vooraf/verb;mijne/noun;voordracht/noun	3	ga_vooraf/verb;mijne/noun;voordracht/noun	3	ga_vooraf/verb;mijne/noun;voordracht/noun	3	ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	4	ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	4	ga_vooraf/verb;mijne/noun;vooraf/part;voordracht/noun	4
geestig/adj/volkskrant_20020104_31/759	ben/verb;scherp/adj;verhaal/noun;veronderstel/verb	4	ben/verb;scherp/adj;verhaal/noun;veronderstel/verb	4	ben/verb;scherp/adj;verhaal/noun;veronderstel/verb	4	ben/verb;dat/pron;een/det;scherp/adj;verhaal/noun;veronderstel/verb;zonder/prep	7	ben/verb;dat/pron;een/det;scherp/adj;verhaal/noun;veronderstel/verb;zonder/prep	7	ben/verb;dat/pron;een/det;scherp/adj;verhaal/noun;veronderstel/verb;zonder/prep	7	ben/verb;scherp/adj;verhaal/noun	3	ben/verb;scherp/adj;verhaal/noun	3	ben/verb;scherp/adj;verhaal/noun	3	ben/verb;scherp/adj;verhaal/noun;zonder/prep	4	ben/verb;scherp/adj;verhaal/noun;zonder/prep	4	ben/verb;scherp/adj;verhaal/noun;zonder/prep	4
