_id	_cws.geestig.foc10.nav.weight.bound	_count.geestig.foc10.nav.weight.bound	_cws.geestig.foc10.nav.selection.bound	_count.geestig.foc10.nav.selection.bound	_cws.geestig.foc10.nav.no.bound	_count.geestig.foc10.nav.no.bound	_cws.geestig.foc10.all.weight.bound	_count.geestig.foc10.all.weight.bound	_cws.geestig.foc10.all.selection.bound	_count.geestig.foc10.all.selection.bound	_cws.geestig.foc10.all.no.bound	_count.geestig.foc10.all.no.bound	_cws.geestig.foc5.nav.weight.bound	_count.geestig.foc5.nav.weight.bound	_cws.geestig.foc5.nav.selection.bound	_count.geestig.foc5.nav.selection.bound	_cws.geestig.foc5.nav.no.bound	_count.geestig.foc5.nav.no.bound	_cws.geestig.foc5.all.weight.bound	_count.geestig.foc5.all.weight.bound	_cws.geestig.foc5.all.selection.bound	_count.geestig.foc5.all.selection.bound	_cws.geestig.foc5.all.no.bound	_count.geestig.foc5.all.no.bound
geestig/adj/volkskrant_20020418_152/818	ben/verb;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	5	ben/verb;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	5	ben/verb;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	5	ben/verb;een/det;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	6	ben/verb;een/det;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	6	ben/verb;een/det;feest/noun;femmes/noun;kleurrijk/adj;uitzinnig/adj	6	feest/noun;kleurrijk/adj;uitzinnig/adj	3	feest/noun;kleurrijk/adj;uitzinnig/adj	3	feest/noun;kleurrijk/adj;uitzinnig/adj	3	een/det;feest/noun;kleurrijk/adj;uitzinnig/adj	4	een/det;feest/noun;kleurrijk/adj;uitzinnig/adj	4	een/det;feest/noun;kleurrijk/adj;uitzinnig/adj	4
geestig/adj/volkskrant_19990605_176/438	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;een/det;te/adv;tegelijk/adj;wrang/adj	5	ben/verb;een/det;te/adv;tegelijk/adj;wrang/adj	5	ben/verb;een/det;te/adv;tegelijk/adj;wrang/adj	5	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;tegelijk/adj;wrang/adj	3	ben/verb;te/adv;tegelijk/adj;wrang/adj	4	ben/verb;te/adv;tegelijk/adj;wrang/adj	4	ben/verb;te/adv;tegelijk/adj;wrang/adj	4
geestig/adj/volkskrant_20040417_188/184	gek/adj;man/noun;ui/noun	3	gek/adj;man/noun;ui/noun	3	gek/adj;man/noun;ui/noun	3	een/det;gek/adj;man/noun;ui/noun;zeer/adv;zo/adv	6	een/det;gek/adj;man/noun;ui/noun;zeer/adv;zo/adv	6	een/det;gek/adj;man/noun;ui/noun;zeer/adv;zo/adv	6	gek/adj;man/noun	2	gek/adj;man/noun	2	gek/adj;man/noun	2	gek/adj;man/noun;zeer/adv;zo/adv	4	gek/adj;man/noun;zeer/adv;zo/adv	4	gek/adj;man/noun;zeer/adv;zo/adv	4
geestig/adj/volkskrant_20000503_67/494	Londens/adj;Zwitser/noun;tegenwoordig/adj	3	Londens/adj;Zwitser/noun;tegenwoordig/adj	3	Londens/adj;Zwitser/noun;tegenwoordig/adj	3	Londens/adj;Zwitser/noun;over/prep;tegenwoordig/adj;zelfs/adv	5	Londens/adj;Zwitser/noun;over/prep;tegenwoordig/adj;zelfs/adv	5	Londens/adj;Zwitser/noun;over/prep;tegenwoordig/adj;zelfs/adv	5	Zwitser/noun	1	Zwitser/noun	1	Zwitser/noun	1	Zwitser/noun;zelfs/adv	2	Zwitser/noun;zelfs/adv	2	Zwitser/noun;zelfs/adv	2
geestig/adj/volkskrant_19990109_154/685	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;maar/adv;vondst/noun	4	boek/noun;humor/noun;maar/adv;vondst/noun	4	boek/noun;humor/noun;maar/adv;vondst/noun	4	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3	boek/noun;humor/noun;vondst/noun	3
geestig/adj/volkskrant_20020531_40/740		0		0		0		0		0		0		0		0		0		0		0		0
geestig/adj/volkskrant_20021009_78/920	alert/adj;alles/noun;gesprekspartner/noun;geïnteresseerd/adj;verhaal/noun	5	alert/adj;alles/noun;gesprekspartner/noun;geïnteresseerd/adj;verhaal/noun	5	alert/adj;alles/noun;gesprekspartner/noun;geïnteresseerd/adj;verhaal/noun	5	alert/adj;alles/noun;als/prep;gesprekspartner/noun;geïnteresseerd/adj;over/prep;verhaal/noun	7	alert/adj;alles/noun;als/prep;gesprekspartner/noun;geïnteresseerd/adj;over/prep;verhaal/noun	7	alert/adj;alles/noun;als/prep;gesprekspartner/noun;geïnteresseerd/adj;over/prep;verhaal/noun	7	alert/adj;gesprekspartner/noun	2	alert/adj;gesprekspartner/noun	2	alert/adj;gesprekspartner/noun	2	alert/adj;als/prep;gesprekspartner/noun;over/prep	4	alert/adj;als/prep;gesprekspartner/noun;over/prep	4	alert/adj;als/prep;gesprekspartner/noun;over/prep	4
geestig/adj/volkskrant_20000210_158/303	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;naïef/adj;seks_scène/noun;tegelijk/adj	9	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;naïef/adj;seks_scène/noun;tegelijk/adj	9	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;naïef/adj;seks_scène/noun;tegelijk/adj	9	als/prep;ben/verb;bewust/adj;een/det;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;met/prep;naïef/adj;seks_scène/noun;tegelijk/adj;tussen/prep	13	als/prep;ben/verb;bewust/adj;een/det;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;met/prep;naïef/adj;seks_scène/noun;tegelijk/adj;tussen/prep	13	als/prep;ben/verb;bewust/adj;een/det;film/noun;getekend/adj;grof/adj;hoogtepunt/noun;met/prep;naïef/adj;seks_scène/noun;tegelijk/adj;tussen/prep	13	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;naïef/adj;tegelijk/adj	7	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;naïef/adj;tegelijk/adj	7	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;naïef/adj;tegelijk/adj	7	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;met/prep;naïef/adj;tegelijk/adj	8	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;met/prep;naïef/adj;tegelijk/adj	8	ben/verb;bewust/adj;film/noun;getekend/adj;grof/adj;met/prep;naïef/adj;tegelijk/adj	8
geestig/adj/volkskrant_20011117_223/396	acteur/noun;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	5	acteur/noun;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	5	acteur/noun;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	5	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	7	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	7	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj;maak_waar/verb;opportunist/noun	7	acteur/noun;gemeen/adj;helder/adj	3	acteur/noun;gemeen/adj;helder/adj	3	acteur/noun;gemeen/adj;helder/adj	3	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj	5	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj	5	acteur/noun;die/pron;door/prep;gemeen/adj;helder/adj	5
geestig/adj/volkskrant_19990910_140/432	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;dat/det;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	6	ben/verb;dat/det;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	6	ben/verb;dat/det;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	6	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;grap_DIM/noun;hoe/adj	3	ben/verb;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	5	ben/verb;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	5	ben/verb;grap_DIM/noun;hoe/adj;ook/adv;soms/adv	5
geestig/adj/volkskrant_20011004_204/1130	ben/verb;maan/verb;modern/adj;slim/adj;vrouw/noun	5	ben/verb;maan/verb;modern/adj;slim/adj;vrouw/noun	5	ben/verb;maan/verb;modern/adj;slim/adj;vrouw/noun	5	ben/verb;hem/pron;maan/verb;modern/adj;slim/adj;vrouw/noun;zijn/det	7	ben/verb;hem/pron;maan/verb;modern/adj;slim/adj;vrouw/noun;zijn/det	7	ben/verb;hem/pron;maan/verb;modern/adj;slim/adj;vrouw/noun;zijn/det	7	ben/verb;maan/verb;modern/adj;slim/adj	4	ben/verb;maan/verb;modern/adj;slim/adj	4	ben/verb;maan/verb;modern/adj;slim/adj	4	ben/verb;maan/verb;modern/adj;slim/adj	4	ben/verb;maan/verb;modern/adj;slim/adj	4	ben/verb;maan/verb;modern/adj;slim/adj	4
geestig/adj/parool_20020110_33/428	ben/verb;onnodig/adj;parodie/noun;vaak/adj	4	ben/verb;onnodig/adj;parodie/noun;vaak/adj	4	ben/verb;onnodig/adj;parodie/noun;vaak/adj	4	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;parodie/noun;vaak/adj	7	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;parodie/noun;vaak/adj	7	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;parodie/noun;vaak/adj	7	ben/verb;onnodig/adj;vaak/adj	3	ben/verb;onnodig/adj;vaak/adj	3	ben/verb;onnodig/adj;vaak/adj	3	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;vaak/adj	6	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;vaak/adj	6	altijd/adv;ben/verb;genoeg/adv;lang/adv;onnodig/adj;vaak/adj	6
geestig/adj/parool_20040413_156/165	boodschap/noun;film/noun;lever_op/verb	3	boodschap/noun;film/noun;lever_op/verb	3	boodschap/noun;film/noun;lever_op/verb	3	boodschap/noun;die/pron;een/det;film/noun;lever_op/verb;op/part;over/prep	7	boodschap/noun;die/pron;een/det;film/noun;lever_op/verb;op/part;over/prep	7	boodschap/noun;die/pron;een/det;film/noun;lever_op/verb;op/part;over/prep	7	film/noun;lever_op/verb	2	film/noun;lever_op/verb	2	film/noun;lever_op/verb	2	een/det;film/noun;lever_op/verb;op/part;over/prep	5	een/det;film/noun;lever_op/verb;op/part;over/prep	5	een/det;film/noun;lever_op/verb;op/part;over/prep	5
geestig/adj/parool_20040407_103/288	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1	rose/adj	1
geestig/adj/parool_20000524_34/218	rol/noun;streef_na/verb;vrouw/noun	3	rol/noun;streef_na/verb;vrouw/noun	3	rol/noun;streef_na/verb;vrouw/noun	3	als/prep;die/pron;een/det;rol/noun;streef_na/verb;vrouw/noun	6	als/prep;die/pron;een/det;rol/noun;streef_na/verb;vrouw/noun	6	als/prep;die/pron;een/det;rol/noun;streef_na/verb;vrouw/noun	6	rol/noun;streef_na/verb	2	rol/noun;streef_na/verb	2	rol/noun;streef_na/verb	2	als/prep;een/det;rol/noun;streef_na/verb	4	als/prep;een/det;rol/noun;streef_na/verb	4	als/prep;een/det;rol/noun;streef_na/verb	4
geestig/adj/parool_20010331_126/149	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	deelraad/noun;kijk/adj;ongekend/adj;te/adj;waanzin/noun;wijze/noun	6	ongekend/adj;waanzin/noun;wijze/noun	3	ongekend/adj;waanzin/noun;wijze/noun	3	ongekend/adj;waanzin/noun;wijze/noun	3	ongekend/adj;waanzin/noun;wijze/noun	3	ongekend/adj;waanzin/noun;wijze/noun	3	ongekend/adj;waanzin/noun;wijze/noun	3
geestig/adj/parool_19990326_131/595	diepgravend/adj;eenvoudig/adj;moeilijk/adj;tegelijk/adj	4	diepgravend/adj;eenvoudig/adj;moeilijk/adj;tegelijk/adj	4	diepgravend/adj;eenvoudig/adj;moeilijk/adj;tegelijk/adj	4	diepgravend/adj;eenvoudig/adj;heel/adv;moeilijk/adj;tegelijk/adj;zo/adv	6	diepgravend/adj;eenvoudig/adj;heel/adv;moeilijk/adj;tegelijk/adj;zo/adv	6	diepgravend/adj;eenvoudig/adj;heel/adv;moeilijk/adj;tegelijk/adj;zo/adv	6	eenvoudig/adj;tegelijk/adj	2	eenvoudig/adj;tegelijk/adj	2	eenvoudig/adj;tegelijk/adj	2	eenvoudig/adj;tegelijk/adj	2	eenvoudig/adj;tegelijk/adj	2	eenvoudig/adj;tegelijk/adj	2
geestig/adj/parool_20020808_109/291	associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;spontaan/adj;spreker/noun;vaak/adj	7	associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;spontaan/adj;spreker/noun;vaak/adj	7	associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;spontaan/adj;spreker/noun;vaak/adj	7	als/prep;associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;soms/adv;spontaan/adj;spreker/noun;vaak/adj;vooral/adv;zelfs/adv	11	als/prep;associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;soms/adv;spontaan/adj;spreker/noun;vaak/adj;vooral/adv;zelfs/adv	11	als/prep;associatief/adj;ben/verb;inconsequent/adj;sentimenteel/adj;soms/adv;spontaan/adj;spreker/noun;vaak/adj;vooral/adv;zelfs/adv	11	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5	associatief/adj;ben/verb;inconsequent/adj;spontaan/adj;vaak/adj	5
geestig/adj/parool_20010731_83/1211	ben/verb;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	5	ben/verb;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	5	ben/verb;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	5	ben/verb;een/det;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	6	ben/verb;een/det;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	6	ben/verb;een/det;ingenieus/adj;manier/noun;prikkel/adj;vaak/adj	6	ben/verb;ingenieus/adj;manier/noun;vaak/adj	4	ben/verb;ingenieus/adj;manier/noun;vaak/adj	4	ben/verb;ingenieus/adj;manier/noun;vaak/adj	4	ben/verb;een/det;ingenieus/adj;manier/noun;vaak/adj	5	ben/verb;een/det;ingenieus/adj;manier/noun;vaak/adj	5	ben/verb;een/det;ingenieus/adj;manier/noun;vaak/adj	5
geestig/adj/parool_19991026_123/496	ongekend/adj;verhaal/noun;wijn_fles/noun	3	ongekend/adj;verhaal/noun;wijn_fles/noun	3	ongekend/adj;verhaal/noun;wijn_fles/noun	3	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4	ongekend/adj;verhaal/noun;wijn_fles/noun	3	ongekend/adj;verhaal/noun;wijn_fles/noun	3	ongekend/adj;verhaal/noun;wijn_fles/noun	3	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4	een/det;ongekend/adj;verhaal/noun;wijn_fles/noun	4
geestig/adj/parool_20010324_155/1525	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	accent/noun;ben/verb;erg/adj;goed/adj;voorgedragen/adj	5	erg/adj;goed/adj	2	erg/adj;goed/adj	2	erg/adj;goed/adj	2	erg/adj;goed/adj	2	erg/adj;goed/adj	2	erg/adj;goed/adj	2
geestig/adj/parool_19990521_96/323	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;rommel/verb;stapel/noun;verstrooid/adj	4	bedoeld/adj;stapel/noun	2	bedoeld/adj;stapel/noun	2	bedoeld/adj;stapel/noun	2	bedoeld/adj;stapel/noun	2	bedoeld/adj;stapel/noun	2	bedoeld/adj;stapel/noun	2
geestig/adj/parool_20011015_15/467	avondvullend/adj;fascinatie/noun;schrijnend/adj;voorstelling/noun;vorm/noun;vorm/verb	6	avondvullend/adj;fascinatie/noun;schrijnend/adj;voorstelling/noun;vorm/noun;vorm/verb	6	avondvullend/adj;fascinatie/noun;schrijnend/adj;voorstelling/noun;vorm/noun;vorm/verb	6	avondvullend/adj;een/det;fascinatie/noun;met/prep;schrijnend/adj;tussen/prep;voorstelling/noun;vorm/noun;vorm/verb	9	avondvullend/adj;een/det;fascinatie/noun;met/prep;schrijnend/adj;tussen/prep;voorstelling/noun;vorm/noun;vorm/verb	9	avondvullend/adj;een/det;fascinatie/noun;met/prep;schrijnend/adj;tussen/prep;voorstelling/noun;vorm/noun;vorm/verb	9	fascinatie/noun;schrijnend/adj;vorm/verb	3	fascinatie/noun;schrijnend/adj;vorm/verb	3	fascinatie/noun;schrijnend/adj;vorm/verb	3	fascinatie/noun;schrijnend/adj;tussen/prep;vorm/verb	4	fascinatie/noun;schrijnend/adj;tussen/prep;vorm/verb	4	fascinatie/noun;schrijnend/adj;tussen/prep;vorm/verb	4
geestig/adj/parool_20010420_12/110	hoe/adj;leef/verb;roman/noun;schrijf/verb;slaag/verb	5	hoe/adj;leef/verb;roman/noun;schrijf/verb;slaag/verb	5	hoe/adj;leef/verb;roman/noun;schrijf/verb;slaag/verb	5	bene/adv;een/det;hoe/adj;je/pron;leef/verb;nota/adv;over/prep;roman/noun;schrijf/verb;slaag/verb	10	bene/adv;een/det;hoe/adj;je/pron;leef/verb;nota/adv;over/prep;roman/noun;schrijf/verb;slaag/verb	10	bene/adv;een/det;hoe/adj;je/pron;leef/verb;nota/adv;over/prep;roman/noun;schrijf/verb;slaag/verb	10	roman/noun;schrijf/verb	2	roman/noun;schrijf/verb	2	roman/noun;schrijf/verb	2	bene/adv;een/det;nota/adv;over/prep;roman/noun;schrijf/verb	6	bene/adv;een/det;nota/adv;over/prep;roman/noun;schrijf/verb	6	bene/adv;een/det;nota/adv;over/prep;roman/noun;schrijf/verb	6
geestig/adj/parool_20020320_1/95	kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun	6	kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun	6	kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun	6	bijna/adv;even/adv;kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	9	bijna/adv;even/adv;kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	9	bijna/adv;even/adv;kijk/verb;messcherp/adj;prijs/verb;spreekwoordelijk/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	9	messcherp/adj;uit_vergroting/noun;uitzondering/noun	3	messcherp/adj;uit_vergroting/noun;uitzondering/noun	3	messcherp/adj;uit_vergroting/noun;uitzondering/noun	3	bijna/adv;even/adv;messcherp/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	6	bijna/adv;even/adv;messcherp/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	6	bijna/adv;even/adv;messcherp/adj;uit_vergroting/noun;uitzondering/noun;zonder/prep	6
geestig/adj/parool_20000623_92/403	ben/verb;beweegreden/noun;lever_op/verb;min/adj;moment/noun	5	ben/verb;beweegreden/noun;lever_op/verb;min/adj;moment/noun	5	ben/verb;beweegreden/noun;lever_op/verb;min/adj;moment/noun	5	ben/verb;beweegreden/noun;dat/det;lever_op/verb;min/adj;moment/noun;ook/adv;op/part	8	ben/verb;beweegreden/noun;dat/det;lever_op/verb;min/adj;moment/noun;ook/adv;op/part	8	ben/verb;beweegreden/noun;dat/det;lever_op/verb;min/adj;moment/noun;ook/adv;op/part	8	lever_op/verb;moment/noun	2	lever_op/verb;moment/noun	2	lever_op/verb;moment/noun	2	dat/det;lever_op/verb;moment/noun;ook/adv;op/part	5	dat/det;lever_op/verb;moment/noun;ook/adv;op/part	5	dat/det;lever_op/verb;moment/noun;ook/adv;op/part	5
geestig/adj/parool_19990324_148/356	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;mooi/adj;raak/adj;typering/noun	6	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5	afgebladderd/adj;melancholie/noun;milieu/noun;raak/adj;typering/noun	5
geestig/adj/parool_20020205_52/362	fel/adj;kolonisator/noun;zweep/noun	3	fel/adj;kolonisator/noun;zweep/noun	3	fel/adj;kolonisator/noun;zweep/noun	3	fel/adj;kolonisator/noun;over/prep;zweep/noun	4	fel/adj;kolonisator/noun;over/prep;zweep/noun	4	fel/adj;kolonisator/noun;over/prep;zweep/noun	4	fel/adj;zweep/noun	2	fel/adj;zweep/noun	2	fel/adj;zweep/noun	2	fel/adj;zweep/noun	2	fel/adj;zweep/noun	2	fel/adj;zweep/noun	2
geestig/adj/parool_20000531_89/58	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;informatief/adj;leuk/adj	4	beeld/noun;ben/verb;leuk/adj	3	beeld/noun;ben/verb;leuk/adj	3	beeld/noun;ben/verb;leuk/adj	3	beeld/noun;ben/verb;leuk/adj	3	beeld/noun;ben/verb;leuk/adj	3	beeld/noun;ben/verb;leuk/adj	3
geestig/adj/parool_20010102_32/73	ben/verb;fair/adj;kritisch/adj;leuk/adj	4	ben/verb;fair/adj;kritisch/adj;leuk/adj	4	ben/verb;fair/adj;kritisch/adj;leuk/adj	4	ben/verb;fair/adj;kritisch/adj;leuk/adj;zeer/adv;zonder/prep	6	ben/verb;fair/adj;kritisch/adj;leuk/adj;zeer/adv;zonder/prep	6	ben/verb;fair/adj;kritisch/adj;leuk/adj;zeer/adv;zonder/prep	6	fair/adj;kritisch/adj	2	fair/adj;kritisch/adj	2	fair/adj;kritisch/adj	2	fair/adj;kritisch/adj;zeer/adv;zonder/prep	4	fair/adj;kritisch/adj;zeer/adv;zonder/prep	4	fair/adj;kritisch/adj;zeer/adv;zonder/prep	4
geestig/adj/parool_19991102_7/199	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;hip_hop/noun;like/noun;never/noun;onzinnig/adj;rock/noun;roll/noun;this/noun	8	and/noun;onzinnig/adj;rock/noun;roll/noun	4	and/noun;onzinnig/adj;rock/noun;roll/noun	4	and/noun;onzinnig/adj;rock/noun;roll/noun	4	and/noun;onzinnig/adj;rock/noun;roll/noun	4	and/noun;onzinnig/adj;rock/noun;roll/noun	4	and/noun;onzinnig/adj;rock/noun;roll/noun	4
geestig/adj/parool_20040211_84/3		0		0		0		0		0		0		0		0		0		0		0		0
geestig/adj/parool_20000303_31/985	emmer/noun;lees/verb;satire/noun;vriendschap/noun;zelden/adj	5	emmer/noun;lees/verb;satire/noun;vriendschap/noun;zelden/adj	5	emmer/noun;lees/verb;satire/noun;vriendschap/noun;zelden/adj	5	die/pron;een/det;emmer/noun;je/pron;lees/verb;over/prep;satire/noun;vol/prep;vriendschap/noun;zelden/adj	10	die/pron;een/det;emmer/noun;je/pron;lees/verb;over/prep;satire/noun;vol/prep;vriendschap/noun;zelden/adj	10	die/pron;een/det;emmer/noun;je/pron;lees/verb;over/prep;satire/noun;vol/prep;vriendschap/noun;zelden/adj	10	emmer/noun;lees/verb;satire/noun;zelden/adj	4	emmer/noun;lees/verb;satire/noun;zelden/adj	4	emmer/noun;lees/verb;satire/noun;zelden/adj	4	die/pron;een/det;emmer/noun;lees/verb;satire/noun;vol/prep;zelden/adj	7	die/pron;een/det;emmer/noun;lees/verb;satire/noun;vol/prep;zelden/adj	7	die/pron;een/det;emmer/noun;lees/verb;satire/noun;vol/prep;zelden/adj	7
geestig/adj/parool_20030409_63/223	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;een/det;toch/adv	3	ben/verb;een/det;toch/adv	3	ben/verb;een/det;toch/adv	3	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;een/det;toch/adv	3	ben/verb;een/det;toch/adv	3	ben/verb;een/det;toch/adv	3
