_model	model.x	model.y	token_window	tokpos	mincws	socccorpus	socclength	socc_window	stress	tokens	socclength_group
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.10_10	0.3131565588560134	0.1288044555507114	3:3	NVJID	2	Semcor	5000	10:10	0.250834790658384	227	5000
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.5_5	0.4836917657867243	-0.02067376803208375	3:3	NVJID	2	Semcor	5000	5:5	0.242800983900524	227	5000
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.10_10	-0.053831092392903616	-0.0568192408030337	5:5	NVJ	1	COHA	10000	10:10	0.225280842723223	246	10000
nocomp.5_5_nvj_nobound.noweight.1.c.10k_all.5_5	-0.024986867814923007	0.07438846673013903	5:5	NVJ	1	COHA	10000	5:5	0.240869611699123	246	10000
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.10_10	-0.052950307774979485	-0.080307754867451	5:5	NVJ	1	COHA	5000	10:10	0.220512686306903	246	5000
nocomp.5_5_nvj_nobound.noweight.1.c.5k_all.5_5	-0.07161636149832389	0.04420564651753242	5:5	NVJ	1	COHA	5000	5:5	0.237367138193616	246	5000
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.10_10	-0.05278108095167559	0.22284604591394616	5:5	NVJ	1	Semcor	10000	10:10	0.247675018413001	246	10000
nocomp.5_5_nvj_nobound.noweight.1.s.10k_all.5_5	-0.027770600583771256	0.2400906342287241	5:5	NVJ	1	Semcor	10000	5:5	0.248258272377036	246	10000
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.10_10	-0.05376973571334771	0.17420096001322008	5:5	NVJ	1	Semcor	5000	10:10	0.249414279035236	246	5000
nocomp.5_5_nvj_nobound.noweight.1.s.5k_all.5_5	-0.057034064656200936	0.20188564234183146	5:5	NVJ	1	Semcor	5000	5:5	0.25476360333638	246	5000
nocomp.5_5_nvj_nobound.noweight.2.c.10k_all.10_10	-0.036672853692279406	-0.02002497917536055	5:5	NVJ	2	COHA	10000	10:10	0.230325599168335	229	10000
nocomp.5_5_nvj_nobound.noweight.2.c.10k_all.5_5	-0.02481954325119629	0.06932330444956594	5:5	NVJ	2	COHA	10000	5:5	0.243857709911343	229	10000
nocomp.5_5_nvj_nobound.noweight.2.c.5k_all.10_10	-0.02037466280828992	-0.08013239262757375	5:5	NVJ	2	COHA	5000	10:10	0.224740200025435	229	5000
nocomp.5_5_nvj_nobound.noweight.2.c.5k_all.5_5	-0.04682846599076228	0.02574694488817645	5:5	NVJ	2	COHA	5000	5:5	0.240553442636957	229	5000
