_model	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type
spoor.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	915.0	1.0	nav	bound	no_ppmi	10_10	10000	10000.0	all	4_4	359	spoor
spoor.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	915.0	1.0	nav	bound	no_ppmi	10_10	foc	915.0	all	4_4	359	spoor
spoor.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	915.0	1.0	nav	bound	no_ppmi	10_10	5000	5000.0	all	10_10	359	spoor
spoor.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	915.0	1.0	nav	bound	no_ppmi	10_10	10000	10000.0	all	10_10	359	spoor
spoor.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	915.0	1.0	nav	bound	no_ppmi	10_10	foc	915.0	all	10_10	359	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	598.0	1.0	all	bound	ppmi_weight	10_10	5000	5000.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	598.0	1.0	all	bound	ppmi_weight	10_10	10000	10000.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	598.0	1.0	all	bound	ppmi_weight	10_10	foc	598.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	598.0	1.0	all	bound	ppmi_weight	10_10	5000	5000.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	598.0	1.0	all	bound	ppmi_weight	10_10	10000	10000.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	598.0	1.0	all	bound	ppmi_weight	10_10	foc	598.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	598.0	1.0	all	bound	ppmi_weight	10_10	5000	5000.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	598.0	1.0	all	bound	ppmi_weight	10_10	10000	10000.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	598.0	1.0	all	bound	ppmi_weight	10_10	foc	598.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	598.0	1.0	all	bound	ppmi_weight	10_10	5000	5000.0	all	10_10	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	598.0	1.0	all	bound	ppmi_weight	10_10	10000	10000.0	all	10_10	360	spoor
spoor.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	598.0	1.0	all	bound	ppmi_weight	10_10	foc	598.0	all	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	598.0	1.0	all	bound	ppmi_sel	10_10	5000	5000.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	598.0	1.0	all	bound	ppmi_sel	10_10	10000	10000.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	598.0	1.0	all	bound	ppmi_sel	10_10	foc	598.0	nav	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	598.0	1.0	all	bound	ppmi_sel	10_10	5000	5000.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	598.0	1.0	all	bound	ppmi_sel	10_10	10000	10000.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	598.0	1.0	all	bound	ppmi_sel	10_10	foc	598.0	nav	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	598.0	1.0	all	bound	ppmi_sel	10_10	5000	5000.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	598.0	1.0	all	bound	ppmi_sel	10_10	10000	10000.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	598.0	1.0	all	bound	ppmi_sel	10_10	foc	598.0	all	4_4	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	598.0	1.0	all	bound	ppmi_sel	10_10	5000	5000.0	all	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.all.10000	598.0	1.0	all	bound	ppmi_sel	10_10	10000	10000.0	all	10_10	360	spoor
spoor.foc10.all.ppmi_sel.bound.min1.soc10.all.foc	598.0	1.0	all	bound	ppmi_sel	10_10	foc	598.0	all	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.nav.5000	1094.0	1.0	all	bound	no_ppmi	10_10	5000	5000.0	nav	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.nav.10000	1094.0	1.0	all	bound	no_ppmi	10_10	10000	10000.0	nav	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.nav.foc	1094.0	1.0	all	bound	no_ppmi	10_10	foc	1094.0	nav	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.nav.5000	1094.0	1.0	all	bound	no_ppmi	10_10	5000	5000.0	nav	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.nav.10000	1094.0	1.0	all	bound	no_ppmi	10_10	10000	10000.0	nav	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.nav.foc	1094.0	1.0	all	bound	no_ppmi	10_10	foc	1094.0	nav	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.all.5000	1094.0	1.0	all	bound	no_ppmi	10_10	5000	5000.0	all	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.all.10000	1094.0	1.0	all	bound	no_ppmi	10_10	10000	10000.0	all	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc4.all.foc	1094.0	1.0	all	bound	no_ppmi	10_10	foc	1094.0	all	4_4	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.all.5000	1094.0	1.0	all	bound	no_ppmi	10_10	5000	5000.0	all	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.all.10000	1094.0	1.0	all	bound	no_ppmi	10_10	10000	10000.0	all	10_10	360	spoor
spoor.foc10.all.no_ppmi.bound.min1.soc10.all.foc	1094.0	1.0	all	bound	no_ppmi	10_10	foc	1094.0	all	10_10	360	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.nav.5000	332.0	1.0	nav	bound	ppmi_weight	5_5	5000	5000.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.nav.10000	332.0	1.0	nav	bound	ppmi_weight	5_5	10000	10000.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.nav.foc	332.0	1.0	nav	bound	ppmi_weight	5_5	foc	332.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.nav.5000	332.0	1.0	nav	bound	ppmi_weight	5_5	5000	5000.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.nav.10000	332.0	1.0	nav	bound	ppmi_weight	5_5	10000	10000.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.nav.foc	332.0	1.0	nav	bound	ppmi_weight	5_5	foc	332.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.all.5000	332.0	1.0	nav	bound	ppmi_weight	5_5	5000	5000.0	all	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.all.10000	332.0	1.0	nav	bound	ppmi_weight	5_5	10000	10000.0	all	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc4.all.foc	332.0	1.0	nav	bound	ppmi_weight	5_5	foc	332.0	all	4_4	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.all.5000	332.0	1.0	nav	bound	ppmi_weight	5_5	5000	5000.0	all	10_10	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.all.10000	332.0	1.0	nav	bound	ppmi_weight	5_5	10000	10000.0	all	10_10	342	spoor
spoor.foc5.nav.ppmi_weight.bound.min1.soc10.all.foc	332.0	1.0	nav	bound	ppmi_weight	5_5	foc	332.0	all	10_10	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc4.nav.5000	332.0	1.0	nav	bound	ppmi_sel	5_5	5000	5000.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc4.nav.10000	332.0	1.0	nav	bound	ppmi_sel	5_5	10000	10000.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc4.nav.foc	332.0	1.0	nav	bound	ppmi_sel	5_5	foc	332.0	nav	4_4	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc10.nav.5000	332.0	1.0	nav	bound	ppmi_sel	5_5	5000	5000.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc10.nav.10000	332.0	1.0	nav	bound	ppmi_sel	5_5	10000	10000.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc10.nav.foc	332.0	1.0	nav	bound	ppmi_sel	5_5	foc	332.0	nav	10_10	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc4.all.5000	332.0	1.0	nav	bound	ppmi_sel	5_5	5000	5000.0	all	4_4	342	spoor
spoor.foc5.nav.ppmi_sel.bound.min1.soc4.all.10000	332.0	1.0	nav	bound	ppmi_sel	5_5	10000	10000.0	all	4_4	342	spoor
