_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.049612284643649134	-0.10889027408484203	NA	NA	bound	300	lex	5_5	1	weight	5000	5000	nav	4_4	292	herhalen	0.2629520455878015	BOW
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16468505245459344	-0.04778252434855964	NA	NA	bound	300	lex	5_5	1	weight	5000	5000	all	4_4	292	herhalen	0.27274317168158596	BOW
herhalen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0262392442647019	-0.08916461843659262	NA	NA	bound	300	lex	5_5	1	weight	FOC	190	nav	4_4	292	herhalen	0.29823476405377725	BOW
herhalen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.023005093275976107	-0.082254233497382	NA	NA	bound	300	lex	5_5	1	weight	FOC	300	all	4_4	292	herhalen	0.2979141914797895	BOW
herhalen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.015851881108449747	-0.10736278718477076	NA	NA	bound	300	lex	5_5	1	selection	5000	5000	nav	4_4	292	herhalen	0.25292209052567255	BOW
herhalen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.17681803119146963	-0.06495099670587057	NA	NA	bound	300	lex	5_5	1	selection	5000	5000	all	4_4	292	herhalen	0.26249218423565107	BOW
herhalen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.012900410369921022	-0.10585575193444605	NA	NA	bound	300	lex	5_5	1	selection	FOC	190	nav	4_4	292	herhalen	0.28612955165120335	BOW
herhalen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.016800136630976736	-0.09762795517875522	NA	NA	bound	300	lex	5_5	1	selection	FOC	300	all	4_4	292	herhalen	0.2806144718946977	BOW
herhalen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.020271759919850647	-0.17760177725699955	NA	NA	bound	525	lex	5_5	1	no	5000	5000	nav	4_4	311	herhalen	0.26394464867395623	BOW
herhalen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.3251425135567089	-0.17468696000816794	NA	NA	bound	525	lex	5_5	1	no	5000	5000	all	4_4	311	herhalen	0.2689055342965235	BOW
herhalen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.07838610933393288	-0.17762553017361102	NA	NA	bound	525	lex	5_5	1	no	FOC	380	nav	4_4	311	herhalen	0.27923499643410044	BOW
herhalen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.08771814586335872	-0.1796700050692791	NA	NA	bound	525	lex	5_5	1	no	FOC	525	all	4_4	311	herhalen	0.2709869298496082	BOW
herhalen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	8.472285488964329e-4	0.10593116878083642	NA	NA	bound	471	all	5_5	1	weight	5000	5000	nav	4_4	310	herhalen	0.2655446895963827	BOW
herhalen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.18193101143559862	0.10103946644662061	NA	NA	bound	471	all	5_5	1	weight	5000	5000	all	4_4	310	herhalen	0.27577799020347593	BOW
herhalen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.022029684096928744	0.041752075807958276	NA	NA	bound	471	all	5_5	1	weight	FOC	190	nav	4_4	310	herhalen	0.28448961456292987	BOW
herhalen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.017058309107161152	0.027765848081830184	NA	NA	bound	471	all	5_5	1	weight	FOC	471	all	4_4	310	herhalen	0.2745124436418855	BOW
herhalen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.05970202271928085	0.088148659469625	NA	NA	bound	471	all	5_5	1	selection	5000	5000	nav	4_4	310	herhalen	0.2513338921441748	BOW
herhalen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.24238563440680166	0.10656960502305134	NA	NA	bound	471	all	5_5	1	selection	5000	5000	all	4_4	310	herhalen	0.27293885047310223	BOW
herhalen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.08453410691975356	-1.1747923057235897e-4	NA	NA	bound	471	all	5_5	1	selection	FOC	190	nav	4_4	310	herhalen	0.2664754958591755	BOW
herhalen.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.07680878007284578	-0.010956667810456218	NA	NA	bound	471	all	5_5	1	selection	FOC	471	all	4_4	310	herhalen	0.2556653855623334	BOW
herhalen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.2356607845116307	0.018910433947400617	NA	NA	bound	797	all	5_5	1	no	5000	5000	nav	4_4	312	herhalen	0.2455606527698105	BOW
herhalen.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	-0.448989623668385	0.1326764523367392	NA	NA	bound	797	all	5_5	1	no	5000	5000	all	4_4	312	herhalen	0.2704099281190435	BOW
herhalen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.19448001350452138	-0.041800704210032645	NA	NA	bound	797	all	5_5	1	no	FOC	380	nav	4_4	312	herhalen	0.2417351399294189	BOW
herhalen.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.1901806019303072	-0.05265163970037327	NA	NA	bound	797	all	5_5	1	no	FOC	797	all	4_4	312	herhalen	0.2339363063094568	BOW
herhalen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.06359425554617407	-0.14055592037894243	NA	NA	bound	221	lex	3_3	1	weight	5000	5000	nav	4_4	267	herhalen	0.2579160647368052	BOW
herhalen.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.1657910657092923	-0.041716361381367334	NA	NA	bound	221	lex	3_3	1	weight	5000	5000	all	4_4	267	herhalen	0.2758322936201632	BOW
herhalen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06006043943979644	-0.09330011742226223	NA	NA	bound	221	lex	3_3	1	weight	FOC	138	nav	4_4	267	herhalen	0.29961175275054674	BOW
herhalen.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04517159385801707	-0.07536172869865916	NA	NA	bound	221	lex	3_3	1	weight	FOC	221	all	4_4	267	herhalen	0.30044970354780076	BOW
herhalen.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.04727891947515548	-0.12318820925699614	NA	NA	bound	221	lex	3_3	1	selection	5000	5000	nav	4_4	267	herhalen	0.25181057404267554	BOW
