_id	_cws.gemeen.foc10.nav.weight.bound	_count.gemeen.foc10.nav.weight.bound	_cws.gemeen.foc10.nav.selection.bound	_count.gemeen.foc10.nav.selection.bound	_cws.gemeen.foc10.nav.no.bound	_count.gemeen.foc10.nav.no.bound	_cws.gemeen.foc10.all.weight.bound	_count.gemeen.foc10.all.weight.bound	_cws.gemeen.foc10.all.selection.bound	_count.gemeen.foc10.all.selection.bound	_cws.gemeen.foc10.all.no.bound	_count.gemeen.foc10.all.no.bound	_cws.gemeen.foc5.nav.weight.bound	_count.gemeen.foc5.nav.weight.bound	_cws.gemeen.foc5.nav.selection.bound	_count.gemeen.foc5.nav.selection.bound	_cws.gemeen.foc5.nav.no.bound	_count.gemeen.foc5.nav.no.bound	_cws.gemeen.foc5.all.weight.bound	_count.gemeen.foc5.all.weight.bound	_cws.gemeen.foc5.all.selection.bound	_count.gemeen.foc5.all.selection.bound	_cws.gemeen.foc5.all.no.bound	_count.gemeen.foc5.all.no.bound
gemeen/adj/de_morgen_20030814_01_99/502	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2	ben/verb;deler/noun	2
gemeen/adj/de_morgen_19990904_01_104/3408	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun;je/pron	4	ben/verb;echt/adj;hier/noun;je/pron	4	ben/verb;echt/adj;hier/noun;je/pron	4	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun	3	ben/verb;echt/adj;hier/noun;je/pron	4	ben/verb;echt/adj;hier/noun;je/pron	4	ben/verb;echt/adj;hier/noun;je/pron	4
gemeen/adj/de_morgen_20010528_01_168/502	gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun	4	gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun	4	gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun	4	een/det;gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun;terecht/part	6	een/det;gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun;terecht/part	6	een/det;gevangenis/noun;kom_terecht/verb;misdrijf/noun;recht/noun;terecht/part	6	kom_terecht/verb;misdrijf/noun;recht/noun	3	kom_terecht/verb;misdrijf/noun;recht/noun	3	kom_terecht/verb;misdrijf/noun;recht/noun	3	een/det;kom_terecht/verb;misdrijf/noun;recht/noun	4	een/det;kom_terecht/verb;misdrijf/noun;recht/noun	4	een/det;kom_terecht/verb;misdrijf/noun;recht/noun	4
gemeen/adj/de_morgen_20020313_01_81/266	baksteen/noun;conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	8	baksteen/noun;conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	8	baksteen/noun;conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	8	als/prep;baksteen/noun;conservatief/adj;een/det;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	11	als/prep;baksteen/noun;conservatief/adj;een/det;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	11	als/prep;baksteen/noun;conservatief/adj;een/det;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun;reactie/noun;schrik/noun	11	conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	5	conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	5	conservatief/adj;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	5	conservatief/adj;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	6	conservatief/adj;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	6	conservatief/adj;haar/det;heb/verb;medestudent/noun;opmerking/noun;ouder/noun	6
gemeen/adj/de_morgen_20011124_01_31/414	ben/verb;heb/verb;vroeg/adj	3	ben/verb;heb/verb;vroeg/adj	3	ben/verb;heb/verb;vroeg/adj	3	ben/verb;heb/verb;hen/pron;ook/adv;vroeg/adj;ze/pron	6	ben/verb;heb/verb;hen/pron;ook/adv;vroeg/adj;ze/pron	6	ben/verb;heb/verb;hen/pron;ook/adv;vroeg/adj;ze/pron	6	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;ook/adv;ze/pron	3	ben/verb;ook/adv;ze/pron	3	ben/verb;ook/adv;ze/pron	3
gemeen/adj/de_morgen_20010104_01_56/32	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	6	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8	amok/noun;dat/pron;een/det;maak/verb;publiek/noun;robbertje/noun;scheld/verb;vecht/verb	8
gemeen/adj/de_morgen_20040106_01_6/827	Vaticaan/noun;bijt_toe/verb;maak/verb;zaak/noun;zie/verb	5	Vaticaan/noun;bijt_toe/verb;maak/verb;zaak/noun;zie/verb	5	Vaticaan/noun;bijt_toe/verb;maak/verb;zaak/noun;zie/verb	5	Vaticaan/noun;bijt_toe/verb;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	7	Vaticaan/noun;bijt_toe/verb;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	7	Vaticaan/noun;bijt_toe/verb;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	7	Vaticaan/noun;maak/verb;zaak/noun;zie/verb	4	Vaticaan/noun;maak/verb;zaak/noun;zie/verb	4	Vaticaan/noun;maak/verb;zaak/noun;zie/verb	4	Vaticaan/noun;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	6	Vaticaan/noun;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	6	Vaticaan/noun;maak/verb;met/prep;toch/adv;zaak/noun;zie/verb	6
gemeen/adj/de_morgen_19990923_01_99/289	deler/noun;denk/verb;groot/adj;spreek_aan/verb;versie/noun	5	deler/noun;denk/verb;groot/adj;spreek_aan/verb;versie/noun	5	deler/noun;denk/verb;groot/adj;spreek_aan/verb;versie/noun	5	deler/noun;denk/verb;die/det;groot/adj;niet/adv;spreek_aan/verb;versie/noun;zij/pron	8	deler/noun;denk/verb;die/det;groot/adj;niet/adv;spreek_aan/verb;versie/noun;zij/pron	8	deler/noun;denk/verb;die/det;groot/adj;niet/adv;spreek_aan/verb;versie/noun;zij/pron	8	deler/noun;denk/verb;groot/adj;spreek_aan/verb	4	deler/noun;denk/verb;groot/adj;spreek_aan/verb	4	deler/noun;denk/verb;groot/adj;spreek_aan/verb	4	deler/noun;denk/verb;die/det;groot/adj;spreek_aan/verb	5	deler/noun;denk/verb;die/det;groot/adj;spreek_aan/verb	5	deler/noun;denk/verb;die/det;groot/adj;spreek_aan/verb	5
gemeen/adj/de_morgen_20011013_01_143/1353	bestraf/verb;prompt/adj;staatsgreep/noun	3	bestraf/verb;prompt/adj;staatsgreep/noun	3	bestraf/verb;prompt/adj;staatsgreep/noun	3	bestraf/verb;dat/det;prompt/adj;staatsgreep/noun;wegens/prep	5	bestraf/verb;dat/det;prompt/adj;staatsgreep/noun;wegens/prep	5	bestraf/verb;dat/det;prompt/adj;staatsgreep/noun;wegens/prep	5	bestraf/verb;prompt/adj	2	bestraf/verb;prompt/adj	2	bestraf/verb;prompt/adj	2	bestraf/verb;prompt/adj;wegens/prep	3	bestraf/verb;prompt/adj;wegens/prep	3	bestraf/verb;prompt/adj;wegens/prep	3
gemeen/adj/de_morgen_20041016_01_118/623	spel_DIM/noun;vrouw/noun;web/noun	3	spel_DIM/noun;vrouw/noun;web/noun	3	spel_DIM/noun;vrouw/noun;web/noun	3	een/det;spel_DIM/noun;vrouw/noun;web/noun	4	een/det;spel_DIM/noun;vrouw/noun;web/noun	4	een/det;spel_DIM/noun;vrouw/noun;web/noun	4	spel_DIM/noun;vrouw/noun;web/noun	3	spel_DIM/noun;vrouw/noun;web/noun	3	spel_DIM/noun;vrouw/noun;web/noun	3	een/det;spel_DIM/noun;vrouw/noun;web/noun	4	een/det;spel_DIM/noun;vrouw/noun;web/noun	4	een/det;spel_DIM/noun;vrouw/noun;web/noun	4
