model	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	c	10k	10	10	0.215770686240871	248
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	c	10k	5	5	0.228111628294967	248
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	c	5k	10	10	0.199305000942889	248
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	c	5k	5	5	0.222483888795748	248
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	s	10k	10	10	0.257855299656017	248
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	s	10k	5	5	0.2610199078496	248
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.10_10	nocomp	10	10	nvj	bound	noweight	1	s	5k	10	10	0.242753134470037	248
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.5_5	nocomp	10	10	nvj	bound	noweight	1	s	5k	5	5	0.251591727542321	248
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	c	10k	10	10	0.215863786289657	249
nocomp.10_10_nvj_nobound.noweight.1.c.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	c	10k	5	5	0.228543661726233	249
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	c	5k	10	10	0.199500168024296	249
nocomp.10_10_nvj_nobound.noweight.1.c.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	c	5k	5	5	0.222518928032585	249
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	s	10k	10	10	0.255151940370546	249
nocomp.10_10_nvj_nobound.noweight.1.s.10k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	s	10k	5	5	0.261094821591061	249
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.10_10	nocomp	10	10	nvj	nobound	noweight	1	s	5k	10	10	0.242783134639178	249
nocomp.10_10_nvj_nobound.noweight.1.s.5k_all.5_5	nocomp	10	10	nvj	nobound	noweight	1	s	5k	5	5	0.251619391828957	249
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	c	10k	10	10	0.23193641451721	239
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	c	10k	5	5	0.241437716096502	239
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	c	5k	10	10	0.226042003536079	239
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	c	5k	5	5	0.237007955770121	239
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	s	10k	10	10	0.245707879286218	239
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	s	10k	5	5	0.228429372662076	239
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.10_10	nocomp	3	3	nvjid	bound	noweight	1	s	5k	10	10	0.256383468751367	239
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.5_5	nocomp	3	3	nvjid	bound	noweight	1	s	5k	5	5	0.245867568510145	239
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	10	10	0.231273238583473	244
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	5	5	0.23353327451266	244
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	c	5k	10	10	0.22065610043594	244
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	c	5k	5	5	0.229300605236341	244
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	10	10	0.244623049828069	244
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	5	5	0.226760947089984	244
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.10_10	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	10	10	0.254326875575502	244
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.5_5	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	5	5	0.242174778511933	244
