_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
spot.foc10.nav.no_ppmi.bound.min1.soc4.nav.foc	-0.02611148369221604	0.1890013184812286	784	1	nav	bound	no_ppmi	10_10	foc	784	nav	4_4	226	spot	0.2482973905757928
spot.foc10.nav.no_ppmi.bound.min1.soc10.nav.5000	-0.06423152164665938	0.26232367453307026	784	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	10_10	226	spot	0.24191612458696254
spot.foc10.nav.no_ppmi.bound.min1.soc10.nav.10000	-0.03002151598077596	0.22714181959268148	784	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	10_10	226	spot	0.23891277328674765
spot.foc10.nav.no_ppmi.bound.min1.soc10.nav.foc	-0.04356462298538867	0.1479681710547584	784	1	nav	bound	no_ppmi	10_10	foc	784	nav	10_10	226	spot	0.2370848935788743
spot.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	-0.03802657353872247	0.27695285690532656	784	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	226	spot	0.24964104824672573
spot.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	-0.021133751703554218	0.23570469402675848	784	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	226	spot	0.24551876140910348
spot.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	-0.04056027711541783	0.2080465593606852	784	1	nav	bound	no_ppmi	10_10	foc	784	all	4_4	226	spot	0.2482846865564909
spot.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	-0.04362447902839595	0.27153228802593066	784	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	226	spot	0.24382718869184386
spot.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	-0.07355732303641814	0.3059750483349256	784	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	226	spot	0.24082989662048152
spot.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	-0.04621760020151533	0.14970175044063797	784	1	nav	bound	no_ppmi	10_10	foc	784	all	10_10	226	spot	0.2370938400654597
spot.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.0436260989652702	-0.08288334130469104	664	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	240	spot	0.23408453988871097
spot.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.03305756792833216	-0.13002415399709652	664	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	240	spot	0.2243380999202789
spot.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.04030944380874671	-0.25955656707593894	664	1	all	bound	ppmi_weight	10_10	foc	664	nav	4_4	240	spot	0.23069671728786012
spot.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.10439868403275877	-0.06962073342183239	664	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	240	spot	0.22726533407957297
spot.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.12333295520734032	-0.11887192065943554	664	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	240	spot	0.22215839460026432
spot.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.1046859570140854	-0.13566793182555995	664	1	all	bound	ppmi_weight	10_10	foc	664	nav	10_10	240	spot	0.21653330896765227
spot.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.0583305159685487	-0.0811968665332172	664	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	240	spot	0.2323017954880586
spot.foc10.all.ppmi_weight.bound.min1.soc4.all.10000	-0.04349479448879232	-0.1223994894755915	664	1	all	bound	ppmi_weight	10_10	10000	1e4	all	4_4	240	spot	0.22584693862561317
spot.foc10.all.ppmi_weight.bound.min1.soc4.all.foc	-0.040309443808233016	-0.25955656707680697	664	1	all	bound	ppmi_weight	10_10	foc	664	all	4_4	240	spot	0.23069671728786012
spot.foc10.all.ppmi_weight.bound.min1.soc10.all.5000	-0.12149519257890651	-0.08024651246085407	664	1	all	bound	ppmi_weight	10_10	5000	5e3	all	10_10	240	spot	0.22485315230838385
spot.foc10.all.ppmi_weight.bound.min1.soc10.all.10000	-0.10024901605950758	-0.09021781254628235	664	1	all	bound	ppmi_weight	10_10	10000	1e4	all	10_10	240	spot	0.22369432964011482
spot.foc10.all.ppmi_weight.bound.min1.soc10.all.foc	-0.1046859570140854	-0.13566793182555995	664	1	all	bound	ppmi_weight	10_10	foc	664	all	10_10	240	spot	0.21653330896765227
spot.foc10.all.ppmi_sel.bound.min1.soc4.nav.5000	0.5448388684889258	-0.11566095874593382	664	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	240	spot	0.2065878725648984
spot.foc10.all.ppmi_sel.bound.min1.soc4.nav.10000	0.5229116790216669	-0.11279515339952507	664	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	240	spot	0.20130513254091803
spot.foc10.all.ppmi_sel.bound.min1.soc4.nav.foc	0.3737589913323778	-0.10493731221282183	664	1	all	bound	ppmi_sel	10_10	foc	664	nav	4_4	240	spot	0.20599983319078013
spot.foc10.all.ppmi_sel.bound.min1.soc10.nav.5000	0.38879671574635377	-0.042458684704473275	664	1	all	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	240	spot	0.20066142862779981
spot.foc10.all.ppmi_sel.bound.min1.soc10.nav.10000	0.38018577066360326	-0.043555956286449975	664	1	all	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	240	spot	0.19294352162648698
spot.foc10.all.ppmi_sel.bound.min1.soc10.nav.foc	0.10419697886153925	0.0029113429316724652	664	1	all	bound	ppmi_sel	10_10	foc	664	nav	10_10	240	spot	0.20105295113180074
spot.foc10.all.ppmi_sel.bound.min1.soc4.all.5000	0.6118918428843059	-0.07644653290568854	664	1	all	bound	ppmi_sel	10_10	5000	5e3	all	4_4	240	spot	0.21188711880804026
spot.foc10.all.ppmi_sel.bound.min1.soc4.all.10000	0.5376563931456787	-0.10106819060383145	664	1	all	bound	ppmi_sel	10_10	10000	1e4	all	4_4	240	spot	0.20390784041594723
spot.foc10.all.ppmi_sel.bound.min1.soc4.all.foc	0.37375898761749154	-0.10493730658347174	664	1	all	bound	ppmi_sel	10_10	foc	664	all	4_4	240	spot	0.20599983319078013
spot.foc10.all.ppmi_sel.bound.min1.soc10.all.5000	0.2632509502229655	0.11648947070843114	664	1	all	bound	ppmi_sel	10_10	5000	5e3	all	10_10	240	spot	0.20216025362749418
