_id	_cws.hoekig.foc10.nav.weight.bound	_count.hoekig.foc10.nav.weight.bound	_cws.hoekig.foc10.nav.selection.bound	_count.hoekig.foc10.nav.selection.bound	_cws.hoekig.foc10.nav.no.bound	_count.hoekig.foc10.nav.no.bound	_cws.hoekig.foc10.all.weight.bound	_count.hoekig.foc10.all.weight.bound	_cws.hoekig.foc10.all.selection.bound	_count.hoekig.foc10.all.selection.bound	_cws.hoekig.foc10.all.no.bound	_count.hoekig.foc10.all.no.bound	_cws.hoekig.foc5.nav.weight.bound	_count.hoekig.foc5.nav.weight.bound	_cws.hoekig.foc5.nav.selection.bound	_count.hoekig.foc5.nav.selection.bound	_cws.hoekig.foc5.nav.no.bound	_count.hoekig.foc5.nav.no.bound	_cws.hoekig.foc5.all.weight.bound	_count.hoekig.foc5.all.weight.bound	_cws.hoekig.foc5.all.selection.bound	_count.hoekig.foc5.all.selection.bound	_cws.hoekig.foc5.all.no.bound	_count.hoekig.foc5.all.no.bound
hoekig/adj/nrc_handelsblad_20010706_114/108	benadering/noun;duidelijk/adj;echtelijk/adj;kies/verb;markant/adj;teatraal/adj;trouw/noun	7	benadering/noun;duidelijk/adj;echtelijk/adj;kies/verb;markant/adj;teatraal/adj;trouw/noun	7	benadering/noun;duidelijk/adj;echtelijk/adj;kies/verb;markant/adj;teatraal/adj;trouw/noun	7	benadering/noun;die/pron;duidelijk/adj;echtelijk/adj;een/det;kies/verb;markant/adj;teatraal/adj;trouw/noun	9	benadering/noun;die/pron;duidelijk/adj;echtelijk/adj;een/det;kies/verb;markant/adj;teatraal/adj;trouw/noun	9	benadering/noun;die/pron;duidelijk/adj;echtelijk/adj;een/det;kies/verb;markant/adj;teatraal/adj;trouw/noun	9	benadering/noun;duidelijk/adj;markant/adj	3	benadering/noun;duidelijk/adj;markant/adj	3	benadering/noun;duidelijk/adj;markant/adj	3	benadering/noun;die/pron;duidelijk/adj;een/det;markant/adj	5	benadering/noun;die/pron;duidelijk/adj;een/det;markant/adj	5	benadering/noun;die/pron;duidelijk/adj;een/det;markant/adj	5
hoekig/adj/nrc_handelsblad_20000302_75/239	liefde/noun	1	liefde/noun	1	liefde/noun	1	als/prep;liefde/noun;uit/prep;zijn/det	4	als/prep;liefde/noun;uit/prep;zijn/det	4	als/prep;liefde/noun;uit/prep;zijn/det	4	liefde/noun	1	liefde/noun	1	liefde/noun	1	als/prep;liefde/noun	2	als/prep;liefde/noun	2	als/prep;liefde/noun	2
hoekig/adj/nrc_handelsblad_20030509_94/99	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	7	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	7	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	7	draag/verb;een/det;fors/adj;guitig/adj;hij/pron;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	9	draag/verb;een/det;fors/adj;guitig/adj;hij/pron;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	9	draag/verb;een/det;fors/adj;guitig/adj;hij/pron;hoofd/noun;lichaam/noun;overhemd/noun;spijkerbroek/noun	9	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	6	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	6	draag/verb;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	6	draag/verb;een/det;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	7	draag/verb;een/det;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	7	draag/verb;een/det;fors/adj;guitig/adj;hoofd/noun;lichaam/noun;spijkerbroek/noun	7
hoekig/adj/nrc_handelsblad_20011122_153/587	ben/verb;model/noun	2	ben/verb;model/noun	2	ben/verb;model/noun	2	ben/verb;model/noun;wat/adv	3	ben/verb;model/noun;wat/adv	3	ben/verb;model/noun;wat/adv	3	ben/verb;model/noun	2	ben/verb;model/noun	2	ben/verb;model/noun	2	ben/verb;model/noun;wat/adv	3	ben/verb;model/noun;wat/adv	3	ben/verb;model/noun;wat/adv	3
hoekig/adj/nrc_handelsblad_19991227_80/601	groot/adj;speel/verb	2	groot/adj;speel/verb	2	groot/adj;speel/verb	2	groot/adj;speel/verb;zijn/det	3	groot/adj;speel/verb;zijn/det	3	groot/adj;speel/verb;zijn/det	3	groot/adj;speel/verb	2	groot/adj;speel/verb	2	groot/adj;speel/verb	2	groot/adj;speel/verb;zijn/det	3	groot/adj;speel/verb;zijn/det	3	groot/adj;speel/verb;zijn/det	3
hoekig/adj/nrc_handelsblad_20020301_147/84	beeld/noun;herken/verb;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	7	beeld/noun;herken/verb;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	7	beeld/noun;herken/verb;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	7	als/prep;beeld/noun;herken/verb;hij/pron;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	9	als/prep;beeld/noun;herken/verb;hij/pron;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	9	als/prep;beeld/noun;herken/verb;hij/pron;kom_over/verb;onverschillig/adj;schrijf/verb;stug/adj;veel/adj	9	kom_over/verb;onverschillig/adj;stug/adj;veel/adj	4	kom_over/verb;onverschillig/adj;stug/adj;veel/adj	4	kom_over/verb;onverschillig/adj;stug/adj;veel/adj	4	als/prep;kom_over/verb;onverschillig/adj;stug/adj;veel/adj	5	als/prep;kom_over/verb;onverschillig/adj;stug/adj;veel/adj	5	als/prep;kom_over/verb;onverschillig/adj;stug/adj;veel/adj	5
hoekig/adj/nrc_handelsblad_20010215_174/228	solo/noun	1	solo/noun	1	solo/noun	1	een/det;met/prep;solo/noun	3	een/det;met/prep;solo/noun	3	een/det;met/prep;solo/noun	3	solo/noun	1	solo/noun	1	solo/noun	1	een/det;solo/noun	2	een/det;solo/noun	2	een/det;solo/noun	2
hoekig/adj/nrc_handelsblad_20000216_35/314	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj;ze/pron	6	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj;ze/pron	6	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj;ze/pron	6	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	houvast/noun;muziek/noun;pregnant/adj;stevig/adj	4	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj	5	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj	5	een/det;houvast/noun;muziek/noun;pregnant/adj;stevig/adj	5
hoekig/adj/nrc_handelsblad_20010215_5/444	Arabisch/noun;abstract/adj;denk/verb;doe/verb;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun	8	Arabisch/noun;abstract/adj;denk/verb;doe/verb;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun	8	Arabisch/noun;abstract/adj;denk/verb;doe/verb;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun	8	Arabisch/noun;abstract/adj;denk/verb;doe/verb;een/det;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun;uit/prep	10	Arabisch/noun;abstract/adj;denk/verb;doe/verb;een/det;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun;uit/prep	10	Arabisch/noun;abstract/adj;denk/verb;doe/verb;een/det;gereduceerd/adj;gestileerd/adj;lijk/verb;pixels/noun;uit/prep	10	denk/verb;doe/verb;gereduceerd/adj;pixels/noun	4	denk/verb;doe/verb;gereduceerd/adj;pixels/noun	4	denk/verb;doe/verb;gereduceerd/adj;pixels/noun	4	denk/verb;doe/verb;een/det;gereduceerd/adj;pixels/noun	5	denk/verb;doe/verb;een/det;gereduceerd/adj;pixels/noun	5	denk/verb;doe/verb;een/det;gereduceerd/adj;pixels/noun	5
hoekig/adj/nrc_handelsblad_19991224_17/1209	Zeeuws/adj;bedien/verb;min/adj;stoer/adj	4	Zeeuws/adj;bedien/verb;min/adj;stoer/adj	4	Zeeuws/adj;bedien/verb;min/adj;stoer/adj	4	Zeeuws/adj;bedien/verb;door/prep;een/det;min/adj;stoer/adj;uit/prep	7	Zeeuws/adj;bedien/verb;door/prep;een/det;min/adj;stoer/adj;uit/prep	7	Zeeuws/adj;bedien/verb;door/prep;een/det;min/adj;stoer/adj;uit/prep	7	bedien/verb	1	bedien/verb	1	bedien/verb	1	bedien/verb;door/prep	2	bedien/verb;door/prep	2	bedien/verb;door/prep	2
hoekig/adj/nrc_handelsblad_20011220_187/828	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3	ben/verb;rond/adj;was_tafel/noun	3
hoekig/adj/nrc_handelsblad_20010730_37/108	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;ene/adj;flat/noun;gegoten/adj;kant/noun;strak/adj	6	beton/noun;flat/noun;gegoten/adj;strak/adj	4	beton/noun;flat/noun;gegoten/adj;strak/adj	4	beton/noun;flat/noun;gegoten/adj;strak/adj	4	beton/noun;flat/noun;gegoten/adj;strak/adj	4	beton/noun;flat/noun;gegoten/adj;strak/adj	4	beton/noun;flat/noun;gegoten/adj;strak/adj	4
