_id	_cws.gekleurd.foc10.nav.weight.bound	_count.gekleurd.foc10.nav.weight.bound	_cws.gekleurd.foc10.nav.selection.bound	_count.gekleurd.foc10.nav.selection.bound	_cws.gekleurd.foc10.nav.no.bound	_count.gekleurd.foc10.nav.no.bound	_cws.gekleurd.foc10.all.weight.bound	_count.gekleurd.foc10.all.weight.bound	_cws.gekleurd.foc10.all.selection.bound	_count.gekleurd.foc10.all.selection.bound	_cws.gekleurd.foc10.all.no.bound	_count.gekleurd.foc10.all.no.bound	_cws.gekleurd.foc5.nav.weight.bound	_count.gekleurd.foc5.nav.weight.bound	_cws.gekleurd.foc5.nav.selection.bound	_count.gekleurd.foc5.nav.selection.bound	_cws.gekleurd.foc5.nav.no.bound	_count.gekleurd.foc5.nav.no.bound	_cws.gekleurd.foc5.all.weight.bound	_count.gekleurd.foc5.all.weight.bound	_cws.gekleurd.foc5.all.selection.bound	_count.gekleurd.foc5.all.selection.bound	_cws.gekleurd.foc5.all.no.bound	_count.gekleurd.foc5.all.no.bound
gekleurd/adj/volkskrant_20020817_194/304	bamboe/noun;ben/verb;jongen/noun;lig/verb;meisje/noun;terras/noun;zijkant/noun	7	bamboe/noun;ben/verb;jongen/noun;lig/verb;meisje/noun;terras/noun;zijkant/noun	7	bamboe/noun;ben/verb;jongen/noun;lig/verb;meisje/noun;terras/noun;zijkant/noun	7	bamboe/noun;ben/verb;een/det;jongen/noun;lig/verb;meisje/noun;met/prep;terras/noun;zijkant/noun	9	bamboe/noun;ben/verb;een/det;jongen/noun;lig/verb;meisje/noun;met/prep;terras/noun;zijkant/noun	9	bamboe/noun;ben/verb;de/det;een/det;het/det;in/prep;jongen/noun;lig/verb;meisje/noun;met/prep;terras/noun;van/prep;zijkant/noun	13	bamboe/noun;jongen/noun;meisje/noun	3	bamboe/noun;jongen/noun;meisje/noun	3	bamboe/noun;jongen/noun;meisje/noun	3	bamboe/noun;een/det;jongen/noun;meisje/noun;met/prep	5	bamboe/noun;een/det;jongen/noun;meisje/noun;met/prep	5	bamboe/noun;een/det;jongen/noun;meisje/noun;met/prep;van/prep	6
gekleurd/adj/volkskrant_19990105_42/482	ben/verb;breng/verb;brok_DIM/noun;gedoseerd/adj;informatie/noun	5	ben/verb;breng/verb;brok_DIM/noun;gedoseerd/adj;informatie/noun	5	belangrijk/adj;ben/verb;breng/verb;brok_DIM/noun;gedoseerd/adj;informatie/noun;politiek/noun;reden/noun	8	ben/verb;breng/verb;brok_DIM/noun;buiten/adv;gedoseerd/adj;informatie/noun	6	ben/verb;breng/verb;brok_DIM/noun;buiten/adv;gedoseerd/adj;informatie/noun	6	belangrijk/adj;ben/verb;breng/verb;brok_DIM/noun;buiten/adv;de/det;gedoseerd/adj;informatie/noun;naar/prep;politiek/noun;reden/noun;tegen/prep	12	brok_DIM/noun;gedoseerd/adj;informatie/noun	3	brok_DIM/noun;gedoseerd/adj;informatie/noun	3	belangrijk/adj;brok_DIM/noun;gedoseerd/adj;informatie/noun;reden/noun	5	brok_DIM/noun;buiten/adv;gedoseerd/adj;informatie/noun	4	brok_DIM/noun;buiten/adv;gedoseerd/adj;informatie/noun	4	belangrijk/adj;brok_DIM/noun;buiten/adv;gedoseerd/adj;informatie/noun;naar/prep;reden/noun	7
gekleurd/adj/volkskrant_20000515_31/594	ander/adj;decennium/noun;letterlijk/adj;maatschappij/noun;motief/noun;op/adj;sta/verb	7	ander/adj;decennium/noun;letterlijk/adj;maatschappij/noun;motief/noun;op/adj;sta/verb	7	aantal/noun;ander/adj;decennium/noun;geleden/adj;letterlijk/adj;maatschappij/noun;motief/noun;op/adj;sta/verb	9	ander/adj;decennium/noun;een/det;er/adv;letterlijk/adj;maatschappij/noun;motief/noun;op/adj;sta/verb	9	ander/adj;decennium/noun;een/det;er/adv;letterlijk/adj;maatschappij/noun;motief/noun;op/adj;sta/verb	9	aantal/noun;ander/adj;decennium/noun;een/det;er/adv;geleden/adj;letterlijk/adj;maatschappij/noun;motief/noun;ons/det;op/adj;sta/verb	12	decennium/noun;letterlijk/adj;maatschappij/noun;op/adj;sta/verb	5	decennium/noun;letterlijk/adj;maatschappij/noun;op/adj;sta/verb	5	aantal/noun;decennium/noun;letterlijk/adj;maatschappij/noun;op/adj;sta/verb	6	decennium/noun;een/det;er/adv;letterlijk/adj;maatschappij/noun;op/adj;sta/verb	7	decennium/noun;een/det;er/adv;letterlijk/adj;maatschappij/noun;op/adj;sta/verb	7	aantal/noun;decennium/noun;een/det;er/adv;letterlijk/adj;maatschappij/noun;ons/det;op/adj;sta/verb	9
gekleurd/adj/volkskrant_20040227_up.artikelen-A_495/288		0		0		0		0		0		0		0		0		0		0		0		0
gekleurd/adj/volkskrant_20040916_42/129	lust/verb;metaal/noun;min/adj;net/adj;tafel_blad/noun;vlak/noun	6	lust/verb;metaal/noun;min/adj;net/adj;tafel_blad/noun;vlak/noun	6	lust/verb;metaal/noun;min/adj;net/adj;tafel_blad/noun;vlak/noun	6	lust/verb;metaal/noun;min/adj;net/adj;sommige/det;tafel_blad/noun;vlak/noun;ze/pron	8	lust/verb;metaal/noun;min/adj;net/adj;sommige/det;tafel_blad/noun;vlak/noun;ze/pron	8	lust/verb;metaal/noun;min/adj;net/adj;niet/adv;sommige/det;tafel_blad/noun;van/prep;vlak/noun;ze/pron;zo/adv	11	metaal/noun;min/adj;net/adj;vlak/noun	4	metaal/noun;min/adj;net/adj;vlak/noun	4	metaal/noun;min/adj;net/adj;vlak/noun	4	metaal/noun;min/adj;net/adj;sommige/det;vlak/noun	5	metaal/noun;min/adj;net/adj;sommige/det;vlak/noun	5	metaal/noun;min/adj;net/adj;sommige/det;van/prep;vlak/noun;zo/adv	7
gekleurd/adj/volkskrant_19990422_86/500	Nederlands/adj;bevolking/noun;podium/noun;zeur/verb;zie_terug/verb	5	Nederlands/adj;bevolking/noun;podium/noun;zeur/verb;zie_terug/verb	5	Nederlands/adj;bevolking/noun;kom/verb;moet/verb;podium/noun;zeur/verb;zie_terug/verb	7	Nederlands/adj;bevolking/noun;je/pron;op/prep;podium/noun;zeur/verb;zie_terug/verb	7	Nederlands/adj;bevolking/noun;je/pron;op/prep;podium/noun;zeur/verb;zie_terug/verb	7	Nederlands/adj;bevolking/noun;de/det;je/pron;kom/verb;moet/verb;niet/adv;op/prep;podium/noun;zeur/verb;zie_terug/verb	11	Nederlands/adj;bevolking/noun;zeur/verb;zie_terug/verb	4	Nederlands/adj;bevolking/noun;zeur/verb;zie_terug/verb	4	Nederlands/adj;bevolking/noun;zeur/verb;zie_terug/verb	4	Nederlands/adj;bevolking/noun;je/pron;op/prep;zeur/verb;zie_terug/verb	6	Nederlands/adj;bevolking/noun;je/pron;op/prep;zeur/verb;zie_terug/verb	6	Nederlands/adj;bevolking/noun;je/pron;niet/adv;op/prep;zeur/verb;zie_terug/verb	7
gekleurd/adj/volkskrant_20011130_32/425	bak/noun;beweeg/verb;lig/verb;zand/noun	4	bak/noun;beweeg/verb;lig/verb;zand/noun	4	bak/noun;beweeg/verb;laat/verb;lig/verb;zand/noun	5	bak/noun;beweeg/verb;dat/pron;door/prep;een/det;lig/verb;met/prep;zand/noun	8	bak/noun;beweeg/verb;dat/pron;door/prep;een/det;lig/verb;met/prep;zand/noun	8	bak/noun;beweeg/verb;dat/pron;de/det;door/prep;een/det;hij/pron;in/prep;laat/verb;lig/verb;met/prep;zand/noun	12	beweeg/verb;lig/verb;zand/noun	3	beweeg/verb;lig/verb;zand/noun	3	beweeg/verb;laat/verb;lig/verb;zand/noun	4	beweeg/verb;dat/pron;door/prep;lig/verb;zand/noun	5	beweeg/verb;dat/pron;door/prep;lig/verb;zand/noun	5	beweeg/verb;dat/pron;door/prep;hij/pron;laat/verb;lig/verb;zand/noun	7
gekleurd/adj/parool_20020622_19/1228	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;lab/noun;verschil/adj	8	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;lab/noun;verschil/adj	8	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;lab/noun;spoor_op/verb;verschil/adj	9	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;lab/noun;met/prep;verschil/adj	9	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;lab/noun;met/prep;verschil/adj	9	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;het/det;in/prep;klein/adj;lab/noun;met/prep;spoor_op/verb;verschil/adj	12	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;verschil/adj	7	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;verschil/adj	7	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;verschil/adj	7	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;met/prep;verschil/adj	8	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;met/prep;verschil/adj	8	antilichaam/noun;bal_DIM/noun;bekleed/verb;bloed/noun;buis_DIM/noun;klein/adj;met/prep;verschil/adj	8
gekleurd/adj/parool_20040504_79/326	druk_werk/noun;kaart/noun;lijn/noun;richting/noun;toon/verb	5	druk_werk/noun;kaart/noun;lijn/noun;richting/noun;toon/verb	5	druk_werk/noun;kaart/noun;lijn/noun;richting/noun;toon/verb	5	allerlei/det;druk_werk/noun;kaart/noun;lijn/noun;op/prep;richting/noun;toon/verb	7	allerlei/det;druk_werk/noun;kaart/noun;lijn/noun;op/prep;richting/noun;toon/verb	7	allerlei/det;de/det;druk_werk/noun;het/det;in/prep;kaart/noun;lijn/noun;op/prep;richting/noun;toon/verb;van/prep	11	druk_werk/noun;lijn/noun;richting/noun;toon/verb	4	druk_werk/noun;lijn/noun;richting/noun;toon/verb	4	druk_werk/noun;lijn/noun;richting/noun;toon/verb	4	allerlei/det;druk_werk/noun;lijn/noun;richting/noun;toon/verb	5	allerlei/det;druk_werk/noun;lijn/noun;richting/noun;toon/verb	5	allerlei/det;druk_werk/noun;in/prep;lijn/noun;richting/noun;toon/verb	6
gekleurd/adj/parool_20010126_103/110	anders/adj;enorm/adj;hemel/noun;knal/noun;rookwolk/noun;waai/verb;wit/adj;zwart/adj	8	anders/adj;enorm/adj;hemel/noun;knal/noun;rookwolk/noun;waai/verb;wit/adj;zwart/adj	8	anders/adj;enorm/adj;hemel/noun;knal/noun;rookwolk/noun;stijg/verb;waai/verb;wit/adj;zwart/adj	9	anders/adj;enorm/adj;hemel/noun;knal/noun;rookwolk/noun;waai/verb;weg/adv;wit/adj;zwart/adj	9	anders/adj;enorm/adj;hemel/noun;knal/noun;rookwolk/noun;waai/verb;weg/adv;wit/adj;zwart/adj	9	anders/adj;de/det;enorm/adj;hemel/noun;het/det;knal/noun;naar/prep;over/prep;rookwolk/noun;stijg/verb;waai/verb;weg/adv;wit/adj;zwart/adj	14	anders/adj;hemel/noun;rookwolk/noun;wit/adj;zwart/adj	5	anders/adj;hemel/noun;rookwolk/noun;wit/adj;zwart/adj	5	anders/adj;hemel/noun;rookwolk/noun;wit/adj;zwart/adj	5	anders/adj;hemel/noun;rookwolk/noun;wit/adj;zwart/adj	5	anders/adj;hemel/noun;rookwolk/noun;wit/adj;zwart/adj	5	anders/adj;de/det;hemel/noun;naar/prep;rookwolk/noun;wit/adj;zwart/adj	7
