filename	type	socc	subset	tokens	threshold	stress
Semcor.church.COHAisocc1.min0	church	COHAi1	NA	345	0	0.270894379181928
Semcor.church.COHAisocc1.min1	church	COHAi1	NA	345	1	0.274500223523937
Semcor.church.COHAisocc1.min2	church	COHAi1	NA	319	2	0.286688176147097
Semcor.church.COHAisocc1.min2_5	church	COHAi1	NA	288	2.5	0.292501646294863
Semcor.church.COHAisocc1.min3	church	COHAi1	NA	204	3	0.28891273521268
Semcor.church.COHAisocc2.min0	church	COHAi2	NA	345	0	0.307260321648857
Semcor.church.COHAisocc2.min1	church	COHAi2	NA	345	1	0.29077538180193
Semcor.church.COHAisocc2.min2	church	COHAi2	NA	319	2	0.300009152967989
Semcor.church.COHAisocc2.min2_5	church	COHAi2	NA	288	2.5	0.302669947409314
Semcor.church.COHAisocc2.min3	church	COHAi2	NA	204	3	0.293494882292765
Semcor.church.COHAisocc25.min0	church	COHAi25	NA	345	0	0.307397617885241
Semcor.church.COHAisocc25.min1	church	COHAi25	NA	345	1	0.306862665326252
Semcor.church.COHAisocc25.min2	church	COHAi25	NA	319	2	0.31363138867422
Semcor.church.COHAisocc25.min2_5	church	COHAi25	NA	288	2.5	0.311314066455298
Semcor.church.COHAisocc25.min3	church	COHAi25	NA	204	3	0.299184566305186
Semcor.church.COHAisocc3.min0	church	COHAi3	NA	345	0	0.324519721125987
Semcor.church.COHAisocc3.min1	church	COHAi3	NA	345	1	0.319239450235251
Semcor.church.COHAisocc3.min2	church	COHAi3	NA	319	2	0.318806122565583
Semcor.church.COHAisocc3.min2_5	church	COHAi3	NA	288	2.5	0.304765431693721
Semcor.church.COHAisocc3.min3	church	COHAi3	NA	204	3	0.293671433662892
Semcor.church.Semcorisocc1.min0	church	Semcori1	NA	345	0	0.271647485796428
Semcor.church.Semcorisocc1.min1	church	Semcori1	NA	345	1	0.274862218902864
Semcor.church.Semcorisocc1.min2	church	Semcori1	NA	319	2	0.286258376840134
Semcor.church.Semcorisocc1.min2_5	church	Semcori1	NA	288	2.5	0.29211561617758
Semcor.church.Semcorisocc1.min3	church	Semcori1	NA	204	3	0.288533262363773
Semcor.church.Semcorisocc2.min0	church	Semcori2	NA	345	0	0.30770631416357
Semcor.church.COHAisocc1.min0	church	COHAi1	NA	345	0	0.27074967911656
Semcor.church.Semcorisocc2.min1	church	Semcori2	NA	345	1	0.290588206047378
Semcor.church.Semcorisocc2.min2	church	Semcori2	NA	319	2	0.300070963274337
Semcor.church.Semcorisocc2.min2_5	church	Semcori2	NA	288	2.5	0.302610252611165
Semcor.church.Semcorisocc2.min3	church	Semcori2	NA	204	3	0.293837968273159
Semcor.church.Semcorisocc25.min0	church	Semcori25	NA	345	0	0.307331634903332
Semcor.church.Semcorisocc25.min1	church	Semcori25	NA	345	1	0.306861267925574
Semcor.church.Semcorisocc25.min2	church	Semcori25	NA	319	2	0.313154447209393
Semcor.church.Semcorisocc25.min2_5	church	Semcori25	NA	288	2.5	0.310846101277501
Semcor.church.Semcorisocc25.min3	church	Semcori25	NA	204	3	0.300954316088068
Semcor.church.Semcorisocc3.min0	church	Semcori3	NA	345	0	0.324513945711593
Semcor.church.Semcorisocc3.min1	church	Semcori3	NA	345	1	0.319145517120038
Semcor.church.Semcorisocc3.min2	church	Semcori3	NA	319	2	0.319684087434106
Semcor.church.Semcorisocc3.min2_5	church	Semcori3	NA	288	2.5	0.305201899904857
Semcor.church.Semcorisocc3.min3	church	Semcori3	NA	204	3	0.292207218786147
