model	model.x	model.y	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens	socclength_group
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.10_10	-0.2667168465507981	0.09112528228458837	nocomp	10	10	nvj	nobound	noweight	2	s	10k	10	10	0.252553583948561	249	10k
nocomp.10_10_nvj_nobound.noweight.2.s.10k_all.5_5	-0.2686998244387108	0.1378182966825426	nocomp	10	10	nvj	nobound	noweight	2	s	10k	5	5	0.260170531565213	249	10k
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.10_10	-0.23600902994069878	0.0714408258636865	nocomp	10	10	nvj	nobound	noweight	2	s	5k	10	10	0.24647747587289	249	5k
nocomp.10_10_nvj_nobound.noweight.2.s.5k_all.5_5	-0.22443865341697372	0.09890006423059286	nocomp	10	10	nvj	nobound	noweight	2	s	5k	5	5	0.257704808915412	249	5k
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.10_10	0.22511389670692247	-0.12695719885691542	nocomp	3	3	nvjid	bound	noweight	1	c	10k	10	10	0.233287099085696	245	10k
nocomp.3_3_nvjid_bound.noweight.1.c.10k_all.5_5	0.39740762783805933	-0.126104922046819	nocomp	3	3	nvjid	bound	noweight	1	c	10k	5	5	0.235133084240928	245	10k
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.10_10	0.15473169760248578	-0.12704872952789154	nocomp	3	3	nvjid	bound	noweight	1	c	5k	10	10	0.221496615382187	245	5k
nocomp.3_3_nvjid_bound.noweight.1.c.5k_all.5_5	0.31366649969604893	-0.11162526723362427	nocomp	3	3	nvjid	bound	noweight	1	c	5k	5	5	0.228071273150895	245	5k
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.10_10	0.43789665619310963	0.10012196332779148	nocomp	3	3	nvjid	bound	noweight	1	s	10k	10	10	0.24387960521882	245	10k
nocomp.3_3_nvjid_bound.noweight.1.s.10k_all.5_5	0.5986060903263091	0.019250049860654473	nocomp	3	3	nvjid	bound	noweight	1	s	10k	5	5	0.226488195430337	245	10k
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.10_10	0.32671904444740146	0.10190788376778773	nocomp	3	3	nvjid	bound	noweight	1	s	5k	10	10	0.254817103109317	245	5k
nocomp.3_3_nvjid_bound.noweight.1.s.5k_all.5_5	0.5086289516029274	0.034004090823247485	nocomp	3	3	nvjid	bound	noweight	1	s	5k	5	5	0.242124022913509	245	5k
nocomp.3_3_nvjid_bound.noweight.2.c.10k_all.10_10	0.19050026242142162	-0.08916269890441753	nocomp	3	3	nvjid	bound	noweight	2	c	10k	10	10	0.244512693206243	227	10k
nocomp.3_3_nvjid_bound.noweight.2.c.10k_all.5_5	0.33121181906952335	-0.0935346346713833	nocomp	3	3	nvjid	bound	noweight	2	c	10k	5	5	0.249040214344827	227	10k
nocomp.3_3_nvjid_bound.noweight.2.c.5k_all.10_10	0.18669161488435995	-0.1328173505623359	nocomp	3	3	nvjid	bound	noweight	2	c	5k	10	10	0.237593577173743	227	5k
nocomp.3_3_nvjid_bound.noweight.2.c.5k_all.5_5	0.301138023204022	-0.09776987032059836	nocomp	3	3	nvjid	bound	noweight	2	c	5k	5	5	0.248071848620582	227	5k
nocomp.3_3_nvjid_bound.noweight.2.s.10k_all.10_10	0.4157566069342463	0.0944136588313522	nocomp	3	3	nvjid	bound	noweight	2	s	10k	10	10	0.242027951694813	227	10k
nocomp.3_3_nvjid_bound.noweight.2.s.10k_all.5_5	0.5125942807712428	-0.055807992630010225	nocomp	3	3	nvjid	bound	noweight	2	s	10k	5	5	0.228662299612067	227	10k
nocomp.3_3_nvjid_bound.noweight.2.s.5k_all.10_10	0.32366253124201655	0.11171226507026123	nocomp	3	3	nvjid	bound	noweight	2	s	5k	10	10	0.250793666285595	227	5k
nocomp.3_3_nvjid_bound.noweight.2.s.5k_all.5_5	0.45602992558102046	-0.014210922505093693	nocomp	3	3	nvjid	bound	noweight	2	s	5k	5	5	0.242861811697162	227	5k
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.10_10	0.31971312320832884	-0.20343620159392994	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	10	10	0.233674337720886	245	10k
nocomp.3_3_nvjid_nobound.noweight.1.c.10k_all.5_5	0.39367615380794296	-0.11778955411877287	nocomp	3	3	nvjid	nobound	noweight	1	c	10k	5	5	0.234234160161015	245	10k
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.10_10	0.16723418326494774	-0.1305739006352661	nocomp	3	3	nvjid	nobound	noweight	1	c	5k	10	10	0.220835403335841	245	5k
nocomp.3_3_nvjid_nobound.noweight.1.c.5k_all.5_5	0.29431307903999276	-0.12417575961202906	nocomp	3	3	nvjid	nobound	noweight	1	c	5k	5	5	0.22770271949493	245	5k
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.10_10	0.43145682263134466	0.10364132019702307	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	10	10	0.244509879554124	245	10k
nocomp.3_3_nvjid_nobound.noweight.1.s.10k_all.5_5	0.5642588334138506	0.038808921214797065	nocomp	3	3	nvjid	nobound	noweight	1	s	10k	5	5	0.226040355735666	245	10k
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.10_10	0.34264725040927324	0.09332786596258852	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	10	10	0.254539964785043	245	5k
nocomp.3_3_nvjid_nobound.noweight.1.s.5k_all.5_5	0.5086268296399499	0.03400394398565529	nocomp	3	3	nvjid	nobound	noweight	1	s	5k	5	5	0.242124022913509	245	5k
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.10_10	0.24036618547434446	-0.13579585599987842	nocomp	3	3	nvjid	nobound	noweight	2	c	10k	10	10	0.244280903131562	227	10k
nocomp.3_3_nvjid_nobound.noweight.2.c.10k_all.5_5	0.3514891619999377	-0.141651957465687	nocomp	3	3	nvjid	nobound	noweight	2	c	10k	5	5	0.249325328651036	227	10k
nocomp.3_3_nvjid_nobound.noweight.2.c.5k_all.10_10	0.21618421484380676	-0.18714064481602558	nocomp	3	3	nvjid	nobound	noweight	2	c	5k	10	10	0.238495325026659	227	5k
nocomp.3_3_nvjid_nobound.noweight.2.c.5k_all.5_5	0.2920807032601625	-0.08268238672252831	nocomp	3	3	nvjid	nobound	noweight	2	c	5k	5	5	0.246643071710632	227	5k
nocomp.3_3_nvjid_nobound.noweight.2.s.10k_all.10_10	0.41575741873291416	0.0944138060479869	nocomp	3	3	nvjid	nobound	noweight	2	s	10k	10	10	0.242027951694813	227	10k
nocomp.3_3_nvjid_nobound.noweight.2.s.10k_all.5_5	0.5470947645577358	6.323628173017705e-4	nocomp	3	3	nvjid	nobound	noweight	2	s	10k	5	5	0.228181505032136	227	10k
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.10_10	0.305303566911857	0.12569139107374355	nocomp	3	3	nvjid	nobound	noweight	2	s	5k	10	10	0.250834790658384	227	5k
nocomp.3_3_nvjid_nobound.noweight.2.s.5k_all.5_5	0.4626247307285178	-0.025295752782837425	nocomp	3	3	nvjid	nobound	noweight	2	s	5k	5	5	0.242800983900524	227	5k
nocomp.5_5_nvj_bound.noweight.1.c.10k_all.10_10	-0.057684242210248586	-0.004082971982175014	nocomp	5	5	nvj	bound	noweight	1	c	10k	10	10	0.225434224623016	246	10k
nocomp.5_5_nvj_bound.noweight.1.c.10k_all.5_5	-0.04630534621562848	0.07070497427935102	nocomp	5	5	nvj	bound	noweight	1	c	10k	5	5	0.24104183454999	246	10k
nocomp.5_5_nvj_bound.noweight.1.c.5k_all.10_10	-0.08489124941458225	-0.08083776210699006	nocomp	5	5	nvj	bound	noweight	1	c	5k	10	10	0.220812564202668	246	5k
nocomp.5_5_nvj_bound.noweight.1.c.5k_all.5_5	-0.07620864663830226	0.003773612447136847	nocomp	5	5	nvj	bound	noweight	1	c	5k	5	5	0.237414638674608	246	5k
nocomp.5_5_nvj_bound.noweight.1.s.10k_all.10_10	-0.07366967294763718	0.21705897867083304	nocomp	5	5	nvj	bound	noweight	1	s	10k	10	10	0.247849895000192	246	10k
nocomp.5_5_nvj_bound.noweight.1.s.10k_all.5_5	-0.045794876263673186	0.2264562079103588	nocomp	5	5	nvj	bound	noweight	1	s	10k	5	5	0.248258272377036	246	10k
nocomp.5_5_nvj_bound.noweight.1.s.5k_all.10_10	-0.07873240235740658	0.1787556243041188	nocomp	5	5	nvj	bound	noweight	1	s	5k	10	10	0.250290699380935	246	5k
nocomp.5_5_nvj_bound.noweight.1.s.5k_all.5_5	-0.06872907663258851	0.1939348293794804	nocomp	5	5	nvj	bound	noweight	1	s	5k	5	5	0.254862734939513	246	5k
nocomp.5_5_nvj_bound.noweight.2.c.10k_all.10_10	-0.05651166813749228	-0.046142363382255136	nocomp	5	5	nvj	bound	noweight	2	c	10k	10	10	0.230051979917864	229	10k
nocomp.5_5_nvj_bound.noweight.2.c.10k_all.5_5	-0.05189979730345943	0.042250985767283596	nocomp	5	5	nvj	bound	noweight	2	c	10k	5	5	0.244450286758749	229	10k
nocomp.5_5_nvj_bound.noweight.2.c.5k_all.10_10	-0.056590694437789794	-0.0643524251060143	nocomp	5	5	nvj	bound	noweight	2	c	5k	10	10	0.224247586921949	229	5k
nocomp.5_5_nvj_bound.noweight.2.c.5k_all.5_5	-0.07181741309204358	0.0095636824617761	nocomp	5	5	nvj	bound	noweight	2	c	5k	5	5	0.240230727645455	229	5k
nocomp.5_5_nvj_bound.noweight.2.s.10k_all.10_10	-0.06873216310381655	0.20444889865178442	nocomp	5	5	nvj	bound	noweight	2	s	10k	10	10	0.250196239962749	229	10k
