filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi1.ll1.COHA.ppmi1.ll1	church	COHA	1	1	10	10	COHA	1	1	10	10	238	10	10	0.247365614341438
COHA.ppmi1.ll1.COHA.ppmi2.ll0	church	COHA	1	1	10	10	COHA	2	0	10	10	238	10	10	0.263185882832347
COHA.ppmi1.ll1.COHA.ppmi2.ll1	church	COHA	1	1	10	10	COHA	2	1	10	10	238	10	10	0.263185882832347
COHA.ppmi1.ll1.Semcor.ppmi0.ll0	church	COHA	1	1	10	10	Semcor	0	0	10	10	238	10	10	0.267463095597494
COHA.ppmi1.ll1.Semcor.ppmi0.ll1	church	COHA	1	1	10	10	Semcor	0	1	10	10	238	10	10	0.271169837547015
COHA.ppmi1.ll1.Semcor.ppmi1.ll0	church	COHA	1	1	10	10	Semcor	1	0	10	10	238	10	10	0.272607960809338
COHA.ppmi1.ll1.Semcor.ppmi1.ll1	church	COHA	1	1	10	10	Semcor	1	1	10	10	238	10	10	0.272607960809338
COHA.ppmi1.ll1.Semcor.ppmi2.ll0	church	COHA	1	1	10	10	Semcor	2	0	10	10	238	10	10	0.281718008349355
COHA.ppmi1.ll1.Semcor.ppmi2.ll1	church	COHA	1	1	10	10	Semcor	2	1	10	10	238	10	10	0.281718008349355
COHA.ppmi2_5.ll0.COHA.ppmi0.ll0	church	COHA	2_5	0	10	10	COHA	0	0	10	10	159	10	10	0.227251823682445
COHA.ppmi2_5.ll0.COHA.ppmi0.ll1	church	COHA	2_5	0	10	10	COHA	0	1	10	10	159	10	10	0.232303223474377
COHA.ppmi2_5.ll0.COHA.ppmi1.ll0	church	COHA	2_5	0	10	10	COHA	1	0	10	10	159	10	10	0.238323863240229
COHA.ppmi2_5.ll0.COHA.ppmi1.ll1	church	COHA	2_5	0	10	10	COHA	1	1	10	10	159	10	10	0.241304551874607
COHA.ppmi2_5.ll0.COHA.ppmi2.ll0	church	COHA	2_5	0	10	10	COHA	2	0	10	10	159	10	10	0.251272047561825
COHA.ppmi2_5.ll0.COHA.ppmi2.ll1	church	COHA	2_5	0	10	10	COHA	2	1	10	10	159	10	10	0.251272047561825
COHA.ppmi2_5.ll0.Semcor.ppmi0.ll0	church	COHA	2_5	0	10	10	Semcor	0	0	10	10	159	10	10	0.263868912902141
COHA.ppmi2_5.ll0.Semcor.ppmi0.ll1	church	COHA	2_5	0	10	10	Semcor	0	1	10	10	159	10	10	0.260125484326472
COHA.ppmi2_5.ll0.Semcor.ppmi1.ll0	church	COHA	2_5	0	10	10	Semcor	1	0	10	10	159	10	10	0.257480604508686
COHA.ppmi2_5.ll0.Semcor.ppmi1.ll1	church	COHA	2_5	0	10	10	Semcor	1	1	10	10	159	10	10	0.2578980191637
COHA.ppmi2_5.ll0.Semcor.ppmi2.ll0	church	COHA	2_5	0	10	10	Semcor	2	0	10	10	159	10	10	0.25385634951797
COHA.ppmi2_5.ll0.Semcor.ppmi2.ll1	church	COHA	2_5	0	10	10	Semcor	2	1	10	10	159	10	10	0.252720884123518
COHA.ppmi2_5.ll1.COHA.ppmi0.ll0	church	COHA	2_5	1	10	10	COHA	0	0	10	10	159	10	10	0.229219871008241
COHA.ppmi2_5.ll1.COHA.ppmi0.ll1	church	COHA	2_5	1	10	10	COHA	0	1	10	10	159	10	10	0.230968563287893
COHA.ppmi2_5.ll1.COHA.ppmi1.ll0	church	COHA	2_5	1	10	10	COHA	1	0	10	10	159	10	10	0.236838748463382
COHA.ppmi2_5.ll1.COHA.ppmi1.ll1	church	COHA	2_5	1	10	10	COHA	1	1	10	10	159	10	10	0.2405040086993
COHA.ppmi2_5.ll1.COHA.ppmi2.ll0	church	COHA	2_5	1	10	10	COHA	2	0	10	10	159	10	10	0.251058187105169
COHA.ppmi2_5.ll1.COHA.ppmi2.ll1	church	COHA	2_5	1	10	10	COHA	2	1	10	10	159	10	10	0.249017571995286
COHA.ppmi2_5.ll1.Semcor.ppmi0.ll0	church	COHA	2_5	1	10	10	Semcor	0	0	10	10	159	10	10	0.264485121291916
COHA.ppmi2_5.ll1.Semcor.ppmi0.ll1	church	COHA	2_5	1	10	10	Semcor	0	1	10	10	159	10	10	0.259870287460732
COHA.ppmi2_5.ll1.Semcor.ppmi1.ll0	church	COHA	2_5	1	10	10	Semcor	1	0	10	10	159	10	10	0.25920792277414
COHA.ppmi2_5.ll1.Semcor.ppmi1.ll1	church	COHA	2_5	1	10	10	Semcor	1	1	10	10	159	10	10	0.255626225429973
COHA.ppmi2_5.ll1.Semcor.ppmi2.ll0	church	COHA	2_5	1	10	10	Semcor	2	0	10	10	159	10	10	0.25385634951797
COHA.ppmi2_5.ll1.Semcor.ppmi2.ll1	church	COHA	2_5	1	10	10	Semcor	2	1	10	10	159	10	10	0.25385634951797
COHA.ppmi2.ll0.COHA.ppmi0.ll0	church	COHA	2	0	10	10	COHA	0	0	10	10	184	10	10	0.230805894261182
COHA.ppmi2.ll0.COHA.ppmi0.ll1	church	COHA	2	0	10	10	COHA	0	1	10	10	184	10	10	0.234885456730459
