_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
dof.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.2189507789683423	-0.08187462917245059	bound	809	nav	10_10	1	weight	5000	5000	nav	4_4	317	dof	0.2488851891784053
dof.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.2376398255464701	-0.06312833539090167	bound	809	nav	10_10	1	weight	10000	10000	nav	4_4	317	dof	0.2440086732478686
dof.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.24075246182868737	-0.07047536928727348	bound	809	nav	10_10	1	weight	FOC	809	nav	4_4	317	dof	0.22352510140560597
dof.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.20096395231557435	-0.12062496258799969	bound	809	nav	10_10	1	weight	5000	5000	nav	10_10	317	dof	0.23565981409102835
dof.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.21792212603784825	-0.09781022112784456	bound	809	nav	10_10	1	weight	10000	10000	nav	10_10	317	dof	0.23996175191760485
dof.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.227287468875373	-0.09935746730689264	bound	809	nav	10_10	1	weight	FOC	809	nav	10_10	317	dof	0.22525409297708082
dof.foc10.nav.weight.bound.min1.soc4.all.5000	-0.21472636694125138	-0.09089126796459594	bound	809	nav	10_10	1	weight	5000	5000	all	4_4	317	dof	0.24570969121560485
dof.foc10.nav.weight.bound.min1.soc4.all.10000	-0.23071248301217512	-0.07215876814717777	bound	809	nav	10_10	1	weight	10000	10000	all	4_4	317	dof	0.2481578589620457
dof.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.24075246109885098	-0.0704753727437976	bound	809	nav	10_10	1	weight	FOC	809	all	4_4	317	dof	0.22352510140560597
dof.foc10.nav.weight.bound.min1.soc10.all.5000	-0.20067865019216716	-0.1308084913282675	bound	809	nav	10_10	1	weight	5000	5000	all	10_10	317	dof	0.23644784141661437
dof.foc10.nav.weight.bound.min1.soc10.all.10000	-0.21235430366279986	-0.11043673309722325	bound	809	nav	10_10	1	weight	10000	10000	all	10_10	317	dof	0.2394592184663154
dof.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.22728747013761938	-0.09935746421963929	bound	809	nav	10_10	1	weight	FOC	809	all	10_10	317	dof	0.22525409297708082
dof.foc10.nav.selection.bound.min1.soc4.nav.5000	-0.006432110508442839	-0.19964971530709905	bound	809	nav	10_10	1	selection	5000	5000	nav	4_4	317	dof	0.2623340336841691
dof.foc10.nav.selection.bound.min1.soc4.nav.10000	-0.010938814943407824	-0.1680154345036894	bound	809	nav	10_10	1	selection	10000	10000	nav	4_4	317	dof	0.2645737732725868
