_id	_cws.dof.foc10.nav.weight.bound	_count.dof.foc10.nav.weight.bound	_cws.dof.foc10.nav.selection.bound	_count.dof.foc10.nav.selection.bound	_cws.dof.foc10.nav.no.bound	_count.dof.foc10.nav.no.bound	_cws.dof.foc10.all.weight.bound	_count.dof.foc10.all.weight.bound	_cws.dof.foc10.all.selection.bound	_count.dof.foc10.all.selection.bound	_cws.dof.foc10.all.no.bound	_count.dof.foc10.all.no.bound	_cws.dof.foc5.nav.weight.bound	_count.dof.foc5.nav.weight.bound	_cws.dof.foc5.nav.selection.bound	_count.dof.foc5.nav.selection.bound	_cws.dof.foc5.nav.no.bound	_count.dof.foc5.nav.no.bound	_cws.dof.foc5.all.weight.bound	_count.dof.foc5.all.weight.bound	_cws.dof.foc5.all.selection.bound	_count.dof.foc5.all.selection.bound	_cws.dof.foc5.all.no.bound	_count.dof.foc5.all.no.bound
dof/adj/de_morgen_20000724_01_79/67	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	de/det;diep/adj;kijk/verb;lig/verb;oog/noun	5	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4	diep/adj;kijk/verb;lig/verb;oog/noun	4
dof/adj/de_morgen_20040310_01_18/991	ellende/noun;la/noun;mislukkeling/noun;zwak/noun	4	ellende/noun;la/noun;mislukkeling/noun;zwak/noun	4	ellende/noun;la/noun;mislukkeling/noun;roman/noun;toon/verb;zwak/noun	6	een/det;ellende/noun;hij/pron;la/noun;mislukkeling/noun;zwak/noun	6	een/det;ellende/noun;hij/pron;la/noun;mislukkeling/noun;zwak/noun	6	aldus/prep;een/det;ellende/noun;hij/pron;in/prep;la/noun;mislukkeling/noun;roman/noun;toon/verb;voor/prep;zwak/noun	11	ellende/noun;mislukkeling/noun;zwak/noun	3	ellende/noun;mislukkeling/noun;zwak/noun	3	ellende/noun;mislukkeling/noun;zwak/noun	3	een/det;ellende/noun;mislukkeling/noun;zwak/noun	4	een/det;ellende/noun;mislukkeling/noun;zwak/noun	4	aldus/prep;een/det;ellende/noun;mislukkeling/noun;voor/prep;zwak/noun	6
dof/adj/de_morgen_19990206_01_106/1246	kant/noun;klink/verb;sta_stil/verb	3	kant/noun;klink/verb;sta_stil/verb	3	blijf/verb;er/noun;kant/noun;klink/verb;sta_stil/verb	5	het/det;kant/noun;klink/verb;sta_stil/verb;wat/adv	5	het/det;kant/noun;klink/verb;sta_stil/verb;wat/adv	5	bij/prep;blijf/verb;de/det;er/noun;het/det;kant/noun;klink/verb;niet/adv;sta_stil/verb;van/prep;wat/adv	11	kant/noun;klink/verb	2	kant/noun;klink/verb	2	kant/noun;klink/verb	2	het/det;kant/noun;klink/verb;wat/adv	4	het/det;kant/noun;klink/verb;wat/adv	4	de/det;het/det;kant/noun;klink/verb;van/prep;wat/adv	6
dof/adj/de_morgen_20010519_01_125/718	geheim/noun;gestommel/verb;onthul/verb;overloop/noun;wek/verb;wonderbaarlijk/adj	6	geheim/noun;gestommel/verb;onthul/verb;overloop/noun;wek/verb;wonderbaarlijk/adj	6	geheim/noun;gestommel/verb;groot/adj;onthul/verb;overloop/noun;wek/verb;wonderbaarlijk/adj	7	een/det;geheim/noun;gestommel/verb;me/pron;net/adv;onthul/verb;op/prep;overloop/noun;wek/verb;wonderbaarlijk/adj	10	een/det;geheim/noun;gestommel/verb;me/pron;net/adv;onthul/verb;op/prep;overloop/noun;wek/verb;wonderbaarlijk/adj	10	de/det;een/det;geheim/noun;gestommel/verb;groot/adj;me/pron;net/adv;onthul/verb;op/prep;overloop/noun;wek/verb;wonderbaarlijk/adj	12	geheim/noun;gestommel/verb;onthul/verb;overloop/noun	4	geheim/noun;gestommel/verb;onthul/verb;overloop/noun	4	geheim/noun;gestommel/verb;onthul/verb;overloop/noun	4	een/det;geheim/noun;gestommel/verb;me/pron;onthul/verb;op/prep;overloop/noun	7	een/det;geheim/noun;gestommel/verb;me/pron;onthul/verb;op/prep;overloop/noun	7	de/det;een/det;geheim/noun;gestommel/verb;me/pron;onthul/verb;op/prep;overloop/noun	8
dof/adj/de_morgen_19990430_01_108/1354	aanvaard/verb;berusting/noun;nederlaag/noun	3	aanvaard/verb;berusting/noun;nederlaag/noun	3	aanvaard/verb;berusting/noun;manier/noun;nederlaag/noun;speler/noun	5	aanvaard/verb;berusting/noun;hij/pron;nederlaag/noun;zeker/adv	5	aanvaard/verb;berusting/noun;hij/pron;nederlaag/noun;zeker/adv	5	aanvaard/verb;berusting/noun;de/det;hij/pron;manier/noun;nederlaag/noun;niet/adv;over/prep;speler/noun;zeker/adv	10	berusting/noun	1	berusting/noun	1	berusting/noun	1	berusting/noun;hij/pron;zeker/adv	3	berusting/noun;hij/pron;zeker/adv	3	berusting/noun;hij/pron;niet/adv;over/prep;zeker/adv	5
dof/adj/de_morgen_19991215_01_2/1164	geluid/noun;plots/adj;weerklink/verb	3	geluid/noun;plots/adj;weerklink/verb	3	geluid/noun;plots/adj;schrijf/verb;weerklink/verb	4	een/det;geluid/noun;hij/pron;plots/adj;weerklink/verb	5	een/det;geluid/noun;hij/pron;plots/adj;weerklink/verb	5	bijvoorbeeld/adv;een/det;geluid/noun;hij/pron;plots/adj;schrijf/verb;weerklink/verb	7	geluid/noun;plots/adj;weerklink/verb	3	geluid/noun;plots/adj;weerklink/verb	3	geluid/noun;plots/adj;weerklink/verb	3	een/det;geluid/noun;plots/adj;weerklink/verb	4	een/det;geluid/noun;plots/adj;weerklink/verb	4	een/det;geluid/noun;plots/adj;weerklink/verb	4
dof/adj/de_morgen_20020921_01_118/439	eindig/verb;lach_salvo/noun;steevast/adj	3	eindig/verb;lach_salvo/noun;steevast/adj	3	eindig/verb;lach_salvo/noun;steevast/adj	3	een/det;eindig/verb;elk/det;het/det;lach_salvo/noun;met/prep;steevast/adj	7	een/det;eindig/verb;elk/det;het/det;lach_salvo/noun;met/prep;steevast/adj	7	dat/det;een/det;eindig/verb;elk/det;het/det;in/prep;lach_salvo/noun;met/prep;steevast/adj;wel/adv	10	eindig/verb;lach_salvo/noun;steevast/adj	3	eindig/verb;lach_salvo/noun;steevast/adj	3	eindig/verb;lach_salvo/noun;steevast/adj	3	een/det;eindig/verb;het/det;lach_salvo/noun;met/prep;steevast/adj	6	een/det;eindig/verb;het/det;lach_salvo/noun;met/prep;steevast/adj	6	een/det;eindig/verb;het/det;in/prep;lach_salvo/noun;met/prep;steevast/adj	7
dof/adj/de_morgen_20010905_01_69/58	ellende/noun	1	ellende/noun	1	blijf/verb;ellende/noun;jaar/noun;verbeter/verb	4	een/det;ellende/noun;het/det;wat/adv	4	een/det;ellende/noun;het/det;wat/adv	4	blijf/verb;een/det;ellende/noun;het/det;jaar/noun;verbeter/verb;wat/adv;wel/adv	8	ellende/noun	1	ellende/noun	1	blijf/verb;ellende/noun	2	een/det;ellende/noun;het/det	3	een/det;ellende/noun;het/det	3	blijf/verb;een/det;ellende/noun;het/det	4
dof/adj/de_morgen_19990212_01_38/57	ellende/noun	1	ellende/noun	1	ellende/noun;week/noun	2	een/det;ellende/noun	2	een/det;ellende/noun	2	een/det;ellende/noun;week/noun	3	ellende/noun	1	ellende/noun	1	ellende/noun;week/noun	2	een/det;ellende/noun	2	een/det;ellende/noun	2	een/det;ellende/noun;week/noun	3
dof/adj/de_morgen_20041022_01_93/46	ben_toe/verb;bol/noun;dringend/adj;vervanging/noun;word/verb	5	ben_toe/verb;bol/noun;dringend/adj;vervanging/noun;word/verb	5	ben_toe/verb;bol/noun;dringend/adj;jaar/noun;vervanging/noun;word/verb	6	ben_toe/verb;bol/noun;dringend/adj;na/prep;vervanging/noun;word/verb	6	ben_toe/verb;bol/noun;dringend/adj;na/prep;vervanging/noun;word/verb	6	aan/prep;ben_toe/verb;bijna/adv;bol/noun;de/det;dringend/adj;jaar/noun;na/prep;toe/part;van/prep;vervanging/noun;word/verb	12	ben_toe/verb;dringend/adj;vervanging/noun;word/verb	4	ben_toe/verb;dringend/adj;vervanging/noun;word/verb	4	ben_toe/verb;dringend/adj;jaar/noun;vervanging/noun;word/verb	5	ben_toe/verb;dringend/adj;na/prep;vervanging/noun;word/verb	5	ben_toe/verb;dringend/adj;na/prep;vervanging/noun;word/verb	5	aan/prep;ben_toe/verb;bijna/adv;dringend/adj;jaar/noun;na/prep;vervanging/noun;word/verb	8
dof/adj/de_morgen_20010807_01_71/669	dring_binnen/verb;plekke/noun;song/noun;stof/noun;verzin/verb	5	dring_binnen/verb;plekke/noun;song/noun;stof/noun;verzin/verb	5	dring_binnen/verb;groot/adj;plekke/noun;song/noun;stof/noun;verzin/verb	6	dat/pron;dring_binnen/verb;een/det;het/det;plekke/noun;rond/prep;song/noun;stof/noun;ter/prep;vanaf/prep;verzin/verb	11	dat/pron;dring_binnen/verb;een/det;het/det;plekke/noun;rond/prep;song/noun;stof/noun;ter/prep;vanaf/prep;verzin/verb	11	dat/pron;de/det;dring_binnen/verb;een/det;groot/adj;het/det;plekke/noun;rond/prep;song/noun;stof/noun;ter/prep;vanaf/prep;verzin/verb	13	plekke/noun;song/noun	2	plekke/noun;song/noun	2	plekke/noun;song/noun	2	dat/pron;een/det;het/det;plekke/noun;rond/prep;song/noun;vanaf/prep	7	dat/pron;een/det;het/det;plekke/noun;rond/prep;song/noun;vanaf/prep	7	dat/pron;een/det;het/det;plekke/noun;rond/prep;song/noun;vanaf/prep	7
dof/adj/de_morgen_19991201_01_85/2978	ben/verb;blik/noun	2	ben/verb;blik/noun	2	ben/verb;blik/noun	2	ben/verb;blik/noun;haar/det	3	ben/verb;blik/noun;haar/det	3	ben/verb;blik/noun;haar/det	3	ben/verb;blik/noun	2	ben/verb;blik/noun	2	ben/verb;blik/noun	2	ben/verb;blik/noun;haar/det	3	ben/verb;blik/noun;haar/det	3	ben/verb;blik/noun;haar/det	3
dof/adj/de_morgen_19990325_01_8/1071	glans/adj;kamp/noun;kop/noun;was/verb;zie_toe/verb	5	glans/adj;kamp/noun;kop/noun;was/verb;zie_toe/verb	5	glans/adj;heb/verb;kamp/noun;kop/noun;was/verb;zie_toe/verb	6	een/det;glans/adj;het/det;kamp/noun;kop/noun;niemand/pron;was/verb;zie_toe/verb	8	een/det;glans/adj;het/det;kamp/noun;kop/noun;niemand/pron;was/verb;zie_toe/verb	8	een/det;glans/adj;heb/verb;het/det;in/prep;kamp/noun;kop/noun;niemand/pron;was/verb;zie_toe/verb	10	glans/adj;kamp/noun;kop/noun	3	glans/adj;kamp/noun;kop/noun	3	glans/adj;heb/verb;kamp/noun;kop/noun	4	een/det;glans/adj;het/det;kamp/noun;kop/noun;niemand/pron	6	een/det;glans/adj;het/det;kamp/noun;kop/noun;niemand/pron	6	een/det;glans/adj;heb/verb;het/det;in/prep;kamp/noun;kop/noun;niemand/pron	8
dof/adj/de_morgen_20000410_01_97/382	ben/verb;kerkklok/noun;klink/verb;peleton/noun;place/noun;somber/adj;toeval/noun	7	ben/verb;kerkklok/noun;klink/verb;peleton/noun;place/noun;somber/adj;toeval/noun	7	ben/verb;het/noun;kan/verb;kerkklok/noun;klink/verb;peleton/noun;place/noun;somber/adj;toeval/noun	9	ben/verb;het/det;kerkklok/noun;klink/verb;op/prep;peleton/noun;place/noun;somber/adj;toeval/noun	9	ben/verb;het/det;kerkklok/noun;klink/verb;op/prep;peleton/noun;place/noun;somber/adj;toeval/noun	9	ben/verb;de/det;het/det;het/noun;kan/verb;kerkklok/noun;klink/verb;op/prep;peleton/noun;place/noun;somber/adj;toeval/noun;van/prep	13	kerkklok/noun;klink/verb;somber/adj	3	kerkklok/noun;klink/verb;somber/adj	3	kerkklok/noun;klink/verb;somber/adj	3	het/det;kerkklok/noun;klink/verb;somber/adj	4	het/det;kerkklok/noun;klink/verb;somber/adj	4	het/det;kerkklok/noun;klink/verb;somber/adj;van/prep	5
dof/adj/de_morgen_20010319_01_65/349	hartslag/noun;klap/noun;seconde/noun;val/noun	4	hartslag/noun;klap/noun;seconde/noun;val/noun	4	hartslag/noun;klap/noun;seconde/noun;val/noun;vrij/adj	5	een/det;hartslag/noun;klap/noun;na/prep;seconde/noun;val/noun	6	een/det;hartslag/noun;klap/noun;na/prep;seconde/noun;val/noun	6	een/det;hartslag/noun;klap/noun;na/prep;seconde/noun;val/noun;vrij/adj	7	klap/noun;seconde/noun	2	klap/noun;seconde/noun	2	klap/noun;seconde/noun	2	een/det;klap/noun;na/prep;seconde/noun	4	een/det;klap/noun;na/prep;seconde/noun	4	een/det;klap/noun;na/prep;seconde/noun	4
dof/adj/de_morgen_20010217_01_194/613	ben/verb;iets/noun;klap/noun;spat_uiteen/verb;suis/verb;voet/noun;wit/adj	7	ben/verb;iets/noun;klap/noun;spat_uiteen/verb;suis/verb;voet/noun;wit/adj	7	ben/verb;iets/noun;klap/noun;spat_uiteen/verb;suis/verb;voet/noun;wit/adj	7	ben/verb;een/det;er/adv;iets/noun;klap/noun;met/prep;mijn/det;spat_uiteen/verb;suis/verb;uiteen/part;voet/noun;wit/adj	12	ben/verb;een/det;er/adv;iets/noun;klap/noun;met/prep;mijn/det;spat_uiteen/verb;suis/verb;uiteen/part;voet/noun;wit/adj	12	ben/verb;dat/det;een/det;er/adv;iets/noun;klap/noun;langs/prep;met/prep;mijn/det;spat_uiteen/verb;suis/verb;uiteen/part;voet/noun;voor/prep;wit/adj	15	klap/noun;voet/noun;wit/adj	3	klap/noun;voet/noun;wit/adj	3	klap/noun;voet/noun;wit/adj	3	een/det;klap/noun;met/prep;mijn/det;uiteen/part;voet/noun;wit/adj	7	een/det;klap/noun;met/prep;mijn/det;uiteen/part;voet/noun;wit/adj	7	dat/det;een/det;klap/noun;langs/prep;met/prep;mijn/det;uiteen/part;voet/noun;voor/prep;wit/adj	10
dof/adj/de_morgen_20010703_01_25/116	dag/noun;tegelijk/adj;verkeer_ellende/noun;wielerliefhebbers/noun	4	dag/noun;tegelijk/adj;verkeer_ellende/noun;wielerliefhebbers/noun	4	begin/noun;dag/noun;tegelijk/adj;verkeer_ellende/noun;wielerliefhebbers/noun	5	dag/noun;het/det;tegelijk/adj;verkeer_ellende/noun;wielerliefhebbers/noun	5	dag/noun;het/det;tegelijk/adj;verkeer_ellende/noun;wielerliefhebbers/noun	5	begin/noun;dag/noun;het/det;ook/adv;tegelijk/adj;van/prep;verkeer_ellende/noun;wielerliefhebbers/noun	8	dag/noun;verkeer_ellende/noun	2	dag/noun;verkeer_ellende/noun	2	begin/noun;dag/noun;verkeer_ellende/noun	3	dag/noun;het/det;verkeer_ellende/noun	3	dag/noun;het/det;verkeer_ellende/noun	3	begin/noun;dag/noun;het/det;van/prep;verkeer_ellende/noun	5
