cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_20010405_29/236/R9	hoekig/adj/nrc_handelsblad_20010405_29/236	R9	de	det	de/det	de	True	R	10	-0.08141816	28074105	1228	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R10	hoekig/adj/nrc_handelsblad_20010405_29/236	R10	personage	noun	personage/noun	personages	True	R	11	1.8124676	20478	6	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R11	hoekig/adj/nrc_handelsblad_20010405_29/236	R11	treffend	adj	treffend/adj	treffend	True	R	12	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R12	hoekig/adj/nrc_handelsblad_20010405_29/236	R12	typeer	verb	typeer/verb	typeert	True	R	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R13	hoekig/adj/nrc_handelsblad_20010405_29/236	R13	.	punct	./punct	.	True	R	14	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R14	hoekig/adj/nrc_handelsblad_20010405_29/236	R14	sentence_delimiter	none	none	</sentence>	none	R	15	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20010405_29/236/R15	hoekig/adj/nrc_handelsblad_20010405_29/236	R15	sentence_delimiter	none	none	<sentence>	none	R	16	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L0	hoekig/adj/nrc_handelsblad_20020812_7/163	L0	en	vg	en/vg	en	True	L	1	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L1	hoekig/adj/nrc_handelsblad_20020812_7/163	L1	stotter	adj	stotter/adj	stotterend	True	L	2	4.476825700000001	238	1	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20020812_7/163/L2	hoekig/adj/nrc_handelsblad_20020812_7/163	L2	zijn	det	zijn/det	zijn	True	L	3	0.65817213	2164588	199	FALSE	FALSE	FALSE	0
