_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc10.nav.no.bound.min1.soc10.nav.10000	0.07211187588376143	-0.23384933305475053	bound	nav	10_10	no	887	1	10000	10000	nav	10_10	277	hoekig	0.2353567725325798
hoekig.foc10.nav.no.bound.min1.soc10.nav.FOC	0.056838690450549595	-0.20768941634763807	bound	nav	10_10	no	887	1	FOC	887	nav	10_10	277	hoekig	0.2144961738432018
hoekig.foc10.nav.no.bound.min1.soc4.all.5000	0.06415793017741696	-0.2870378051391668	bound	nav	10_10	no	887	1	5000	5000	all	4_4	277	hoekig	0.24528809446505734
hoekig.foc10.nav.no.bound.min1.soc4.all.10000	0.061811993927192055	-0.25779506459202794	bound	nav	10_10	no	887	1	10000	10000	all	4_4	277	hoekig	0.2409560682782093
hoekig.foc10.nav.no.bound.min1.soc4.all.FOC	0.041099907800221346	-0.2049143171966703	bound	nav	10_10	no	887	1	FOC	887	all	4_4	277	hoekig	0.2227737154340097
hoekig.foc10.nav.no.bound.min1.soc10.all.5000	0.07144360229838503	-0.29197470879886506	bound	nav	10_10	no	887	1	5000	5000	all	10_10	277	hoekig	0.23891590450737596
hoekig.foc10.nav.no.bound.min1.soc10.all.10000	0.07030386429455047	-0.24415520160639673	bound	nav	10_10	no	887	1	10000	10000	all	10_10	277	hoekig	0.239668053079432
hoekig.foc10.nav.no.bound.min1.soc10.all.FOC	0.05683869045054968	-0.20768941634763805	bound	nav	10_10	no	887	1	FOC	887	all	10_10	277	hoekig	0.2144961738432018
hoekig.foc10.all.weight.bound.min1.soc4.nav.5000	0.13522949469474438	-0.11209758487946314	bound	all	10_10	weight	993	1	5000	5000	nav	4_4	277	hoekig	0.24654415423387996
hoekig.foc10.all.weight.bound.min1.soc4.nav.10000	0.15158900413032117	-0.08927721127532617	bound	all	10_10	weight	993	1	10000	10000	nav	4_4	277	hoekig	0.2409269963916132
hoekig.foc10.all.weight.bound.min1.soc4.nav.FOC	0.13179855451161074	-0.08002588721117762	bound	all	10_10	weight	993	1	FOC	993	nav	4_4	277	hoekig	0.2353943971851687
hoekig.foc10.all.weight.bound.min1.soc10.nav.5000	0.13028624772850503	-0.15440787553664642	bound	all	10_10	weight	993	1	5000	5000	nav	10_10	277	hoekig	0.23538892570305436
hoekig.foc10.all.weight.bound.min1.soc10.nav.10000	0.13317892629939274	-0.13513291733845853	bound	all	10_10	weight	993	1	10000	10000	nav	10_10	277	hoekig	0.2398043551396801
hoekig.foc10.all.weight.bound.min1.soc10.nav.FOC	0.12064924775124977	-0.11097920975761624	bound	all	10_10	weight	993	1	FOC	993	nav	10_10	277	hoekig	0.2187127386455179
hoekig.foc10.all.weight.bound.min1.soc4.all.5000	0.13336155965393176	-0.12959398893986013	bound	all	10_10	weight	993	1	5000	5000	all	4_4	277	hoekig	0.2450314703226147
hoekig.foc10.all.weight.bound.min1.soc4.all.10000	0.13372074847142115	-0.10146972206528611	bound	all	10_10	weight	993	1	10000	10000	all	4_4	277	hoekig	0.24300480699554947
hoekig.foc10.all.weight.bound.min1.soc4.all.FOC	0.13179855451161077	-0.08002588721117773	bound	all	10_10	weight	993	1	FOC	993	all	4_4	277	hoekig	0.2353943971851687
