pmi	raw_freq	raw_co	cw
0.24233569	5042	6	breng_toe/verb
2.4182208	1908	20	broeikas_gas/noun
-2.064412	42077	5	broer/noun
0.103719085	4853	5	bronzen/adj
-0.38219637	67390	43	buiten/prep
1.2526162	2436	8	buitenaf/adv
1.3271112	565	2	buitenissig/adj
1.1482757	1711	5	bulldozer/noun
3.0571916	303	6	bus_kruit/noun
0.04645188	63283	62	buurt/noun
1.3953269	267	1	calvinist/noun
1.4370363	37006	142	cel/noun
0.5265237	16999	27	centi_meter/noun
0.39201295	10198	14	chaos/noun
-0.60436743	3922	2	chaotisch/adj
4.669047	9739	968	chemisch/adj
0.13190158	17914	19	circa/adv
-0.113916956	1196	1	clandestien/adj
2.2178109	231	2	co_auteur/noun
1.5181618	233	1	colbert_DIM/noun
-1.954423	15096	2	collectief/adj
1.2015659	25952	81	combinatie/noun
1.0362016	14750	39	combineer/verb
1.0878056	4313	12	comfort/noun
-1.2438275	33399	9	commercieel/adj
-0.06653674	42369	37	commissie/noun
-0.21956043	1325	1	compilatie/noun
-0.46051028	10140	6	complex/noun
-0.79371244	9474	4	compromis/noun
0.021657111	35685	34	computer/noun
3.5530531	8550	280	concentratie/noun
-0.6849911	14822	7	confrontatie/noun
-2.3548558	11240	1	conservatief/adj
1.5955099	9162	42	container/noun
-2.1436322	54888	6	contract/noun
0.46672955	50462	75	controle/noun
0.8480837	32129	70	controleer/verb
1.4345527	764	3	cosmetische/adj
0.7123574	521	1	couplet/noun
0.12219309	10383	11	criterium/noun
2.432618	2062	22	crème/noun
1.5796374	219	1	crème_kleurig/adj
4.0493107	1239	66	daal_neer/verb
-0.06127797	274838	243	daar/adv
0.018262098	42815	41	daarna/adv
-0.48572066	388220	223	dag/noun
-0.105550155	853168	722	dan/adv
-0.20714504	15891	12	dans/verb
-0.02883381	1849436	1688	dat/det
0.4202728	552171	791	dat/pron
0.042483103	28074105	27384	de/det
0.047189496	36825	36	debat/noun
-1.0912422	12832	4	debuut/noun
2.133862	1008	8	decoratief/adj
0.014363608	150293	143	deel/noun
0.967287	3232	8	deel_in/verb
2.5664728	2450	30	deeltje/noun
0.5585156	18271	30	degelijk/adv
1.0837051	4352	12	deken/noun
0.93414944	22261	53	denk_na/verb
0.6816826	4880	9	design/noun
0.8842104	13724	31	deskundige/noun
0.80094236	22010	46	detail/noun
0.5727222	719674	1195	deze/det
0.97691995	97788	244	dezelfde/det
0.1584966	39413	43	dicht/adj
0.16792978	5438	6	dictator/noun
0.36146775	1365392	1844	die/det
0.712046	2519801	4832	die/pron
-1.4313523	18171	4	diefstal/noun
1.1671926	49858	150	diep/adj
0.9210074	49373	116	dier/noun
1.7379359	33073	176	dik/adj
1.7625362	42451	231	discussie/noun
-0.26230493	795783	573	dit/det
-0.06887621	25087	22	dit/noun
0.47763348	39724	60	divers/adj
0.81638676	731956	1549	doe/verb
-1.442618	36337	8	doe_mee/verb
0.6153171	9228	16	doe_op/verb
0.78577024	15093	31	doek/noun
2.1332126	1515	12	doek_DIM/noun
-0.63708717	58563	29	doel/noun
-0.040823817	4478	4	dominee/noun
1.5541375	1579	7	dompel_onder/verb
-0.10009867	58709	49	dood/adj
0.454502	2061	3	dood_oorzaak/noun
0.48206547	1310789	1989	door/prep
0.5678731	10305	17	doos/noun
1.1664983	6730	20	doping/noun
0.38720456	40639	56	dossier/noun
0.7423513	5606	11	douche/noun
1.0420873	9019	24	draad/noun
-0.012501351	19580	18	drama/noun
1.1728113	9252	28	dring_door/verb
0.36156735	1484	2	dromerig/adj
1.5267848	19093	82	droog/adj
-0.119014814	2434	2	drugs_gebruik/noun
-0.9758842	8462	3	druk_uit/verb
1.207311	5732	18	duid/verb
-0.17969514	152880	120	duidelijk/adj
-0.8754429	2567	1	duik_onder/verb
0.7329157	31114	60	duizenden/noun
2.1683674	9141	75	dun/adj
-0.40351483	7975	5	durend/adj
0.19365968	257023	293	dus/adv
0.94479793	3747	9	dwars/adv
-1.2911966	3933	1	e/noun
-0.2549044	253480	184	echt/adj
0.15164703	172600	189	echter/adv
0.08586117	11075723	11304	een/det
-0.016171394	8684	8	een/pron
-0.7374114	24490	11	eenmaal/adv
-0.7980479	33191	14	eens/adj
-0.30052894	292605	203	eens/adv
0.57393396	36615	61	eenvoudig/adj
-0.27828574	167651	119	eerder/adj
0.19137691	108250	123	eerst/adv
1.9214483	35928	230	effect/noun
0.556959	19609	32	effectief/adj
2.3581557	7041	70	eigenschap/noun
3.1870942	4303	98	eiwit/noun
1.215205	4425	14	elegant/adj
0.13451733	8431	9	elektriciteit/noun
-0.009502449	249085	231	elk/det
0.20051806	218177	250	elkaar/pron
-0.152384	49554	40	ene/adj
0.43131799	23455	34	enkel/adj
0.029475408	319878	309	enkel/det
0.1823879	71016	80	enorm/adj
3.9871004	968	49	enzym/noun
0.26746336	1744977	2141	er/adv
-0.081950605	665899	576	er/noun
-1.4720682	4694	1	erfgoed/noun
0.50553626	6465	10	ergernis/noun
3.05334	302	6	erts/noun
-0.57258415	1890	1	establishment/noun
-0.15657659	172619	138	even/adj
1.0610843	9273	25	examen/noun
1.3648125	6289	23	exotisch/adj
1.6272365	6096	29	experimenteer/verb
0.25970575	2462	3	expertise/noun
0.8254036	2352	5	explodeer/verb
1.5906094	7944	36	explosie/noun
2.993131	5436	101	explosief/adj
0.31499922	102779	131	extra/adj
-0.56044227	5638	3	extra/noun
2.334453	4392	42	farmaceutisch/adj
-0.33912805	1496	1	fascistisch/adj
-0.87464803	36049	14	federaal/adj
-0.78527826	86310	37	feit/noun
0.32047856	27213	35	fel/adj
0.30297294	20442	26	figuur/noun
2.7221444	15238	217	fijn/adj
-0.32993695	128189	86	film/noun
-0.84970075	5045	2	filmmaker/noun
-0.09157848	5851	5	flexibel/adj
0.39175308	47698	66	flink/adj
0.3724307	2221	3	fontein/noun
0.08479157	5880	6	formaat/noun
-0.26079336	174018	103	foto/noun
0.09127576	16591	17	fout/adj
1.3245269	285	1	fraîche/noun
0.85695153	1807	4	frekwent/adj
1.0358664	1144	3	fris_op/verb
2.6698427	301	4	frituur_vet/noun
-0.005583959	1085158	1008	ga/verb
-0.9834748	42891	15	ga_in/verb
0.3805731	15337	21	ga_over/verb
2.0457256	7908	57	ga_tegen/verb
3.2076244	431	10	gaas/noun
1.031435	3801	10	gangbaar/adj
-0.114078216	13221	11	garandeer/verb
2.5769196	11491	141	gas/noun
-1.9097617	28795	4	gast/noun
-0.14223419	176014	143	gebeur/verb
-0.60057104	1946	1	gebracht/adj
1.5661962	49055	220	gebruik/noun
1.6675233	135616	673	gebruik/verb
0.5922637	13576	23	gebruiker/noun
0.3337835	3817	5	geconcentreerd/adj
1.0210285	4621	12	gecontroleerd/adj
2.238795	453	4	gedecoreerd/adj
-0.043761846	13324	12	gedeelte/noun
0.24924785	370341	444	geef/verb
0.25297022	34712	42	geef_aan/verb
1.6651609	9530	47	geef_af/verb
0.6528196	3335	6	geef_vorm/verb
-0.7277222	6653	3	geef_weg/verb
0.15619913	1048752	1143	geen/det
0.35219982	31458	42	gegeven/noun
1.1965512	323	1	gegil/verb
3.3884153	2375	66	gehalte/noun
0.48018315	3309	5	geheimzinnig/adj
0.5699268	8470	14	geheugen/noun
2.3830152	296	3	gelatine/noun
-1.6124074	203976	38	geld/noun
0.13381773	73758	79	geld/verb
0.22503585	9347	11	geleidelijk/adj
-0.14941229	11200	9	gelijk/part
-0.75982714	27417	12	geluk/noun
-0.5652997	67731	36	gelukkig/adj
1.510182	13652	58	gemaakt/adj
0.35628682	43272	58	gemakkelijk/adj
-0.65633947	2077	1	genade/noun
1.1104611	17647	50	genoeg/adj
0.6303599	65921	116	genoeg/adv
1.8760624	24195	148	genoeg/det
2.1123636	1159	9	genoemd/prep
1.4972119	240	1	gerecycleerd/adj
-0.2431131	55948	41	geschiedenis/noun
0.64536566	21816	39	geschikt/adj
