_id	_cws.stof.foc10.nav.ppmi_weight.bound	_count.stof.foc10.nav.ppmi_weight.bound	_cws.stof.foc10.nav.ppmi_sel.bound	_count.stof.foc10.nav.ppmi_sel.bound	_cws.stof.foc10.nav.no_ppmi.bound	_count.stof.foc10.nav.no_ppmi.bound	_cws.stof.foc10.all.ppmi_weight.bound	_count.stof.foc10.all.ppmi_weight.bound	_cws.stof.foc10.all.ppmi_sel.bound	_count.stof.foc10.all.ppmi_sel.bound	_cws.stof.foc10.all.no_ppmi.bound	_count.stof.foc10.all.no_ppmi.bound	_cws.stof.foc5.nav.ppmi_weight.bound	_count.stof.foc5.nav.ppmi_weight.bound	_cws.stof.foc5.nav.ppmi_sel.bound	_count.stof.foc5.nav.ppmi_sel.bound	_cws.stof.foc5.nav.no_ppmi.bound	_count.stof.foc5.nav.no_ppmi.bound	_cws.stof.foc5.all.ppmi_weight.bound	_count.stof.foc5.all.ppmi_weight.bound	_cws.stof.foc5.all.ppmi_sel.bound	_count.stof.foc5.all.ppmi_sel.bound	_cws.stof.foc5.all.no_ppmi.bound	_count.stof.foc5.all.no_ppmi.bound
stof/noun/nrc_handelsblad_20010104_4/328	betonnen/adj;meter/noun;muur/noun;ruw/adj;vloer/noun	5	betonnen/adj;meter/noun;muur/noun;ruw/adj;vloer/noun	5	betonnen/adj;hoek/noun;jaar/noun;meter/noun;muur/noun;ruw/adj;ver/adj;vloer/noun	8	betonnen/adj;de/det;een/det;in/prep;met/prep;meter/noun;muur/noun;ruw/adj;tot/prep;van/prep;vloer/noun	11	betonnen/adj;de/det;een/det;in/prep;met/prep;meter/noun;muur/noun;ruw/adj;tot/prep;van/prep;vloer/noun	11	altijd/adv;betonnen/adj;de/det;een/det;hoek/noun;in/prep;jaar/noun;met/prep;meter/noun;muur/noun;nog/adv;ruw/adj;tot/prep;van/prep;ver/adj;vloer/noun;waar/adv	17	betonnen/adj;vloer/noun	2	betonnen/adj;vloer/noun	2	betonnen/adj;jaar/noun;vloer/noun	3	betonnen/adj;een/det;tot/prep;van/prep;vloer/noun	5	betonnen/adj;een/det;tot/prep;van/prep;vloer/noun	5	altijd/adv;betonnen/adj;een/det;jaar/noun;nog/adv;tot/prep;van/prep;vloer/noun;waar/adv	9
stof/noun/nrc_handelsblad_20010609_29/370	bekend/adj;ben/verb;beoog/verb;chemisch/adj;effect/noun	5	bekend/adj;ben/verb;beoog/verb;chemisch/adj;effect/noun	5	bekend/adj;ben/verb;beoog/verb;chemisch/adj;effect/noun	5	bekend/adj;ben/verb;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;er/adv;in/prep;ook/adv	10	bekend/adj;ben/verb;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;er/adv;in/prep;ook/adv	10	bekend/adj;ben/verb;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;er/adv;hetzelfde/det;in/prep;ook/adv	11	bekend/adj;beoog/verb;chemisch/adj;effect/noun	4	bekend/adj;beoog/verb;chemisch/adj;effect/noun	4	bekend/adj;beoog/verb;chemisch/adj;effect/noun	4	bekend/adj;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;in/prep;ook/adv	8	bekend/adj;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;in/prep;ook/adv	8	bekend/adj;beoog/verb;chemisch/adj;de/det;die/pron;effect/noun;hetzelfde/det;in/prep;ook/adv	9
stof/noun/nrc_handelsblad_20020513_0/123	bronzen/adj;fel/adj;lijf/noun;rood/adj;steek_af/verb;verweerd/adj	6	bronzen/adj;fel/adj;lijf/noun;rood/adj;steek_af/verb;verweerd/adj	6	bronzen/adj;fel/adj;lijf/noun;rood/adj;steek_af/verb;verweerd/adj	6	bronzen/adj;de/det;fel/adj;lijf/noun;rood/adj;steek_af/verb;verweerd/adj	7	bronzen/adj;de/det;fel/adj;lijf/noun;rood/adj;steek_af/verb;verweerd/adj	7	af/part;bronzen/adj;de/det;fel/adj;lijf/noun;rood/adj;steek_af/verb;tegen/prep;verweerd/adj;zijn/det	10	fel/adj;rood/adj;steek_af/verb	3	fel/adj;rood/adj;steek_af/verb	3	fel/adj;rood/adj;steek_af/verb	3	de/det;fel/adj;rood/adj;steek_af/verb	4	de/det;fel/adj;rood/adj;steek_af/verb	4	af/part;de/det;fel/adj;rood/adj;steek_af/verb;tegen/prep;zijn/det	7
stof/noun/nrc_handelsblad_20000614_95/138	ben/verb;buitenissig/adj;hoe/adj;lijk/verb;stuk/noun	5	ben/verb;buitenissig/adj;hoe/adj;lijk/verb;stuk/noun	5	ben/verb;buitenissig/adj;hoe/adj;lijk/verb;schreeuw/verb;stuk/noun;verander/verb	7	ben/verb;buitenissig/adj;hoe/adj;lijk/verb;stuk/noun	5	ben/verb;buitenissig/adj;hoe/adj;lijk/verb;stuk/noun	5	ben/verb;buitenissig/adj;elk/det;hoe/adj;lijk/verb;maar/adv;schreeuw/verb;stuk/noun;verander/verb;we/pron	10	buitenissig/adj;lijk/verb;stuk/noun	3	buitenissig/adj;lijk/verb;stuk/noun	3	buitenissig/adj;lijk/verb;schreeuw/verb;stuk/noun	4	buitenissig/adj;lijk/verb;stuk/noun	3	buitenissig/adj;lijk/verb;stuk/noun	3	buitenissig/adj;elk/det;lijk/verb;schreeuw/verb;stuk/noun	5
stof/noun/nrc_handelsblad_20020128_105/468	doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	4	doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	4	doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	4	doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	4	doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	4	aan/prep;doek_DIM/noun;geheimzinnig/adj;rubberen/adj;stalen/adj	5	geheimzinnig/adj;rubberen/adj	2	geheimzinnig/adj;rubberen/adj	2	geheimzinnig/adj;rubberen/adj	2	geheimzinnig/adj;rubberen/adj	2	geheimzinnig/adj;rubberen/adj	2	aan/prep;geheimzinnig/adj;rubberen/adj	3
stof/noun/nrc_handelsblad_20001016_46/468	doek/noun;inspiratie/noun;lap_DIM/noun;plak/verb	4	doek/noun;inspiratie/noun;lap_DIM/noun;plak/verb	4	doek/noun;heb/verb;inspiratie/noun;kom/verb;lap_DIM/noun;plak/verb;voorbeeld/noun	7	als/prep;doek/noun;een/det;het/det;inspiratie/noun;lap_DIM/noun;plak/verb;vandaan/prep	8	als/prep;doek/noun;een/det;het/det;inspiratie/noun;lap_DIM/noun;plak/verb;vandaan/prep	8	als/prep;doek/noun;een/det;heb/verb;het/det;hij/pron;inspiratie/noun;kom/verb;lap_DIM/noun;nog/adv;op/prep;plak/verb;vandaan/prep;voorbeeld/noun;zelfs/adv	15	doek/noun;lap_DIM/noun	2	doek/noun;lap_DIM/noun	2	doek/noun;lap_DIM/noun;voorbeeld/noun	3	als/prep;doek/noun;een/det;het/det;lap_DIM/noun	5	als/prep;doek/noun;een/det;het/det;lap_DIM/noun	5	als/prep;doek/noun;een/det;het/det;hij/pron;lap_DIM/noun;nog/adv;op/prep;voorbeeld/noun;zelfs/adv	10
stof/noun/nrc_handelsblad_20000429_148/133	ben/verb;beoordeling/noun;leraar/noun;neiging/noun;soepel/adj	5	ben/verb;beoordeling/noun;leraar/noun;neiging/noun;soepel/adj	5	ben/verb;beoordeling/noun;heb/verb;leraar/noun;neiging/noun;soepel/adj;tel_mee/verb	7	ben/verb;beoordeling/noun;de/det;leraar/noun;met/prep;neiging/noun;soepel/adj;soms/adv	8	ben/verb;beoordeling/noun;de/det;leraar/noun;met/prep;neiging/noun;soepel/adj;soms/adv	8	ben/verb;beoordeling/noun;de/det;heb/verb;leraar/noun;met/prep;neiging/noun;soepel/adj;soms/adv;tel_mee/verb	10	beoordeling/noun;neiging/noun;soepel/adj	3	beoordeling/noun;neiging/noun;soepel/adj	3	beoordeling/noun;neiging/noun;soepel/adj	3	beoordeling/noun;met/prep;neiging/noun;soepel/adj	4	beoordeling/noun;met/prep;neiging/noun;soepel/adj	4	beoordeling/noun;met/prep;neiging/noun;soepel/adj	4
stof/noun/nrc_handelsblad_20000705_37/159	middel/noun;nandrolon/noun;spoor/noun;verboden/adj;vind/verb;word/verb	6	middel/noun;nandrolon/noun;spoor/noun;verboden/adj;vind/verb;word/verb	6	1999/noun;26/noun;Nederlands/adj;juni/noun;kampioenschap/noun;middel/noun;nandrolon/noun;spoor/noun;verboden/adj;vind/verb;word/verb	11	de/det;dezelfde/det;die/pron;het/det;in/prep;middel/noun;nandrolon/noun;spoor/noun;van/prep;verboden/adj;vind/verb;word/verb	12	de/det;dezelfde/det;die/pron;het/det;in/prep;middel/noun;nandrolon/noun;spoor/noun;van/prep;verboden/adj;vind/verb;word/verb	12	1999/noun;26/noun;Nederlands/adj;de/det;dezelfde/det;die/pron;het/det;in/prep;juni/noun;kampioenschap/noun;middel/noun;nandrolon/noun;op/prep;spoor/noun;tijdens/prep;van/prep;verboden/adj;vind/verb;word/verb	19	middel/noun;nandrolon/noun;vind/verb	3	middel/noun;nandrolon/noun;vind/verb	3	1999/noun;26/noun;juni/noun;middel/noun;nandrolon/noun;vind/verb	6	dezelfde/det;die/pron;middel/noun;nandrolon/noun;vind/verb	5	dezelfde/det;die/pron;middel/noun;nandrolon/noun;vind/verb	5	1999/noun;26/noun;dezelfde/det;die/pron;juni/noun;middel/noun;nandrolon/noun;op/prep;vind/verb	9
stof/noun/nrc_handelsblad_20010915_19/267	glijd/verb;school_reis_DIM/noun;soepeltjes/adj	3	glijd/verb;school_reis_DIM/noun;soepeltjes/adj	3	glijd/verb;heb/verb;school_reis_DIM/noun;soepeltjes/adj;tijd/noun	5	alle/det;de/det;door/prep;glijd/verb;school_reis_DIM/noun;soepeltjes/adj;voor/prep;ze/pron	8	alle/det;de/det;door/prep;glijd/verb;school_reis_DIM/noun;soepeltjes/adj;voor/prep;ze/pron	8	's/adv;alle/det;de/det;door/prep;glijd/verb;heb/verb;middags/adv;school_reis_DIM/noun;soepeltjes/adj;tijd/noun;voor/prep;ze/pron;zo/adv	13	glijd/verb;soepeltjes/adj	2	glijd/verb;soepeltjes/adj	2	glijd/verb;heb/verb;soepeltjes/adj	3	de/det;door/prep;glijd/verb;soepeltjes/adj;ze/pron	5	de/det;door/prep;glijd/verb;soepeltjes/adj;ze/pron	5	's/adv;de/det;door/prep;glijd/verb;heb/verb;soepeltjes/adj;ze/pron;zo/adv	8
stof/noun/nrc_handelsblad_20040207_34/118	allergie/noun;bloot/adj;gezond/adj;prikkel/adj;risico/noun;vuil/noun	6	allergie/noun;bloot/adj;gezond/adj;prikkel/adj;risico/noun;vuil/noun	6	aanleg/noun;allergie/noun;bloot/adj;gezond/adj;prikkel/adj;risico/noun;stel/verb;vuil/noun	8	aan/part;allergie/noun;bloot/adj;de/det;een/det;gezond/adj;met/prep;prikkel/adj;risico/noun;van/prep;voor/prep;vuil/noun	12	aan/part;allergie/noun;bloot/adj;de/det;een/det;gezond/adj;met/prep;prikkel/adj;risico/noun;van/prep;voor/prep;vuil/noun	12	aan/part;aanleg/noun;allergie/noun;bloot/adj;de/det;een/det;gezond/adj;hen/pron;met/prep;niet/adv;prikkel/adj;risico/noun;stel/verb;van/prep;voor/prep;vuil/noun	16	bloot/adj;prikkel/adj	2	bloot/adj;prikkel/adj	2	bloot/adj;prikkel/adj;stel/verb	3	aan/part;bloot/adj;prikkel/adj;voor/prep	4	aan/part;bloot/adj;prikkel/adj;voor/prep	4	aan/part;bloot/adj;hen/pron;niet/adv;prikkel/adj;stel/verb;voor/prep	7
