_id	_cws.grijs.foc10.nav.weight.bound	_count.grijs.foc10.nav.weight.bound	_cws.grijs.foc10.nav.selection.bound	_count.grijs.foc10.nav.selection.bound	_cws.grijs.foc10.nav.no.bound	_count.grijs.foc10.nav.no.bound	_cws.grijs.foc10.all.weight.bound	_count.grijs.foc10.all.weight.bound	_cws.grijs.foc10.all.selection.bound	_count.grijs.foc10.all.selection.bound	_cws.grijs.foc10.all.no.bound	_count.grijs.foc10.all.no.bound	_cws.grijs.foc5.nav.weight.bound	_count.grijs.foc5.nav.weight.bound	_cws.grijs.foc5.nav.selection.bound	_count.grijs.foc5.nav.selection.bound	_cws.grijs.foc5.nav.no.bound	_count.grijs.foc5.nav.no.bound	_cws.grijs.foc5.all.weight.bound	_count.grijs.foc5.all.weight.bound	_cws.grijs.foc5.all.selection.bound	_count.grijs.foc5.all.selection.bound	_cws.grijs.foc5.all.no.bound	_count.grijs.foc5.all.no.bound
grijs/adj/het_laatste_nieuws_20010314_01_204/156	steel/verb	1	steel/verb	1	steel/verb	1	een/det;in/prep;steel/verb	3	een/det;in/prep;steel/verb	3	een/det;in/prep;steel/verb	3	steel/verb	1	steel/verb	1	steel/verb	1	een/det;in/prep;steel/verb	3	een/det;in/prep;steel/verb	3	een/det;in/prep;steel/verb	3
grijs/adj/het_laatste_nieuws_20030502_01_563/543	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun;wit/noun;zwart/noun	4	ongemerkt/adj;schakering/noun	2	ongemerkt/adj;schakering/noun	2	ongemerkt/adj;schakering/noun	2	ongemerkt/adj;schakering/noun	2	ongemerkt/adj;schakering/noun	2	ongemerkt/adj;schakering/noun	2
grijs/adj/het_laatste_nieuws_20040228_01_58/41	ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	4	ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	4	ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	4	bijna/adv;dezelfde/det;een/det;in/prep;ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	8	bijna/adv;dezelfde/det;een/det;in/prep;ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	8	bijna/adv;dezelfde/det;een/det;in/prep;ochtend/noun;spoel_aan/verb;vroeg/adj;zeehond/noun	8	zeehond/noun	1	zeehond/noun	1	zeehond/noun	1	bijna/adv;dezelfde/det;een/det;zeehond/noun	4	bijna/adv;dezelfde/det;een/det;zeehond/noun	4	bijna/adv;dezelfde/det;een/det;zeehond/noun	4
grijs/adj/het_laatste_nieuws_20010407_01_472/369	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;prachtig/adj;voorst/adj	6	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;prachtig/adj;voorst/adj	6	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;prachtig/adj;voorst/adj	6	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;het/det;met/prep;prachtig/adj;voorst/adj;wellicht/adv	9	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;het/det;met/prep;prachtig/adj;voorst/adj;wellicht/adv	9	ben/verb;blad/noun;ezel_oor/noun;gegeerd/adj;het/det;met/prep;prachtig/adj;voorst/adj;wellicht/adv	9	ben/verb;blad/noun;gegeerd/adj;prachtig/adj	4	ben/verb;blad/noun;gegeerd/adj;prachtig/adj	4	ben/verb;blad/noun;gegeerd/adj;prachtig/adj	4	ben/verb;blad/noun;gegeerd/adj;het/det;prachtig/adj	5	ben/verb;blad/noun;gegeerd/adj;het/det;prachtig/adj	5	ben/verb;blad/noun;gegeerd/adj;het/det;prachtig/adj	5
grijs/adj/het_laatste_nieuws_20020502_01_97/147	blauw/adj;dito/adj;vol/adj;zak/noun	4	blauw/adj;dito/adj;vol/adj;zak/noun	4	blauw/adj;dito/adj;vol/adj;zak/noun	4	blauw/adj;die/pron;dito/adj;met/prep;nogal/adv;ons/det;vol/adj;wat/det;zak/noun	9	blauw/adj;die/pron;dito/adj;met/prep;nogal/adv;ons/det;vol/adj;wat/det;zak/noun	9	blauw/adj;die/pron;dito/adj;met/prep;nogal/adv;ons/det;vol/adj;wat/det;zak/noun	9	dito/adj;zak/noun	2	dito/adj;zak/noun	2	dito/adj;zak/noun	2	dito/adj;met/prep;nogal/adv;wat/det;zak/noun	5	dito/adj;met/prep;nogal/adv;wat/det;zak/noun	5	dito/adj;met/prep;nogal/adv;wat/det;zak/noun	5
grijs/adj/het_laatste_nieuws_19990802_01_10/239	bad/noun;dag/noun;ideaal/noun;subtropisch/adj;zit/verb	5	bad/noun;dag/noun;ideaal/noun;subtropisch/adj;zit/verb	5	bad/noun;dag/noun;ideaal/noun;subtropisch/adj;zit/verb	5	bad/noun;dag/noun;het/det;ideaal/noun;subtropisch/adj;tussen/prep;zit/verb	7	bad/noun;dag/noun;het/det;ideaal/noun;subtropisch/adj;tussen/prep;zit/verb	7	bad/noun;dag/noun;het/det;ideaal/noun;subtropisch/adj;tussen/prep;zit/verb	7	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4	bad/noun;dag/noun;ideaal/noun;subtropisch/adj	4
grijs/adj/het_laatste_nieuws_20030731_01_130/188	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;natuur_steen/noun;plein/noun	3	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6	boom_rij/noun;een/det;het/det;langs/prep;natuur_steen/noun;plein/noun	6
grijs/adj/het_laatste_nieuws_19990722_01_3/69	ben/verb;blauw/adj;haar/noun;kaal/adj;kort/adj;oog/noun	6	ben/verb;blauw/adj;haar/noun;kaal/adj;kort/adj;oog/noun	6	ben/verb;blauw/adj;haar/noun;kaal/adj;kort/adj;oog/noun	6	ben/verb;blauw/adj;haar/noun;hij/pron;kaal/adj;kort/adj;oog/noun	7	ben/verb;blauw/adj;haar/noun;hij/pron;kaal/adj;kort/adj;oog/noun	7	ben/verb;blauw/adj;haar/noun;hij/pron;kaal/adj;kort/adj;oog/noun	7	ben/verb;haar/noun;kaal/adj;kort/adj	4	ben/verb;haar/noun;kaal/adj;kort/adj	4	ben/verb;haar/noun;kaal/adj;kort/adj	4	ben/verb;haar/noun;hij/pron;kaal/adj;kort/adj	5	ben/verb;haar/noun;hij/pron;kaal/adj;kort/adj	5	ben/verb;haar/noun;hij/pron;kaal/adj;kort/adj	5
grijs/adj/het_laatste_nieuws_20030329_01_367/351	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;een/det;haar/pron;hij/pron;kort/adj;oog/noun;vol/adj	8	aangezicht/noun;blauw/adj;een/det;haar/pron;hij/pron;kort/adj;oog/noun;vol/adj	8	aangezicht/noun;blauw/adj;een/det;haar/pron;hij/pron;kort/adj;oog/noun;vol/adj	8	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;kort/adj;oog/noun;vol/adj	5	aangezicht/noun;blauw/adj;een/det;haar/pron;kort/adj;oog/noun;vol/adj	7	aangezicht/noun;blauw/adj;een/det;haar/pron;kort/adj;oog/noun;vol/adj	7	aangezicht/noun;blauw/adj;een/det;haar/pron;kort/adj;oog/noun;vol/adj	7
grijs/adj/het_laatste_nieuws_20001125_01_414/186	chauffeur/noun;gangster/noun;sleutel/noun;stap_uit/verb	4	chauffeur/noun;gangster/noun;sleutel/noun;stap_uit/verb	4	chauffeur/noun;gangster/noun;sleutel/noun;stap_uit/verb	4	chauffeur/noun;een/det;gangster/noun;sleutel/noun;stap_uit/verb;uit/part;zijn/det	7	chauffeur/noun;een/det;gangster/noun;sleutel/noun;stap_uit/verb;uit/part;zijn/det	7	chauffeur/noun;een/det;gangster/noun;sleutel/noun;stap_uit/verb;uit/part;zijn/det	7	chauffeur/noun;stap_uit/verb	2	chauffeur/noun;stap_uit/verb	2	chauffeur/noun;stap_uit/verb	2	chauffeur/noun;een/det;stap_uit/verb;uit/part	4	chauffeur/noun;een/det;stap_uit/verb;uit/part	4	chauffeur/noun;een/det;stap_uit/verb;uit/part	4
