pmi	raw_freq	raw_co	cw
-0.4609312	52661	17	buitenlands/adj
0.58360505	2153	2	bureaucratisch/adj
0.22779992	37339	24	bus/noun
-0.024127241	39812	20	café/noun
0.12238378	27462	16	camera/noun
2.248857	204	1	camouflage_pak/noun
0.21747983	31203	20	campagne/noun
1.700192	357	1	cassette_band_DIM/noun
-0.12704097	19713	9	categorie/noun
-0.1130873	60925	28	centrum/noun
2.5588994	299	2	charmeur/noun
0.13890852	29037	17	chauffeur/noun
-0.6014274	14143	4	christelijk/adj
3.0854957	10174	115	circuit/noun
-0.609539	14200	4	cliënt/noun
-0.4890278	132758	42	club/noun
0.4927581	25952	22	combinatie/noun
0.8851656	4798	6	commentator/noun
0.9879659	3594	5	communisme/noun
0.28823936	10140	7	complex/noun
0.43696776	11240	9	conservatief/adj
1.3669118	6384	13	contrast/noun
3.701672	285	6	corpulent/adj
-0.12209595	13152	6	creatief/adj
0.28200656	274838	189	daar/adv
-0.3971199	272748	95	daar/noun
0.4580578	18280	15	daarentegen/adv
0.19512586	42815	27	daarna/adv
0.72762764	42394	45	dader/noun
0.31117833	388220	273	dag/noun
0.9841896	2193	3	dagje/noun
-1.0860696	17253	3	daling/noun
0.031707063	853168	457	dan/adv
0.09810595	45766	26	dankzij/prep
0.854407	2469	3	danseres/noun
-0.25888434	1849436	740	dat/det
0.05200082	552171	302	dat/pron
-0.02797945	28074105	14082	de/det
0.3622781	16119	12	decennium/noun
1.755934	12024	36	decor/noun
0.028144578	150293	80	deel/noun
0.5026102	7072	6	demonstreer/verb
-0.01468313	294025	150	denk/verb
2.1550667	896	4	deprimeer/adj
-0.4005585	28757	10	destijds/adv
0.41493303	64045	50	deur/noun
-0.057794075	719674	351	deze/det
0.3370306	97788	71	dezelfde/det
0.112197526	1365392	793	die/det
0.120720245	2519801	1476	die/pron
0.52219903	28647	24	dief/noun
1.0358655	2079	3	dien_op/verb
0.5353459	49858	44	diep/adj
-0.14253658	2225	1	diep/noun
0.19600339	49373	31	dier/noun
0.8348312	14182	17	diezelfde/det
0.49528298	7079	6	dijk/noun
1.8441821	33073	108	dik/adj
-0.44264257	795783	264	dit/det
2.8416302	2813	25	dito/adj
1.901949	871	3	dobber/verb
-0.4290476	731956	246	doe/verb
-0.039945472	18112	9	doe_voor/verb
0.7795953	15093	17	doek/noun
1.5021573	858	2	doelloos/adj
1.3387238	1016	2	doem/verb
2.2134356	1268	6	dof/adj
1.9945858	1579	6	dompel_onder/verb
-0.38966674	66611	23	donderdag/noun
2.5628278	17155	115	donker/adj
4.161438	1115	37	donkerblauw/adj
-0.24322446	59610	24	dood/noun
2.7972326	710	6	doods/adj
0.090626396	1310789	742	door/prep
0.73699915	1855	2	doordeweeks/adj
0.06166605	1818	1	doordring/verb
1.6614633	10305	28	doos/noun
2.1894436	59174	273	draag/verb
0.75713557	3624	4	draai/noun
1.4030939	52340	110	draai/verb
0.1425066	3398	2	draai_terug/verb
0.5458472	55729	49	dreig/verb
1.2660848	7687	14	dreigend/adj
-0.1307503	6594	3	drietal/noun
-1.227354	19766	3	dring_aan/verb
0.94468045	2273	3	droevig/adj
1.7751075	19093	58	droog/adj
-0.11859218	24175	11	droom/noun
1.0212667	2792	4	druif/noun
-0.4430883	63359	21	druk/noun
1.6300653	3046	8	duin/noun
1.3794918	2445	5	duisternis/noun
1.9112141	9141	32	dun/adj
0.09851861	257023	147	dus/adv
0.38077706	61418	46	duur/adj
0.094504535	31535	18	duur_voort/adj
-0.5736032	24042	7	dwing/verb
0.20473698	4719	3	dynamisch/adj
0.08058588	253480	142	echt/adj
-0.2188349	172600	72	echter/adv
0.501424	11075723	9451	een/det
-0.055801068	24490	12	eenmaal/adv
0.06846039	292605	162	eens/adv
-0.17235082	167651	73	eerder/adj
0.33050033	108250	78	eerst/adv
1.0862681	12476	19	eeuwig/adj
-0.41537777	316997	108	eigen/adj
0.56817347	3280	3	eigenaardig/adj
-0.54609424	97048	29	einde/noun
-0.35751152	249085	90	elk/det
-0.22597435	7272	3	elkaar/det
-0.30750328	218177	83	elkaar/pron
-0.63630325	3658	1	elke/det
-0.5148375	25988	8	en/noun
0.41689718	49554	39	ene/adj
1.5605482	2435	6	energiek/adj
0.19416218	7902	5	enerzijds/adv
0.070808575	95251	53	enig/adj
-0.10728913	62482	29	enig/det
1.0401655	17043	25	enigszins/adv
0.020631809	319878	169	enkel/det
0.0031764864	1744977	907	er/adv
-0.123147525	665899	305	er/noun
0.3673981	149936	112	erg/adj
-0.6789882	49768	13	ernstig/adj
1.4967172	4329	10	eruit/part
0.4706219	9649	8	ervaren/adj
0.34348154	6919	5	euthanasie/noun
0.4086085	172619	134	even/adj
0.7423795	32250	35	even/adv
0.77574927	4428	5	evengoed/adv
-0.26893932	10089	4	evolutie/noun
-0.058178615	10304	5	exclusief/adj
0.34178665	20637	15	exemplaar/noun
0.9054559	1561	2	expressie/noun
2.2280357	209	1	ezel_oor/noun
-0.07587845	14567	7	factor/noun
-0.5931087	84295	24	familie/noun
-0.3840642	2843	1	fascineer/verb
-0.43430138	86310	29	feit/noun
1.3283548	20442	40	figuur/noun
0.87885803	8079	10	film/verb
2.1742363	221	1	film_doek/noun
0.4898657	16714	14	fiscaal/adj
3.3317032	1038	15	flets/adj
2.727545	1542	12	fleur_op/verb
1.3356899	1017	2	folkloristisch/adj
-0.5102831	32522	10	fors/adj
-0.6226078	14530	4	fotograaf/noun
0.14170876	6727	4	fotografeer/verb
-0.18455851	145606	62	frank/noun
1.4417214	12855	28	fris/adj
1.0180157	3585	5	frontaal/adj
-0.19765824	1085158	459	ga/verb
-0.20292668	4770	2	ga_samen/verb
0.5005543	28135	24	gang/noun
1.4229894	4770	10	gangster/noun
-0.025117274	3949	2	gans/adj
1.3834167	1955	4	gans/noun
4.7680774	2400	145	garnaal/noun
-0.062399764	28795	14	gast/noun
0.69277406	20340	21	gat/noun
0.45662317	4910	4	ge/pron
2.2100172	211	1	gebaar/adj
0.85874873	3290	4	gebakken/adj
2.3285851	59707	317	gebied/noun
0.9730955	66439	91	gebouw/noun
3.7708917	443	10	gebreid/adj
0.025264176	49055	26	gebruik/noun
0.15865208	6590	4	gebruikt/adj
2.6074195	429	3	gedaanteverwisseling/noun
0.011183392	30585	16	gedachte/noun
0.8075448	1729	2	gedij/verb
4.4772553	395	18	gedistingeerd/adj
-0.032514613	1987	1	gedroogd/adj
-0.24803144	370341	149	geef/verb
0.0689603	1048752	578	geen/det
1.6936356	361	1	gegeerd/adj
0.5025023	1165	1	geheten/prep
3.0659595	6380	71	gekleed/adj
2.2420285	4520	22	gekleurd/adj
2.643065	2340	17	gelaat/noun
0.91298777	2336	3	gelaten/adj
0.017434169	203976	107	geld/noun
0.20698047	67731	43	gelukkig/adj
1.8490182	305	1	gemarineerde/adj
0.4194047	11417	9	genoemd/adj
-0.65598154	11176	3	georganiseerd/adj
1.0896589	4566	7	geparkeerd/adj
1.3134642	7350	14	gepensioneerd/adj
0.3781216	2668	2	geraakt/adj
0.37364855	6682	5	gescheiden/adj
3.1143851	1718	20	gestoken/adj
0.7438808	23995	26	getuige/noun
-0.9028525	43094	9	gevaar/noun
-0.19168043	35350	15	gevaarlijk/adj
1.8606215	8772	29	gevel/noun
2.6723046	1200	9	geverfd/adj
-0.67171717	83213	22	gevolg/noun
1.2896249	6929	13	gevuld/adj
3.2396367	1206	16	gewaad/noun
1.916424	1419	5	gewillig/adj
0.5054016	168179	144	gewoon/adj
