_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc10.nav.no.bound.min1.soc10.all.5000	-0.047823180169358194	0.28545835983345363	bound	1049	nav	10_10	1	no	5000	5000	all	10_10	319	grijs	0.23979777041761743
grijs.foc10.nav.no.bound.min1.soc10.all.10000	-0.03960901516986102	0.2599778997947255	bound	1049	nav	10_10	1	no	10000	10000	all	10_10	319	grijs	0.23842460146189154
grijs.foc10.nav.no.bound.min1.soc10.all.FOC	-0.06141141499727391	0.1404853956866738	bound	1049	nav	10_10	1	no	FOC	1049	all	10_10	319	grijs	0.23402674590516342
grijs.foc10.all.weight.bound.min1.soc4.nav.5000	-0.06286721282265798	-0.13755676296839145	bound	828	all	10_10	1	weight	5000	5000	nav	4_4	319	grijs	0.2534856128483725
grijs.foc10.all.weight.bound.min1.soc4.nav.10000	-0.06069425846966167	-0.18832404560307192	bound	828	all	10_10	1	weight	10000	10000	nav	4_4	319	grijs	0.2499691500574861
grijs.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.11033497249184857	-0.21531709346446185	bound	828	all	10_10	1	weight	FOC	828	nav	4_4	319	grijs	0.2483865920350966
grijs.foc10.all.weight.bound.min1.soc10.nav.5000	-0.08906177283260398	-0.09591535327322481	bound	828	all	10_10	1	weight	5000	5000	nav	10_10	319	grijs	0.2507545990146771
grijs.foc10.all.weight.bound.min1.soc10.nav.10000	-0.09758004363535003	-0.1277874501492648	bound	828	all	10_10	1	weight	10000	10000	nav	10_10	319	grijs	0.24674475599619775
grijs.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.15294071610763005	-0.18978046019608136	bound	828	all	10_10	1	weight	FOC	828	nav	10_10	319	grijs	0.2422838803523586
grijs.foc10.all.weight.bound.min1.soc4.all.5000	-0.06127231243573046	-0.11491406198072822	bound	828	all	10_10	1	weight	5000	5000	all	4_4	319	grijs	0.2550240907695081
grijs.foc10.all.weight.bound.min1.soc4.all.10000	-0.05925522856036392	-0.15252620903885108	bound	828	all	10_10	1	weight	10000	10000	all	4_4	319	grijs	0.25175574190846384
grijs.foc10.all.weight.bound.min1.soc4.all.FOC	-0.11033496601332436	-0.2153170584451556	bound	828	all	10_10	1	weight	FOC	828	all	4_4	319	grijs	0.2483865920350966
grijs.foc10.all.weight.bound.min1.soc10.all.5000	-0.08484961277045365	-0.08306183193395103	bound	828	all	10_10	1	weight	5000	5000	all	10_10	319	grijs	0.25231198601125165
grijs.foc10.all.weight.bound.min1.soc10.all.10000	-0.08985471154421278	-0.10694865080994397	bound	828	all	10_10	1	weight	10000	10000	all	10_10	319	grijs	0.24954357642989192
grijs.foc10.all.weight.bound.min1.soc10.all.FOC	-0.15294067525461735	-0.18978043276063417	bound	828	all	10_10	1	weight	FOC	828	all	10_10	319	grijs	0.2422838803523586
grijs.foc10.all.selection.bound.min1.soc4.nav.5000	0.37861101925392376	-0.08243573898203764	bound	828	all	10_10	1	selection	5000	5000	nav	4_4	319	grijs	0.24880421263265426
grijs.foc10.all.selection.bound.min1.soc4.nav.10000	0.4172460645461664	-0.11966105027315391	bound	828	all	10_10	1	selection	10000	10000	nav	4_4	319	grijs	0.24046282365238328
grijs.foc10.all.selection.bound.min1.soc4.nav.FOC	0.2535461784736526	-0.16063254242844116	bound	828	all	10_10	1	selection	FOC	828	nav	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.selection.bound.min1.soc10.nav.5000	0.17861545295022524	0.02157739563028789	bound	828	all	10_10	1	selection	5000	5000	nav	10_10	319	grijs	0.24707100449100453
grijs.foc10.all.selection.bound.min1.soc10.nav.10000	0.20447965837235618	-0.007863124868874409	bound	828	all	10_10	1	selection	10000	10000	nav	10_10	319	grijs	0.24076542952375404
grijs.foc10.all.selection.bound.min1.soc10.nav.FOC	0.13253094339011415	-0.09370163154486273	bound	828	all	10_10	1	selection	FOC	828	nav	10_10	319	grijs	0.22880975723979485
grijs.foc10.all.selection.bound.min1.soc4.all.5000	0.3762322658275249	-0.060435936654420576	bound	828	all	10_10	1	selection	5000	5000	all	4_4	319	grijs	0.2561678023692157
grijs.foc10.all.selection.bound.min1.soc4.all.10000	0.39646759470256093	-0.09456376190815363	bound	828	all	10_10	1	selection	10000	10000	all	4_4	319	grijs	0.24778699721988293
grijs.foc10.all.selection.bound.min1.soc4.all.FOC	0.2535462347742166	-0.16063256348021868	bound	828	all	10_10	1	selection	FOC	828	all	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.selection.bound.min1.soc10.all.5000	0.1832020001784452	0.039460262191236044	bound	828	all	10_10	1	selection	5000	5000	all	10_10	319	grijs	0.2509912839443986
grijs.foc10.all.selection.bound.min1.soc10.all.10000	0.18821602590987396	0.01238352195765414	bound	828	all	10_10	1	selection	10000	10000	all	10_10	319	grijs	0.24750740723929446
grijs.foc10.all.selection.bound.min1.soc10.all.FOC	0.13253106187637187	-0.09370166728718765	bound	828	all	10_10	1	selection	FOC	828	all	10_10	319	grijs	0.22880975723979485
grijs.foc10.all.no.bound.min1.soc4.nav.5000	0.43314626455880845	0.2252670469738826	bound	1239	all	10_10	1	no	5000	5000	nav	4_4	319	grijs	0.24372267084655
grijs.foc10.all.no.bound.min1.soc4.nav.10000	0.46693013816052986	0.21484157190800865	bound	1239	all	10_10	1	no	10000	10000	nav	4_4	319	grijs	0.23676668906334788
grijs.foc10.all.no.bound.min1.soc4.nav.FOC	0.3159415031490524	0.08116035028397162	bound	1239	all	10_10	1	no	FOC	1239	nav	4_4	319	grijs	0.23068108641678375
grijs.foc10.all.no.bound.min1.soc10.nav.5000	0.25073813695088326	0.24633815820774407	bound	1239	all	10_10	1	no	5000	5000	nav	10_10	319	grijs	0.23541996262334292
grijs.foc10.all.no.bound.min1.soc10.nav.10000	0.2781855390874328	0.23004865074643988	bound	1239	all	10_10	1	no	10000	10000	nav	10_10	319	grijs	0.2298775774107636
grijs.foc10.all.no.bound.min1.soc10.nav.FOC	0.1762596685818317	0.10533155872852218	bound	1239	all	10_10	1	no	FOC	1239	nav	10_10	319	grijs	0.2289690218419653
grijs.foc10.all.no.bound.min1.soc4.all.5000	0.4242551232517117	0.24127526886639158	bound	1239	all	10_10	1	no	5000	5000	all	4_4	319	grijs	0.24858458831725513
grijs.foc10.all.no.bound.min1.soc4.all.10000	0.4511152535709853	0.2186053269833299	bound	1239	all	10_10	1	no	10000	10000	all	4_4	319	grijs	0.2422996407906259
grijs.foc10.all.no.bound.min1.soc4.all.FOC	0.3159415216450677	0.08116035474137838	bound	1239	all	10_10	1	no	FOC	1239	all	4_4	319	grijs	0.23068108641678375
grijs.foc10.all.no.bound.min1.soc10.all.5000	0.2562892570958987	0.26548093543510937	bound	1239	all	10_10	1	no	5000	5000	all	10_10	319	grijs	0.23956057150300164
grijs.foc10.all.no.bound.min1.soc10.all.10000	0.263022757728284	0.2402954631401282	bound	1239	all	10_10	1	no	10000	10000	all	10_10	319	grijs	0.23741676921202418
grijs.foc10.all.no.bound.min1.soc10.all.FOC	0.1762597361124223	0.10533157539302622	bound	1239	all	10_10	1	no	FOC	1239	all	10_10	319	grijs	0.2289690218419653
grijs.foc5.nav.weight.bound.min1.soc4.nav.5000	-0.19694697536906647	-0.0679947086717303	bound	477	nav	5_5	1	weight	5000	5000	nav	4_4	304	grijs	0.2627167019237382
grijs.foc5.nav.weight.bound.min1.soc4.nav.10000	-0.20885944793828642	-0.09123339450587564	bound	477	nav	5_5	1	weight	10000	10000	nav	4_4	304	grijs	0.2601212587051142
grijs.foc5.nav.weight.bound.min1.soc4.nav.FOC	-0.22113811023086916	-0.12714338403612416	bound	477	nav	5_5	1	weight	FOC	477	nav	4_4	304	grijs	0.2599840008572969
grijs.foc5.nav.weight.bound.min1.soc10.nav.5000	-0.19490015395812016	-0.055967036631589855	bound	477	nav	5_5	1	weight	5000	5000	nav	10_10	304	grijs	0.25304904291365415
grijs.foc5.nav.weight.bound.min1.soc10.nav.10000	-0.18733925560581216	-0.07166241154130318	bound	477	nav	5_5	1	weight	10000	10000	nav	10_10	304	grijs	0.25136632844366874
grijs.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.21694431932843947	-0.12480288918971534	bound	477	nav	5_5	1	weight	FOC	477	nav	10_10	304	grijs	0.2453090135451102
grijs.foc5.nav.weight.bound.min1.soc4.all.5000	-0.20304908360072493	-0.06251339829742755	bound	477	nav	5_5	1	weight	5000	5000	all	4_4	304	grijs	0.2614743390403037
grijs.foc5.nav.weight.bound.min1.soc4.all.10000	-0.1991054122609151	-0.08057730457980529	bound	477	nav	5_5	1	weight	10000	10000	all	4_4	304	grijs	0.26122666511145753
grijs.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.22113798389469025	-0.1271432449300807	bound	477	nav	5_5	1	weight	FOC	477	all	4_4	304	grijs	0.2599840008572969
grijs.foc5.nav.weight.bound.min1.soc10.all.5000	-0.2036097052803466	-0.04996069322275157	bound	477	nav	5_5	1	weight	5000	5000	all	10_10	304	grijs	0.25098443293785094
grijs.foc5.nav.weight.bound.min1.soc10.all.10000	-0.19025521596936357	-0.06432841978045456	bound	477	nav	5_5	1	weight	10000	10000	all	10_10	304	grijs	0.2527362587554403
grijs.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.216943913920324	-0.1248023999701877	bound	477	nav	5_5	1	weight	FOC	477	all	10_10	304	grijs	0.2453090135451102
grijs.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.19762981556107556	0.08919596420484878	bound	477	nav	5_5	1	selection	5000	5000	nav	4_4	304	grijs	0.25255348451115966
grijs.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.22495330678551737	0.08883133472311702	bound	477	nav	5_5	1	selection	10000	10000	nav	4_4	304	grijs	0.2481144732539925
grijs.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.21185139392876365	-0.014735396580552384	bound	477	nav	5_5	1	selection	FOC	477	nav	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.17509677713371227	0.07366765890580418	bound	477	nav	5_5	1	selection	5000	5000	nav	10_10	304	grijs	0.24674738813651861
grijs.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.17284169390246568	0.06277657554963964	bound	477	nav	5_5	1	selection	10000	10000	nav	10_10	304	grijs	0.24536353428071517
grijs.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.2157075815229894	-0.010664131616922777	bound	477	nav	5_5	1	selection	FOC	477	nav	10_10	304	grijs	0.23587515790693292
grijs.foc5.nav.selection.bound.min1.soc4.all.5000	-0.21398511662777964	0.10597979933186955	bound	477	nav	5_5	1	selection	5000	5000	all	4_4	304	grijs	0.25505537248859356
grijs.foc5.nav.selection.bound.min1.soc4.all.10000	-0.21253104925558763	0.09493585603406979	bound	477	nav	5_5	1	selection	10000	10000	all	4_4	304	grijs	0.25209457801778506
grijs.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.2118513826225569	-0.014735349304872903	bound	477	nav	5_5	1	selection	FOC	477	all	4_4	304	grijs	0.24965909727527844
grijs.foc5.nav.selection.bound.min1.soc10.all.5000	-0.18496988778207324	0.09055731497053233	bound	477	nav	5_5	1	selection	5000	5000	all	10_10	304	grijs	0.2478596290665315
grijs.foc5.nav.selection.bound.min1.soc10.all.10000	-0.17301585434289543	0.07260998185954891	bound	477	nav	5_5	1	selection	10000	10000	all	10_10	304	grijs	0.24781730069788702
grijs.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.21570755660469831	-0.010664103768030104	bound	477	nav	5_5	1	selection	FOC	477	all	10_10	304	grijs	0.23587515790693292
