pmi	raw_freq	raw_co	cw
0.15243334	25348	16	bouw/noun
0.7395994	18407	21	boven/adv
0.29830244	72337	53	boven/prep
0.11220743	145076	89	bovendien/adv
2.3875048	1175	7	bovenkant/noun
1.175902	40663	72	breed/adj
0.6354065	26603	27	breid_uit/verb
0.18117632	243129	158	breng/verb
0.6293758	12747	13	breng_terug/verb
0.41651818	21894	18	breng_uit/verb
1.4042765	11300	25	brood/noun
-0.40999687	38732	14	buiten/adv
0.3910004	52661	42	buitenlands/adj
-0.63228405	98304	28	burgemeester/noun
0.7601286	864	1	burger_slachtoffer/noun
-0.24277137	63283	27	buurt/noun
1.2298324	9215	17	cao/noun
0.618942	19713	20	categorie/noun
-0.41176715	37006	13	cel/noun
-0.26300055	47812	20	centraal/adj
0.46123263	4633	4	centrale/noun
0.057531565	60925	35	centrum/noun
0.33608267	10555	8	chef/noun
1.108478	9739	16	chemisch/adj
2.8623748	211	2	cholesterolverlagers/noun
-2.0402465	14143	1	christelijk/adj
1.395997	2366	5	cipier/noun
0.28188798	1380	1	clausule/noun
-2.4618294	43285	2	coach/noun
2.1406898	6528	30	cocaïne/noun
0.29239935	15096	11	collectief/adj
-0.077242844	11898	6	communicatie/noun
1.5182422	1600	4	complexiteit/noun
0.03310313	35685	20	computer/noun
-0.091872245	22082	11	concreet/adj
0.12701294	3257	2	condoom/noun
0.16688552	29686	19	conflict/noun
2.1632829	844	4	consolidatie/noun
1.6918634	1009	3	constructeur/noun
0.29854596	9496	7	constructie/noun
0.5255582	29502	27	consument/noun
0.76613647	6823	8	continent/noun
1.8679668	11122	39	corruptie/noun
1.5002192	821	2	cosmetica/noun
3.663751	472	10	couscous/noun
0.43412498	26108	22	creëer/verb
-0.124399066	10488	5	criminaliteit/noun
1.4450096	432	1	cuisine/noun
0.72376937	9781	11	daadwerkelijk/adj
-0.02865852	274838	146	daar/adv
-0.37854868	272748	102	daar/noun
-0.78647	388220	96	dag/noun
-0.42910132	8502	3	dag_blad/noun
2.1762385	212	1	dagdroom/noun
-0.3270504	22984	9	dak/noun
-0.62776864	17253	5	daling/noun
-0.2510982	853168	363	dan/adv
0.08863601	1849436	1104	dat/det
-0.07616129	552171	280	dat/pron
0.058127135	28074105	16176	de/det
-0.06396868	41076	21	de/prep
1.4901394	4205	10	dealer/noun
-0.5093485	36825	12	debat/noun
3.015355	1086	12	decoder/noun
-0.24752367	150293	64	deel/noun
-0.8598557	8666	2	defensie/noun
-0.87137395	39842	9	definitief/adj
3.4834535	2257	40	dek_af/verb
1.2552041	524	1	deling/noun
-0.37736276	294025	110	denk/verb
1.338913	46067	96	dergelijk/adj
0.36394927	719674	564	deze/det
0.35255936	97788	76	dezelfde/det
0.027639344	1365392	768	die/det
0.10478094	2519801	1531	die/pron
1.0917234	18171	29	diefstal/noun
1.6949009	5407	16	dien_toe/verb
0.030836107	49858	28	diep/adj
0.49808592	2225	2	diep/noun
0.37305313	49373	39	dier/noun
1.4976312	421	1	dier_beschermer/noun
1.7260635	2285	7	dierlijk/adj
0.87128454	17026	22	digitaal/adj
-0.5267135	80601	26	ding/noun
1.5196252	1624	4	dinsdag_ochtend/noun
-0.38254878	86626	32	directeur/noun
0.11509225	795783	486	dit/det
0.10892073	731956	444	doe/verb
1.3603851	5225	11	doe_over/verb
1.8374397	18112	62	doe_voor/verb
-0.28194386	95858	39	dollar/noun
-1.092779	66611	12	donderdag/noun
0.62769276	58709	59	dood/adj
0.18689406	103759	68	door/part
0.073843434	1310789	769	door/prep
-0.53035504	3132	1	doorkruis/verb
1.4140823	2232	5	doorstroming/noun
1.6032121	6730	18	doping/noun
0.5712988	2101	2	doping_controle/noun
0.53061694	5427	5	drank_DIM/noun
0.32820892	9255	7	dreiging/noun
0.42895666	14391	12	drijf/verb
-0.04451237	30796	16	drink/verb
0.85464436	2370	3	drinkwater/noun
1.6665303	22386	64	drug/noun
0.37518	22766	18	druk/verb
-0.0845841	7975	4	durend/adj
0.2838006	61418	44	duur/adj
-0.37388897	253480	95	echt/adj
0.18817273	172600	114	echter/adv
-0.009932149	52344	28	economie/noun
0.40222615	72542	59	economisch/adj
-0.1581969	6471	3	econoom/noun
0.14065677	11075723	6944	een/det
0.5508733	9468	9	een/noun
-0.57185096	292605	90	eens/adv
0.22401021	36615	25	eenvoudig/adj
0.23825523	167651	116	eerder/adj
1.1327033	69450	117	eerst/adj
0.15537333	108250	69	eerst/adv
0.6630295	35928	38	effect/noun
2.3268507	536	3	egaal/adj
2.314752	14565	80	ei/noun
-0.25219387	316997	134	eigen/adj
-0.5224304	9265	3	eindeloos/adj
-0.55539966	28821	9	eis/noun
1.7832583	4303	14	eiwit/noun
-0.0048546707	25883	14	elders/adv
1.3107632	3469	7	electoraal/adj
0.38589787	18855	15	electronisch/adj
0.5808588	7218	7	elf/noun
-0.31296048	218177	87	elkaar/pron
0.18128075	3060	2	emmer/noun
0.4442387	25988	22	en/noun
2.0496635	1179	5	en/part
0.14489487	20632	13	energie/noun
2.3970397	1007	6	energiebron/noun
-0.3410901	95251	37	enig/adj
-0.2565168	319878	135	enkel/det
0.79678285	71016	86	enorm/adj
-0.13885899	2112	1	entertainment/noun
4.8804493	876	63	epicentrum/noun
1.6321536	1082	3	epo/noun
0.19149879	1744977	1154	er/adv
-0.096891336	665899	330	er/noun
0.5239041	3265	3	erfelijk/adj
-0.61943585	149936	44	erg/adj
0.2668697	29534	21	erken/verb
