_id	_cws.schaal.foc10.nav.ppmi_weight.bound	_count.schaal.foc10.nav.ppmi_weight.bound	_cws.schaal.foc10.nav.ppmi_sel.bound	_count.schaal.foc10.nav.ppmi_sel.bound	_cws.schaal.foc10.nav.no_ppmi.bound	_count.schaal.foc10.nav.no_ppmi.bound	_cws.schaal.foc10.all.ppmi_weight.bound	_count.schaal.foc10.all.ppmi_weight.bound	_cws.schaal.foc10.all.ppmi_sel.bound	_count.schaal.foc10.all.ppmi_sel.bound	_cws.schaal.foc10.all.no_ppmi.bound	_count.schaal.foc10.all.no_ppmi.bound	_cws.schaal.foc5.nav.ppmi_weight.bound	_count.schaal.foc5.nav.ppmi_weight.bound	_cws.schaal.foc5.nav.ppmi_sel.bound	_count.schaal.foc5.nav.ppmi_sel.bound	_cws.schaal.foc5.nav.no_ppmi.bound	_count.schaal.foc5.nav.no_ppmi.bound	_cws.schaal.foc5.all.ppmi_weight.bound	_count.schaal.foc5.all.ppmi_weight.bound	_cws.schaal.foc5.all.ppmi_sel.bound	_count.schaal.foc5.all.ppmi_sel.bound	_cws.schaal.foc5.all.no_ppmi.bound	_count.schaal.foc5.all.no_ppmi.bound
schaal/noun/volkskrant_20020824_103/314	groot/adj;neem_toe/adj;overbevissing/noun	3	groot/adj;neem_toe/adj;overbevissing/noun	3	angstaanjagend/adj;groot/adj;neem_toe/adj;overbevissing/noun	4	dat/det;groot/adj;neem_toe/adj;op/prep;overbevissing/noun	5	dat/det;groot/adj;neem_toe/adj;op/prep;overbevissing/noun	5	allemaal/adv;angstaanjagend/adj;dat/det;groot/adj;neem_toe/adj;op/prep;overbevissing/noun	7	groot/adj	1	groot/adj	1	angstaanjagend/adj;groot/adj	2	dat/det;groot/adj;op/prep	3	dat/det;groot/adj;op/prep	3	allemaal/adv;angstaanjagend/adj;dat/det;groot/adj;op/prep	5
schaal/noun/parool_19990311_116/493	groot/adj;onderneem/verb;spoor_aan/verb;word/verb	4	groot/adj;onderneem/verb;spoor_aan/verb;word/verb	4	bereik/verb;groot/adj;kunstenaar/noun;onderneem/verb;poging/noun;publiek/noun;spoor_aan/verb;word/verb	8	een/det;groot/adj;onderneem/verb;op/prep;spoor_aan/verb;word/verb	6	een/det;groot/adj;onderneem/verb;op/prep;spoor_aan/verb;word/verb	6	bereik/verb;een/det;groot/adj;kunstenaar/noun;onderneem/verb;op/prep;poging/noun;publiek/noun;spoor_aan/verb;word/verb	10	groot/adj;onderneem/verb;spoor_aan/verb;word/verb	4	groot/adj;onderneem/verb;spoor_aan/verb;word/verb	4	groot/adj;kunstenaar/noun;onderneem/verb;poging/noun;spoor_aan/verb;word/verb	6	een/det;groot/adj;onderneem/verb;op/prep;spoor_aan/verb;word/verb	6	een/det;groot/adj;onderneem/verb;op/prep;spoor_aan/verb;word/verb	6	een/det;groot/adj;kunstenaar/noun;onderneem/verb;op/prep;poging/noun;spoor_aan/verb;word/verb	8
schaal/noun/parool_20020622_19/521	electronisch/adj;groot/adj;produceer/verb;word/verb	4	electronisch/adj;groot/adj;produceer/verb;word/verb	4	afdeling/noun;denk/verb;electronisch/adj;euro/noun;groot/adj;produceer/verb;word/verb	7	de/det;electronisch/adj;groot/adj;op/prep;produceer/verb;tot/prep;van/prep;word/verb;zelfs/adv	9	de/det;electronisch/adj;groot/adj;op/prep;produceer/verb;tot/prep;van/prep;word/verb;zelfs/adv	9	afdeling/noun;de/det;denk/verb;electronisch/adj;euro/noun;groot/adj;op/prep;produceer/verb;tot/prep;van/prep;word/verb;ze/pron;zelfs/adv	13	groot/adj;produceer/verb;word/verb	3	groot/adj;produceer/verb;word/verb	3	denk/verb;groot/adj;produceer/verb;word/verb	4	groot/adj;op/prep;produceer/verb;word/verb	4	groot/adj;op/prep;produceer/verb;word/verb	4	denk/verb;groot/adj;op/prep;produceer/verb;word/verb;ze/pron	6
schaal/noun/parool_20011117_57/49	groot/adj;tientallen/noun	2	groot/adj;tientallen/noun	2	even/adj;groot/adj;sta/verb;tientallen/noun	4	groot/adj;op/prep;overal/adv;tientallen/noun;tot/prep;van/prep	6	groot/adj;op/prep;overal/adv;tientallen/noun;tot/prep;van/prep	6	even/adj;groot/adj;niet/adv;op/prep;overal/adv;sta/verb;tientallen/noun;toch/adv;tot/prep;van/prep	10	groot/adj	1	groot/adj	1	even/adj;groot/adj	2	groot/adj;op/prep;overal/adv;van/prep	4	groot/adj;op/prep;overal/adv;van/prep	4	even/adj;groot/adj;niet/adv;op/prep;overal/adv;toch/adv;van/prep	7
schaal/noun/parool_20000225_51/1174	groot/adj;kantoor/noun;probleem/noun	3	groot/adj;kantoor/noun;probleem/noun	3	groot/adj;heb/verb;het/noun;kantoor/noun;probleem/noun;richt_in/verb;weet/verb;wil/verb	8	alleen/adv;een/det;groot/adj;kantoor/noun;op/prep;probleem/noun	6	alleen/adv;een/det;groot/adj;kantoor/noun;op/prep;probleem/noun	6	alleen/adv;een/det;groot/adj;heb/verb;het/noun;je/det;je/pron;kantoor/noun;niet/adv;op/prep;probleem/noun;richt_in/verb;weet/verb;wil/verb;zo/adv	15	groot/adj;kantoor/noun;probleem/noun	3	groot/adj;kantoor/noun;probleem/noun	3	groot/adj;heb/verb;kantoor/noun;probleem/noun	4	een/det;groot/adj;kantoor/noun;op/prep;probleem/noun	5	een/det;groot/adj;kantoor/noun;op/prep;probleem/noun	5	een/det;groot/adj;heb/verb;je/det;kantoor/noun;op/prep;probleem/noun	7
schaal/noun/parool_20010327_21/304	bescheiden/adj;breid_uit/verb;word/verb	3	bescheiden/adj;breid_uit/verb;word/verb	3	bescheiden/adj;breid_uit/verb;weg/noun;word/verb	4	bescheiden/adj;breid_uit/verb;de/det;op/prep;word/verb	5	bescheiden/adj;breid_uit/verb;de/det;op/prep;word/verb	5	bescheiden/adj;breid_uit/verb;de/det;op/prep;weg/noun;word/verb	6	bescheiden/adj;breid_uit/verb;word/verb	3	bescheiden/adj;breid_uit/verb;word/verb	3	bescheiden/adj;breid_uit/verb;weg/noun;word/verb	4	bescheiden/adj;breid_uit/verb;de/det;op/prep;word/verb	5	bescheiden/adj;breid_uit/verb;de/det;op/prep;word/verb	5	bescheiden/adj;breid_uit/verb;de/det;op/prep;weg/noun;word/verb	6
schaal/noun/parool_20020610_40/34	consument/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;pin_pas/noun;stuk/noun;voldoende/adj	7	consument/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;pin_pas/noun;stuk/noun;voldoende/adj	7	ben/verb;consument/noun;euro/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;pin_pas/noun;stuk/noun;voldoende/adj	9	consument/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;op/prep;pin_pas/noun;stuk/noun;van/prep;voldoende/adj	9	consument/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;op/prep;pin_pas/noun;stuk/noun;van/prep;voldoende/adj	9	ben/verb;consument/noun;euro/noun;groot/adj;kopieer/verb;nietsvermoedend/adj;op/prep;per/prep;pin_pas/noun;stuk/noun;van/prep;voldoende/adj	12	consument/noun;groot/adj;nietsvermoedend/adj;pin_pas/noun;voldoende/adj	5	consument/noun;groot/adj;nietsvermoedend/adj;pin_pas/noun;voldoende/adj	5	ben/verb;consument/noun;groot/adj;nietsvermoedend/adj;pin_pas/noun;voldoende/adj	6	consument/noun;groot/adj;nietsvermoedend/adj;op/prep;pin_pas/noun;van/prep;voldoende/adj	7	consument/noun;groot/adj;nietsvermoedend/adj;op/prep;pin_pas/noun;van/prep;voldoende/adj	7	ben/verb;consument/noun;groot/adj;nietsvermoedend/adj;op/prep;pin_pas/noun;van/prep;voldoende/adj	8
schaal/noun/parool_20040426_111/87	beperkt/adj;maak_gebruik/verb;wad/noun	3	beperkt/adj;maak_gebruik/verb;wad/noun	3	alles/noun;beperkt/adj;ding/noun;goed/adj;krijg/verb;maak_gebruik/verb;mag/verb;mens/noun;voorrang/noun;wad/noun	10	beperkt/adj;boven/prep;de/det;die/pron;gebruik/part;maak_gebruik/verb;op/prep;van/prep;wad/noun	9	beperkt/adj;boven/prep;de/det;die/pron;gebruik/part;maak_gebruik/verb;op/prep;van/prep;wad/noun	9	alle/det;alles/noun;beperkt/adj;boven/prep;de/det;die/pron;ding/noun;gebruik/part;goed/adj;het/det;krijg/verb;maak_gebruik/verb;mag/verb;mens/noun;op/prep;van/prep;voorrang/noun;wad/noun	18	beperkt/adj;maak_gebruik/verb	2	beperkt/adj;maak_gebruik/verb	2	beperkt/adj;maak_gebruik/verb;mag/verb;mens/noun	4	beperkt/adj;de/det;gebruik/part;maak_gebruik/verb;op/prep;van/prep	6	beperkt/adj;de/det;gebruik/part;maak_gebruik/verb;op/prep;van/prep	6	alle/det;beperkt/adj;de/det;gebruik/part;maak_gebruik/verb;mag/verb;mens/noun;op/prep;van/prep	9
schaal/noun/parool_20020530_54/821	boter/noun;bovenkant/noun;minuut/noun;oven/noun;warm/adj;zet/verb	6	boter/noun;bovenkant/noun;minuut/noun;oven/noun;warm/adj;zet/verb	6	boter/noun;bovenkant/noun;matig/adj;minuut/noun;oven/noun;paar/noun;warm/adj;zet/verb	8	boter/noun;bovenkant/noun;de/det;een/det;in/prep;minuut/noun;ongeveer/adv;oven/noun;warm/adj;zet/verb	10	boter/noun;bovenkant/noun;de/det;een/det;in/prep;minuut/noun;ongeveer/adv;oven/noun;warm/adj;zet/verb	10	boter/noun;bovenkant/noun;de/det;een/det;in/prep;matig/adj;minuut/noun;ongeveer/adv;oven/noun;over/prep;paar/noun;warm/adj;zet/verb	13	bovenkant/noun;minuut/noun;zet/verb	3	bovenkant/noun;minuut/noun;zet/verb	3	bovenkant/noun;minuut/noun;zet/verb	3	bovenkant/noun;de/det;een/det;in/prep;minuut/noun;ongeveer/adv;zet/verb	7	bovenkant/noun;de/det;een/det;in/prep;minuut/noun;ongeveer/adv;zet/verb	7	bovenkant/noun;de/det;een/det;in/prep;minuut/noun;ongeveer/adv;zet/verb	7
schaal/noun/parool_20031021_73/403	kom_DIM/noun;schelp/noun;vorm/noun;zilveren/adj	4	kom_DIM/noun;schelp/noun;vorm/noun;zilveren/adj	4	kom_DIM/noun;schelp/noun;vorm/noun;zilveren/adj	4	de/det;een/det;in/prep;kom_DIM/noun;schelp/noun;van/prep;vorm/noun;zilveren/adj	8	de/det;een/det;in/prep;kom_DIM/noun;schelp/noun;van/prep;vorm/noun;zilveren/adj	8	de/det;een/det;in/prep;kom_DIM/noun;schelp/noun;van/prep;vorm/noun;zilveren/adj	8	kom_DIM/noun;vorm/noun;zilveren/adj	3	kom_DIM/noun;vorm/noun;zilveren/adj	3	kom_DIM/noun;vorm/noun;zilveren/adj	3	de/det;in/prep;kom_DIM/noun;vorm/noun;zilveren/adj	5	de/det;in/prep;kom_DIM/noun;vorm/noun;zilveren/adj	5	de/det;in/prep;kom_DIM/noun;vorm/noun;zilveren/adj	5
