_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
horde.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.12421328777804413	1.4082745719112344	1	FOC	685	277	horde	NA	NA	bound	1319	all	10_10	no	nav	4_4	0.1696084500602066	BOW
horde.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.24744642823548108	1.4718730482200655	1	FOC	1319	277	horde	NA	NA	bound	1319	all	10_10	no	all	4_4	0.155150713250624	BOW
horde.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6497082790217098	-0.24284218508235653	1	5000	5000	259	horde	NA	NA	bound	402	lex	5_5	weight	nav	4_4	0.17642328310111932	BOW
horde.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.4807049519867571	-1.0468657017876162	1	5000	5000	259	horde	NA	NA	bound	402	lex	5_5	weight	all	4_4	0.1771542282977001	BOW
horde.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6459896734640739	0.006181111025569736	1	FOC	295	259	horde	NA	NA	bound	402	lex	5_5	weight	nav	4_4	0.17098985393813237	BOW
horde.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.6214476707778256	-0.02031965002892478	1	FOC	402	259	horde	NA	NA	bound	402	lex	5_5	weight	all	4_4	0.16201546309903692	BOW
horde.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.694531659880769	-0.2462295160621631	1	5000	5000	259	horde	NA	NA	bound	402	lex	5_5	selection	nav	4_4	0.18691398041481097	BOW
horde.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.5329473787934983	-1.0039859807896188	1	5000	5000	259	horde	NA	NA	bound	402	lex	5_5	selection	all	4_4	0.1819644362456846	BOW
horde.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5921927622210067	0.045644305372408496	1	FOC	295	259	horde	NA	NA	bound	402	lex	5_5	selection	nav	4_4	0.17301696047331236	BOW
horde.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5765158489568686	0.024357569495364544	1	FOC	402	259	horde	NA	NA	bound	402	lex	5_5	selection	all	4_4	0.16573364243180894	BOW
horde.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.2395076043453261	-0.11198440739261656	1	5000	5000	271	horde	NA	NA	bound	580	lex	5_5	no	nav	4_4	0.19789623467745993	BOW
horde.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.9492346237995216	-1.3507140453734556	1	5000	5000	271	horde	NA	NA	bound	580	lex	5_5	no	all	4_4	0.2011686748562258	BOW
horde.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.8568597721347592	0.25457579912443323	1	FOC	436	271	horde	NA	NA	bound	580	lex	5_5	no	nav	4_4	0.15988420488184396	BOW
horde.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8832815768561493	0.23884710867754996	1	FOC	580	271	horde	NA	NA	bound	580	lex	5_5	no	all	4_4	0.1588493071198381	BOW
horde.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.04094837341125622	-0.21104217709714773	1	5000	5000	276	horde	NA	NA	bound	545	all	5_5	weight	nav	4_4	0.1446170137730329	BOW
horde.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.08028103718051448	-0.954562867325828	1	5000	5000	276	horde	NA	NA	bound	545	all	5_5	weight	all	4_4	0.16756150775500583	BOW
horde.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.24572554261378682	0.056944952032196496	1	FOC	295	276	horde	NA	NA	bound	545	all	5_5	weight	nav	4_4	0.1395345736417395	BOW
horde.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.22926062514363874	0.022256111384739912	1	FOC	545	276	horde	NA	NA	bound	545	all	5_5	weight	all	4_4	0.13657057321411803	BOW
horde.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.5618841332896417	0.6757844554320775	1	5000	5000	276	horde	NA	NA	bound	545	all	5_5	selection	nav	4_4	0.17935763929808707	BOW
horde.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.6055942520542229	-0.7625713456986931	1	5000	5000	276	horde	NA	NA	bound	545	all	5_5	selection	all	4_4	0.18805724983391883	BOW
horde.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.029221670382698905	0.3280719564869244	1	FOC	295	276	horde	NA	NA	bound	545	all	5_5	selection	nav	4_4	0.163552478654716	BOW
horde.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.030565889833258055	0.2966434574770042	1	FOC	545	276	horde	NA	NA	bound	545	all	5_5	selection	all	4_4	0.17094386748382182	BOW
horde.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.6078061028944342	1.11513387972748	1	5000	5000	276	horde	NA	NA	bound	812	all	5_5	no	nav	4_4	0.2048909798496706	BOW
horde.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.9891532350868731	-1.2210779860690817	1	5000	5000	276	horde	NA	NA	bound	812	all	5_5	no	all	4_4	0.22159352613368888	BOW
horde.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.07498332897536553	0.7436039259069479	1	FOC	436	276	horde	NA	NA	bound	812	all	5_5	no	nav	4_4	0.1565839457542879	BOW
horde.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	0.024269008382732687	0.7848500378347012	1	FOC	812	276	horde	NA	NA	bound	812	all	5_5	no	all	4_4	0.15175107235444743	BOW
horde.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.501217200443396	-0.26033945933895536	1	5000	5000	248	horde	NA	NA	bound	313	lex	3_3	weight	nav	4_4	0.19366760306676759	BOW
horde.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3279394539774874	-1.008698085309451	1	5000	5000	248	horde	NA	NA	bound	313	lex	3_3	weight	all	4_4	0.19283519623983683	BOW
horde.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.4960600159094256	-0.0508914503793174	1	FOC	233	248	horde	NA	NA	bound	313	lex	3_3	weight	nav	4_4	0.18762407793965288	BOW
horde.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.4740492249445981	-0.07172844773444637	1	FOC	313	248	horde	NA	NA	bound	313	lex	3_3	weight	all	4_4	0.17332057184086908	BOW
horde.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.5629956825171621	-0.2892942952681458	1	5000	5000	248	horde	NA	NA	bound	313	lex	3_3	selection	nav	4_4	0.20350704565636327	BOW
horde.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.35742599155902727	-1.026965488471361	1	5000	5000	248	horde	NA	NA	bound	313	lex	3_3	selection	all	4_4	0.19263731115791807	BOW
horde.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5005257745531022	-0.011558991213073811	1	FOC	233	248	horde	NA	NA	bound	313	lex	3_3	selection	nav	4_4	0.18816885153650648	BOW
horde.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.483678760716473	-0.037609671704133756	1	FOC	313	248	horde	NA	NA	bound	313	lex	3_3	selection	all	4_4	0.17200108968603595	BOW
horde.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.9996204839261243	-0.276740515319163	1	5000	5000	259	horde	NA	NA	bound	388	lex	3_3	no	nav	4_4	0.20430381878904189	BOW
horde.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.5561572566106737	-1.3651425704020692	1	5000	5000	259	horde	NA	NA	bound	388	lex	3_3	no	all	4_4	0.18965463904391225	BOW
horde.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.7252575758966577	0.13964957437553888	1	FOC	289	259	horde	NA	NA	bound	388	lex	3_3	no	nav	4_4	0.17728110295271973	BOW
horde.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.7219916589005455	0.12130146527381451	1	FOC	388	259	horde	NA	NA	bound	388	lex	3_3	no	all	4_4	0.16561203663983193	BOW
horde.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.15900085330864897	-0.27490356691258216	1	5000	5000	274	horde	NA	NA	bound	403	all	3_3	weight	nav	4_4	0.14791677387973975	BOW
horde.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.27880421703123376	-1.002244330470927	1	5000	5000	274	horde	NA	NA	bound	403	all	3_3	weight	all	4_4	0.17102134546568834	BOW
horde.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10350217251303502	-0.028631170920816306	1	FOC	233	274	horde	NA	NA	bound	403	all	3_3	weight	nav	4_4	0.14713315815656883	BOW
horde.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.07507575677101318	-0.06236469577942558	1	FOC	403	274	horde	NA	NA	bound	403	all	3_3	weight	all	4_4	0.13942604092185315	BOW
horde.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.8353460535407911	0.39643821265652723	1	5000	5000	274	horde	NA	NA	bound	403	all	3_3	selection	nav	4_4	0.16336485627127478	BOW
horde.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.8506019457729305	-0.7672357220238273	1	5000	5000	274	horde	NA	NA	bound	403	all	3_3	selection	all	4_4	0.1841784904562007	BOW
horde.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.20058761401237926	0.23027959181131072	1	FOC	233	274	horde	NA	NA	bound	403	all	3_3	selection	nav	4_4	0.17381670876387362	BOW
horde.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.2069627745864648	0.17622483188187288	1	FOC	403	274	horde	NA	NA	bound	403	all	3_3	selection	all	4_4	0.17418252610327506	BOW
horde.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.9482038845702622	0.6848582974633048	1	5000	5000	275	horde	NA	NA	bound	527	all	3_3	no	nav	4_4	0.18468271144334308	BOW
horde.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.186845650606214	-0.9028437674282713	1	5000	5000	275	horde	NA	NA	bound	527	all	3_3	no	all	4_4	0.2164834978394643	BOW
horde.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.2580987283292983	0.4835077385925577	1	FOC	289	275	horde	NA	NA	bound	527	all	3_3	no	nav	4_4	0.1694259294416294	BOW
horde.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.2466241253235727	0.4582568213578048	1	FOC	527	275	horde	NA	NA	bound	527	all	3_3	no	all	4_4	0.1606496492948497	BOW
horde.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.087755230977821	-0.2306814836262845	1	5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	weight	nav	4_4	0.17098053852587017	BOW
horde.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.8060597942625278	-1.2197665403501592	1	5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	weight	all	4_4	0.18574919433557552	BOW
horde.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.199698145113753	0.11575456190150696	1	FOC	422	273	horde	NA	NA	nobound	583	lex	10_10	weight	nav	4_4	0.16931023112071075	BOW
horde.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.1389900822996768	0.060608478185651835	1	FOC	583	273	horde	NA	NA	nobound	583	lex	10_10	weight	all	4_4	0.16435446202822349	BOW
horde.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-1.2716967600191722	-0.040440619211549664	1	5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	selection	nav	4_4	0.1969860816091664	BOW
horde.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-1.0469391995379285	-1.1383308940623174	1	5000	5000	273	horde	NA	NA	nobound	583	lex	10_10	selection	all	4_4	0.1905683795413554	BOW
horde.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-1.1227583921117548	0.2972423862318544	1	FOC	422	273	horde	NA	NA	nobound	583	lex	10_10	selection	nav	4_4	0.16891393160914098	BOW
horde.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-1.082429308133374	0.2764025007369624	1	FOC	583	273	horde	NA	NA	nobound	583	lex	10_10	selection	all	4_4	0.16685398079045208	BOW
horde.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-1.7473043356982667	0.7175488503124843	1	5000	5000	276	horde	NA	NA	nobound	1238	lex	10_10	no	nav	4_4	0.2059023618230349	BOW
horde.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-2.0480313758050945	-1.1465567331046316	1	5000	5000	276	horde	NA	NA	nobound	1238	lex	10_10	no	all	4_4	0.1994439028747323	BOW
