_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
horde.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.052407311954090395	0.8721888270930417	1	FOC	494	278	horde	NA	NA	nobound	932	all	5_5	no	nav	4_4	0.1705921296782572	BOW
horde.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.12731387001016606	0.9084389076000549	1	FOC	932	278	horde	NA	NA	nobound	932	all	5_5	no	all	4_4	0.16775809552154805	BOW
horde.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.6044229408506285	-0.29820680694524115	1	5000	5000	252	horde	NA	NA	nobound	333	lex	3_3	weight	nav	4_4	0.19710740651626857	BOW
horde.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.4083726954542757	-1.0991586766347825	1	5000	5000	252	horde	NA	NA	nobound	333	lex	3_3	weight	all	4_4	0.19457309713246965	BOW
horde.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6003468326373202	-0.06486301926460199	1	FOC	247	252	horde	NA	NA	nobound	333	lex	3_3	weight	nav	4_4	0.19382482455647898	BOW
horde.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5642809708344282	-0.07866087003305398	1	FOC	333	252	horde	NA	NA	nobound	333	lex	3_3	weight	all	4_4	0.18031317203679156	BOW
horde.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6934996460333059	-0.33083706047698885	1	5000	5000	252	horde	NA	NA	nobound	333	lex	3_3	selection	nav	4_4	0.2055606959204055	BOW
horde.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.440357990001205	-1.121884970225479	1	5000	5000	252	horde	NA	NA	nobound	333	lex	3_3	selection	all	4_4	0.19474481903252353	BOW
horde.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.5867716631931409	-0.022769684916282045	1	FOC	247	252	horde	NA	NA	nobound	333	lex	3_3	selection	nav	4_4	0.18854172824342375	BOW
horde.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.5677011177293403	-0.04877004546423658	1	FOC	333	252	horde	NA	NA	nobound	333	lex	3_3	selection	all	4_4	0.17858486986223704	BOW
horde.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1959894113822946	-0.256212646671264	1	5000	5000	263	horde	NA	NA	nobound	415	lex	3_3	no	nav	4_4	0.20769764672792745	BOW
horde.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.71392023935218	-1.446457677407898	1	5000	5000	263	horde	NA	NA	nobound	415	lex	3_3	no	all	4_4	0.19198126958705677	BOW
horde.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.9003120309828273	0.1362579990699441	1	FOC	309	263	horde	NA	NA	nobound	415	lex	3_3	no	nav	4_4	0.18467074349275092	BOW
horde.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.8964800441712111	0.10297007678542132	1	FOC	415	263	horde	NA	NA	nobound	415	lex	3_3	no	all	4_4	0.17627568195133475	BOW
horde.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.1152248755996314	-0.3259608980995928	1	5000	5000	275	horde	NA	NA	nobound	434	all	3_3	weight	nav	4_4	0.15079864404313228	BOW
horde.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	0.24162125688818736	-1.0791202757716547	1	5000	5000	275	horde	NA	NA	nobound	434	all	3_3	weight	all	4_4	0.1702178941662687	BOW
horde.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1670304441758348	-0.029214116222396738	1	FOC	247	275	horde	NA	NA	nobound	434	all	3_3	weight	nav	4_4	0.15585205344880837	BOW
horde.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.12640780935070017	-0.07799258161672505	1	FOC	434	275	horde	NA	NA	nobound	434	all	3_3	weight	all	4_4	0.14944296611686234	BOW
horde.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.8645050488808989	0.47551132373551264	1	5000	5000	275	horde	NA	NA	nobound	434	all	3_3	selection	nav	4_4	0.1700406869732796	BOW
horde.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	0.8647915796350215	-0.8431242676865116	1	5000	5000	275	horde	NA	NA	nobound	434	all	3_3	selection	all	4_4	0.18738351836523676	BOW
horde.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.1758342132554674	0.24861599792399075	1	FOC	247	275	horde	NA	NA	nobound	434	all	3_3	selection	nav	4_4	0.17672176553412491	BOW
horde.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.19546318004066865	0.18626964969341667	1	FOC	434	275	horde	NA	NA	nobound	434	all	3_3	selection	all	4_4	0.1835955794456037	BOW
horde.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	0.9561602318537552	0.7271096732042915	1	5000	5000	275	horde	NA	NA	nobound	568	all	3_3	no	nav	4_4	0.19994552653927436	BOW
horde.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	1.1857960194374402	-1.0303586344072877	1	5000	5000	275	horde	NA	NA	nobound	568	all	3_3	no	all	4_4	0.2163113447977868	BOW
horde.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.2378422897371943	0.5156615740464844	1	FOC	309	275	horde	NA	NA	nobound	568	all	3_3	no	nav	4_4	0.17360265689667062	BOW
horde.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	0.2287401498095118	0.4932363962983838	1	FOC	568	275	horde	NA	NA	nobound	568	all	3_3	no	all	4_4	0.1648032762813488	BOW
horde.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	0.31333791715496173	-0.23535946018193057	1	5000	5000	275	horde	selection2	NA	bound	395	NA	NA	weight	nav	4_4	0.14888277714376508	LEMMAPATH
horde.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	0.5005181834524124	-1.0007209030150992	1	5000	5000	275	horde	selection2	NA	bound	395	NA	NA	weight	all	4_4	0.16757774788915794	LEMMAPATH
horde.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	0.026782897695707294	-0.027419455104660834	1	FOC	234	275	horde	selection2	NA	bound	395	NA	NA	weight	nav	4_4	0.1533582604499679	LEMMAPATH
horde.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	0.05265212790613639	-0.0570645920636374	1	FOC	395	275	horde	selection2	NA	bound	395	NA	NA	weight	all	4_4	0.14232269725252533	LEMMAPATH
horde.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	0.9012613548562952	0.277397366017065	1	5000	5000	275	horde	selection2	NA	bound	395	NA	NA	selection	nav	4_4	0.17146097056085408	LEMMAPATH
horde.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	1.0203543658898233	-0.5396237443226378	1	5000	5000	275	horde	selection2	NA	bound	395	NA	NA	selection	all	4_4	0.17725297253984315	LEMMAPATH
horde.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	0.36928741747563476	0.19890394220295263	1	FOC	234	275	horde	selection2	NA	bound	395	NA	NA	selection	nav	4_4	0.16402328972515004	LEMMAPATH
horde.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	0.37806459401183207	0.1568265532095776	1	FOC	395	275	horde	selection2	NA	bound	395	NA	NA	selection	all	4_4	0.16398340767782885	LEMMAPATH
horde.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	1.1070294152794329	0.6003553474931524	1	5000	5000	277	horde	selection2	NA	bound	587	NA	NA	no	nav	4_4	0.1900571648801715	LEMMAPATH
horde.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	1.5310786670793615	-0.5593355130396006	1	5000	5000	277	horde	selection2	NA	bound	587	NA	NA	no	all	4_4	0.19847725014105666	LEMMAPATH
horde.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	0.4752673622039071	0.4631373834974054	1	FOC	319	277	horde	selection2	NA	bound	587	NA	NA	no	nav	4_4	0.16522093484184702	LEMMAPATH
horde.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	0.4778802483976961	0.4191639301585949	1	FOC	587	277	horde	selection2	NA	bound	587	NA	NA	no	all	4_4	0.15830706674697861	LEMMAPATH
horde.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	0.11076979461637149	-0.258087305378149	1	5000	5000	277	horde	selection3	NA	bound	537	NA	NA	weight	nav	4_4	0.1546200700012348	LEMMAPATH
horde.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	0.23649786565007827	-0.9890266910694321	1	5000	5000	277	horde	selection3	NA	bound	537	NA	NA	weight	all	4_4	0.16743891820386916	LEMMAPATH
horde.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1355980832418331	0.0403019904922969	1	FOC	293	277	horde	selection3	NA	bound	537	NA	NA	weight	nav	4_4	0.1445074111347141	LEMMAPATH
horde.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	-0.11108748869350032	-0.005568497258018227	1	FOC	537	277	horde	selection3	NA	bound	537	NA	NA	weight	all	4_4	0.14063466514761358	LEMMAPATH
horde.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	0.8226249888608539	0.625625716100463	1	5000	5000	277	horde	selection3	NA	bound	537	NA	NA	selection	nav	4_4	0.20476163135590247	LEMMAPATH
horde.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	0.8756299287904524	-0.6808094118002261	1	5000	5000	277	horde	selection3	NA	bound	537	NA	NA	selection	all	4_4	0.19532951745428215	LEMMAPATH
horde.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	0.1891446880865123	0.36434640174346583	1	FOC	293	277	horde	selection3	NA	bound	537	NA	NA	selection	nav	4_4	0.1622691803386723	LEMMAPATH
horde.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	0.2045020313641186	0.32059431852727605	1	FOC	537	277	horde	selection3	NA	bound	537	NA	NA	selection	all	4_4	0.17180594580054342	LEMMAPATH
horde.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	0.9945892081670972	1.013214044515294	1	5000	5000	277	horde	selection3	NA	bound	939	NA	NA	no	nav	4_4	0.22533617392725785	LEMMAPATH
horde.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	1.611215584912644	-0.85723972823139	1	5000	5000	277	horde	selection3	NA	bound	939	NA	NA	no	all	4_4	0.2335348351651712	LEMMAPATH
horde.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSnav	0.334017527297303	0.7843193731130912	1	FOC	470	277	horde	selection3	NA	bound	939	NA	NA	no	nav	4_4	0.1692766420535212	LEMMAPATH
horde.LEMMAPATHselection3.PPMIno.LENGTHFOC.SOCPOSall	0.3108645207424084	0.8359825315519903	1	FOC	939	277	horde	selection3	NA	bound	939	NA	NA	no	all	4_4	0.16391962179840466	LEMMAPATH
horde.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	0.9653300336651894	0.2893454172031885	1	5000	5000	277	horde	weight	NA	bound	537	NA	NA	selection	nav	4_4	0.16863970982171378	LEMMAPATH
horde.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	1.0122697825818685	-0.4535741313766043	1	5000	5000	277	horde	weight	NA	bound	537	NA	NA	selection	all	4_4	0.17264784456348511	LEMMAPATH
horde.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	0.37852319060721074	0.1982997032883375	1	FOC	293	277	horde	weight	NA	bound	537	NA	NA	selection	nav	4_4	0.15244565195157944	LEMMAPATH
horde.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	0.3897284454966538	0.15858031516597879	1	FOC	537	277	horde	weight	NA	bound	537	NA	NA	selection	all	4_4	0.15725149806462904	LEMMAPATH
horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	1.1112944503836808	0.5556044841421056	1	5000	5000	277	horde	weight	NA	bound	939	NA	NA	no	nav	4_4	0.19302776181633563	LEMMAPATH
horde.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	1.4526213443800777	-0.3898026998572983	1	5000	5000	277	horde	weight	NA	bound	939	NA	NA	no	all	4_4	0.1972142193782002	LEMMAPATH
horde.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	0.5165145215539856	0.4181809134298338	1	FOC	470	277	horde	weight	NA	bound	939	NA	NA	no	nav	4_4	0.16328035880423084	LEMMAPATH
horde.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	0.5231091038290178	0.40185680856927664	1	FOC	939	277	horde	weight	NA	bound	939	NA	NA	no	all	4_4	0.1583612226360991	LEMMAPATH
horde.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	0.9760103166527079	-0.010739040420356501	1	5000	5000	262	horde	NA	group1	bound	184	NA	NA	weight	nav	4_4	0.15020096351592152	LEMMAREL
horde.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	1.212207332505755	-0.6645459759571213	1	5000	5000	262	horde	NA	group1	bound	184	NA	NA	weight	all	4_4	0.19226915267550718	LEMMAREL
horde.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	0.8573586402974921	-0.03724644640229154	1	FOC	122	262	horde	NA	group1	bound	184	NA	NA	weight	nav	4_4	0.20964801914365097	LEMMAREL
horde.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	0.8315336404410523	-0.03586755122649969	1	FOC	184	262	horde	NA	group1	bound	184	NA	NA	weight	all	4_4	0.19522783209159608	LEMMAREL
horde.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	1.250239731230561	0.2626161998596753	1	5000	5000	262	horde	NA	group1	bound	184	NA	NA	selection	nav	4_4	0.1356921402850791	LEMMAREL
horde.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	1.4698821422075297	-0.22459713025808697	1	5000	5000	262	horde	NA	group1	bound	184	NA	NA	selection	all	4_4	0.1972688750871309	LEMMAREL
horde.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	1.0476486936503073	0.23461852682589288	1	FOC	122	262	horde	NA	group1	bound	184	NA	NA	selection	nav	4_4	0.18234775850583496	LEMMAREL
horde.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	1.0221817366609653	0.18549519893560792	1	FOC	184	262	horde	NA	group1	bound	184	NA	NA	selection	all	4_4	0.18018494325293452	LEMMAREL
horde.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	1.5088056066321562	0.4322994420055823	1	5000	5000	270	horde	NA	group1	bound	232	NA	NA	no	nav	4_4	0.15037110064164486	LEMMAREL
horde.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	1.7894698241943314	-0.18274838606799926	1	5000	5000	270	horde	NA	group1	bound	232	NA	NA	no	all	4_4	0.199233975719876	LEMMAREL
horde.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	1.1849008275536173	0.3896744643093514	1	FOC	146	270	horde	NA	group1	bound	232	NA	NA	no	nav	4_4	0.19042502049446533	LEMMAREL
horde.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	1.1616744786642863	0.32919078775455024	1	FOC	232	270	horde	NA	group1	bound	232	NA	NA	no	all	4_4	0.18966726076025925	LEMMAREL
horde.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	0.69562283741931	-0.16558556742772598	1	5000	5000	264	horde	NA	group2	bound	249	NA	NA	weight	nav	4_4	0.14473517010371037	LEMMAREL
horde.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	0.8447122929102479	-0.9497220110608063	1	5000	5000	264	horde	NA	group2	bound	249	NA	NA	weight	all	4_4	0.170242545733416	LEMMAREL
horde.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	0.4338075038980008	-0.11814824328603657	1	FOC	165	264	horde	NA	group2	bound	249	NA	NA	weight	nav	4_4	0.1689749247005268	LEMMAREL
horde.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	0.4288460093492637	-0.13896748164879572	1	FOC	249	264	horde	NA	group2	bound	249	NA	NA	weight	all	4_4	0.15953636601790672	LEMMAREL
horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	1.1185707563408547	0.2004805260568536	1	5000	5000	264	horde	NA	group2	bound	249	NA	NA	selection	nav	4_4	0.13315414951109086	LEMMAREL
horde.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	1.2394634480371116	-0.4080819718590796	1	5000	5000	264	horde	NA	group2	bound	249	NA	NA	selection	all	4_4	0.17973660448523496	LEMMAREL
horde.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	0.7193811289695399	0.14937577841789126	1	FOC	165	264	horde	NA	group2	bound	249	NA	NA	selection	nav	4_4	0.1560922313715502	LEMMAREL
horde.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	0.7092879137158002	0.11298234342926372	1	FOC	249	264	horde	NA	group2	bound	249	NA	NA	selection	all	4_4	0.1542149285183739	LEMMAREL
horde.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	1.3540916935016742	0.36332800845733193	1	5000	5000	271	horde	NA	group2	bound	312	NA	NA	no	nav	4_4	0.14988399916337386	LEMMAREL
horde.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	1.5606620714738417	-0.3233235822495025	1	5000	5000	271	horde	NA	group2	bound	312	NA	NA	no	all	4_4	0.19291729171302735	LEMMAREL
horde.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	0.8207470214621351	0.26988444337094014	1	FOC	199	271	horde	NA	group2	bound	312	NA	NA	no	nav	4_4	0.15247897141536476	LEMMAREL
horde.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	0.8091264535171038	0.20080244919890575	1	FOC	312	271	horde	NA	group2	bound	312	NA	NA	no	all	4_4	0.15328929603052788	LEMMAREL
horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	0.5708424329280087	-0.18465132288363476	1	5000	5000	265	horde	NA	group3	bound	313	NA	NA	weight	nav	4_4	0.14488890648091943	LEMMAREL
horde.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	0.738291575033225	-0.949767342707607	1	5000	5000	265	horde	NA	group3	bound	313	NA	NA	weight	all	4_4	0.16494606913282334	LEMMAREL
horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	0.2530229593849654	-0.06769427927616592	1	FOC	196	265	horde	NA	group3	bound	313	NA	NA	weight	nav	4_4	0.16218342441323957	LEMMAREL
horde.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	0.2686241897875315	-0.09552726918894491	1	FOC	313	265	horde	NA	group3	bound	313	NA	NA	weight	all	4_4	0.15853440830349141	LEMMAREL
horde.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	1.0042666208695827	0.19905784439021132	1	5000	5000	265	horde	NA	group3	bound	313	NA	NA	selection	nav	4_4	0.14975626872966993	LEMMAREL
horde.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	1.1539274383325968	-0.4752667354646751	1	5000	5000	265	horde	NA	group3	bound	313	NA	NA	selection	all	4_4	0.18092874562760264	LEMMAREL
horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	0.5326969416365683	0.1557607338509817	1	FOC	196	265	horde	NA	group3	bound	313	NA	NA	selection	nav	4_4	0.16215475627012765	LEMMAREL
horde.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	0.5381751375511249	0.12796481395315243	1	FOC	313	265	horde	NA	group3	bound	313	NA	NA	selection	all	4_4	0.16233367155379408	LEMMAREL
horde.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	1.3174549216370668	0.41142917541949386	1	5000	5000	271	horde	NA	group3	bound	425	NA	NA	no	nav	4_4	0.17382133061231775	LEMMAREL
horde.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	1.649097398545354	-0.4063138099972591	1	5000	5000	271	horde	NA	group3	bound	425	NA	NA	no	all	4_4	0.20967546086432176	LEMMAREL
horde.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	0.6726561385367443	0.34158659043885947	1	FOC	244	271	horde	NA	group3	bound	425	NA	NA	no	nav	4_4	0.1654168689328651	LEMMAREL
horde.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	0.6815961040175367	0.29645971219250317	1	FOC	425	271	horde	NA	group3	bound	425	NA	NA	no	all	4_4	0.1744308924068968	LEMMAREL
