pmi	cw
1.0243177	Haags/adj
3.1304533	Hamburgse/adj
2.8835042	Haïtiaans/adj
4.863393	Heiligeweg/noun
2.3525486	Herentalse/adj
4.5734954	Hezbollah_strijder/noun
6.592632	Hickey/noun
5.229327	Himalaya_gebergte/noun
1.7296181	Hollander/noun
0.9928135	Hollands/adj
3.6743698	Hollywood_film/noun
1.3307427	Hongaar/noun
0.4539039	Hongaars/adj
0.66249883	Ier/noun
0.24357231	Iraans/adj
0.4466141	Irakees/noun
3.1649697	Israeliër/noun
0.804007	Israëli/noun
1.0835717	Italiaan/noun
1.7770902	Italiaans/noun
3.514482	JSF_project/noun
2.2995605	Jamaicaans/adj
1.9071393	Japanner/noun
1.4536016	Japans/adj
5.2954173	Jappen/noun
2.7403588	Jeltsin/det
2.1873548	Jones-index/noun
4.012932	Jordaanoever/noun
6.592632	K&H/noun
2.1956327	Kenyaan/noun
1.5439712	Kenyaans/adj
0.7908019	Kerstmis/noun
4.9562864	Kramnik/det
3.2362099	LPF_leider/noun
6.4608064	Langeleegte/noun
5.0268607	Languedoc/noun
4.585639	Las/noun
1.4337856	Latijn/noun
2.1109142	Les/det
2.2896116	Let/noun
2.1191247	Lets/adj
3.0409267	Leuvenaar/noun
1.1210872	Libanees/adj
1.4534168	Libisch/adj
3.3605707	Limburg/det
1.1936399	Limburger/noun
1.0211971	Limburgs/adj
0.6102711	Londens/adj
2.286174	Madrileense/adj
3.8576741	Madrilenen/noun
4.0837717	Madurees/noun
5.4641666	Madurodam/noun
5.15	Marlux/noun
0.85359627	Marokkaans/adj
4.164616	Mary/det
5.6044436	McCourts/det
6.592632	McGuinn/noun
3.2927628	Meetjesland/noun
3.0848927	Meetjeslandse/adj
4.543181	Messiaens/det
0.6543523	Mexicaans/adj
6.54818	Microsoft_voorzitter/noun
6.4255776	Mijn/det
3.2217374	Moldavisch/adj
3.0430145	Mongool/noun
5.108646	Mongools/adj
3.3482654	Moors/adj
3.7046618	Morgens/adv
1.936639	Moskous/adj
6.5056205	Mozesberg/noun
3.1350255	Mugabe/det
4.639604	Natasja/noun
0.33886182	Nederlander/noun
4.0749354	Nederlands_Limburgs/adj
1.6460018	Nieuwstraat/noun
1.0180783	Nigeriaans/adj
2.0342197	Ninoofse/adj
1.4758091	Noord-Iers/adj
5.7247677	Noord_Vietnamees/noun
5.877012	Nsenga/noun
4.7271433	O'Sullivan/noun
0.42288798	Oost_Vlaams/adj
5.755778	Oranjeklanten/noun
6.592632	Orks/noun
2.6215684	PKK_leider/noun
4.359689	PSV_stadion/noun
3.6783068	Pajotse/adj
0.61067826	Palestijn/noun
0.12968747	Parijs/adj
5.994795	Parijzenaren/noun
1.0947746	Pasen/noun
3.6648378	Peeters/det
3.882765	Pfff/noun
4.7824817	Pieten/noun
2.9551654	Pinksteren/noun
1.685944	Pool/noun
4.9509907	Popcorn/noun
6.81862	Privalova/noun
2.9682302	PvdA_fractie_voorzitter/noun
2.5197277	PvdA_minister/noun
6.5056205	Quake/noun
6.5056205	RNAi/noun
6.282477	Rct/noun
4.000775	Reguliersbreestraat/noun
4.204286	Ridderstraat/noun
5.0715284	Ringlijn/noun
0.46061513	Roemeens/adj
1.9401878	Romeins/adj
0.269985	Rotterdams/adj
3.0917263	Russin/noun
0.613669	Russisch/adj
2.3149562	Saddams/det
6.2368665	Safin/det
5.7058635	Savoy/noun
1.1775622	Schot/noun
0.07385334	Schots/adj
3.8989265	Schröder/det
5.227004	Sente/noun
6.064681	Shogun/noun
6.3622417	Siciliaanse/noun
1.702146	Sint-Niklase/adj
3.0786471	Slam_toernooi/noun
1.7892816	Sloveens/adj
2.4734468	Slowaak/noun
6.592632	Smallendam/noun
0.42650348	Spaans/adj
0.9415152	Spanjaard/noun
5.4437876	Spooren/noun
2.5163279	Star/noun
5.2063375	Summertime/noun
0.5926356	Ten/adv
4.4350724	Teutoonse/adj
6.35147	Toetsingskader/noun
3.4714692	Tom/det
6.282477	Townsend/noun
0.4176722	Tsjechisch/adj
6.1001554	Tubbies/noun
0.48410335	Turks/adj
3.7546172	Unionist/noun
5.4209943	Uruguayanen/noun
4.064724	VLD_jongere/noun
5.5893297	VN-Conventie/noun
4.1976333	VTM_kijker/noun
4.3684998	VTM_woordvoerder/noun
1.0334023	VVD'er/noun
1.6318873	VVD_leider/noun
5.173364	Vandeputte/noun
6.1001554	Verbauwhede/noun
2.77742	Verdi/det
4.5326977	Verwilghen/det
2.987134	Vlaanderen/det
1.2793586	Vlaming/noun
5.0865364	Volkskrant_lezer/noun
5.5247912	Volkswagenbusje/noun
6.7235694	WK_ambitie/noun
5.7716513	WK_finalist/noun
4.930084	WTO_lid/noun
5.389114	Waseberg/noun
1.5135453	Weens/adj
1.3601023	Westers/adj
4.0716414	Wijngaardstraat/noun
1.7916332	Zimbabwaans/adj
3.5309415	Zimbabweaan/noun
1.4566195	Zoo/noun
4.330395	Zuid_Engels/adj
1.754818	Zuidkoreaans/adj
0.6727365	Zweed/noun
0.18045536	Zweeds/adj
0.43069598	Zwitser/noun
0.05633227	Zwitsers/adj
0.04962294	aan/adj
0.24818437	aan/part
6.1001554	aan_prijs/verb
4.087848	aan_teller/noun
3.3665097	aanbeden/adj
2.46235	aanbid/verb
4.511913	aanbidder/noun
3.2476842	aanbidding/noun
1.5909864	aanbieder/noun
1.9647	aanblik/noun
1.770574	aandeel_markt/noun
0.36076668	aandeelhouder/noun
1.1214122	aandeelhouder_vergadering/noun
5.128745	aaneen_geschakeld/adj
2.3176718	aangebracht/adj
5.015529	aangelokt/adj
2.523372	aangemoedigd/adj
1.220114	aangeslagen/adj
1.7009165	aangevoerd/adj
1.8920689	aangezicht/noun
1.0902611	aangrijpend/adj
0.90397835	aanhang/noun
0.41022766	aanhanger/noun
0.84621084	aanhoudend/adj
2.5984426	aanhouding_bevel/noun
5.8124733	aanklikbare/adj
0.7442419	aankomst/noun
0.6425221	aanloop/noun
1.1973321	aanmerkelijk/adj
0.92320555	aanmerking/noun
1.5438837	aannemelijk/adj
0.9668273	aanpalend/adj
0.22172342	aanpassing/noun
2.5311313	aanraking/noun
0.3401851	aanrijding/noun
2.1225007	aanschouw/verb
3.0785117	aanschouwelijk/adj
3.5578973	aanstellerij/noun
0.96420985	aantijging/noun
1.8535666	aantoonbaar/adj
1.3770046	aantrekking_kracht/noun
2.5969365	aanvaard/adj
3.5209913	aanval_linie/noun
3.43718	aanvallender/adj
4.842642	aanvang_tijd/noun
0.24783048	aanvankelijk/adj
1.900242	aanvaring/noun
1.568841	aanvoering/prep
0.50754756	aanwezigheid/noun
1.5810071	aap/noun
2.5729783	aap_DIM/noun
3.5873995	aard_bewoner/noun
0.93442535	aarzel/verb
1.3256644	aarzeling/noun
2.0726235	aas/noun
1.2779044	aas/verb
1.8830812	abrupt/adj
0.44824138	abstract/adj
0.23154134	absurd/adj
0.19193655	accoord/adj
0.011044963	accoord/noun
2.6390307	accordeonist/noun
6.592632	accrediteer/verb
1.82571	achillespees/noun
0.7761939	achter/part
0.90710056	achter/prep
0.8202707	achterban/noun
2.178347	achterdocht/noun
1.2365388	achteren/adv
2.1997552	achtergelaten/adj
0.5615271	achtergrond/noun
2.1436105	achterin/prep
2.3672922	achterna/part
2.349704	achterover/adv
2.2898574	achterste/noun
1.1634855	achtertuin/noun
0.0898486	achteruit/adv
3.143519	achtervolg/verb
4.4972944	achtervolgd/adj
0.3036924	achtervolging/noun
5.5662646	achtkamp/noun
2.5272636	achttiende-eeuws/adj
1.6700002	achttienjarige/adj
2.2665143	acte/noun
0.29369095	acteer/verb
2.6338987	acteer_prestatie/noun
0.10687439	acteur/noun
0.39170784	actievoerder/noun
1.5214574	activist/noun
0.16719203	actrice/noun
0.57168573	adem/noun
1.5112275	adem/verb
1.7484089	adembenemend/adj
6.299284	ademstokkende/adj
2.6468225	adjunct_hoofd_redacteur/noun
0.7234419	administratief/adj
6.6583834	adoniscomplex/noun
3.2195535	adoreer/verb
1.6368048	adverteerder/noun
0.2102891	advocaat/noun
0.53811777	af/adv
0.107259214	af/part
3.9349184	af_dweil/verb
3.3566308	af_getraind/adj
4.319335	af_klok/verb
3.5105133	af_serveer/verb
4.249079	af_spel/noun
1.7709583	afdruk/noun
1.5502924	afgang/noun
1.7428057	afgedankt/adj
2.2892427	afgeladen/adj
1.5156273	afgelegen/adj
0.5650765	afgesloten/adj
2.0557406	afgewisseld/adj
0.68826133	afgezien/prep
3.047531	afgrijselijk/adj
5.0230694	afhaspel/verb
0.67357916	afkeer/noun
2.8650782	afscheidnemende/adj
2.7474287	afstammeling/noun
1.1756762	afstand/noun
3.5968995	afval_race/noun
2.6768885	afvallig/adj
3.1127913	afweer_systeem/noun
0.58070755	afwezig/adj
1.7071133	afzet/noun
0.13629992	agent/noun
4.588698	agentes/noun
5.783724	agers/noun
0.755909	agressie/noun
0.14294443	agressief/adj
1.8708105	akelig/adj
0.93706924	akoestisch/adj
0.2594814	alarm/noun
1.1996243	alarmeer/verb
6.299284	alfa_man_net_DIM/noun
1.6077185	algauw/adv
3.784188	aliens/noun
1.8406495	all/noun
0.7864432	allang/adv
0.7537756	alle/pron
0.5012191	alledaags/adj
0.117458284	alleenstaand/adj
1.2259498	allen/adv
0.4521401	allerhande/adj
0.70509577	alles/adv
0.058836386	alles/pron
0.6629641	alleszins/adv
0.81732535	alliantie/noun
0.7457202	allicht/adv
0.07905446	allochtoon/noun
0.865192	almaar/adv
0.5451307	alom/adv
1.9176388	alomtegenwoordig/adj
1.0953332	aloud/adj
0.4836368	als/adv
0.0066100573	als/prep
1.7816862	alsmaar/adv
0.5894034	alsnog/adv
1.8683865	alstublieft/adv
0.06925643	althans/adv
0.65116507	alvast/adv
2.7952037	alwaar/adv
0.20142496	alweer/adv
2.321029	amateur_club/noun
4.270467	amateur_fotograaf/noun
5.6232314	amateur_toneel_speler/noun
3.9144163	amateur_voetballer/noun
1.0678492	ambachtelijk/adj
0.8050933	ambiance/noun
0.28103316	ambitieus/adj
0.052512318	ambtenaar/noun
0.77525014	ambulance/noun
3.2022502	amfi_theater/noun
0.6306853	amper/adv
1.0165449	amusement/noun
4.786581	amusement_hal/noun
0.10298488	analyseer/verb
1.870204	anarchistisch/adj
1.1591778	andermaal/adv
0.75365645	anderzijds/adv
1.4750336	angst/noun
1.1419641	angst/prep
0.84901696	angstig/adj
2.7213361	angstwekkend/adj
3.2680864	antiek_markt/noun
2.733147	apartheid_regime/noun
0.9972786	apparaat/noun
5.17722	apparatsjiks/noun
2.301301	appartement_blok/noun
3.5140636	appetijt/noun
3.4933589	arbeid_deskundige/noun
0.77232975	arbeider/noun
5.3945856	arbeidsgeschikten/noun
1.6090407	archeoloog/noun
1.734983	archief/noun
5.9603934	architectuur_toerist/noun
1.0254157	arm/adj
0.23058775	arm/noun
2.2876458	armoede_bestrijding/noun
2.8821318	armoedig/adj
5.1695237	arrenbie/noun
1.2231573	arrestant/noun
0.33507165	arresteer/verb
0.8328653	arriveer/verb
0.7032378	arrondissement/noun
1.3891747	art/noun
4.105833	asgrauw/adj
5.498575	ashram/noun
4.502453	asiel_problematiek/noun
0.43851954	asielzoeker/noun
4.1807847	aspirant_koper/noun
5.0392833	aspirant_omroep/noun
1.8532884	aspiratie/noun
0.7502607	assistent/noun
3.9461348	atheïstische/adj
2.111197	atleet/noun
3.1496155	atlete/noun
3.1556594	atletiek/noun
3.535313	atletiek_club/noun
4.147916	atletiek_meeting/noun
5.855033	atletiek_nummer/noun
3.9772286	atletiek_piste/noun
6.0099087	atletiek_programma/noun
2.042014	atletisch/adj
0.79283696	atmosfeer/noun
1.3568026	attractie/noun
