filename	type	socc	subset	tokens	threshold	stress
COHA.church.socc10k.info.min0	church	10k	info.	214	0	0.242573781958118
COHA.church.socc10k.others.min0	church	10k	others.	204	0	0.24274085492367
COHA.church.socc6k.info.min0	church	6k	info.	214	0	0.263387165870437
COHA.church.socc6k.others.min0	church	6k	others.	204	0	0.258138903440105
COHA.country.socc10k.info.min0	country	10k	info.	306	0	0.236554071445396
COHA.country.socc10k.others.min0	country	10k	others.	196	0	0.23094501992386
COHA.country.socc6k.info.min0	country	6k	info.	306	0	0.271727225114043
COHA.country.socc6k.others.min0	country	6k	others.	196	0	0.278693068019076
COHA.country_church.sample.socc10k.info.min0	country_church.sample	10k	info.	499	0	0.243075917235689
COHA.country_church.sample.socc6k.info.min0	country_church.sample	6k	info.	499	0	0.274537289220409
COHA.country_church.socc10k.others.min0	country_church	10k	others.	400	0	0.248227760880634
COHA.country_church.socc10k.tech.min0	country_church	10k	tech.	120	0	0.232640761173814
COHA.country_church.socc6k.others.min0	country_church	6k	others.	400	0	0.273796565545491
COHA.country_church.socc6k.tech.min0	country_church	6k	tech.	120	0	0.251026579816712
COHA.sample.socc10k.imag.min0	sample	10k	imag.	143	0	0.234345650836611
COHA.sample.socc10k.info.min0	sample	10k	info.	497	0	0.238226615783695
COHA.sample.socc10k.others.min0	sample	10k	others.	498	0	0.239544040033954
COHA.sample.socc10k.tech.min0	sample	10k	tech.	496	0	0.222520813297298
COHA.sample.socc6k.imag.min0	sample	6k	imag.	143	0	0.257260515117776
COHA.sample.socc6k.info.min0	sample	6k	info.	499	0	0.276651729250316
COHA.sample.socc6k.others.min0	sample	6k	others.	498	0	0.280751887147819
COHA.sample.socc6k.tech.min0	sample	6k	tech.	496	0	0.263908678572251
COHA.state.sample.socc10k.info.min0	state.sample	10k	info.	496	0	0.234466892505587
COHA.state.sample.socc6k.info.min0	state.sample	6k	info.	498	0	0.275943768605737
COHA.state.socc10k.others.min0	state	10k	others.	462	0	0.241704431334855
COHA.state.socc10k.tech.min0	state	10k	tech.	418	0	0.220245451252526
COHA.state.socc6k.others.min0	state	6k	others.	462	0	0.286044415911595
COHA.state.socc6k.tech.min0	state	6k	tech.	418	0	0.26422925236722
COHA.state_church.sample.socc10k.info.min0	state_church.sample	10k	info.	499	0	0.243103415375123
COHA.state_church.sample.socc10k.others.min0	state_church.sample	10k	others.	500	0	0.238880295573453
COHA.state_church.sample.socc6k.info.min0	state_church.sample	6k	info.	496	0	0.275739578165572
COHA.state_church.sample.socc6k.others.min0	state_church.sample	6k	others.	498	0	0.279221464960501
COHA.state_church.socc10k.tech.min0	state_church	10k	tech.	428	0	0.221154206731083
COHA.state_church.socc6k.tech.min0	state_church	6k	tech.	428	0	0.265278655947535
COHA.state_country.sample.socc10k.info.min0	state_country.sample	10k	info.	498	0	0.235388743854114
COHA.state_country.sample.socc10k.others.min0	state_country.sample	10k	others.	496	0	0.238358001933255
COHA.state_country.sample.socc10k.tech.min0	state_country.sample	10k	tech.	496	0	0.221684520173303
COHA.state_country.sample.socc6k.info.min0	state_country.sample	6k	info.	498	0	0.282496136036905
COHA.state_country.sample.socc6k.others.min0	state_country.sample	6k	others.	496	0	0.28759516029219
COHA.state_country.sample.socc6k.tech.min0	state_country.sample	6k	tech.	496	0	0.264038292551299
