_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoopvol.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.28414109359035455	-0.095530216991370015	bound	nav	10_10	weight	492	1	5000	5000	nav	4_4	233	hoopvol	0.2664819832375512
hoopvol.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.2929631776063335	-0.09785061338424533	bound	nav	10_10	weight	492	1	10000	10000	nav	4_4	233	hoopvol	0.2596729874533981
hoopvol.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.27032498777454467	-0.11607475920818046	bound	nav	10_10	weight	492	1	FOC	492	nav	4_4	233	hoopvol	0.28713973742195464
hoopvol.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.2707663516829503	-0.13256633368885587	bound	nav	10_10	weight	492	1	5000	5000	nav	10_10	233	hoopvol	0.25249484534748406
hoopvol.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.27870619925017476	-0.12314912710931755	bound	nav	10_10	weight	492	1	10000	10000	nav	10_10	233	hoopvol	0.2473731587768499
hoopvol.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.24865832532676652	-0.15427451112699408	bound	nav	10_10	weight	492	1	FOC	492	nav	10_10	233	hoopvol	0.2726905025778999
hoopvol.foc10.nav.weight.bound.min1.soc4.all.5000	-0.2802301800125613	-0.09216379370969925	bound	nav	10_10	weight	492	1	5000	5000	all	4_4	233	hoopvol	0.2699398392851547
hoopvol.foc10.nav.weight.bound.min1.soc4.all.10000	-0.2842303575786098	-0.0927580255908388	bound	nav	10_10	weight	492	1	10000	10000	all	4_4	233	hoopvol	0.2634274107813775
hoopvol.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.2703249878982611	-0.11607475811475158	bound	nav	10_10	weight	492	1	FOC	492	all	4_4	233	hoopvol	0.28713973742195464
hoopvol.foc10.nav.weight.bound.min1.soc10.all.5000	-0.26668295975771955	-0.1316051574646407	bound	nav	10_10	weight	492	1	5000	5000	all	10_10	233	hoopvol	0.2531943198832155
hoopvol.foc10.nav.weight.bound.min1.soc10.all.10000	-0.26812276111274874	-0.12230212125649899	bound	nav	10_10	weight	492	1	10000	10000	all	10_10	233	hoopvol	0.2510950991233293
hoopvol.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.2486583252751258	-0.15427451218818794	bound	nav	10_10	weight	492	1	FOC	492	all	10_10	233	hoopvol	0.2726905025778999
hoopvol.foc10.nav.selection.bound.min1.soc4.nav.5000	0.035139072660686214	-0.21303234393122247	bound	nav	10_10	selection	492	1	5000	5000	nav	4_4	233	hoopvol	0.2679143036200119
hoopvol.foc10.nav.selection.bound.min1.soc4.nav.10000	0.0354012267530073	-0.21949207481925367	bound	nav	10_10	selection	492	1	10000	10000	nav	4_4	233	hoopvol	0.2637394944436876
hoopvol.foc10.nav.selection.bound.min1.soc4.nav.FOC	0.01008413440158148	-0.16949915753540368	bound	nav	10_10	selection	492	1	FOC	492	nav	4_4	233	hoopvol	0.28798062255467155
hoopvol.foc10.nav.selection.bound.min1.soc10.nav.5000	0.010724347339634671	-0.23548888227594356	bound	nav	10_10	selection	492	1	5000	5000	nav	10_10	233	hoopvol	0.25821554580865347
hoopvol.foc10.nav.selection.bound.min1.soc10.nav.10000	0.009159324559907322	-0.2248707004993761	bound	nav	10_10	selection	492	1	10000	10000	nav	10_10	233	hoopvol	0.25529663598217234
