_id	_cws.hoopvol.foc10.nav.weight.bound	_count.hoopvol.foc10.nav.weight.bound	_cws.hoopvol.foc10.nav.selection.bound	_count.hoopvol.foc10.nav.selection.bound	_cws.hoopvol.foc10.nav.no.bound	_count.hoopvol.foc10.nav.no.bound	_cws.hoopvol.foc10.all.weight.bound	_count.hoopvol.foc10.all.weight.bound	_cws.hoopvol.foc10.all.selection.bound	_count.hoopvol.foc10.all.selection.bound	_cws.hoopvol.foc10.all.no.bound	_count.hoopvol.foc10.all.no.bound	_cws.hoopvol.foc5.nav.weight.bound	_count.hoopvol.foc5.nav.weight.bound	_cws.hoopvol.foc5.nav.selection.bound	_count.hoopvol.foc5.nav.selection.bound	_cws.hoopvol.foc5.nav.no.bound	_count.hoopvol.foc5.nav.no.bound	_cws.hoopvol.foc5.all.weight.bound	_count.hoopvol.foc5.all.weight.bound	_cws.hoopvol.foc5.all.selection.bound	_count.hoopvol.foc5.all.selection.bound	_cws.hoopvol.foc5.all.no.bound	_count.hoopvol.foc5.all.no.bound
hoopvol/adj/nrc_handelsblad_20030620_101/383	Argentijns/adj;boodschap/noun;even/adj;verkondig/verb	4	Argentijns/adj;boodschap/noun;even/adj;verkondig/verb	4	Argentijns/adj;boodschap/noun;even/adj;verkondig/verb	4	Argentijns/adj;al/adv;boodschap/noun;de/det;een/det;even/adj;verkondig/verb	7	Argentijns/adj;al/adv;boodschap/noun;de/det;een/det;even/adj;verkondig/verb	7	Argentijns/adj;al/adv;boodschap/noun;de/det;een/det;even/adj;verkondig/verb	7	boodschap/noun;even/adj;verkondig/verb	3	boodschap/noun;even/adj;verkondig/verb	3	boodschap/noun;even/adj;verkondig/verb	3	al/adv;boodschap/noun;een/det;even/adj;verkondig/verb	5	al/adv;boodschap/noun;een/det;even/adj;verkondig/verb	5	al/adv;boodschap/noun;een/det;even/adj;verkondig/verb	5
hoopvol/adj/nrc_handelsblad_20010616_151/167	aanpak/noun;gezamelijke/adj	2	aanpak/noun;gezamelijke/adj	2	aanpak/noun;gezamelijke/adj	2	aanpak/noun;deze/det;gezamelijke/adj	3	aanpak/noun;deze/det;gezamelijke/adj	3	aanpak/noun;deze/det;gezamelijke/adj	3	aanpak/noun;gezamelijke/adj	2	aanpak/noun;gezamelijke/adj	2	aanpak/noun;gezamelijke/adj	2	aanpak/noun;deze/det;gezamelijke/adj	3	aanpak/noun;deze/det;gezamelijke/adj	3	aanpak/noun;deze/det;gezamelijke/adj	3
hoopvol/adj/nrc_handelsblad_20000928_109/13	fluister/verb;publiek/noun	2	fluister/verb;publiek/noun	2	fluister/verb;publiek/noun	2	een/det;fluister/verb;het/det;publiek/noun;tegen/prep	5	een/det;fluister/verb;het/det;publiek/noun;tegen/prep	5	een/det;fluister/verb;het/det;publiek/noun;tegen/prep	5	fluister/verb	1	fluister/verb	1	fluister/verb	1	een/det;fluister/verb;tegen/prep	3	een/det;fluister/verb;tegen/prep	3	een/det;fluister/verb;tegen/prep	3
hoopvol/adj/nrc_handelsblad_19991231_49/217	ben/verb;boek/noun;genees/verb	3	ben/verb;boek/noun;genees/verb	3	ben/verb;boek/noun;genees/verb	3	ben/verb;boek/noun;genees/verb;het/det;mij/pron;toen/adv;voorgoed/adv	7	ben/verb;boek/noun;genees/verb;het/det;mij/pron;toen/adv;voorgoed/adv	7	ben/verb;boek/noun;genees/verb;het/det;mij/pron;toen/adv;voorgoed/adv	7	ben/verb;boek/noun	2	ben/verb;boek/noun	2	ben/verb;boek/noun	2	ben/verb;boek/noun;mij/pron	3	ben/verb;boek/noun;mij/pron	3	ben/verb;boek/noun;mij/pron	3
hoopvol/adj/nrc_handelsblad_20011108_40/61	antrax/noun;ben/verb;rest/noun	3	antrax/noun;ben/verb;rest/noun	3	antrax/noun;ben/verb;rest/noun	3	antrax/noun;ben/verb;de/det;ik/pron;rest/noun	5	antrax/noun;ben/verb;de/det;ik/pron;rest/noun	5	antrax/noun;ben/verb;de/det;ik/pron;rest/noun	5	ben/verb;rest/noun	2	ben/verb;rest/noun	2	ben/verb;rest/noun	2	ben/verb;ik/pron;rest/noun	3	ben/verb;ik/pron;rest/noun	3	ben/verb;ik/pron;rest/noun	3
hoopvol/adj/nrc_handelsblad_20020712_135/386	ben/verb;beschamend/adj;doodzonde/adj;loop_vast/verb;modder/noun;tendens/noun	6	ben/verb;beschamend/adj;doodzonde/adj;loop_vast/verb;modder/noun;tendens/noun	6	ben/verb;beschamend/adj;doodzonde/adj;loop_vast/verb;modder/noun;tendens/noun	6	ben/verb;beschamend/adj;de/det;deze/det;doodzonde/adj;het/det;loop_vast/verb;modder/noun;nu/adv;tendens/noun	10	ben/verb;beschamend/adj;de/det;deze/det;doodzonde/adj;het/det;loop_vast/verb;modder/noun;nu/adv;tendens/noun	10	ben/verb;beschamend/adj;de/det;deze/det;doodzonde/adj;het/det;loop_vast/verb;modder/noun;nu/adv;tendens/noun	10	ben/verb;beschamend/adj;modder/noun;tendens/noun	4	ben/verb;beschamend/adj;modder/noun;tendens/noun	4	ben/verb;beschamend/adj;modder/noun;tendens/noun	4	ben/verb;beschamend/adj;de/det;deze/det;modder/noun;nu/adv;tendens/noun	7	ben/verb;beschamend/adj;de/det;deze/det;modder/noun;nu/adv;tendens/noun	7	ben/verb;beschamend/adj;de/det;deze/det;modder/noun;nu/adv;tendens/noun	7
hoopvol/adj/nrc_handelsblad_20010808_88/1056	nieuw/adj;stem/verb;toon/verb;wacht/verb	4	nieuw/adj;stem/verb;toon/verb;wacht/verb	4	nieuw/adj;stem/verb;toon/verb;wacht/verb	4	de/det;het/det;nieuw/adj;stem/verb;toon/verb;wacht/verb	6	de/det;het/det;nieuw/adj;stem/verb;toon/verb;wacht/verb	6	de/det;het/det;nieuw/adj;stem/verb;toon/verb;wacht/verb	6	stem/verb;toon/verb;wacht/verb	3	stem/verb;toon/verb;wacht/verb	3	stem/verb;toon/verb;wacht/verb	3	de/det;stem/verb;toon/verb;wacht/verb	4	de/det;stem/verb;toon/verb;wacht/verb	4	de/det;stem/verb;toon/verb;wacht/verb	4
hoopvol/adj/nrc_handelsblad_20020329_68/173	ben/verb;zeg/verb	2	ben/verb;zeg/verb	2	ben/verb;zeg/verb	2	ben/verb;dan/adv;gisteren/adv;ik/pron;zeg/verb	5	ben/verb;dan/adv;gisteren/adv;ik/pron;zeg/verb	5	ben/verb;dan/adv;gisteren/adv;ik/pron;zeg/verb	5	zeg/verb	1	zeg/verb	1	zeg/verb	1	gisteren/adv;zeg/verb	2	gisteren/adv;zeg/verb	2	gisteren/adv;zeg/verb	2
hoopvol/adj/nrc_handelsblad_19991105_91/111	crediteur/noun;noem/verb;stem_in/verb	3	crediteur/noun;noem/verb;stem_in/verb	3	crediteur/noun;noem/verb;stem_in/verb	3	crediteur/noun;het/det;noem/verb;stem_in/verb	4	crediteur/noun;het/det;noem/verb;stem_in/verb	4	crediteur/noun;het/det;noem/verb;stem_in/verb	4	crediteur/noun;noem/verb	2	crediteur/noun;noem/verb	2	crediteur/noun;noem/verb	2	crediteur/noun;het/det;noem/verb	3	crediteur/noun;het/det;noem/verb	3	crediteur/noun;het/det;noem/verb	3
hoopvol/adj/nrc_handelsblad_20020518_154/95	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;ik/pron;stem/verb	3	ben/verb;ik/pron;stem/verb	3	ben/verb;ik/pron;stem/verb	3	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;stem/verb	2	ben/verb;ik/pron;stem/verb	3	ben/verb;ik/pron;stem/verb	3	ben/verb;ik/pron;stem/verb	3
