_id	batch	majority_conf	majority_sense	majority_agreement
hoopvol/adj/volkskrant_20020227_74/45	hoopvol_2	0.44707474782513007	hoopvol_2	1
hoopvol/adj/parool_20001202_84/401	hoopvol_2	0.44707474782513007	hoopvol_1	1
hoopvol/adj/parool_20000817_40/1793	hoopvol_2	0.44707474782513007	hoopvol_1	1
hoopvol/adj/parool_19990809_22/616	hoopvol_2	-0.033345248927785086	hoopvol_1	1
hoopvol/adj/parool_20001125_7/93	hoopvol_2	0.2068647494486725	hoopvol_1	1
hoopvol/adj/parool_20010307_44/455	hoopvol_2	-0.5020125983435738	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_19990306_77/340	hoopvol_2	0.2068647494486725	hoopvol_1	1
hoopvol/adj/parool_20001102_24/332	hoopvol_2	-0.7126905919265878	hoopvol_2	1
hoopvol/adj/parool_20010802_57/291	hoopvol_2	-0.9529005903030454	hoopvol_2	1
hoopvol/adj/parool_20001021_128/669	hoopvol_2	0.25624987453830583	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_20000113_47/496	hoopvol_2	-0.8847534298856411	hoopvol_1	1
hoopvol/adj/parool_20020709_40/323	hoopvol_2	0.14572697702191278	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_20020816_4/1422	hoopvol_2	-0.3417024077216469	hoopvol_2	1
hoopvol/adj/parool_20010911_11/739	hoopvol_2	0.44707474782513007	hoopvol_2	1
hoopvol/adj/parool_20000330_144/467	hoopvol_2	1.0582729304065286	hoopvol_1	1
hoopvol/adj/parool_20000627_3/627	hoopvol_2	1.9958978841658825	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_20000921_118/691	hoopvol_2	0.2068647494486725	hoopvol_1	1
hoopvol/adj/parool_20010720_68/332	hoopvol_2	0.5060419745865992	hoopvol_2	0.6666666666666666
hoopvol/adj/parool_20010310_100/104	hoopvol_2	0.25624987453830583	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_20030501_34/273	hoopvol_2	1.0791006102937848	hoopvol_1	0.6666666666666666
hoopvol/adj/parool_20010130_124/857	hoopvol_3	-1.1059918303345704	hoopvol_2	1
hoopvol/adj/parool_19990612_127/1008	hoopvol_3	-0.6370765619034384	hoopvol_1	1
hoopvol/adj/parool_19990914_38/585	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/parool_20020325_44/63	hoopvol_3	-0.6370765619034384	hoopvol_2	1
hoopvol/adj/parool_20010326_19/136	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/parool_19991108_0/310	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/parool_20010918_65/588	hoopvol_3	-0.7573109794918326	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_20000114_64/567	hoopvol_3	-0.67849052353539685	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20030409_47/232	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20020403_112/74	hoopvol_3	-0.010520381559435021	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_20000517_63/75	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20001021_144/435	hoopvol_3	-0.404622661341613	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20031027_35/166	hoopvol_3	-0.67849052353539685	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_19991115_47/1229	hoopvol_3	-0.2817996111921227	hoopvol_1	0.6666666666666666
hoopvol/adj/algemeen_dagblad_19991025_36/756	hoopvol_3	0.10971403602895916	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_19991211_122/375	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20010801_85/176	hoopvol_3	-0.08934083751587063	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_19991223_140/446	hoopvol_3	0.30935380848114435	hoopvol_1	0.6666666666666666
hoopvol/adj/algemeen_dagblad_20010127_92/616	hoopvol_3	-1.8916909429544546	hoopvol_1	0.6666666666666666
hoopvol/adj/algemeen_dagblad_20010822_4/41	hoopvol_3	0.10971403602895916	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20000812_110/138	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20010521_109/46	hoopvol_3	0.030893580072523557	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_20020529_75/417	hoopvol_3	0.7776841780049211	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_19990823_9/138	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20041220_39/111	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20040112_56/260	hoopvol_3	-0.47292273573861354	hoopvol_2	0.6666666666666666
hoopvol/adj/algemeen_dagblad_20020917_49/480	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20041218_37/398	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_20021018_118/1514	hoopvol_3	0.7776841780049211	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_19990825_0/498	hoopvol_3	0.7776841780049211	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_19990119_53/55	hoopvol_3	-0.31778727077021435	hoopvol_2	1
hoopvol/adj/algemeen_dagblad_19990904_1/479	hoopvol_3	0.5038163158111372	hoopvol_1	1
hoopvol/adj/algemeen_dagblad_19990717_146/188	hoopvol_3	-0.591153419673267	hoopvol_2	0.6666666666666666
hoopvol/adj/algemeen_dagblad_20001129_77/355	hoopvol_3	0.030893580072523557	hoopvol_2	1
hoopvol/adj/de_morgen_20021202_01_96/681	hoopvol_3	0.383581898222743	hoopvol_1	1
hoopvol/adj/de_morgen_20030726_01_126/851	hoopvol_3	0.10971403602895916	hoopvol_1	1
hoopvol/adj/de_morgen_20011129_01_49/560	hoopvol_3	0.5038163158111372	hoopvol_1	1
hoopvol/adj/de_morgen_20030129_01_25/725	hoopvol_3	-0.7426999450082917	hoopvol_2	0.6666666666666666
hoopvol/adj/de_morgen_20020205_01_33/1498	hoopvol_3	0.7776841780049211	hoopvol_1	1
hoopvol/adj/de_morgen_20041129_01_95/688	hoopvol_3	0.5038163158111372	hoopvol_1	1
hoopvol/adj/de_morgen_20040503_01_101/148	hoopvol_4	-0.2214099692128899	hoopvol_1	1
hoopvol/adj/de_morgen_20010131_01_35/1834	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_morgen_20020123_01_12/2033	hoopvol_4	0.31457077087410823	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20030226_01_25/408	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_morgen_20031128_01_19/669	hoopvol_4	-1.3217744498722457	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20020128_01_3/209	hoopvol_4	-0.28093953421325274	hoopvol_1	1
hoopvol/adj/de_morgen_20010606_01_211/412	hoopvol_4	0.8431509735349805	hoopvol_2	0.6666666666666666
hoopvol/adj/de_morgen_20001110_01_93/403	hoopvol_4	0.10717090134099318	hoopvol_2	0.6666666666666666
hoopvol/adj/de_morgen_20020302_01_131/131	hoopvol_4	0.20971384724940548	hoopvol_2	1
hoopvol/adj/de_morgen_20040830_01_141/395	hoopvol_4	-0.5285802026608722	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20020304_01_115/779	hoopvol_4	-0.28093953421325274	hoopvol_1	1
hoopvol/adj/de_morgen_20021227_01_30/727	hoopvol_4	0.31457077087410823	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_19990225_01_73/363	hoopvol_4	-1.2027167321382064	hoopvol_2	1
hoopvol/adj/de_morgen_20020117_01_50/231	hoopvol_4	0.20971384724940548	hoopvol_2	1
hoopvol/adj/de_morgen_20011027_01_74/345	hoopvol_4	0.31457077087410823	hoopvol_2	0.6666666666666666
hoopvol/adj/de_morgen_20020504_01_128/61	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_morgen_20010502_01_57/952	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_morgen_20041106_01_124/2229	hoopvol_4	0.20739986953311504	hoopvol_2	0.6666666666666666
hoopvol/adj/de_morgen_20041007_01_121/270	hoopvol_4	0.7003672287120637	hoopvol_1	1
hoopvol/adj/de_morgen_20040207_01_9/1055	hoopvol_4	0.7003672287120637	hoopvol_2	1
hoopvol/adj/de_morgen_20031124_01_21/1043	hoopvol_4	0.31457077087410823	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20040329_01_11/1616	hoopvol_4	0.20739986953311504	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20010208_01_133/170	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_morgen_20000309_01_58/415	hoopvol_4	-2.0147397288914974	hoopvol_1	0.6666666666666666
hoopvol/adj/de_morgen_20040727_01_21/80	hoopvol_4	0.7003672287120637	hoopvol_1	1
hoopvol/adj/de_standaard_20041120_01_164/153	hoopvol_4	0.20971384724940548	hoopvol_2	1
hoopvol/adj/de_standaard_20031117_01_21/59	hoopvol_4	0.31457077087410823	hoopvol_1	0.6666666666666666
hoopvol/adj/de_standaard_20030613_01_75/262	hoopvol_4	0.20971384724940548	hoopvol_2	1
hoopvol/adj/de_standaard_19991104_01_46/544	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_standaard_20000126_01_19/942	hoopvol_4	-0.28093953421325274	hoopvol_1	1
hoopvol/adj/de_standaard_20001007_01_51/1127	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_standaard_20030822_01_32/339	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_standaard_20040904_01_200/416	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_standaard_20011221_01_17/350	hoopvol_4	0.7003672287120637	hoopvol_2	1
hoopvol/adj/de_standaard_20010313_01_119/869	hoopvol_4	-1.1752659273543153	hoopvol_1	0.6666666666666666
hoopvol/adj/de_standaard_20020114_01_44/300	hoopvol_4	0.20971384724940548	hoopvol_1	1
hoopvol/adj/de_standaard_20040911_01_139/1158	hoopvol_4	-0.6288091708529941	hoopvol_2	0.6666666666666666
hoopvol/adj/de_standaard_20000513_01_115/414	hoopvol_5	0.9537310053299476	hoopvol_1	1
hoopvol/adj/de_standaard_19991220_01_41/594	hoopvol_5	0.7012455061389959	hoopvol_1	1
hoopvol/adj/de_standaard_19990313_01_41/109	hoopvol_5	0.7012455061389959	hoopvol_1	1
hoopvol/adj/de_standaard_20000915_01_92/460	hoopvol_5	-1.6456072268903557	no_agreement	0.3333333333333333
hoopvol/adj/de_standaard_19990308_01_71/18	hoopvol_5	0.2919109080116149	hoopvol_2	1
hoopvol/adj/de_standaard_19990706_01_11/320	hoopvol_5	0.25797044384386925	hoopvol_2	0.6666666666666666
hoopvol/adj/de_standaard_20000401_01_120/301	hoopvol_5	-0.11742369011576619	hoopvol_2	1
hoopvol/adj/de_standaard_20040204_01_161/48	hoopvol_5	-0.40621150326785177	hoopvol_1	1
hoopvol/adj/de_standaard_20011108_01_104/1479	hoopvol_5	0.2919109080116149	hoopvol_2	1
hoopvol/adj/de_standaard_20020311_01_48/192	hoopvol_5	-0.19002831803803397	hoopvol_1	1
hoopvol/adj/de_standaard_20040619_01_28/422	hoopvol_5	-0.5630606022042811	hoopvol_1	1
hoopvol/adj/de_standaard_20040512_01_96/73	hoopvol_5	0.0033703727311199805	hoopvol_1	0.6666666666666666
hoopvol/adj/de_standaard_20041103_01_112/1167	hoopvol_5	0.0394254088206632	hoopvol_2	1
hoopvol/adj/de_standaard_20010323_01_85/1453	hoopvol_5	0.6143919074598554	hoopvol_2	0.6666666666666666
hoopvol/adj/het_laatste_nieuws_20010901_01_463/590	hoopvol_5	0.7012455061389959	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_20000328_01_498/28	hoopvol_5	-0.9700333505382741	hoopvol_2	0.6666666666666666
hoopvol/adj/het_laatste_nieuws_20040706_01_665/330	hoopvol_5	-0.6586970024588035	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_20020409_01_7/96	hoopvol_5	-1.536700285006954	no_agreement	0.3333333333333333
hoopvol/adj/het_laatste_nieuws_20000428_01_179/148	hoopvol_5	0.0394254088206632	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_20001202_01_28/295	hoopvol_5	-0.41048492428890326	hoopvol_2	0.6666666666666666
hoopvol/adj/het_laatste_nieuws_20041214_02_538/13	hoopvol_5	-0.41048492428890326	hoopvol_2	0.6666666666666666
hoopvol/adj/het_laatste_nieuws_20020201_01_3/770	hoopvol_5	-0.1537260040769001	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_20040514_01_319/11	hoopvol_5	-0.11742369011576619	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_19990421_01_428/190	hoopvol_5	0.255608594050481	hoopvol_2	1
hoopvol/adj/het_laatste_nieuws_20001220_01_213/457	hoopvol_5	0.7012455061389959	hoopvol_1	1
hoopvol/adj/het_laatste_nieuws_20040325_01_459/43	hoopvol_5	-0.43279170945934453	hoopvol_2	0.6666666666666666
