_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc10.nav.no.bound.min1.soc10.all.5000	-0.1922718583474315	-0.21869795955349347	bound	nav	10_10	no	724	1	5000	5000	all	10_10	311	grijs	0.25011200888424406
grijs.foc10.nav.no.bound.min1.soc10.all.10000	-0.16812508511759494	-0.19334061297422328	bound	nav	10_10	no	724	1	10000	10000	all	10_10	311	grijs	0.24950835120543022
grijs.foc10.nav.no.bound.min1.soc10.all.FOC	-0.17494879585784293	-0.14261056925904905	bound	nav	10_10	no	724	1	FOC	724	all	10_10	311	grijs	0.23394393574352876
grijs.foc10.all.weight.bound.min1.soc4.nav.5000	-0.013808539854809714	-0.05702430949205093	bound	all	10_10	weight	828	1	5000	5000	nav	4_4	319	grijs	0.2534856128483725
grijs.foc10.all.weight.bound.min1.soc4.nav.10000	0.011663108212747202	-0.05168915266315587	bound	all	10_10	weight	828	1	10000	10000	nav	4_4	319	grijs	0.2499691500574861
grijs.foc10.all.weight.bound.min1.soc4.nav.FOC	0.005508143726959911	-0.00803417682607945	bound	all	10_10	weight	828	1	FOC	828	nav	4_4	319	grijs	0.2483865920350966
grijs.foc10.all.weight.bound.min1.soc10.nav.5000	-0.06641010642328474	-0.06723607513114963	bound	all	10_10	weight	828	1	5000	5000	nav	10_10	319	grijs	0.2507545990146771
grijs.foc10.all.weight.bound.min1.soc10.nav.10000	-0.0536628681637866	-0.06606701077967927	bound	all	10_10	weight	828	1	10000	10000	nav	10_10	319	grijs	0.24674475599619775
grijs.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.041859000994628526	-0.03420800370328282	bound	all	10_10	weight	828	1	FOC	828	nav	10_10	319	grijs	0.2422838803523586
grijs.foc10.all.weight.bound.min1.soc4.all.5000	-0.02113617297198814	-0.06856431554076545	bound	all	10_10	weight	828	1	5000	5000	all	4_4	319	grijs	0.2550240907695081
grijs.foc10.all.weight.bound.min1.soc4.all.10000	-0.0016918576530906783	-0.05519461702700616	bound	all	10_10	weight	828	1	10000	10000	all	4_4	319	grijs	0.25175574190846384
grijs.foc10.all.weight.bound.min1.soc4.all.FOC	0.0055080079957389675	-0.008030824152127533	bound	all	10_10	weight	828	1	FOC	828	all	4_4	319	grijs	0.2483865920350966
grijs.foc10.all.weight.bound.min1.soc10.all.5000	-0.07082209742983936	-0.07710486906394214	bound	all	10_10	weight	828	1	5000	5000	all	10_10	319	grijs	0.25231198601125165
grijs.foc10.all.weight.bound.min1.soc10.all.10000	-0.05987467462073594	-0.06877268752937006	bound	all	10_10	weight	828	1	10000	10000	all	10_10	319	grijs	0.24954357642989192
grijs.foc10.all.weight.bound.min1.soc10.all.FOC	-0.04185916853991063	-0.034213814418310645	bound	all	10_10	weight	828	1	FOC	828	all	10_10	319	grijs	0.2422838803523586
grijs.foc10.all.selection.bound.min1.soc4.nav.5000	0.3992914141548741	-0.18894891485458562	bound	all	10_10	selection	828	1	5000	5000	nav	4_4	319	grijs	0.24880421263265426
grijs.foc10.all.selection.bound.min1.soc4.nav.10000	0.43750529271625344	-0.17817785699321245	bound	all	10_10	selection	828	1	10000	10000	nav	4_4	319	grijs	0.24046282365238328
grijs.foc10.all.selection.bound.min1.soc4.nav.FOC	0.31668147591643214	-0.14647987894275763	bound	all	10_10	selection	828	1	FOC	828	nav	4_4	319	grijs	0.23141147067218093
grijs.foc10.all.selection.bound.min1.soc10.nav.5000	0.19515052442446432	-0.19370057763129755	bound	all	10_10	selection	828	1	5000	5000	nav	10_10	319	grijs	0.24707100449100453
grijs.foc10.all.selection.bound.min1.soc10.nav.10000	0.22379492316031413	-0.1825588606098484	bound	all	10_10	selection	828	1	10000	10000	nav	10_10	319	grijs	0.24076542952375404
