_id	_cws.grijs.foc10.nav.weight.bound	_count.grijs.foc10.nav.weight.bound	_cws.grijs.foc10.nav.selection.bound	_count.grijs.foc10.nav.selection.bound	_cws.grijs.foc10.nav.no.bound	_count.grijs.foc10.nav.no.bound	_cws.grijs.foc10.all.weight.bound	_count.grijs.foc10.all.weight.bound	_cws.grijs.foc10.all.selection.bound	_count.grijs.foc10.all.selection.bound	_cws.grijs.foc10.all.no.bound	_count.grijs.foc10.all.no.bound	_cws.grijs.foc5.nav.weight.bound	_count.grijs.foc5.nav.weight.bound	_cws.grijs.foc5.nav.selection.bound	_count.grijs.foc5.nav.selection.bound	_cws.grijs.foc5.nav.no.bound	_count.grijs.foc5.nav.no.bound	_cws.grijs.foc5.all.weight.bound	_count.grijs.foc5.all.weight.bound	_cws.grijs.foc5.all.selection.bound	_count.grijs.foc5.all.selection.bound	_cws.grijs.foc5.all.no.bound	_count.grijs.foc5.all.no.bound
grijs/adj/nrc_handelsblad_20020717_6/269	ben/verb;gebied/noun	2	ben/verb;gebied/noun	2	afspraak/noun;ben/verb;creatief/adj;gebied/noun	4	ben/verb;gebied/noun;het/det;in/prep	4	ben/verb;gebied/noun;het/det;in/prep	4	afspraak/noun;ben/verb;creatief/adj;de/det;dit/det;gebied/noun;het/det;in/prep;volgens/prep	9	gebied/noun	1	gebied/noun	1	creatief/adj;gebied/noun	2	gebied/noun;het/det;in/prep	3	gebied/noun;het/det;in/prep	3	creatief/adj;dit/det;gebied/noun;het/det;in/prep	5
grijs/adj/nrc_handelsblad_19991005_94/174	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj;zing/verb	5	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj;zing/verb	7	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;overhemd/noun;sta/verb;wit/adj	4	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6	heer/noun;in/prep;met/prep;overhemd/noun;sta/verb;wit/adj	6
grijs/adj/nrc_handelsblad_20000111_26/106	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;beweer/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	6	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;commentator/noun;meest/adj;politicus/noun;werkelijkheid/noun	5	ben/verb;beweer/verb;commentator/noun;de/det;echter/adv;meest/adj;politicus/noun;werkelijkheid/noun	8	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;meest/adj;politicus/noun;werkelijkheid/noun	4	ben/verb;de/det;echter/adv;meest/adj;politicus/noun;werkelijkheid/noun	6
grijs/adj/nrc_handelsblad_20010906_0/595	grafsteen/noun;steen/noun	2	grafsteen/noun;steen/noun	2	grafsteen/noun;steen/noun	2	een/det;grafsteen/noun;steen/noun	3	een/det;grafsteen/noun;steen/noun	3	een/det;grafsteen/noun;op/prep;steen/noun;voor/prep	5	steen/noun	1	steen/noun	1	steen/noun	1	een/det;steen/noun	2	een/det;steen/noun	2	een/det;op/prep;steen/noun	3
grijs/adj/nrc_handelsblad_20011129_53/505	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;haar/noun;klein/adj;man/noun	6	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9	baard/noun;bebrild/adj;beklim/verb;een/det;haar/noun;het/det;klein/adj;man/noun;met/prep	9
grijs/adj/nrc_handelsblad_20030820_05/321	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	berg/verb;besta/verb;gebied/noun;kom/verb;moeilijkheid/noun;schip/noun	6	besta/verb;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep	7	besta/verb;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep	7	berg/verb;besta/verb;bij/prep;die/pron;een/det;er/adv;gebied/noun;het/det;in/prep;kom/verb;moeilijkheid/noun;schip/noun;van/prep	13	besta/verb;gebied/noun	2	besta/verb;gebied/noun	2	berg/verb;besta/verb;gebied/noun	3	besta/verb;een/det;er/adv;gebied/noun;het/det	5	besta/verb;een/det;er/adv;gebied/noun;het/det	5	berg/verb;besta/verb;bij/prep;een/det;er/adv;gebied/noun;het/det;van/prep	8
grijs/adj/nrc_handelsblad_20001020_117/574	lijk/verb;mist/noun;soort/noun;voltrek/verb	4	lijk/verb;mist/noun;soort/noun;voltrek/verb	4	dood/noun;heb/verb;lijk/verb;mist/noun;soort/noun;voltrek/verb	6	een/det;in/prep;lijk/verb;mist/noun;soort/noun;voltrek/verb;zijn/det	7	een/det;in/prep;lijk/verb;mist/noun;soort/noun;voltrek/verb;zijn/det	7	dood/noun;een/det;heb/verb;in/prep;lijk/verb;mist/noun;sinds/prep;soort/noun;voltrek/verb;zijn/det	10	mist/noun;soort/noun;voltrek/verb	3	mist/noun;soort/noun;voltrek/verb	3	heb/verb;mist/noun;soort/noun;voltrek/verb	4	een/det;in/prep;mist/noun;soort/noun;voltrek/verb	5	een/det;in/prep;mist/noun;soort/noun;voltrek/verb	5	een/det;heb/verb;in/prep;mist/noun;soort/noun;voltrek/verb	6
grijs/adj/nrc_handelsblad_20001207_156/890	geld/noun;voorstad/noun;vrouw/noun	3	geld/noun;voorstad/noun;vrouw/noun	3	geld/noun;heb/verb;het/noun;lading/noun;voorstad/noun;voorzie/verb;vrouw/noun	7	een/det;geld/noun;in/prep;voorstad/noun;vrouw/noun	5	een/det;geld/noun;in/prep;voorstad/noun;vrouw/noun	5	een/det;geld/noun;heb/verb;het/noun;in/prep;lading/noun;op/prep;van/prep;voorstad/noun;voorzie/verb;vrouw/noun	11	voorstad/noun	1	voorstad/noun	1	heb/verb;het/noun;voorstad/noun;voorzie/verb	4	in/prep;voorstad/noun	2	in/prep;voorstad/noun	2	heb/verb;het/noun;in/prep;op/prep;van/prep;voorstad/noun;voorzie/verb	7
grijs/adj/nrc_handelsblad_20000617_13/601	dun/adj;strijk/verb;verlang/adj	3	dun/adj;strijk/verb;verlang/adj	3	dun/adj;strijk/verb;verlang/adj;zeg/verb	4	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zijn/det	6	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zijn/det	6	door/prep;dun/adj;haar/pron;strijk/verb;verlang/adj;zeg/verb;zijn/det	7	dun/adj;strijk/verb	2	dun/adj;strijk/verb	2	dun/adj;strijk/verb	2	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5	door/prep;dun/adj;haar/pron;strijk/verb;zijn/det	5
grijs/adj/nrc_handelsblad_20020712_29/1197	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	achter/part;bromfiets/noun;bus/noun;knetter/adj;laat_achter/verb;ronk/adj;rook_gordijn/noun	7	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	5	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6	achter/part;bromfiets/noun;bus/noun;laat_achter/verb;ronk/adj;rook_gordijn/noun	6
grijs/adj/nrc_handelsblad_20010731_65/192	beroemdheid/noun;draai/noun;lijk/verb;staatsman/noun;zone/noun	5	beroemdheid/noun;draai/noun;lijk/verb;staatsman/noun;zone/noun	5	beroemdheid/noun;draai/noun;lijk/verb;staatsman/noun;vind/verb;zone/noun	6	beroemdheid/noun;draai/noun;hij/pron;in/prep;inmiddels/adv;lijk/verb;staatsman/noun;tussen/prep;zijn/det;zone/noun	10	beroemdheid/noun;draai/noun;hij/pron;in/prep;inmiddels/adv;lijk/verb;staatsman/noun;tussen/prep;zijn/det;zone/noun	10	aldus/prep;beroemdheid/noun;de/det;draai/noun;hij/pron;in/prep;inmiddels/adv;lijk/verb;staatsman/noun;tussen/prep;vind/verb;zijn/det;zone/noun	13	beroemdheid/noun;staatsman/noun;zone/noun	3	beroemdheid/noun;staatsman/noun;zone/noun	3	beroemdheid/noun;staatsman/noun;vind/verb;zone/noun	4	beroemdheid/noun;in/prep;staatsman/noun;tussen/prep;zone/noun	5	beroemdheid/noun;in/prep;staatsman/noun;tussen/prep;zone/noun	5	beroemdheid/noun;in/prep;staatsman/noun;tussen/prep;vind/verb;zone/noun	6
grijs/adj/nrc_handelsblad_20001125_93/131	schoolplein/noun;training_broek/noun;verschijn/verb	3	schoolplein/noun;training_broek/noun;verschijn/verb	3	huisvrouw/noun;overtuigd/adj;schoolplein/noun;training_broek/noun;verschijn/verb	5	alleen/adv;het/det;in/prep;met/prep;nog/adv;schoolplein/noun;training_broek/noun;verschijn/verb	8	alleen/adv;het/det;in/prep;met/prep;nog/adv;schoolplein/noun;training_broek/noun;verschijn/verb	8	alleen/adv;het/det;huisvrouw/noun;in/prep;met/prep;nog/adv;op/prep;overtuigd/adj;schoolplein/noun;training_broek/noun;verschijn/verb	11	training_broek/noun;verschijn/verb	2	training_broek/noun;verschijn/verb	2	huisvrouw/noun;overtuigd/adj;training_broek/noun;verschijn/verb	4	het/det;in/prep;met/prep;nog/adv;training_broek/noun;verschijn/verb	6	het/det;in/prep;met/prep;nog/adv;training_broek/noun;verschijn/verb	6	het/det;huisvrouw/noun;in/prep;met/prep;nog/adv;op/prep;overtuigd/adj;training_broek/noun;verschijn/verb	9
grijs/adj/nrc_handelsblad_20040605_214/475	tovenaar/noun;wit/adj	2	tovenaar/noun;wit/adj	2	laat/adj;neem_op/verb;tovenaar/noun;wit/adj	4	tovenaar/noun;wit/adj;zijn/det	3	tovenaar/noun;wit/adj;zijn/det	3	de/det;laat/adj;neem_op/verb;tijdens/prep;tovenaar/noun;wit/adj;zijn/det	7	tovenaar/noun;wit/adj	2	tovenaar/noun;wit/adj	2	laat/adj;tovenaar/noun;wit/adj	3	tovenaar/noun;wit/adj	2	tovenaar/noun;wit/adj	2	de/det;laat/adj;tovenaar/noun;wit/adj	4
grijs/adj/nrc_handelsblad_20021009_135/356	gezicht/noun;muis/noun	2	gezicht/noun;muis/noun	2	denk/verb;gezicht/noun;muis/noun;rol/noun;super_markt/noun;zal/verb	6	een/det;gezicht/noun;het/det;in/prep;muis/noun	5	een/det;gezicht/noun;het/det;in/prep;muis/noun	5	de/det;denk/verb;een/det;gezicht/noun;het/det;in/prep;muis/noun;op/prep;rol/noun;super_markt/noun;van/prep;voor/prep;zal/verb	13	muis/noun	1	muis/noun	1	denk/verb;muis/noun;rol/noun;super_markt/noun	4	een/det;in/prep;muis/noun	3	een/det;in/prep;muis/noun	3	de/det;denk/verb;een/det;in/prep;muis/noun;rol/noun;super_markt/noun;van/prep;voor/prep	9
grijs/adj/nrc_handelsblad_19990702_153/664	ben/verb;licht/noun	2	ben/verb;licht/noun	2	ben/verb;licht/noun;word/verb	3	ben/verb;dat/pron;het/det;licht/noun	4	ben/verb;dat/pron;het/det;licht/noun	4	aan/prep;ben/verb;dat/pron;het/det;licht/noun;nu/adv;word/verb	7	ben/verb	1	ben/verb	1	ben/verb;word/verb	2	ben/verb	1	ben/verb	1	ben/verb;nu/adv;word/verb	3
grijs/adj/nrc_handelsblad_19991004_26/297	ben/verb;bos/noun;charmeur/noun;energiek/adj;haar/noun;herkenbaar/adj;stevig/adj	7	ben/verb;bos/noun;charmeur/noun;energiek/adj;haar/noun;herkenbaar/adj;stevig/adj	7	ben/verb;bos/noun;charmeur/noun;energiek/adj;haar/noun;herkenbaar/adj;makkelijk/adj;stevig/adj	8	ben/verb;bos/noun;charmeur/noun;die/pron;een/det;energiek/adj;haar/noun;herkenbaar/adj;stevig/adj	9	ben/verb;bos/noun;charmeur/noun;die/pron;een/det;energiek/adj;haar/noun;herkenbaar/adj;stevig/adj	9	aan/prep;ben/verb;bos/noun;charmeur/noun;die/pron;een/det;energiek/adj;haar/noun;herkenbaar/adj;makkelijk/adj;stevig/adj	11	ben/verb;bos/noun;haar/noun;stevig/adj	4	ben/verb;bos/noun;haar/noun;stevig/adj	4	ben/verb;bos/noun;haar/noun;stevig/adj	4	ben/verb;bos/noun;een/det;haar/noun;stevig/adj	5	ben/verb;bos/noun;een/det;haar/noun;stevig/adj	5	aan/prep;ben/verb;bos/noun;een/det;haar/noun;stevig/adj	6
grijs/adj/nrc_handelsblad_20031213_115/145	ben/verb;gebied/noun;paar/noun;wettelijk/adj	4	ben/verb;gebied/noun;paar/noun;wettelijk/adj	4	ben/verb;gebied/noun;hoe/adj;iets/noun;jaar/noun;ontsta/verb;paar/noun;regel/verb;vertel/verb;wettelijk/adj	10	ben/verb;een/det;gebied/noun;in/prep;paar/noun;wettelijk/adj	6	ben/verb;een/det;gebied/noun;in/prep;paar/noun;wettelijk/adj	6	ben/verb;een/det;gebied/noun;hoe/adj;iets/noun;in/prep;jaar/noun;ontsta/verb;paar/noun;regel/verb;vertel/verb;wettelijk/adj	12	gebied/noun;paar/noun;wettelijk/adj	3	gebied/noun;paar/noun;wettelijk/adj	3	gebied/noun;jaar/noun;ontsta/verb;paar/noun;wettelijk/adj	5	een/det;gebied/noun;in/prep;paar/noun;wettelijk/adj	5	een/det;gebied/noun;in/prep;paar/noun;wettelijk/adj	5	een/det;gebied/noun;in/prep;jaar/noun;ontsta/verb;paar/noun;wettelijk/adj	7
