_id	popular	pop_agree	batch	pop_conf
grijs/adj/volkskrant_20030918_93/50	grijs_3	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20020128_52/217	grijs_4	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20000826_0/542	grijs_4	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20010426_138/1651	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20031129_259/194	grijs_1	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20000309_31/189	grijs_6	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20000308_22/222	grijs_6	1	grijs_2	0.45995715029823164
grijs/adj/volkskrant_20001223_96/501	grijs_5	0.67	grijs_3	-0.9449029198802557
grijs/adj/volkskrant_20030508_52/240	grijs_1	1	grijs_3	0.4012899772165673
grijs/adj/volkskrant_20020208_3/122	grijs_5	0.67	grijs_3	0.06797166195290194
grijs/adj/volkskrant_20000621_110/738	grijs_3	0.67	grijs_3	0.4627305717832705
grijs/adj/volkskrant_20010914_165/81	grijs_6	0.67	grijs_3	0.549031749030481
grijs/adj/volkskrant_20000224_12/374	other_sense	1	grijs_3	-0.7439164928711922
grijs/adj/volkskrant_20010521_67/814	grijs_4	0.67	grijs_3	0.22541762547172392
grijs/adj/volkskrant_20000411_38/65	grijs_2	0.67	grijs_3	0.4627305717832705
grijs/adj/volkskrant_20040916_42/267	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/volkskrant_20010221_100/841	other_sense	0.67	grijs_3	-1.6918702543356239
grijs/adj/volkskrant_20010125_135/442	other_sense	0.67	grijs_3	0.09182734799064535
grijs/adj/volkskrant_20000701_41/45	grijs_1	0.67	grijs_3	0.28710808314530545
grijs/adj/parool_20020223_146/27	grijs_1	1	grijs_3	0.9657609250787156
grijs/adj/parool_20020305_26/155	grijs_3	0.67	grijs_3	-0.03650604041345151
grijs/adj/parool_20000921_88/1920	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20011123_101/141	grijs_5	1	grijs_3	-0.512269953140192
grijs/adj/parool_20011217_14/229	grijs_2	1	grijs_3	0.41719376790839624
grijs/adj/parool_19990319_18/25	grijs_1	1	grijs_3	0.9657609250787156
grijs/adj/parool_20021017_110/223	grijs_3	1	grijs_3	0.5342754270003729
grijs/adj/parool_20000519_22/777	grijs_4	1	grijs_3	0.10278992892203025
grijs/adj/parool_20020128_118/715	grijs_3	0.67	grijs_3	0.8726458725892379
grijs/adj/parool_20001104_85/1285	no_agreement	0.33	grijs_3	-0.512269953140192
grijs/adj/parool_20020329_41/282	other_sense	1	grijs_3	-0.7280127021793633
grijs/adj/parool_20010110_88/559	grijs_1	0.67	grijs_3	0.22541762547172392
grijs/adj/parool_19990607_15/995	grijs_6	1	grijs_3	-0.7945054270712661
grijs/adj/parool_20000328_6/99	grijs_5	1	grijs_3	0.20145101886922492
grijs/adj/parool_19990821_101/632	grijs_1	1	grijs_3	-1.0102481761104374
grijs/adj/parool_20000518_6/1735	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20020604_82/90	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20030517_130/160	other_sense	0.67	grijs_3	0.09182734799064535
grijs/adj/parool_20000314_98/413	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20020913_77/75	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20020108_32/392	grijs_1	1	grijs_3	0.41719376790839624
grijs/adj/parool_20011117_100/219	grijs_5	1	grijs_3	-0.01429173016994643
grijs/adj/parool_19990623_121/1118	grijs_1	0.67	grijs_3	-0.5215497089836444
grijs/adj/parool_19990515_36/1034	grijs_3	1	grijs_3	0.9657609250787156
grijs/adj/parool_20010505_23/424	grijs_3	1	grijs_3	0.9657609250787156
grijs/adj/parool_20000412_92/98	grijs_1	1	grijs_4	0.7635529129659019
grijs/adj/parool_20020110_124/329	grijs_1	1	grijs_4	0.1877378091108598
grijs/adj/parool_20040427_99/36	grijs_1	1	grijs_4	0.7635529129659019
grijs/adj/parool_20040226_09/325	grijs_4	1	grijs_4	0.4871281342154975
grijs/adj/parool_20000422_24/2477	grijs_1	1	grijs_4	0.6011121253777477
grijs/adj/algemeen_dagblad_20040922_03/141	grijs_6	0.5	grijs_4	-1.625466524385312
grijs/adj/algemeen_dagblad_20010212_3/1812	grijs_5	0.75	grijs_4	0.04576062505285225
grijs/adj/algemeen_dagblad_20020511_173/372	grijs_1	1	grijs_4	-0.29958455365360265
grijs/adj/algemeen_dagblad_20010306_148/126	grijs_4	1	grijs_4	-0.42631416985168824
grijs/adj/algemeen_dagblad_20010330_5/546	grijs_4	0.75	grijs_4	-0.6913721182815595
grijs/adj/algemeen_dagblad_20020816_85/108	grijs_3	0.5	grijs_4	-0.42472311573661525
grijs/adj/algemeen_dagblad_20011115_97/331	grijs_3	1	grijs_4	0.7635529129659019
grijs/adj/algemeen_dagblad_19991218_300/229	grijs_4	1	grijs_4	0.7635529129659019
grijs/adj/algemeen_dagblad_19990731_15/29	grijs_1	1	grijs_4	-0.5760093324040071
grijs/adj/algemeen_dagblad_20020125_150/304	grijs_4	0.75	grijs_4	-0.36191047423495737
grijs/adj/algemeen_dagblad_20020720_118/1861	grijs_6	0.75	grijs_4	0.326957403738263
grijs/adj/algemeen_dagblad_20010519_168/97	grijs_1	0.5	grijs_4	0.5499216097923096
grijs/adj/algemeen_dagblad_20010615_106/111	grijs_5	0.75	grijs_4	-2.173861865234069
