_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
haken.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.206389103984925	0.034978420224846006	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	218	nav	4_4	244	haken	NA
haken.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.20160638656143626	0.04053927711612708	NA	NA	BOW	bound	320	lex	5_5	1	selection	FOC	320	all	4_4	244	haken	NA
haken.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2717286938287194	-0.04607912249653531	NA	NA	BOW	bound	440	lex	5_5	1	no	5000	5000	nav	4_4	247	haken	NA
haken.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.30406680979876566	-0.14027816610275817	NA	NA	BOW	bound	440	lex	5_5	1	no	5000	5000	all	4_4	247	haken	NA
haken.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.224780908749987	0.05819513730459891	NA	NA	BOW	bound	440	lex	5_5	1	no	FOC	305	nav	4_4	247	haken	NA
haken.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.22089743736962386	0.0660383987314338	NA	NA	BOW	bound	440	lex	5_5	1	no	FOC	440	all	4_4	247	haken	NA
haken.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	0.010796042577425348	-0.11703390684538	NA	NA	BOW	bound	474	all	5_5	1	weight	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.011914554418733531	-0.13900336469405375	NA	NA	BOW	bound	474	all	5_5	1	weight	5000	5000	all	4_4	251	haken	NA
haken.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.050585113523595245	0.006996578844916619	NA	NA	BOW	bound	474	all	5_5	1	weight	FOC	218	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.042116923069887735	0.0034073753532346254	NA	NA	BOW	bound	474	all	5_5	1	weight	FOC	474	all	4_4	251	haken	NA
haken.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.16729868660058053	-0.045601403494532025	NA	NA	BOW	bound	474	all	5_5	1	selection	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSall	0.2816804934487278	-0.10720562687876949	NA	NA	BOW	bound	474	all	5_5	1	selection	5000	5000	all	4_4	251	haken	NA
haken.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.004492671319242134	0.08700030858886991	NA	NA	BOW	bound	474	all	5_5	1	selection	FOC	218	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.0014463168701664751	0.08228947435846204	NA	NA	BOW	bound	474	all	5_5	1	selection	FOC	474	all	4_4	251	haken	NA
haken.BOWbound5all.PPMIno.LENGTH5000.SOCPOSnav	0.1536542796216311	0.18923862643714726	NA	NA	BOW	bound	658	all	5_5	1	no	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIno.LENGTH5000.SOCPOSall	0.3093211065685067	0.15890665363530102	NA	NA	BOW	bound	658	all	5_5	1	no	5000	5000	all	4_4	251	haken	NA
haken.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.001928137483258696	0.1408339040583191	NA	NA	BOW	bound	658	all	5_5	1	no	FOC	305	nav	4_4	251	haken	NA
haken.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.008947072308708342	0.13978061027782457	NA	NA	BOW	bound	658	all	5_5	1	no	FOC	658	all	4_4	251	haken	NA
haken.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1826663211502173	-0.17836314112645482	NA	NA	BOW	bound	216	lex	3_3	1	weight	5000	5000	nav	4_4	225	haken	NA
haken.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.19380171020400788	-0.2480141186313097	NA	NA	BOW	bound	216	lex	3_3	1	weight	5000	5000	all	4_4	225	haken	NA
haken.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1915960034928919	-0.0744647705308731	NA	NA	BOW	bound	216	lex	3_3	1	weight	FOC	145	nav	4_4	225	haken	NA
haken.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1839894782941493	-0.07968851567984843	NA	NA	BOW	bound	216	lex	3_3	1	weight	FOC	216	all	4_4	225	haken	NA
haken.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.19476487135472142	-0.14466358280332617	NA	NA	BOW	bound	216	lex	3_3	1	selection	5000	5000	nav	4_4	225	haken	NA
haken.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.18834488707255978	-0.2149051264834974	NA	NA	BOW	bound	216	lex	3_3	1	selection	5000	5000	all	4_4	225	haken	NA
haken.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.18415987598328595	-0.05314900056879136	NA	NA	BOW	bound	216	lex	3_3	1	selection	FOC	145	nav	4_4	225	haken	NA
haken.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.17938899996982813	-0.059656420764969166	NA	NA	BOW	bound	216	lex	3_3	1	selection	FOC	216	all	4_4	225	haken	NA
haken.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2297213098737176	-0.14285619202422806	NA	NA	BOW	bound	267	lex	3_3	1	no	5000	5000	nav	4_4	230	haken	NA
haken.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.21115022306286488	-0.2275089853324679	NA	NA	BOW	bound	267	lex	3_3	1	no	5000	5000	all	4_4	230	haken	NA
haken.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2063680180590469	-0.04226714643460423	NA	NA	BOW	bound	267	lex	3_3	1	no	FOC	185	nav	4_4	230	haken	NA
haken.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.20815795124171313	-0.05192127275417828	NA	NA	BOW	bound	267	lex	3_3	1	no	FOC	267	all	4_4	230	haken	NA
haken.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.011380772629342652	-0.2128255223147835	NA	NA	BOW	bound	342	all	3_3	1	weight	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	0.0348112993018057	-0.2439476793242862	NA	NA	BOW	bound	342	all	3_3	1	weight	5000	5000	all	4_4	251	haken	NA
haken.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0387325667547278	-0.10985659459678492	NA	NA	BOW	bound	342	all	3_3	1	weight	FOC	145	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.0291862551725507	-0.10670336672577098	NA	NA	BOW	bound	342	all	3_3	1	weight	FOC	342	all	4_4	251	haken	NA
haken.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.1152541645176138	-0.22787629280835034	NA	NA	BOW	bound	342	all	3_3	1	selection	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.25244058202652725	-0.28122762108075344	NA	NA	BOW	bound	342	all	3_3	1	selection	5000	5000	all	4_4	251	haken	NA
haken.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.01861435795947981	-0.05628911537373092	NA	NA	BOW	bound	342	all	3_3	1	selection	FOC	145	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.025997588380756796	-0.03337004619565355	NA	NA	BOW	bound	342	all	3_3	1	selection	FOC	342	all	4_4	251	haken	NA
haken.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.1582304331759471	-0.24021186395631006	NA	NA	BOW	bound	427	all	3_3	1	no	5000	5000	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.30951481442131074	-0.2517925363548914	NA	NA	BOW	bound	427	all	3_3	1	no	5000	5000	all	4_4	251	haken	NA
haken.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.0273443792098112	0.09536934365463573	NA	NA	BOW	bound	427	all	3_3	1	no	FOC	185	nav	4_4	251	haken	NA
haken.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.02812087854839915	0.08475446820980245	NA	NA	BOW	bound	427	all	3_3	1	no	FOC	427	all	4_4	251	haken	NA
haken.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.20502838164368797	-0.009319265295712016	NA	NA	BOW	nobound	463	lex	10_10	1	weight	5000	5000	nav	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.2207392229570091	-0.01596971953278104	NA	NA	BOW	nobound	463	lex	10_10	1	weight	5000	5000	all	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20512539315549025	0.10461732429707829	NA	NA	BOW	nobound	463	lex	10_10	1	weight	FOC	319	nav	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.20058269823778724	0.10615438804147918	NA	NA	BOW	nobound	463	lex	10_10	1	weight	FOC	463	all	4_4	248	haken	NA
haken.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2732338104323346	0.05178287931131225	NA	NA	BOW	nobound	463	lex	10_10	1	selection	5000	5000	nav	4_4	248	haken	NA
