_id	_cws.geldig.foc10.nav.weight.bound	_count.geldig.foc10.nav.weight.bound	_cws.geldig.foc10.nav.selection.bound	_count.geldig.foc10.nav.selection.bound	_cws.geldig.foc10.nav.no.bound	_count.geldig.foc10.nav.no.bound	_cws.geldig.foc10.all.weight.bound	_count.geldig.foc10.all.weight.bound	_cws.geldig.foc10.all.selection.bound	_count.geldig.foc10.all.selection.bound	_cws.geldig.foc10.all.no.bound	_count.geldig.foc10.all.no.bound	_cws.geldig.foc5.nav.weight.bound	_count.geldig.foc5.nav.weight.bound	_cws.geldig.foc5.nav.selection.bound	_count.geldig.foc5.nav.selection.bound	_cws.geldig.foc5.nav.no.bound	_count.geldig.foc5.nav.no.bound	_cws.geldig.foc5.all.weight.bound	_count.geldig.foc5.all.weight.bound	_cws.geldig.foc5.all.selection.bound	_count.geldig.foc5.all.selection.bound	_cws.geldig.foc5.all.no.bound	_count.geldig.foc5.all.no.bound
geldig/adj/nrc_handelsblad_20010813_83/325	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;moet/verb;schrijf_voor/verb;word/verb	4	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6	bloed/noun;een/det;moet/verb;schrijf_voor/verb;voor/prep;word/verb	6
geldig/adj/nrc_handelsblad_20011011_37/525	aantal/noun;procent/noun;vers/noun	3	aantal/noun;procent/noun;vers/noun	3	aantal/noun;procent/noun;vers/noun	3	aantal/noun;nog/adv;procent/noun;slechts/adv;steeds/adv;vers/noun	6	aantal/noun;nog/adv;procent/noun;slechts/adv;steeds/adv;vers/noun	6	aantal/noun;nog/adv;procent/noun;slechts/adv;steeds/adv;vers/noun	6	aantal/noun;vers/noun	2	aantal/noun;vers/noun	2	aantal/noun;vers/noun	2	aantal/noun;nog/adv;steeds/adv;vers/noun	4	aantal/noun;nog/adv;steeds/adv;vers/noun	4	aantal/noun;nog/adv;steeds/adv;vers/noun	4
geldig/adj/nrc_handelsblad_19990121_109/94	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;februari/noun;openbaar/adj	5	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7	3/noun;ben/verb;bod/noun;en/prep;februari/noun;openbaar/adj;tot/prep	7
geldig/adj/nrc_handelsblad_20031028_137/206	algemeen/adj;geval/noun;regel/noun;stel_op/verb;transparant/adj	5	algemeen/adj;geval/noun;regel/noun;stel_op/verb;transparant/adj	5	algemeen/adj;geval/noun;regel/noun;stel_op/verb;transparant/adj	5	algemeen/adj;geval/noun;regel/noun;stel_op/verb;tot/prep;transparant/adj	6	algemeen/adj;geval/noun;regel/noun;stel_op/verb;tot/prep;transparant/adj	6	algemeen/adj;geval/noun;regel/noun;stel_op/verb;tot/prep;transparant/adj	6	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4	algemeen/adj;regel/noun;stel_op/verb;transparant/adj	4
geldig/adj/nrc_handelsblad_19990703_19/971	ben/verb;reden/noun	2	ben/verb;reden/noun	2	ben/verb;reden/noun	2	ben/verb;die/det;geen/det;reden/noun;voor/prep	5	ben/verb;die/det;geen/det;reden/noun;voor/prep	5	ben/verb;die/det;geen/det;reden/noun;voor/prep	5	ben/verb;reden/noun	2	ben/verb;reden/noun	2	ben/verb;reden/noun	2	ben/verb;geen/det;reden/noun;voor/prep	4	ben/verb;geen/det;reden/noun;voor/prep	4	ben/verb;geen/det;reden/noun;voor/prep	4
geldig/adj/nrc_handelsblad_19990705_23/68	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb	5	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb	5	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb	5	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb;tot/prep	6	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb;tot/prep	6	augustus/noun;blijf/verb;bon/noun;eind/noun;meld/verb;tot/prep	6	augustus/noun;blijf/verb;bon/noun;eind/noun	4	augustus/noun;blijf/verb;bon/noun;eind/noun	4	augustus/noun;blijf/verb;bon/noun;eind/noun	4	augustus/noun;blijf/verb;bon/noun;eind/noun;tot/prep	5	augustus/noun;blijf/verb;bon/noun;eind/noun;tot/prep	5	augustus/noun;blijf/verb;bon/noun;eind/noun;tot/prep	5
geldig/adj/nrc_handelsblad_20010825_18/496	ben/verb;jaar/noun;permanent/adj;speciaal/adj;word/verb;zet_om/verb	6	ben/verb;jaar/noun;permanent/adj;speciaal/adj;word/verb;zet_om/verb	6	ben/verb;jaar/noun;permanent/adj;speciaal/adj;word/verb;zet_om/verb	6	ben/verb;een/det;jaar/noun;na/prep;permanent/adj;speciaal/adj;word/verb;zet_om/verb	8	ben/verb;een/det;jaar/noun;na/prep;permanent/adj;speciaal/adj;word/verb;zet_om/verb	8	ben/verb;een/det;jaar/noun;na/prep;permanent/adj;speciaal/adj;word/verb;zet_om/verb	8	ben/verb;word/verb	2	ben/verb;word/verb	2	ben/verb;word/verb	2	ben/verb;na/prep;word/verb	3	ben/verb;na/prep;word/verb	3	ben/verb;na/prep;word/verb	3
geldig/adj/nrc_handelsblad_20010419_121/143	ben/verb;bepaal/verb;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wil_beschikking/noun	6	ben/verb;bepaal/verb;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wil_beschikking/noun	6	ben/verb;bepaal/verb;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wil_beschikking/noun	6	ben/verb;bepaal/verb;een/det;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wie/pron;wil_beschikking/noun	8	ben/verb;bepaal/verb;een/det;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wie/pron;wil_beschikking/noun	8	ben/verb;bepaal/verb;een/det;erf_recht/noun;erfgenaam/noun;ontbreek/verb;wie/pron;wil_beschikking/noun	8	bepaal/verb;ontbreek/verb;wil_beschikking/noun	3	bepaal/verb;ontbreek/verb;wil_beschikking/noun	3	bepaal/verb;ontbreek/verb;wil_beschikking/noun	3	bepaal/verb;een/det;ontbreek/verb;wil_beschikking/noun	4	bepaal/verb;een/det;ontbreek/verb;wil_beschikking/noun	4	bepaal/verb;een/det;ontbreek/verb;wil_beschikking/noun	4
geldig/adj/nrc_handelsblad_19991117_39/522	beschik/verb	1	beschik/verb	1	beschik/verb	1	beschik/verb;een/det;geen/det;ook/adv;over/prep	5	beschik/verb;een/det;geen/det;ook/adv;over/prep	5	beschik/verb;een/det;geen/det;ook/adv;over/prep	5		0		0		0	een/det;over/prep	2	een/det;over/prep	2	een/det;over/prep	2
geldig/adj/nrc_handelsblad_20020104_1/364	heb/verb;kan/verb;papier/noun;sluit_in/verb	4	heb/verb;kan/verb;papier/noun;sluit_in/verb	4	heb/verb;kan/verb;papier/noun;sluit_in/verb	4	geen/det;heb/verb;kan/verb;papier/noun;sluit_in/verb;vandoor/prep;wel/adv;ze/pron	8	geen/det;heb/verb;kan/verb;papier/noun;sluit_in/verb;vandoor/prep;wel/adv;ze/pron	8	geen/det;heb/verb;kan/verb;papier/noun;sluit_in/verb;vandoor/prep;wel/adv;ze/pron	8	heb/verb;papier/noun;sluit_in/verb	3	heb/verb;papier/noun;sluit_in/verb	3	heb/verb;papier/noun;sluit_in/verb	3	geen/det;heb/verb;papier/noun;sluit_in/verb;ze/pron	5	geen/det;heb/verb;papier/noun;sluit_in/verb;ze/pron	5	geen/det;heb/verb;papier/noun;sluit_in/verb;ze/pron	5
