_id	model.x	model.y	pos	cwfreq	ppmi_S	noncue	cue	a1	a2	b	b1	c1	c2	c3	d	other	a1_cue	a2_cue	b_cue	b1_cue	c1_cue	c2_cue	c3_cue	d_cue	other_cue
60/J	-0.29361533914948584	0.3251838725530992	J	1	1.7769536	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
a/D	-0.14825135837987857	-0.0386511803558391	D	41	0	25	16	1	8	12	1	14	2	1	0	2	1	3	3	0	8	1	0	0	0
a/J	-0.18575857227589176	-0.04826830888114852	J	1	0	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
a/N	-0.31645021448615773	0.012817814200163143	N	1	0.3906592	1	0	0	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ability/N	-0.21273195139682352	0.21286980140852133	N	1	0.78370184	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
able/J	-0.2034174670374028	0.0759317813345171	J	1	0	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
accusation/N	0.3727605885505674	-0.19463910329061468	N	1	3.3863914	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
active/J	-0.07497498407150456	0.197466932783085	J	1	0.76535267	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
activity/N	-0.11824137444636891	0.13585866017225112	N	1	0.8626649	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
admission/N	-0.09579063350224089	0.3569662535432263	N	1	1.7281634	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
adult/N	-0.039905102750049534	0.2732190978915779	N	1	1.910485	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
advance/V	0.009001500119298803	0.26010926253115885	V	1	1.40539	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
adviser/N	0.1902723421438775	0.15562594124374124	N	1	2.000097	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
affair/N	0.0012891341759952715	0.09141304652606588	N	1	0.6295511	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
alert/V	0.14984049679880698	-0.4136275140251377	V	1	2.5754614	1	0	0	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
alive/J	-0.16202475729025173	-0.29234035953111714	J	1	1.2173378	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
all/J	-0.18514526503738862	0.03215015546182379	J	1	0.07432896	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ambition/N	-0.09898951579337921	0.3742019790873481	N	1	1.7281634	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
american/J	-0.09228373486480254	0.09695259910908074	J	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
american/N	-0.08068618564158664	0.010842281983815231	N	1	0.28278625	1	0	0	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
an/D	-0.1520914600802487	0.023646429798238652	D	4	0	4	0	0	2	1	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
analogy/N	-0.06873481448746724	0.4420044169330999	N	1	2.287779	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ancestry/N	0.3525985835813994	0.17094758412429098	N	1	2.8267758	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
angel/N	-0.08012452811626125	-0.2720824373523899	N	1	1.0888189	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
anglican/J	0.3234800856339033	0.13563644745003328	J	3	3.8563952	0	3	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0
announce/V	-0.01328353747710459	-0.10103446036282078	V	1	0.29364595	1	0	0	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
annual/J	0.0066838695243903725	0.007883485807445235	J	1	1.2656281	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
apostolic/J	0.3789815794037183	0.33670170209525435	J	1	3.3863914	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
appreciation/N	-0.12346592791991326	0.3334324398089324	N	1	1.8282468	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
