_id	_cws.spoor.foc10.nav.ppmi_weight.bound	_count.spoor.foc10.nav.ppmi_weight.bound	_cws.spoor.foc10.nav.ppmi_sel.bound	_count.spoor.foc10.nav.ppmi_sel.bound	_cws.spoor.foc10.nav.no_ppmi.bound	_count.spoor.foc10.nav.no_ppmi.bound	_cws.spoor.foc10.all.ppmi_weight.bound	_count.spoor.foc10.all.ppmi_weight.bound	_cws.spoor.foc10.all.ppmi_sel.bound	_count.spoor.foc10.all.ppmi_sel.bound	_cws.spoor.foc10.all.no_ppmi.bound	_count.spoor.foc10.all.no_ppmi.bound	_cws.spoor.foc5.nav.ppmi_weight.bound	_count.spoor.foc5.nav.ppmi_weight.bound	_cws.spoor.foc5.nav.ppmi_sel.bound	_count.spoor.foc5.nav.ppmi_sel.bound	_cws.spoor.foc5.nav.no_ppmi.bound	_count.spoor.foc5.nav.no_ppmi.bound	_cws.spoor.foc5.all.ppmi_weight.bound	_count.spoor.foc5.all.ppmi_weight.bound	_cws.spoor.foc5.all.ppmi_sel.bound	_count.spoor.foc5.all.ppmi_sel.bound	_cws.spoor.foc5.all.no_ppmi.bound	_count.spoor.foc5.all.no_ppmi.bound
spoor/noun/de_morgen_20030118_01_41/555	ben/verb;vind_terug/verb	2	ben/verb;vind_terug/verb	2	ben/verb;kans/noun;reëel/adj;vind_terug/verb	4	ben/verb;de/det;enkel/det;geen/det;terug/part;vind_terug/verb	6	ben/verb;de/det;enkel/det;geen/det;terug/part;vind_terug/verb	6	ben/verb;de/det;enkel/det;geen/det;ik/pron;kans/noun;reëel/adj;terug/part;vind_terug/verb;waarom/adv	10	vind_terug/verb	1	vind_terug/verb	1	kans/noun;vind_terug/verb	2	de/det;enkel/det;geen/det;terug/part;vind_terug/verb	5	de/det;enkel/det;geen/det;terug/part;vind_terug/verb	5	de/det;enkel/det;geen/det;ik/pron;kans/noun;terug/part;vind_terug/verb	7
spoor/noun/de_morgen_19990326_01_49/1153	bureaucraat/noun;verdien/verb	2	bureaucraat/noun;verdien/verb	2	bureaucraat/noun;kies/verb;landbouw/noun;verdien/verb	4	bureaucraat/noun;de/det;die/pron;een/det;in/prep;verdien/verb;zijn/det	7	bureaucraat/noun;de/det;die/pron;een/det;in/prep;verdien/verb;zijn/det	7	als/prep;bureaucraat/noun;de/det;die/pron;een/det;in/prep;kies/verb;landbouw/noun;net/adv;niet/adv;verdien/verb;voor/prep;zijn/det	13	bureaucraat/noun;verdien/verb	2	bureaucraat/noun;verdien/verb	2	bureaucraat/noun;landbouw/noun;verdien/verb	3	bureaucraat/noun;de/det;die/pron;in/prep;verdien/verb;zijn/det	6	bureaucraat/noun;de/det;die/pron;in/prep;verdien/verb;zijn/det	6	als/prep;bureaucraat/noun;de/det;die/pron;in/prep;landbouw/noun;verdien/verb;zijn/det	8
spoor/noun/de_morgen_20030825_01_85/986	ben/verb	1	ben/verb	1	ben/verb;bijzonder/adj;iets/noun	3	ben/verb;het/det;op/prep	3	ben/verb;het/det;op/prep	3	ben/verb;bijzonder/adj;het/det;iets/noun;met/prep;op/prep	6	ben/verb	1	ben/verb	1	ben/verb;bijzonder/adj;iets/noun	3	ben/verb;het/det;op/prep	3	ben/verb;het/det;op/prep	3	ben/verb;bijzonder/adj;het/det;iets/noun;op/prep	5
spoor/noun/de_morgen_20040417_01_194/1951	ben/verb;duidelijk/adj;oud/adj	3	ben/verb;duidelijk/adj;oud/adj	3	ben/verb;duidelijk/adj;instrument/noun;oud/adj	4	ben/verb;de/det;die/pron;duidelijk/adj;hun/det;naar/prep;oud/adj;van/prep	8	ben/verb;de/det;die/pron;duidelijk/adj;hun/det;naar/prep;oud/adj;van/prep	8	ben/verb;de/det;die/pron;duidelijk/adj;hem/pron;hun/det;instrument/noun;met/prep;naar/prep;oud/adj;van/prep;voor/prep	12	ben/verb;duidelijk/adj;oud/adj	3	ben/verb;duidelijk/adj;oud/adj	3	ben/verb;duidelijk/adj;instrument/noun;oud/adj	4	ben/verb;duidelijk/adj;oud/adj;van/prep	4	ben/verb;duidelijk/adj;oud/adj;van/prep	4	ben/verb;duidelijk/adj;hem/pron;instrument/noun;oud/adj;van/prep;voor/prep	7
spoor/noun/de_morgen_20000222_01_46/412	ben/verb;laat_na/verb	2	ben/verb;laat_na/verb	2	aan/adj;ben/verb;de/adj;gang/adj;laat_na/verb;proces/noun;zal/verb	7	ben/verb;dat/pron;de/det;een/det;laat_na/verb;van/prep	6	ben/verb;dat/pron;de/det;een/det;laat_na/verb;van/prep	6	aan/adj;ben/verb;dat/pron;de/adj;de/det;een/det;gang/adj;laat_na/verb;proces/noun;van/prep;zal/verb	11	ben/verb;laat_na/verb	2	ben/verb;laat_na/verb	2	aan/adj;ben/verb;de/adj;gang/adj;laat_na/verb;zal/verb	6	ben/verb;dat/pron;laat_na/verb	3	ben/verb;dat/pron;laat_na/verb	3	aan/adj;ben/verb;dat/pron;de/adj;gang/adj;laat_na/verb;zal/verb	7
spoor/noun/de_morgen_20040428_01_105/94	ben/verb;ploeg/noun	2	ben/verb;ploeg/noun	2	ben/verb;nationaal/adj;ploeg/noun	3	ben/verb;bij/prep;de/det;er/adv;geen/det;meer/adv;ploeg/noun;van/prep	8	ben/verb;bij/prep;de/det;er/adv;geen/det;meer/adv;ploeg/noun;van/prep	8	ben/verb;bij/prep;de/det;er/adv;geen/det;meer/adv;nationaal/adj;ploeg/noun;van/prep	9	ben/verb	1	ben/verb	1	ben/verb	1	ben/verb;bij/prep;er/adv;geen/det;meer/adv;van/prep	6	ben/verb;bij/prep;er/adv;geen/det;meer/adv;van/prep	6	ben/verb;bij/prep;er/adv;geen/det;meer/adv;van/prep	6
spoor/noun/de_morgen_20020902_01_93/305	Canadees/noun;blijf/verb;heb/verb	3	Canadees/noun;blijf/verb;heb/verb	3	Canadees/noun;blijf/verb;heb/verb;moeite/noun	4	Canadees/noun;alle/det;blijf/verb;de/det;heb/verb;het/det;in/prep;ook/adv;van/prep	9	Canadees/noun;alle/det;blijf/verb;de/det;heb/verb;het/det;in/prep;ook/adv;van/prep	9	Canadees/noun;alle/det;blijf/verb;de/det;heb/verb;het/det;in/prep;moeite/noun;ook/adv;op/part;van/prep	11	Canadees/noun;blijf/verb;heb/verb	3	Canadees/noun;blijf/verb;heb/verb	3	Canadees/noun;blijf/verb;heb/verb;moeite/noun	4	Canadees/noun;blijf/verb;de/det;heb/verb;het/det;in/prep;van/prep	7	Canadees/noun;blijf/verb;de/det;heb/verb;het/det;in/prep;van/prep	7	Canadees/noun;blijf/verb;de/det;heb/verb;het/det;in/prep;moeite/noun;van/prep	8
spoor/noun/de_morgen_20040102_01_36/355	eeuw/noun;vind/verb	2	eeuw/noun;vind/verb	2	eeuw/noun;vind/verb;vind_plaats/verb	3	de/det;die/pron;eeuw/noun;er/adv;in/prep;van/prep;vind/verb	7	de/det;die/pron;eeuw/noun;er/adv;in/prep;van/prep;vind/verb	7	aan/prep;de/det;die/pron;eeuw/noun;er/adv;hij/pron;in/prep;van/prep;vind/verb;vind_plaats/verb	10	vind/verb	1	vind/verb	1	vind/verb	1	die/pron;er/adv;van/prep;vind/verb	4	die/pron;er/adv;van/prep;vind/verb	4	aan/prep;die/pron;er/adv;hij/pron;van/prep;vind/verb	6
spoor/noun/de_morgen_20001207_01_100/110	lig/verb;teken_af/verb;voorbij/adj	3	lig/verb;teken_af/verb;voorbij/adj	3	dag/noun;lig/verb;teken_af/verb;voorbij/adj	4	de/det;die/pron;lig/verb;nog/adv;teken_af/verb;voorbij/adj	6	de/det;die/pron;lig/verb;nog/adv;teken_af/verb;voorbij/adj	6	altijd/adv;dag/noun;de/det;die/pron;lig/verb;nog/adv;teken_af/verb;voorbij/adj;zich/pron	9	voorbij/adj	1	voorbij/adj	1	dag/noun;voorbij/adj	2	de/det;die/pron;voorbij/adj	3	de/det;die/pron;voorbij/adj	3	dag/noun;de/det;die/pron;voorbij/adj;zich/pron	5
spoor/noun/de_morgen_20020904_01_58/106	man/noun;verkeerd/adj;zet/verb	3	man/noun;verkeerd/adj;zet/verb	3	collaborateur/noun;man/noun;slaag/verb;verkeerd/adj;zet/verb	5	de/det;een/det;het/det;man/noun;op/prep;verkeerd/adj;zet/verb	7	de/det;een/det;het/det;man/noun;op/prep;verkeerd/adj;zet/verb	7	collaborateur/noun;de/det;een/det;het/det;man/noun;op/prep;slaag/verb;verkeerd/adj;zet/verb	9	man/noun;verkeerd/adj;zet/verb	3	man/noun;verkeerd/adj;zet/verb	3	man/noun;verkeerd/adj;zet/verb	3	de/det;het/det;man/noun;op/prep;verkeerd/adj;zet/verb	6	de/det;het/det;man/noun;op/prep;verkeerd/adj;zet/verb	6	de/det;het/det;man/noun;op/prep;verkeerd/adj;zet/verb	6
