_model	model.x	model.y	foc_part_of_speech	foc_weighting	foc_window	focc_sent_bound	soc_length_param	soc_window	socc_length	tokens	type	stress
zwart.foc10.nav.weight.nobound.soc4.10000	-0.25412472690683485	-0.04151607192822546	nav	weight	10	nobound	10000	4	10000	277	zwart	0.23819231981900316
zwart.foc10.nav.weight.nobound.soc4.focc	-0.06901459423995161	0.31105804897366435	nav	weight	10	nobound	focc	4	640	277	zwart	0.239667085542153
zwart.foc10.nav.weight.nobound.soc10.5000	-0.2764057148315566	0.01127478611029675	nav	weight	10	nobound	5000	10	5000	277	zwart	0.23207933756112645
zwart.foc10.nav.weight.nobound.soc10.10000	-0.24857924830184924	-0.016010653189926057	nav	weight	10	nobound	10000	10	10000	277	zwart	0.22886358547663133
zwart.foc10.nav.weight.nobound.soc10.focc	-0.11041221298832278	0.17527385147646846	nav	weight	10	nobound	focc	10	640	277	zwart	0.23095168131568325
zwart.foc10.nav.selection.nobound.soc4.5000	-0.26510875481924817	-0.06627167533692235	nav	selection	10	nobound	5000	4	5000	277	zwart	0.24405084940063054
zwart.foc10.nav.selection.nobound.soc4.10000	-0.25412472690683485	-0.04151607192822546	nav	selection	10	nobound	10000	4	10000	277	zwart	0.23819231981900316
zwart.foc10.nav.selection.nobound.soc4.focc	-0.06901459423995161	0.31105804897366435	nav	selection	10	nobound	focc	4	640	277	zwart	0.239667085542153
zwart.foc10.nav.selection.nobound.soc10.5000	-0.2764057148315566	0.01127478611029675	nav	selection	10	nobound	5000	10	5000	277	zwart	0.23207933756112645
zwart.foc10.nav.selection.nobound.soc10.10000	-0.24857924830184921	-0.01601065318992608	nav	selection	10	nobound	10000	10	10000	277	zwart	0.22886358547663133
zwart.foc10.nav.selection.nobound.soc10.focc	-0.11041221298832284	0.17527385147646843	nav	selection	10	nobound	focc	10	640	277	zwart	0.23095168131568325
zwart.foc10.nav.noweight.nobound.soc4.5000	-0.26510875481924817	-0.06627167533692235	nav	noweight	10	nobound	5000	4	5000	277	zwart	0.24405084940063054
zwart.foc10.nav.noweight.nobound.soc4.10000	-0.25412472690683485	-0.04151607192822546	nav	noweight	10	nobound	10000	4	10000	277	zwart	0.23819231981900316
zwart.foc10.nav.noweight.nobound.soc4.focc	-0.06901459423995161	0.31105804897366435	nav	noweight	10	nobound	focc	4	640	277	zwart	0.239667085542153
zwart.foc10.nav.noweight.nobound.soc10.5000	-0.2764057148315566	0.01127478611029675	nav	noweight	10	nobound	5000	10	5000	277	zwart	0.23207933756112645
zwart.foc10.nav.noweight.nobound.soc10.10000	-0.24857924830184921	-0.01601065318992608	nav	noweight	10	nobound	10000	10	10000	277	zwart	0.22886358547663133
