_model	model.x	model.y	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
goedkoop.foc10.nav.no.bound.min1.soc10.nav.5000	0.12098624843789899	-0.21177911907544195	bound	954	nav	10_10	1	no	5000	5000	nav	10_10	320	goedkoop	0.2509373716776224
goedkoop.foc10.nav.no.bound.min1.soc10.nav.10000	0.12475113922284954	-0.22362161099266176	bound	954	nav	10_10	1	no	10000	10000	nav	10_10	320	goedkoop	0.25007590424994813
goedkoop.foc10.nav.no.bound.min1.soc10.nav.FOC	0.06393396565515098	-0.22560330947845333	bound	954	nav	10_10	1	no	FOC	954	nav	10_10	320	goedkoop	0.256531434928887
goedkoop.foc10.nav.no.bound.min1.soc4.all.5000	0.12983157886785238	-0.1571766102722346	bound	954	nav	10_10	1	no	5000	5000	all	4_4	320	goedkoop	0.2615750919183241
goedkoop.foc10.nav.no.bound.min1.soc4.all.10000	0.1334603800793641	-0.16495290609901134	bound	954	nav	10_10	1	no	10000	10000	all	4_4	320	goedkoop	0.25968505689847554
goedkoop.foc10.nav.no.bound.min1.soc4.all.FOC	0.074387648363075	-0.1627912234592806	bound	954	nav	10_10	1	no	FOC	954	all	4_4	320	goedkoop	0.2619796461470776
goedkoop.foc10.nav.no.bound.min1.soc10.all.5000	0.13082955488804932	-0.21208727439230138	bound	954	nav	10_10	1	no	5000	5000	all	10_10	320	goedkoop	0.2517127338873746
goedkoop.foc10.nav.no.bound.min1.soc10.all.10000	0.12392880787749838	-0.21826621739410387	bound	954	nav	10_10	1	no	10000	10000	all	10_10	320	goedkoop	0.2526547675757776
goedkoop.foc10.nav.no.bound.min1.soc10.all.FOC	0.06393396565816838	-0.22560330947930815	bound	954	nav	10_10	1	no	FOC	954	all	10_10	320	goedkoop	0.256531434928887
goedkoop.foc10.all.weight.bound.min1.soc4.nav.5000	-0.11942676386121136	-0.1610374752561913	bound	725	all	10_10	1	weight	5000	5000	nav	4_4	319	goedkoop	0.261007947268699
goedkoop.foc10.all.weight.bound.min1.soc4.nav.10000	-0.13487461724591548	-0.19459035650828047	bound	725	all	10_10	1	weight	10000	10000	nav	4_4	319	goedkoop	0.26139208485163284
goedkoop.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.14335185365655886	-0.22948969125804702	bound	725	all	10_10	1	weight	FOC	725	nav	4_4	319	goedkoop	0.2791284364693489
goedkoop.foc10.all.weight.bound.min1.soc10.nav.5000	-0.12176099573722146	-0.1968899137023668	bound	725	all	10_10	1	weight	5000	5000	nav	10_10	319	goedkoop	0.25362858006618666
goedkoop.foc10.all.weight.bound.min1.soc10.nav.10000	-0.1462835394274017	-0.21033416404550728	bound	725	all	10_10	1	weight	10000	10000	nav	10_10	319	goedkoop	0.2560549315646652
goedkoop.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.1631523209714513	-0.25916272120053874	bound	725	all	10_10	1	weight	FOC	725	nav	10_10	319	goedkoop	0.26590257313534804
goedkoop.foc10.all.weight.bound.min1.soc4.all.5000	-0.10895173806381153	-0.15768539295801157	bound	725	all	10_10	1	weight	5000	5000	all	4_4	319	goedkoop	0.26029597501203855
goedkoop.foc10.all.weight.bound.min1.soc4.all.10000	-0.12393859851448512	-0.16745825577422438	bound	725	all	10_10	1	weight	10000	10000	all	4_4	319	goedkoop	0.25958329615139436
goedkoop.foc10.all.weight.bound.min1.soc4.all.FOC	-0.14335185241150708	-0.22948969194016128	bound	725	all	10_10	1	weight	FOC	725	all	4_4	319	goedkoop	0.2791284364693489
goedkoop.foc10.all.weight.bound.min1.soc10.all.5000	-0.11147733992851382	-0.19463771841542993	bound	725	all	10_10	1	weight	5000	5000	all	10_10	319	goedkoop	0.24995405423229025
goedkoop.foc10.all.weight.bound.min1.soc10.all.10000	-0.12766645102905594	-0.19810320533835052	bound	725	all	10_10	1	weight	10000	10000	all	10_10	319	goedkoop	0.25261550347174927
goedkoop.foc10.all.weight.bound.min1.soc10.all.FOC	-0.1631523207093972	-0.2591627213465806	bound	725	all	10_10	1	weight	FOC	725	all	10_10	319	goedkoop	0.26590257313534804
goedkoop.foc10.all.selection.bound.min1.soc4.nav.5000	0.29643008140836874	-0.014307937438021943	bound	725	all	10_10	1	selection	5000	5000	nav	4_4	319	goedkoop	0.2565306538807062
goedkoop.foc10.all.selection.bound.min1.soc4.nav.10000	0.33204119324107895	0.0038001813642624758	bound	725	all	10_10	1	selection	10000	10000	nav	4_4	319	goedkoop	0.25492977290845575
goedkoop.foc10.all.selection.bound.min1.soc4.nav.FOC	0.22411385698708775	-0.07290381445485541	bound	725	all	10_10	1	selection	FOC	725	nav	4_4	319	goedkoop	0.2538633846052256
goedkoop.foc10.all.selection.bound.min1.soc10.nav.5000	0.1982261408482134	-0.05373805333154457	bound	725	all	10_10	1	selection	5000	5000	nav	10_10	319	goedkoop	0.24902725316775098
goedkoop.foc10.all.selection.bound.min1.soc10.nav.10000	0.20990708373266867	-0.050026644666333296	bound	725	all	10_10	1	selection	10000	10000	nav	10_10	319	goedkoop	0.25193313323132616
goedkoop.foc10.all.selection.bound.min1.soc10.nav.FOC	0.16129487306696894	-0.09693249990412539	bound	725	all	10_10	1	selection	FOC	725	nav	10_10	319	goedkoop	0.25737656120607416
goedkoop.foc10.all.selection.bound.min1.soc4.all.5000	0.28417200557674177	-0.01946452794309037	bound	725	all	10_10	1	selection	5000	5000	all	4_4	319	goedkoop	0.2540655449693789
