_id	_cws.gemeen.foc10.nav.weight.bound	_count.gemeen.foc10.nav.weight.bound	_cws.gemeen.foc10.nav.selection.bound	_count.gemeen.foc10.nav.selection.bound	_cws.gemeen.foc10.nav.no.bound	_count.gemeen.foc10.nav.no.bound	_cws.gemeen.foc10.all.weight.bound	_count.gemeen.foc10.all.weight.bound	_cws.gemeen.foc10.all.selection.bound	_count.gemeen.foc10.all.selection.bound	_cws.gemeen.foc10.all.no.bound	_count.gemeen.foc10.all.no.bound	_cws.gemeen.foc5.nav.weight.bound	_count.gemeen.foc5.nav.weight.bound	_cws.gemeen.foc5.nav.selection.bound	_count.gemeen.foc5.nav.selection.bound	_cws.gemeen.foc5.nav.no.bound	_count.gemeen.foc5.nav.no.bound	_cws.gemeen.foc5.all.weight.bound	_count.gemeen.foc5.all.weight.bound	_cws.gemeen.foc5.all.selection.bound	_count.gemeen.foc5.all.selection.bound	_cws.gemeen.foc5.all.no.bound	_count.gemeen.foc5.all.no.bound
gemeen/adj/nrc_handelsblad_20011003_117/192	ben/verb;doe/verb;psychologie/noun;volwassene/noun	4	ben/verb;doe/verb;psychologie/noun;volwassene/noun	4	ben/verb;doe/verb;ga/verb;gelukkig/adj;leer/verb;psychologie/noun;scenario/noun;volwassene/noun	8	ben/verb;die/pron;doe/verb;niet/adv;psychologie/noun;volwassene/noun;ze/pron	7	ben/verb;die/pron;doe/verb;niet/adv;psychologie/noun;volwassene/noun;ze/pron	7	ben/verb;de/det;die/pron;doe/verb;ga/verb;gelukkig/adj;het/det;leer/verb;niet/adv;psychologie/noun;scenario/noun;van/prep;volwassene/noun;ze/pron;zelf/adv	15	doe/verb;volwassene/noun	2	doe/verb;volwassene/noun	2	doe/verb;ga/verb;leer/verb;volwassene/noun	4	die/pron;doe/verb;volwassene/noun;ze/pron	4	die/pron;doe/verb;volwassene/noun;ze/pron	4	die/pron;doe/verb;ga/verb;leer/verb;volwassene/noun;ze/pron;zelf/adv	7
gemeen/adj/nrc_handelsblad_20000228_23/25	heb/verb;noem/verb;onbetrouwbaar/adj;ontsla/verb	4	heb/verb;noem/verb;onbetrouwbaar/adj;ontsla/verb	4	eind/noun;heb/verb;jaar/noun;noem/verb;onbetrouwbaar/adj;ontsla/verb;vorig/adj;word/verb	8	heb/verb;hij/pron;noem/verb;onbetrouwbaar/adj;ontsla/verb	5	heb/verb;hij/pron;noem/verb;onbetrouwbaar/adj;ontsla/verb	5	eind/noun;heb/verb;hij/pron;jaar/noun;noem/verb;onbetrouwbaar/adj;ontsla/verb;vorig/adj;word/verb	9	heb/verb;noem/verb;onbetrouwbaar/adj	3	heb/verb;noem/verb;onbetrouwbaar/adj	3	heb/verb;noem/verb;onbetrouwbaar/adj	3	heb/verb;hij/pron;noem/verb;onbetrouwbaar/adj	4	heb/verb;hij/pron;noem/verb;onbetrouwbaar/adj	4	heb/verb;hij/pron;noem/verb;onbetrouwbaar/adj	4
gemeen/adj/nrc_handelsblad_20010301_22/10	bijzonder/adj;heb/verb;kenmerk/noun;monarchie/noun	4	bijzonder/adj;heb/verb;kenmerk/noun;monarchie/noun	4	Nederlands/adj;bijzonder/adj;heb/verb;kenmerk/noun;monarchie/noun;nationaal/adj	6	bijzonder/adj;heb/verb;kenmerk/noun;monarchie/noun;ook/adv;zijn/det	6	bijzonder/adj;heb/verb;kenmerk/noun;monarchie/noun;ook/adv;zijn/det	6	Nederlands/adj;aan/prep;bijzonder/adj;de/det;elk/det;heb/verb;kenmerk/noun;monarchie/noun;nationaal/adj;ook/adv;zijn/det	11	heb/verb;monarchie/noun	2	heb/verb;monarchie/noun	2	heb/verb;monarchie/noun	2	heb/verb;monarchie/noun;ook/adv	3	heb/verb;monarchie/noun;ook/adv	3	aan/prep;elk/det;heb/verb;monarchie/noun;ook/adv	5
gemeen/adj/nrc_handelsblad_20040505_87/311	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	elleboog_stoot/noun;hoog/adj;stapel_op/verb;tackle/noun;tempo/noun;vlieg/adj	6	elleboog_stoot/noun;op/part;stapel_op/verb;tackle/noun;vlieg/adj	5	elleboog_stoot/noun;op/part;stapel_op/verb;tackle/noun;vlieg/adj	5	de/det;elleboog_stoot/noun;hoog/adj;in/prep;op/part;stapel_op/verb;tackle/noun;tempo/noun;vlieg/adj;zich/pron	10	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	elleboog_stoot/noun;hoog/adj;stapel_op/verb;tackle/noun;vlieg/adj	5	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	elleboog_stoot/noun;stapel_op/verb;tackle/noun;vlieg/adj	4	de/det;elleboog_stoot/noun;hoog/adj;in/prep;stapel_op/verb;tackle/noun;vlieg/adj;zich/pron	8
gemeen/adj/nrc_handelsblad_20020930_63/485	beetje/noun;ben/verb;haal_uit/verb;spel_fout/noun	4	beetje/noun;ben/verb;haal_uit/verb;spel_fout/noun	4	beetje/noun;ben/verb;haal_uit/verb;moeite/noun;spel_fout/noun;zal/verb	6	beetje/noun;ben/verb;dat/det;die/pron;een/det;haal_uit/verb;mijn/det;spel_fout/noun;tegenover/prep;toch/adv	10	beetje/noun;ben/verb;dat/det;die/pron;een/det;haal_uit/verb;mijn/det;spel_fout/noun;tegenover/prep;toch/adv	10	al/adv;beetje/noun;ben/verb;dat/det;de/det;die/pron;een/det;er/adv;haal_uit/verb;mijn/det;moeite/noun;spel_fout/noun;tegenover/prep;toch/adv;zal/verb	15	ben/verb;haal_uit/verb	2	ben/verb;haal_uit/verb	2	ben/verb;haal_uit/verb;zal/verb	3	ben/verb;dat/det;haal_uit/verb;mijn/det;tegenover/prep	5	ben/verb;dat/det;haal_uit/verb;mijn/det;tegenover/prep	5	ben/verb;dat/det;haal_uit/verb;mijn/det;tegenover/prep;zal/verb	6
gemeen/adj/nrc_handelsblad_20001020_42/447	aantoonbaar/adj;ben/verb;journalist/noun;kan/verb;onwaar/adj	5	aantoonbaar/adj;ben/verb;journalist/noun;kan/verb;onwaar/adj	5	aantoonbaar/adj;ben/verb;journalist/noun;kan/verb;onwaar/adj;vermoord/verb	6	aantoonbaar/adj;ben/verb;dat/det;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;wel/adv;zo/adv	10	aantoonbaar/adj;ben/verb;dat/det;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;wel/adv;zo/adv	10	aantoonbaar/adj;ben/verb;dat/det;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;vermoord/verb;wel/adv;zo/adv	11	aantoonbaar/adj;journalist/noun;kan/verb;onwaar/adj	4	aantoonbaar/adj;journalist/noun;kan/verb;onwaar/adj	4	aantoonbaar/adj;journalist/noun;kan/verb;onwaar/adj	4	aantoonbaar/adj;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;zo/adv	7	aantoonbaar/adj;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;zo/adv	7	aantoonbaar/adj;die/det;ik/pron;journalist/noun;kan/verb;onwaar/adj;zo/adv	7
gemeen/adj/nrc_handelsblad_20010203_40/140	ben/verb;echt/adj;gemeen/adj	3	ben/verb;echt/adj;gemeen/adj	3	ben/verb;echt/adj;gemeen/adj	3	ben/verb;dat/det;echt/adj;gemeen/adj	4	ben/verb;dat/det;echt/adj;gemeen/adj	4	ben/verb;dat/det;echt/adj;gemeen/adj	4	ben/verb;echt/adj;gemeen/adj	3	ben/verb;echt/adj;gemeen/adj	3	ben/verb;echt/adj;gemeen/adj	3	ben/verb;dat/det;echt/adj;gemeen/adj	4	ben/verb;dat/det;echt/adj;gemeen/adj	4	ben/verb;dat/det;echt/adj;gemeen/adj	4
gemeen/adj/nrc_handelsblad_20000719_40/260	bijtend/adj;heb/verb;ondertoon/noun	3	bijtend/adj;heb/verb;ondertoon/noun	3	bijtend/adj;eind/noun;heb/verb;jaar/noun;moet/verb;ondertoon/noun	6	bijtend/adj;die/pron;heb/verb;ondertoon/noun;ze/pron	5	bijtend/adj;die/pron;heb/verb;ondertoon/noun;ze/pron	5	bijtend/adj;de/det;die/pron;eind/noun;heb/verb;het/det;jaar/noun;moet/verb;ondertoon/noun;van/prep;ze/pron	11	bijtend/adj;ondertoon/noun	2	bijtend/adj;ondertoon/noun	2	bijtend/adj;moet/verb;ondertoon/noun	3	bijtend/adj;die/pron;ondertoon/noun;ze/pron	4	bijtend/adj;die/pron;ondertoon/noun;ze/pron	4	bijtend/adj;de/det;die/pron;het/det;moet/verb;ondertoon/noun;van/prep;ze/pron	8
gemeen/adj/nrc_handelsblad_20001103_93/917	ben/verb;er/noun;kan/verb;koers/noun;verleid/verb	5	ben/verb;er/noun;kan/verb;koers/noun;verleid/verb	5	ben/verb;er/noun;kan/verb;koers/noun;verleid/verb	5	ben/verb;er/noun;kan/verb;koers/noun;ook/adv;verleid/verb;wie/pron	7	ben/verb;er/noun;kan/verb;koers/noun;ook/adv;verleid/verb;wie/pron	7	ben/verb;de/det;er/noun;in/prep;kan/verb;koers/noun;ook/adv;tot/prep;verleid/verb;wie/pron	10	ben/verb;koers/noun	2	ben/verb;koers/noun	2	ben/verb;koers/noun	2	ben/verb;koers/noun;wie/pron	3	ben/verb;koers/noun;wie/pron	3	ben/verb;de/det;in/prep;koers/noun;wie/pron	5
gemeen/adj/nrc_handelsblad_20040209_129/100	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;een/det;water/noun	4	ben/verb;deler/noun;een/det;water/noun	4	ben/verb;deler/noun;een/det;het/det;water/noun	5	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;water/noun	3	ben/verb;deler/noun;een/det;water/noun	4	ben/verb;deler/noun;een/det;water/noun	4	ben/verb;deler/noun;een/det;het/det;water/noun	5
