_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.08095226238300661	-0.017138054721661702	NA	NA	BOW	bound	310	lex	5_5	1	weight	5000	5000	nav	4_4	232	herroepen	0.2434522437818393
herroepen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.11529561746011521	-0.05690141156202633	NA	NA	BOW	bound	310	lex	5_5	1	weight	5000	5000	all	4_4	232	herroepen	0.2646423359362658
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.0921973429645006	-0.01787545576844528	NA	NA	BOW	bound	310	lex	5_5	1	weight	FOC	223	nav	4_4	232	herroepen	0.24263873281897375
herroepen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.08689389001048245	-0.02133737704625234	NA	NA	BOW	bound	310	lex	5_5	1	weight	FOC	310	all	4_4	232	herroepen	0.2444069394933167
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.0597764158468921	0.05126064339490692	NA	NA	BOW	bound	310	lex	5_5	1	selection	5000	5000	nav	4_4	232	herroepen	0.25460787520375994
herroepen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.08538861267605455	0.021031423455496363	NA	NA	BOW	bound	310	lex	5_5	1	selection	5000	5000	all	4_4	232	herroepen	0.27097343168114285
herroepen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0617184398392333	0.027096303589615813	NA	NA	BOW	bound	310	lex	5_5	1	selection	FOC	223	nav	4_4	232	herroepen	0.2466369256412679
herroepen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.05601841129219029	0.024808576608565766	NA	NA	BOW	bound	310	lex	5_5	1	selection	FOC	310	all	4_4	232	herroepen	0.2508416087320294
herroepen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.03986279830111899	0.07179319747335518	NA	NA	BOW	bound	399	lex	5_5	1	no	5000	5000	nav	4_4	233	herroepen	0.2558137814799735
herroepen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.07074814664570207	0.045424034615764816	NA	NA	BOW	bound	399	lex	5_5	1	no	5000	5000	all	4_4	233	herroepen	0.2740708442460328
herroepen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.036124775607504295	0.03836155899984139	NA	NA	BOW	bound	399	lex	5_5	1	no	FOC	283	nav	4_4	233	herroepen	0.2546669561553907
herroepen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.03454946471760931	0.030929749315867408	NA	NA	BOW	bound	399	lex	5_5	1	no	FOC	399	all	4_4	233	herroepen	0.2521681270289636
herroepen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.02511462462125467	-0.009880952239143667	NA	NA	BOW	bound	414	all	5_5	1	weight	5000	5000	nav	4_4	236	herroepen	0.24167779264104358
herroepen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.08910262966298392	-0.0665594059306711	NA	NA	BOW	bound	414	all	5_5	1	weight	5000	5000	all	4_4	236	herroepen	0.26968312902788183
herroepen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.034223655000380375	-0.011844374457932237	NA	NA	BOW	bound	414	all	5_5	1	weight	FOC	223	nav	4_4	236	herroepen	0.23913386686678118
herroepen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.02851609077553495	-0.01353814770549351	NA	NA	BOW	bound	414	all	5_5	1	weight	FOC	414	all	4_4	236	herroepen	0.238746071309261
herroepen.BOWbound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.15840502222914182	0.14926433668318764	NA	NA	BOW	bound	414	all	5_5	1	selection	5000	5000	nav	4_4	236	herroepen	0.22787261302259676
